视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1UT4y1J7xN,崩坏3第一偶像爱酱,246941,1449490,3563794,《崩坏3》动画短片「罪人挽歌」,39817,原创
BV16i4y1G7CQ,敖厂长,156209,928802,1728579,花了两万多元感受82年黑科技游戏主机,6348,原创
BV1ga4y1e7Z1,朱一旦的枯燥生活,90139,1685029,1516007,【朱一旦X罗翔】应聘保洁被骗光所有积蓄，朱一旦向罗翔求助！,31191,原创
BV1jK4y1s7xV,老番茄,54652,1730646,1429207,【老番茄】约会大师,10063,原创
BV1zz411e7XX,动画学术趴,20431,646417,1351588,这部技术力爆表的国风动画，刷新了我对毕设的认知：广州美术学院《落凡尘》,2469,转载
BV1Mz4y1X7GL,共青团中央,50713,837228,1219549,"""你为什么要入党？”“你看你问的……”",7755,原创
BV11z411e7Tk,罗翔说刑法,34961,1286748,1022467,【罗翔】高考语文第一题是拼音，我直接秒选,22918,原创
BV1Ef4y117cS,司墨尧smile,25168,545827,954258,《这个暑假我没时间学习却考了第一》,997,原创
BV1KK411H7pQ,真我心理BeMyself,22484,455028,945661,谁在故意毁掉你的自律？揭秘上瘾的心理学原理，拆穿沉迷x片、游戏、视频的套路丨关于 《1984》 和 《美丽新世界》的预言,2307,原创
BV1sz4y1X7ys,霜叶题诗,10091,411615,942049,是的姐妹！你凭本事刷到了这个视频～,3205,原创
BV1St4y197bo,大大大灯泡,48900,326762,921327,用蒂蒂来换君君！！蒂蒂变成臭蒂蒂！！,2334,原创
BV1Yf4y117rg,某幻君,20639,605401,827042,最 强 の 手,17168,原创
BV1nK4y1s72J,明日方舟,27791,624097,822398,《明日方舟》SideStory「沃伦姆德的薄暮」活动宣传PV,12528,原创
BV1mi4y1G78L,腾讯,12321,1035502,814388,我就是那个吃了假辣椒酱的憨憨企鹅,10891,原创
BV1NV41167ef,人人短视频精选,4115,493474,788306,油管7000万播放量动画短片《请不要再虐待你的器官了》,1333,转载
BV1pD4y1Q71s,星象StarEle,52848,257324,740723,【BESIEGE】混天豹——赛博坦之战，合体是男人的浪漫,5263,原创
BV1M5411Y76T,浮生蓑衣客,12720,488321,708767,一句话把骗子噎死,594,原创
BV1qa4y1h791,盒子酸奶,5588,880700,705253,丧尸：这时代为啥一直变啊！,2084,原创
BV1G5411Y7TJ,周六野Zoey,3410,155753,697881,15分钟直角肩运动！改善斜方肌、圆肩溜肩、肩颈疼痛，高效天鹅颈瑜伽【周六野Zoey】,417,原创
BV1Ta4y1e7jX,凉风Kaze,28779,434413,686032,秃             ——阅片无数年度总结,5403,原创
BV1tD4y1Q7Uz,豆豆动漫T,14105,519249,666701,这 才 叫 木 叶 F 4（下）,620,原创
BV1554y1z7yF,行走的路遥,4818,315706,645299,【高燃向】鞋跟再细 老娘也能定点成蝶 翩翩起舞!,660,原创
BV1E5411Y7wC,摸鱼能手邓大头,15957,567719,633859,我爸是个逆反男孩了,2101,原创
BV1jf4y117mN,Mayumi,8639,730053,628274,【Mayumi】大家好，我是Mayumi，我来B站啦~,1633,原创
BV1v5411Y7kA,语荞Hathaway,26278,355123,624329,4K外滩蹦迪！草莓音乐节没过瘾的小姐姐已经不在乎自己穿什么了！新裤子乐队 - 你要跳舞吗？,1100,原创
BV1RC4y187K2,国电武术馆馆长,16092,515436,620553,追踪挂大战锁血挂，100人全部开挂的诸神之战吃鸡比赛全记录,1406,原创
BV1554y1z73A,华农兄弟,12625,740464,616402,华农兄弟：白天太热，晚上出来活动一下，抓点鱼,15649,原创
BV1vt4y197P4,大霓奈,2171,485168,615929,假如男生也有绿茶,1905,转载
BV1eA411i72f,鸡鸡·夫斯基,6106,591192,604164,企 鹅 抬 酱,868,原创
BV1Tz411v7Gw,硬核的半佛仙人,10275,580724,603372,【半佛】企鹅大战干妈背后的3个关键性问题。,7898,原创
BV1Bt4y197hZ,是桃子酱嘛,712,735189,595166,名场面预订了、笑死我了,545,转载
BV1ND4y1S75u,美浓轮泰史,13640,518614,573355,日本演员的中国梦（日本人俳優が追いかけるチャイナドリーム）,2165,原创
BV19D4y1D7VN,YEAH野兔,1508,309705,572167,一个枕头在家练出马甲线‼️端午假期甩掉大肚腩/瘦腰瘦肚子,294,原创
BV1AC4y1Y7NM,广州曙光口腔,543,707794,565054,神奇！医生将牙齿植入双目失明的老人眼中，老人重获光明！,554,原创
BV1jT4y177XH,拉环儿_,13933,293101,560058,【 日 下 三 女 神 】,365,原创
BV1hf4y117U9,-谢欣桐-,1931,553855,558914,一米八180女生撒娇起来太甜了/教科书撒娇大法/猛女撒娇/撒娇女人最好命,3822,原创
BV1c54y1z7LA,浩宇在路上,24900,443379,544517,妈妈知道我怕鬼，所以她走后从来没来过我梦里,573,原创
BV1e5411W76n,lunaVita,3003,236131,544258,【减脂必看！】21天高效减脂丨如何规划饮食运动丨调整心态  拒绝复胖,604,原创
BV1ot4y197sg,中国BOY超级大猩猩,14218,381194,543727,为了我们这家世界五百强的公司，我付出的实在是太多了,6925,原创
BV1Xt4y197yg,超级神奇的木偶,8907,496610,533246,惊动官方！史上最长的血条，打了5分钟都没死！,2686,原创
BV1ft4y197ah,中国日报,1106,680737,525640,赵立坚打断外媒记者提问：行了行了你不用再念了,533,原创
BV1hK4y1s7yz,进击的金厂长,21692,390115,523579,愿你被世界温柔以待,1861,原创
BV1st4y197nL,面粉社长,31762,193416,519794,【沙雕动画】阿冲外传 × 时空阿sir【第六集】,967,原创
