视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1PK4y1b7dt,大家的音乐姬,578532,12924826,12298662,【官方MV】Mojito - 周杰伦,134014,原创
BV1Rz4y1Q7tg,善良的小矿工,487077,5041625,10866251,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,29785,原创
BV15Z4y1H7jh,Uzi,932744,8357803,9296161,Uzi | 大家好，我是你们的枣子哥简自豪，今天正式入驻B站啦！,44874,原创
BV1XC4y1h78J,老番茄,708980,5894683,8615528,【老番茄】史上最骚杀手(第十集),68969,原创
BV1pi4y147tQ,推背兔の,309191,9212451,8545904,最 强 法 海,37697,原创
BV1dz4y197zd,绝对不再熬夜,307423,7008334,7992337,《樱  桃  老  丸  子》,10191,原创
BV1m54y1Q7eQ,冈部伦太郎·,326103,2783710,7401664,【醒醒】中华儿女该起床了,34844,原创
BV18Z4y1W7Au,小透明阿九,283453,5965496,6452424,如何拒绝别人,16588,原创
BV1hv41167xK,枫泽雨畔,272750,4298359,6095315,【过于真实】天 下 老 师 皆 是 一 家,32828,原创
BV1R5411W7Re,观察者网,659513,4086787,5803520,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,58495,原创
BV1Tf4y117Go,靠谱电竞,630102,3028430,5196799,靠谱盘点86:先就到这里吧！我们下期再见！,29343,原创
BV1mK4y1x7Mb,怪物彼岸花,412166,5594974,5066721,《Numb》——4K超清  翻唱,22635,原创
BV1Wg4y1q7fk,拜托了小翔哥,527606,6116731,5052126,小翔哥回来了，我们重新开始,70530,原创
BV1QA411v7mK,瘟山邪神,183063,1754281,4872774,【童年经典/反派手书】你管这叫童年阴影？！,16070,原创
BV1SK4y1477d,哔哩哔哩弹幕网,168458,5916450,4708792,BILIBILI 11周年演讲,186782,原创
BV1Wa4y1v7qB,离阿毛,122129,8269358,4624189,被上帝吻过的嗓子,32276,转载
BV1o7411E71J,草莓味鸡胸肉,4858,1957095,4542658,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,14338,转载
BV1LV41167aW,小潮院长,370995,3451151,4509690,眼“色”游戏 （2）,79847,原创
BV1HZ4y1H7Sy,果冻lui,219820,2352434,4437697,耗时..... 算了，白嫖吧!,8927,原创
BV12f4y1272j,三千转,187146,3452299,4336952,能看到第15秒吗？,19688,原创
BV1aK411n7ox,两碗蘑菇汤,143349,4997333,4173363,当  代  网  络  现  状,9727,原创
BV1Hk4y1z7GA,尽七七,104917,2747340,4138708,当 滑稽 和其他表情合体,21263,原创
BV1ep4y1D7s1,大蟀蝈,174835,3145108,4010584,高考作弊记,14263,原创
BV14p4y1X7iP,叫我tina小姐姐,21475,1014260,3919791,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,20089,原创
