视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1R54y1i71G,LexBurner,234028,2874209,3640762,名作扎堆！背水一战！2020年7月新番导视！,44317,原创
BV1Rv411B787,庄不纯,167597,3646839,3640458,最 强 汤 姆,13581,原创
BV1UT4y1J7xN,崩坏3第一偶像爱酱,246941,1449490,3563794,《崩坏3》动画短片「罪人挽歌」,39817,原创
BV1xV41167qm,学姐圆,114075,895242,3110147,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,4271,原创
BV1QK411n7dW,纷纷纷纷黑-Fenix,20182,754210,2073153,【Helltaker】爆火油管的致幻风❤️Take Me!  ❤️★ MiatriSs,722,转载
BV15a4y1e7Kw,鮮肉門,75480,403333,1842714,【明日方舟 | 手书】狂人的懺悔錄【W】,788,原创
BV1Jf4y117BF,吃素的狮子,78421,2155233,1762582,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,34121,原创
BV1mi4y1G7Rn,可靠de伏特加,40656,1853199,1677877,大  威  天  妈,3840,原创
BV1jT4y177XH,拉环儿_,51412,965648,1577247,【 日 下 三 女 神 】,1562,原创
BV1Fi4y1V7du,闷骚阿暑,55445,739724,1520397,宇智波小少爷想让我告白,2659,原创
BV1Rz4y1Q7tg,善良的小矿工,49409,603505,1484906,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,3495,原创
BV1FZ4y1u7W3,瓶子君152,66982,1077950,1430003,业界真的要完！2020七月新番推荐,7979,原创
BV1zz411e7XX,动画学术趴,23237,680160,1429340,这部技术力爆表的国风动画，刷新了我对毕设的认知：广州美术学院《落凡尘》,2814,转载
BV1tT4y17733,Warma,53881,1036271,1383557,【warma】怎么办！我现在好怕被2233娘封号,6889,原创
BV1NV41167ef,人人短视频精选,7824,1048742,1372569,油管7000万播放量动画短片《请不要再虐待你的器官了》,2842,转载
BV1Zi4y1G7KH,养胃的霖冬,61087,556600,1289398,我  是  你  爷  爷,7428,原创
BV1tp4y1D7B1,浅唱zz,21220,885115,1180242,鬼知道我看了几遍！,1912,原创
BV18Z4y1W7Au,小透明阿九,30051,764543,1074124,如何拒绝别人,1902,原创
BV1pZ4y1H77s,银发の半精灵,15220,564494,938353,鬼知道我看了几遍！ ？,479,原创
BV1tD4y1Q7Uz,豆豆动漫T,22196,812411,931504,这 才 叫 木 叶 F 4（下）,1115,原创
BV1St4y197bo,大大大灯泡,48900,326762,921327,用蒂蒂来换君君！！蒂蒂变成臭蒂蒂！！,2334,原创
BV1hv41167xK,枫泽雨畔,24928,455194,896702,【过于真实】天 下 老 师 皆 是 一 家,5894,原创
BV17V41167ai,泛式,25625,879493,883149,对不起，我败了！2020年4月新番打脸大总结！,8072,原创
BV1hC4y18755,长腿毛的哥哥,43304,442731,879757,【火影人物史】自来也为何不朽？岸本笔下的封神忍者！,4240,原创
BV1eT4y1772N,玉译沙画工作室,73644,250677,872141,沙之呼吸？沙画动画震撼还原鬼灭之刃封神一战，技惊四座！,2573,原创
BV1fZ4y1M7mq,wuhu动画人空间,15681,311334,825196,最深度致敬·EVA·CG作品 |  导演完全版《EVA超·现实》【授权发布】,678,转载
BV15V41167Qy,凉风Kaze,20711,1015631,809273,藏得太深了！我破解了B站做的宣传视频的秘密！,2708,原创
BV1gK411W7sV,喜娃桑,16912,548404,801154,建议改成：骚 话 之 王,7037,原创
BV1aK411n7ox,两碗蘑菇汤,14659,558136,790314,当  代  网  络  现  状,921,原创
BV1ND4y1S7dr,大大大尾巴狼-,1378,1643740,778411,老板：可恶，被你小子买到真货了,503,转载
BV1H5411W7hi,杨杨不得,10264,893708,760986,期 末 线 上 考 试 现 状,4004,原创
BV1vV411k72w,阿幕降临,32801,600796,743635,小破站11周年庆 用户纷纷整活送上祝福,7995,原创
BV1xt4y1975D,善良的诚哥,14605,568411,742530,天津吉良吉影入驻B站,1245,原创
BV1Qk4y1q7WC,茜影安风,20706,216797,733053,【b站11周年纪念】前方高萌！♥AWSL♥,6466,原创
BV15A411e7Wx,要来点当归吗,9364,693033,732000,最    强    爷    爷,1790,原创
BV1HZ4y1H7Sy,果冻lui,27441,246055,720638,耗时..... 算了，白嫖吧!,1264,原创
BV1iD4y1Q7nG,七月的五八,30266,606730,719549,有一种猖狂叫明天早上没课,9292,原创
BV1rK4y147rH,黑色夜猫君,3544,731061,715668,空条承太郎的师父,322,原创
BV1rD4y1Q7P2,丰兄来了,19001,544868,680547,建议改成:章 鱼 哥 的 阴 间 操 作【文盲文】,3144,原创
BV1hK4y1s7yz,进击的金厂长,27738,462898,618750,愿你被世界温柔以待,2577,原创
BV1cV411k7tB,小米酱丶动漫ing,14730,225349,614833,可爱和性感在沙雕面前不堪一击 !,660,原创
BV1nA411e7MA,芥末捡树枝,26101,249239,592277,为雷之律者的诞生献上礼炮！手书：雷之殇,712,原创
BV1rt4y197Xw,炮灰游戏解说,4632,513655,570218,大古最后一次变身。已经好久了。,1751,原创
BV1E7411k7Qy,三笠・阿克曼,12370,274241,564234,曾火遍全网的《溯》，你是否还知道？,1171,原创
BV1vf4y117wT,七月听雪眠,30201,267345,530496,【实力至上主义的教室/二年生篇】第7期：质疑,3367,原创
BV1Kz4y1X751,暗猫の祝福,22613,163362,527316,《崩坏3》布希MV - 想和你一直一直在一起 -「Aimer/Ref:rain」,475,原创
BV1Rt4y1X7J2,在下蕾姆有何贵干,10675,303825,526383,前方核能！这才是这个世界巅峰战力！！！,568,原创
BV1Q54y1i79V,哈米伦的弄笛者,7255,247606,523290,【方舟日常】博士的渣男之路,2348,原创
BV1st4y197nL,面粉社长,31762,193416,519794,【沙雕动画】阿冲外传 × 时空阿sir【第六集】,967,原创
BV1Tv411674m,可乐Cat_,3242,503620,518195,“别 惹 网 抑 云”,764,原创
BV1WD4y1Q7cW,艾尔十六,15529,253652,517741,时代变了！虫虫 ！【崩坏战争06】,2125,原创
BV1Vt4y197YR,咪克菌,13429,440430,514652,时代变了，悟空,1424,原创
BV1Wa4y1Y727,yoyo鹿鸣_Lumi,7526,410690,505234,【鹿鸣x鹿鸣】这个端午，双倍丝滑！双倍快乐,146,原创
BV1rz4y1X7LU,SAO东西又在说SAO话,11031,139307,500868,【100部番剧混剪】此刻，让全世界都来感受ACG的魅力吧！,2891,原创
BV1H54y1z7Vo,奥灵橘,6425,434795,500598,老年卡卡西直播带货,223,原创
BV1v7411z72c,辉夜゜丶,9873,143754,497296,挑 战 B 站 壁 纸 上 限！,297,原创
BV1cz411i7RL,君寻玩剪辑,7480,339939,475097,被遗失的一集：进击的派大星,262,原创
BV12K411p7Dq,社会我雕,5986,391465,460907,亿万家产说没就没了？？？,1425,原创
BV1V54y1d78f,潮汐子,6069,234766,457112,快给我变！,562,原创
BV1zD4y1Q715,逗比的雀巢,20038,252722,456609,警察：我们是不会暴力执法的（上膛,803,原创
BV1Qt4y197xB,R翼君,11830,92659,448951,【怪诞小镇手书】MONSTER,675,原创
BV1vk4y1q7pU,zcy902,8791,312221,439137,秦先生和韦天本尊本色配音版【摸王TV】明日方舟篇05.5,572,原创
BV1QA411v7mK,瘟山邪神,10872,164192,438749,【童年经典/反派手书】你管这叫童年阴影？！,1166,原创
BV1Pp4y1S7Su,腿毛怪咖,14676,177317,436888,不好意思，这才是火影忍者的精彩打斗！,492,原创
BV1EV41167LB,永远的我的鸟笼Me,23421,220382,430797,因为b站而相遇，三年后，我们终于领证了！,3885,原创
BV1rD4y1Q7S3,道22,3248,261017,419705,抢 樱 桃,702,原创
BV1Yf4y1y7ZS,在下老酷,3728,310141,416318,大威天龙JOJO版,411,原创
BV1j5411Y7k2,帅脸熊,6164,366747,412400,动画还原老干妈和企鹅，愿天下没有骗子,480,原创
BV1GV41167u4,冷淡熊,9008,317971,412217,斑：我 不 做 人 了 ！,834,原创
BV1Pa4y1e7q9,丸子叨叨叨,13639,282964,404815,真·史上最烂动画片，不接受反驳！《莫日根人熊大战》,3205,原创
BV1HA411e7Uc,最上川下山,4707,327332,399116,我算出了名侦探柯南的身高，b站第一人,1155,原创
BV1pT4y177Ln,破碎面具,8160,267758,398197,做给自己和粉丝们消遣的小玩意~,249,原创
BV1cC4y1Y7em,澪雀之森的神社,7840,138540,395608,【Helltaker X hololive】H O L O T A K E R,802,原创
BV1pp4y1D7oM,白小纯2019,8678,269595,394837,这 才 是 神 仙 打 架！,316,原创
BV1mK411n76C,尕丶天堂,11842,236599,380160,【漫评】约定的梦幻岛完结吐槽！从智斗神作到平庸收场，如何评价这部作品？,2613,原创
BV1wk4y1z7vX,花生PeAriut,3515,352669,376824,老师就是这样给我们划重点的！？,494,原创
BV1sf4y117SB,刘哥模玩,6873,310200,362337,穿上1比1钢铁侠MK7战甲是什么体验？-刘哥模玩,2560,原创
BV1mV411r7hF,唐苏仁,3606,274884,359970,考 试 前 一 晚,1120,原创
BV1Pz411i7h5,一只沙雕略略略,7220,235572,351537,蛇妖 我要你助我修行,358,原创
BV1RZ4y1n72F,芦苇十三少,3714,282117,351471,地 表 最 强 唐 僧,324,原创
BV14K4y1s7HL,遇见1005,4268,299279,350387,建议改成：爆 破 鬼 才,726,原创
BV1yE411v7Pq,MJ小林大人嗷,9142,176686,349878,前方高能！只需10s！我将从你手中抢走硬币！,685,原创
BV137411B7mQ,动漫唯美风,5214,196515,347518,【处处吻】你的老婆可太撩了！世界都馋她一吻,662,原创
BV1yi4y1s7pB,Tokisaki_狂三,9976,142057,347315,只攻不防！天下无双！巅峰战力！毁天灭地！！！,336,原创
BV19z411v7bd,一只祝,7815,254418,344026,【现状】大 学 返 校 现 状,390,原创
BV1eT4y177kH,凇子M,4188,190119,343292,早 露 捕 蒂 失 败 删 减 片 段,311,原创
BV1LV41167QH,旧时代的丿残党,9330,120376,336872,我们只不过背负各自的正义，沦为这个世界的傀儡罢了。,512,原创
BV1iv411B71P,陈雅楠cyn,7423,130660,335065,十一年B站，十一年你我，十一年后你还会在小破站看动画吗？,1970,原创
BV1nT4y1G7Cd,单身狗的心痛,2196,205369,330392,2020年了，还有人记得童年那首动人歌曲《左手右手》吗,3639,转载
BV135411Y7GU,桐生可可Official,6291,152680,330150,【3D初放送】万众瞩目的3D可可会长！竟然成功做出了？！,5516,原创
BV1x441187u5,烟季,5531,194545,327477,前方高能！让世界感受这场视觉盛宴吧！,1005,原创
BV1kv411B7jj,旺仔大哥哥,9568,97990,322435,【AMV/舞曲】少女蜕变,342,原创
BV1da4y1Y7AT,泡面里的牛肉,2489,74850,319845,【手书动画/中字/海绵宝宝音乐剧】NO CONTROL,213,转载
BV1Yk4y1q7uN,C级英雄提督君,9349,141802,313196,【三国杀/helltaker】三国把妹王，在乱世收集妹子吧,557,原创
BV15a4y1e7bR,哀是麦子的球迷,17085,92616,306947,【麦子】《犬夜叉·完结篇》（上）神乐之风，桔梗之光,1642,原创
BV1Hz411e7ZM,-柠萌菌-,5631,149178,306650,每天一遍，沙雕率达99.998%,160,原创
BV1gz4y1X7FW,黝黑蜗壳天眼老师,6573,199020,302780,史上最全毛利小五郎分析！他已知柯南真实身份？毛利独自解决案件合集！,3060,原创
BV1eV411k7jJ,Buuuurner,8127,122882,302458,【鬼灭之刃】集中一点，登峰造极(60秒高能),432,原创
BV1gK4y147Rz,Milk缪客,9674,183929,302192,【川建国传】请叫我红星队长 3D自制短片 不是封面党,506,原创
BV1YV411r7Nr,安和白叶茶,8145,88211,298299,【4K ⁶⁰ᶠᵖˢ】新海诚，从未让我们失望  𝑻𝒉𝒆 𝒓𝒂𝒊𝒏 𝒂𝒏𝒅 𝒕𝒉𝒆 𝒍𝒊𝒈𝒉𝒕,205,原创
