视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1UT4y1J7xN,崩坏3第一偶像爱酱,246941,1449490,3563794,《崩坏3》动画短片「罪人挽歌」,39817,原创
BV1zz411e7XX,动画学术趴,20431,646417,1351588,这部技术力爆表的国风动画，刷新了我对毕设的认知：广州美术学院《落凡尘》,2469,转载
BV1St4y197bo,大大大灯泡,48900,326762,921327,用蒂蒂来换君君！！蒂蒂变成臭蒂蒂！！,2334,原创
BV1NV41167ef,人人短视频精选,4115,493474,788306,油管7000万播放量动画短片《请不要再虐待你的器官了》,1333,转载
BV1tD4y1Q7Uz,豆豆动漫T,14105,519249,666701,这 才 叫 木 叶 F 4（下）,620,原创
BV1jT4y177XH,拉环儿_,13933,293101,560058,【 日 下 三 女 神 】,365,原创
BV1hK4y1s7yz,进击的金厂长,21692,390115,523579,愿你被世界温柔以待,1861,原创
BV1st4y197nL,面粉社长,31762,193416,519794,【沙雕动画】阿冲外传 × 时空阿sir【第六集】,967,原创
BV1xV41167qm,学姐圆,16349,117625,518945,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,834,原创
BV1Vt4y197YR,咪克菌,13429,440430,514652,时代变了，悟空,1424,原创
BV1zD4y1Q715,逗比的雀巢,20038,252722,456609,警察：我们是不会暴力执法的（上膛,803,原创
BV1QK411n7dW,纷纷纷纷黑-Fenix,3889,137677,429590,【Helltaker】爆火油管的致幻风❤️Take Me!  ❤️★ MiatriSs,96,转载
BV1j5411Y7k2,帅脸熊,5721,358314,402267,动画还原老干妈和企鹅，愿天下没有骗子,431,原创
BV1rK4y147rH,黑色夜猫君,1835,333895,395082,空条承太郎的师父,142,原创
BV1R54y1i71G,LexBurner,11976,190863,363112,名作扎堆！背水一战！2020年7月新番导视！,2203,原创
BV1Rv411B787,庄不纯,5292,164340,281554,最 强 汤 姆,526,原创
BV1si4y1x776,wuhu动画人空间,6914,85754,265355,【2020毕业季 | 动画毕设作品】绝美毕设！广州美术学院视觉艺术设计学院动画《落凡尘》【授权投稿】,441,原创
BV1tp4y1D7B1,浅唱zz,3661,155121,255918,鬼知道我看了几遍！,289,原创
BV1Zi4y1G7KH,养胃的霖冬,9556,89717,242120,我  是  你  爷  爷,942,原创
BV1ND4y1S7dr,大大大尾巴狼-,209,224948,236534,老板：可恶，被你小子买到真货了,55,转载
BV1Hz4y1X7yF,吃素的狮子,1653,157695,202220,【梗百科163】书记舞？石上真男人？黄色眼镜？这番是怎么和武林外传扯上关系的？？？？！,946,原创
BV16K411n7b1,银发の半精灵,4265,77007,193559,建议改成：大 号 回 归 ！,176,原创
BV1hk4y1q7b9,冷淡熊,5391,127229,185198,诸葛亮：没人比我更懂用奇兵！,653,原创
BV1HZ4y1H7Sy,果冻lui,6985,57999,184938,耗时..... 算了，白嫖吧!,264,原创
BV1Pz4y1X7Wh,沧桑丸,4066,122501,177634,法 老 王 面 具,863,原创
BV15a4y1e7Kw,鮮肉門,5883,39247,171655,【明日方舟 | 手书】狂人的懺悔錄【W】,4,原创
BV1sk4y1q7GS,火柴人AlanBecker,5987,85910,166009,油管千万粉火柴人大神Alan来了！火柴人 VS 精灵宝可梦,1272,原创
BV1NV41167Td,丸子叨叨叨,5008,110009,165490,这就是伊藤润二系列中最强熊孩子？好像挺der的！《双一：快乐的暑假》,1772,原创
BV1V54y1d78f,潮汐子,2260,74126,164787,快给我变！,139,原创
BV1EA411e7wt,赤井心Official,1132,113612,162934,明明是偶像脚却那么臭www,286,原创
BV1mi4y1G7Rn,可靠de伏特加,2070,100558,160729,大  威  天  妈,186,原创
BV1gK411W7sV,喜娃桑,2782,92331,154858,建议改成：骚 话 之 王,1121,原创
BV1Nk4y167P6,哈米伦的弄笛者,1932,64745,151495,【手游娘】鹰角小姐的职场生活,308,原创
BV1Sz411e7VQ,雾林山远,1207,90946,148531,《 特 摄 颜 值 标 准 》,162,原创
BV18Z4y1W7Au,小透明阿九,3110,92483,148190,如何拒绝别人,217,原创
BV1Z5411p7WQ,含笑半步丁-,4046,70016,148055,【鬼灭*辉夜-手书动画】肝了125小时！善逸大小姐想让我告白？（祢豆子的奇妙用途增加了～）,104,原创
BV1Sf4y117PQ,长腿毛的哥哥,1883,97169,146213,大 威 天 鼬,132,转载
BV1Fi4y1V7du,闷骚阿暑,3315,61028,141112,宇智波小少爷想让我告白,154,原创
BV1iv411B71P,陈雅楠cyn,2720,41696,132791,十一年B站，十一年你我，十一年后你还会在小破站看动画吗？,511,原创
BV1KZ4y1p7HG,灵魂画手周某人,238,110129,129724,生气了吗，老干妈？,36,原创
BV1Rz4y1Q7tg,善良的小矿工,3580,47620,128300,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,254,原创
BV1Rt4y1X7J2,在下蕾姆有何贵干,2365,68246,126376,前方核能！这才是这个世界巅峰战力！！！,95,原创
BV1hv41167xK,枫泽雨畔,2849,57314,122063,【过于真实】天 下 老 师 皆 是 一 家,767,原创
BV1H54y1z7Bc,犬山玉姬Official,2236,44444,116718,【最强时雨羽衣决定战】最强时雨羽衣的称号究竟会花落谁家！？【地狱】,3472,原创
BV1RZ4y1n72F,芦苇十三少,976,91111,116379,地 表 最 强 唐 僧,97,原创
BV1cV411k7tB,小米酱丶动漫ing,2670,39447,115895,可爱和性感在沙雕面前不堪一击 !,128,原创
