视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Rz4y1Q7tg,善良的小矿工,487077,5041625,10866251,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,29785,原创
BV18Z4y1W7Au,小透明阿九,283453,5965496,6452424,如何拒绝别人,16588,原创
BV1hv41167xK,枫泽雨畔,272750,4298359,6095315,【过于真实】天 下 老 师 皆 是 一 家,32828,原创
BV1QA411v7mK,瘟山邪神,183063,1754281,4872774,【童年经典/反派手书】你管这叫童年阴影？！,16070,原创
BV1HZ4y1H7Sy,果冻lui,219820,2352434,4437697,耗时..... 算了，白嫖吧!,8927,原创
BV1aK411n7ox,两碗蘑菇汤,143349,4997333,4173363,当  代  网  络  现  状,9727,原创
BV1uf4y127Ab,喜娃桑,135241,2034951,3866783,小时候看笑话，长大后看真实,15274,原创
BV1R54y1i71G,LexBurner,234028,2874209,3640762,名作扎堆！背水一战！2020年7月新番导视！,44317,原创
BV1Rv411B787,庄不纯,167597,3646839,3640458,最 强 汤 姆,13581,原创
BV1tp4y1D7B1,浅唱zz,82340,3995767,3586619,鬼知道我看了几遍！,7432,原创
BV1UT4y1J7xN,崩坏3第一偶像爱酱,246941,1449490,3563794,《崩坏3》动画短片「罪人挽歌」,39817,原创
BV1xV41167qm,学姐圆,114075,895242,3110147,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,4271,原创
BV1Yz4y197X1,永远的我的鸟笼Me,91535,1124327,2866807,【4k/裸眼3D/无水印】爆肝抠图1350张，该细还得细！,1654,原创
BV12z4y197pz,英梨梨゙,35216,1483502,2787806,香港雀巢咖啡粤语&日语动画宣传广告,3900,转载
BV1si4y1x776,wuhu动画人空间,99591,1033351,2708010,【2020毕业季 | 动画毕设作品】绝美毕设！广州美术学院视觉艺术设计学院动画《落凡尘》【授权投稿】,5789,原创
BV1oT4y1E7Tj,血小板゚゚゚゚゚゚,91692,1900293,2598848,耗时86400秒！！算了，你们白嫖吧！,4607,原创
BV16V411C7Jv,动漫唯美风,110245,791416,2535301,用六十部动漫台词唱出一首《稻香》,5089,原创
BV1Wv411678n,微冷の世界,122452,972475,2512370,崩坏3×JOJO/琪亚娜的奇妙冒险【OP还原】,1977,原创
BV1cV411k7tB,小米酱丶动漫ing,64133,2208225,2503980,可爱和性感在沙雕面前不堪一击 !,3848,原创
BV1E7411k7Qy,三笠・阿克曼,77067,1496652,2487588,曾火遍全网的《溯》，你是否还知道？,5897,原创
BV1mi4y1G7Rn,可靠de伏特加,60365,2762056,2297168,大  威  天  妈,5573,原创
