视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1jZ4y1H76C,天罗喵,3042,686835,704882,“对不起，我有孩子了”,711,原创
BV1Lg4y1q7jK,霍顿,4010,383828,485900,喜羊羊原来可以这么燃,1612,原创
BV1Ri4y1G7sf,-TS映画-,4156,215862,378506,“回眸一笑百媚生，六宫粉黛无颜色”,268,原创
BV1Sk4y1q7AQ,凌诺雅,3867,247549,353477,【国漫公司】中国第一漫画平台，抄袭风波，融资10亿，1000万粉丝的90后女总裁，人各有志，我们现在谈梦想还是谈钱？,5257,原创
BV1jK411H7PJ,Time时代化,12226,164173,332252,玄机奇侠传3《生生世世爱》（加长版）,601,原创
BV1RK411p7A6,喵太社,7267,108026,301860,《大理寺日志》超 帅 踩 点 ！,217,原创
BV1Bz4y1Q7PV,本丑男长命百岁,1118,189279,257271,小时候听里面的台词和现在的感觉不一样了,176,原创
BV1op4y1U7fc,日尧双习,3424,46270,212444,雷 狮 不 要 心 动 挑 战！限时1分48秒！你能坚持多久？【凹凸世界/勉强踩点燃向/雷狮个人】,897,原创
BV1Vg4y1v71w,陈雅楠cyn,1087,180848,206790,超高评分9.8，导演签订两年卖身契？只为了做好这部动画,1247,原创
BV18b411e7kt,你妹西天取金,3889,103481,193245,灰太狼：我颠覆了整个世界，只为换你一次回眸,1586,原创
BV16K4y1477L,童颜泡芙,691,162976,191674,原著党哭惨了！为何这部改编动画触犯众怒？硬核分析！,279,原创
BV1TV41167Si,喝水少年孙十一,317,173288,186418,2020的黑马国漫，真是太好看了！,146,原创
BV1HT4y177A5,苏八拉西爱小新,1373,155049,179619,唐朝究竟有多开放？小猫咪都能在朝廷当官？,451,原创
BV1B5411Y7z1,未知生物11,344,149817,169321,七月新番谁为峰？今年的七月神仙打架,751,原创
BV1bZ4y1W7hX,姬弦-zy,1763,110533,164427,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,203,原创
BV1gz411v7A8,玖紫星,321,128571,158667,做比比东老师值得吗？千寻疾：只有一次，但无比快乐！,113,原创
BV1LV41167AZ,喜欢剪辑的萌特君,3779,78392,142641,【百万剪辑】为什么做的再好，也没人看呢，我放弃了。,280,原创
BV17T4y1J7Nw,喜欢数码的陈同学,2232,61244,139569,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,678,转载
BV18g4y1i7EW,白蛇小白,664,89523,125432,小时候以为是喜剧，长大后才发现全是刀子！！！,227,原创
BV1N5411Y7uL,恺翔kay,1659,38349,120141,【凹凸学园】假如学园里有黑帕,808,原创
BV1rz4y1X7xm,玩偶菌,475,101363,119269,超高评分9.8，口碑炸裂万人推荐，来看看吧。【大理寺日志】,638,原创
BV1fC4y187gR,她说贾斯汀姓贾,1807,61618,116162,“ 算了吧，回不去了 ”,153,原创
BV1ZQ4y1N7P2,墨倾池-,113,97188,108747,没戴帽子的比比东应该就是这个亚子,53,原创
BV1aV411r7B6,超神学院黑甲彦,1019,72457,105745,恭 迎 昊 天 冕 下 ！,399,原创
BV1XQ4y1A7Uy,你就宠她吧,1150,64303,105059,小时候看笑话，长大了看真实,183,原创
BV1Va4y1e7ii,二次CARTOON,1367,46532,98003,一首【吹灭小山河】带你撩遍人间盛世美颜！！！,159,原创
BV12C4y187UN,玄机科技,881,76662,96483,当玄机家的娃们去摆地摊,403,原创
BV15p4y1D7WC,丑角之花,882,62991,92179,"""一生娶一人，一诺一卿颜""",61,原创
BV1VE411L7AC,柠檬心不酸na,298,63972,88812,只要反派长的好，三观跟着五官跑,171,转载
BV1xK4y147W6,小晓铭,1497,25500,88734,【凹凸全员】决 战 ！！！,100,原创
BV1qp4y1U7XV,天师道的白山正,2618,59256,88208,一人之下第四季主角【一人之下硬核人物志】王路.正道的光.马仙洪.飞,1972,原创
BV1MK4y1b7b4,荆楚者云,1280,40768,87967,“人间不值得，不值你难过”,76,原创
BV1YA411i7Gc,解风催龙羽,2136,52708,86289,【斗罗奇侠传】用仙剑三的方式打开斗罗大陆！,193,原创
