视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV16K4y1477L,童颜泡芙,446,118583,142887,原著党哭惨了！为何这部改编动画触犯众怒？硬核分析！,150,原创
BV1LV41167AZ,喜欢剪辑的萌特君,3573,76766,137362,【百万剪辑】为什么做的再好，也没人看呢，我放弃了。,262,原创
BV1Sk4y1q7AQ,凌诺雅,1029,71574,110081,【国漫公司】中国第一漫画平台，抄袭风波，融资10亿，1000万粉丝的90后女总裁，人各有志，我们现在谈梦想还是谈钱？,1926,原创
BV1jZ4y1H76C,天罗喵,492,72099,104966,“对不起，我有孩子了”,87,原创
BV1rz4y1X7xm,玩偶菌,217,86600,96920,超高评分9.8，口碑炸裂万人推荐，来看看吧。【大理寺日志】,402,原创
BV1RK411p7A6,喵太社,2125,30375,82413,《大理寺日志》超 帅 踩 点 ！,40,原创
BV18z4y1X7bG,野灿baka,77,72045,78486,说什么王权富贵，最后还不是大猪蹄子一个【无心嘴炮】,86,原创
BV1ev411B7Ec,橘子炸成汁,285,58295,70043,前世今生！新造型直中心脏！恭迎蓝银皇！觉醒后太帅了！,126,原创
BV1K54y1z7Br,动画魂-Anitama,1661,41154,65576,最终话回炉再造？打戏炸裂！历史考据细致入微，国产动画绝对良心之作,215,原创
BV1Va4y1e7ii,二次CARTOON,829,28085,60865,一首【吹灭小山河】带你撩遍人间盛世美颜！！！,73,原创
BV1ZK411n7Wx,陈雅楠cyn,290,39975,52046,史上最强七月新番，神仙打架，国创新番最多的一个季度，追了,313,原创
BV1N5411Y7uL,恺翔kay,592,16197,47451,【凹凸学园】假如学园里有黑帕,260,原创
BV1Ri4y1G7sf,-TS映画-,475,21045,43233,“回眸一笑百媚生，六宫粉黛无颜色”,47,原创
BV1GZ4y1p7yk,本丑男长命百岁,314,29156,40729,不是所有的动画片都是幼稚的,80,原创
BV18b411e7kt,你妹西天取金,782,19292,36682,灰太狼：我颠覆了整个世界，只为换你一次回眸,269,原创
BV1dv411B7xG,玖紫星,129,27187,35068,【4k】我要是萧炎，第一个怀孕的就是云芝了！,46,原创
BV1op4y1U7fc,日尧双习,596,7061,34148,雷 狮 不 要 心 动 挑 战！限时1分48秒！你能坚持多久？【凹凸世界/勉强踩点燃向/雷狮个人】,130,原创
BV1jK411H7PJ,Time时代化,1188,15427,33512,玄机奇侠传3《生生世世爱》（加长版）,39,原创
BV1Lg4y1q7jK,霍顿,313,18709,31888,喜羊羊原来可以这么燃,115,原创
BV1Rz4y1Q7XV,sky皓月星空,4,30291,30850,唐三蓝银皇觉醒、新形态帅炸！,7,转载
BV14f4y117BU,开心超人联盟,656,10640,29516,十年鎏金，不忘初心！开心超人联盟十周年高燃对白混剪【Lyric MV】,254,原创
BV1bZ4y1W7hX,姬弦-zy,296,18960,29037,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,36,原创
BV1fC4y187gR,她说贾斯汀姓贾,404,14633,27620,“ 算了吧，回不去了 ”,20,原创
BV1af4y1y7QL,少年不知年少,198,18837,25894,我终于发现了少卿是什么品种的猫！,39,原创
BV1ga4y1e7rJ,懒惰成病,481,5884,24830,【凹凸世界】知道为什么他们鞋子那么厚吗？,60,原创
BV1ev411B7pd,视美影业,268,18049,24390,《民调局异闻录》动画 角色宣传片——杨枭,55,原创
BV19z4y1Q7aA,YuAn丶Meng,306,16277,23279,《三国演义》动画OP—梦在燃烧（重置）,50,原创
BV18g4y1i7EW,白蛇小白,117,16449,22884,小时候以为是喜剧，长大后才发现全是刀子！！！,35,原创
BV1cK4y147r4,Willette匪石,307,6660,22742,【大理寺日志/崔七】【同人AMV】October & April‖这份命中注定的爱,24,原创
BV16K4y147vc,哇周某人,351,5411,19094,《大理寺日志》原来可以这么燃！,41,原创
BV1Rt4y1X74x,情圣的游侠,32,13313,17630,遮天纯cg动漫人物群像,24,原创
BV1JV411k7MP,过路de人,13,14086,17550,小时候以为他会回到我们的身边，长大后发现是我自己太单纯了,17,转载
BV19A411i7wG,奇思Cheers,222,11257,17455,这部年度大热门的豆瓣高分动画！竟收获无数观众的泪水和笑声！【国漫槽推荐16】,130,原创
BV17T4y1J7Nw,喜欢数码的陈同学,278,7940,17164,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,102,转载
BV1Xk4y167hy,黑毛山猫,172,10515,16711,少卿这么可爱，不如我们……,11,原创
BV1u54y1z7zc,数据库kira,70,12426,15820,宝藏神番，今年必看的国内佳作！根本停不下来,36,原创
BV1aV411r7B6,超神学院黑甲彦,115,10632,15686,恭 迎 昊 天 冕 下 ！,38,原创
BV1mx41127a2,灰暗的蜗牛,195,9924,15504,谁说国漫没神曲？第一弹,239,转载
BV1Az411v77X,弓妹,207,10401,15104,弹珠传说主角专属BGM(2020),11,原创
BV1B7411H73q,-瓜哥-,164,8114,14567,“我见众生皆无意，唯遇你动了情”,51,转载
BV1XQ4y1A7Uy,你就宠她吧,140,8917,14532,小时候看笑话，长大了看真实,20,原创
BV1pf4y117vQ,5毒士,356,9629,13997,深度解析：什么是全性？全性变成现在这样竟和孟子有关？！,68,原创
BV1E5411W7V5,4518675,2,11940,12969,这是一个未成年少女该有的战斗力吗？！,5,原创
BV1J54y1z7sH,垫底选手Jeremy,10,11906,12955,大大怪:我曾是个王者，直到我脑袋被门夹了,7,原创
BV19741157XJ,野哨鼠,56,10716,12924,火  影  忍  羊,13,原创
BV1gg4y1q7EK,菌子笑笑,203,7030,12898,“他还没回来，我不想嫁。”,7,原创
BV1Qt4y197Gn,枭雄112,5,12280,12804,斗罗大陆112超前点播：唐啸、唐昊成为昊天宗双“斗罗”，唐昊与阿银结拜,4,转载
BV1Nz4y197LS,bilbil嘴炮,63,9353,12452,终究还是把动漫中的那些话带进了现实啊！,13,原创
BV1VE411L7AC,柠檬心不酸na,52,8388,12357,只要反派长的好，三观跟着五官跑,14,转载
BV1Mt411a7bd,妖主杀生丸,82,8333,12116,高能！国漫中的十大经典台词,126,原创
BV1iC4y187gb,萌虎菌,70,5092,12042,【凹凸世界】格瑞被迫上幼儿园,60,原创
BV1J7411f7k8,小鬼怪怪呦,116,8348,11934,这首曾拯救无数人的《你的答案》 你听过吗？,56,原创
BV1QZ4y1H7z3,白色的橘猫,220,3623,11858,什么叫同人逼死官方的混剪啊？战术后仰【凹凸世界第三季完结篇/极限踩点/无缝衔接/热血/白金】,19,原创
BV1ZQ4y1N7P2,墨倾池-,6,10410,11559,没戴帽子的比比东应该就是这个亚子,2,原创
BV1ip4y1U7w7,柿子鹏,3,11280,11514,【斗罗大陆】118集，胡列娜直接脱衣为闯地狱路,4,原创
BV1aj411f7a6,可口的红糖,169,6403,11331,看的我热血沸腾，看完你可能要重新认识喜羊羊,53,原创
BV1Yt411x7gQ,无毒放心奶,52,8642,10509,B站最火动画停播？马化腾投22亿合作打出迷之操作？中国网络动画要变天？,23,原创
BV1tT4y1J7aQ,不正经的小说家,0,10232,10412,斗罗大陆：唐三是蓝银皇，小舞是柔骨兔，女儿为何是光明女神蝶？,3,原创
BV16J41157VY,锦书致南辞,106,5200,10338,“喜见你眉秀似山，眼拥星霜”,9,原创
BV1ot4y1X7G5,Comet-Charlotte,153,4946,10043,【京剧猫】就踩亿点点,8,原创
BV1M4411S7Ao,不正经老丝,41,8107,9983,笑死我了，这部名字都是抄袭的国漫是有多烂,71,原创
BV1XJ411G7hh,灰太狼办公室,96,6601,9916,【狼羊抖肩舞完整版】 ”这一次，我可以抖更久！”每日亿遍抖起来！wow~,13,原创
BV1YD4y1Q78M,茶啊二中,91,8146,9660,你上学都因为啥迟到？,13,原创
BV1MK4y1b7b4,荆楚者云,135,4098,9544,“人间不值得，不值你难过”,6,原创
BV1NV411C74q,南城科梦,28,7623,9318,初看不识片中意，在看已是片中人,29,原创
BV1nD4y1Q7gR,水墨丹青绘夕颜,68,4900,9255,“猫爷，这周咱们不更新了，准备去哪玩啊”,4,原创
BV1uz4y1X7ts,嘿叽叽叽叽,444,2416,9167,【短片】霹雳童子,14,原创
BV1if4y1y7Vq,凉凉的云川君i,54,6726,9060,长大了，也就明白了，所谓人生,11,原创
BV1vA411v7FJ,呆强小宝宝,19,6930,8802,花花敢调戏王七，崔倍劈死你！！【王七x崔倍】实力宠啊！！,3,原创
BV127411r77p,无双贤者,159,5167,8629,兔子的千层套路,24,原创
BV1UA411i7WD,念一安,2,8297,8506,【非人哉】大士是爱喝咖啡的“爱马士”！九月变马，烈烈“一见倾心”~,0,转载
BV1HT4y177A5,苏八拉西爱小新,43,7279,8463,唐朝究竟有多开放？小猫咪都能在朝廷当官？,27,原创
BV1xK4y147W6,小晓铭,124,2363,8438,【凹凸全员】决 战 ！！！,2,原创
