视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1DC4y1h7JH,-TS映画-,29282,819215,1489746,“两情若是久长时，又岂在朝朝暮暮”,1545,原创
BV1454y1B7DG,天罗喵,7198,1207975,1173805,“和我争 你有资格吗”,289,原创
BV1XQ4y1A7Uy,你就宠她吧,20554,703637,1136878,小时候看笑话，长大了看真实,2724,原创
BV1Bz4y1Q7PV,本丑男长命百岁,7127,1322554,1087008,小时候听里面的台词和现在的感觉不一样了,1393,原创
BV1bt4y1y7Bc,武当蒋师莫,35770,585261,997562,一人之下3巅峰打戏真人版 武当蒋师莫cos武当王也 燃爆动漫经典！,1036,原创
BV1RK411p7A6,喵太社,23628,417473,996943,《大理寺日志》超 帅 踩 点 ！,840,原创
BV1gg4y1q7EK,菌子笑笑,13883,478015,819306,“他还没回来，我不想嫁。”,747,原创
BV18b411e7kt,你妹西天取金,17254,427097,742231,灰太狼：我颠覆了整个世界，只为换你一次回眸,6696,原创
BV18g4y1i7EW,白蛇小白,4698,627258,739046,小时候以为是喜剧，长大后才发现全是刀子！！！,1361,原创
BV1j5411x7zz,玖紫星,9182,374477,728596,这大概就是东方之美了,1251,原创
BV1aV411r7B6,超神学院黑甲彦,7754,537489,658527,恭 迎 昊 天 冕 下 ！,3066,原创
BV1Ff4y127Af,二次CARTOON,5941,484464,626939,这大概就是外国人不懂的中国美了！,807,原创
BV1bZ4y1W7hX,姬弦-zy,7348,456627,598133,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,836,原创
BV1Nz4y197LS,bilbil嘴炮,1996,493848,569574,终究还是把动漫中的那些话带进了现实啊！,399,原创
BV17T4y1J7Nw,喜欢数码的陈同学,9196,269584,563156,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,2699,转载
BV1pZ4y1p7B2,她脚踝银铃响了,8302,231362,511590,“一直逃避入世的我 哪有资格谈出世”,485,原创
BV1Lg4y1q7jK,霍顿,4222,397426,506212,喜羊羊原来可以这么燃,1797,原创
BV1at4y1y7bP,小孩子才做选择AWA,5671,506654,506030,史上最早官方认可动画 ？？？,6317,原创
BV13D4y1Q7E4,哇周某人,3576,431799,505108,“这个伤是我千辛万苦才等来的”,235,原创
BV1Xk4y167hy,黑毛山猫,6333,353189,488054,少卿这么可爱，不如我们……,554,原创
BV1Vg4y1q7Ad,宅集社,1520,571122,487958,7集播放破亿！均集破千万！7万人评分9.5！故 我在！,890,原创
BV1B5411W7KZ,月晓酥,1180,562927,478230,有种“逆生长”叫做小鹿姐姐，最后一次主持节目，让人怀念的动画梦工厂还记得吗,1986,原创
BV1Vz411i7J7,苏八拉西爱小新,2338,464706,461905,老板进精神病院？还请大仙在公司跳大神？这部三年前的国漫良心为何突然暴毙？,1711,原创
BV1D54y1D7VJ,台词向de雨辰,9419,104719,429457,你真的看懂了《一人之下》吗？（评论区见～）,233,原创
BV1Sz4y1973x,二代二代,1577,358615,429239,国漫认真起来能有多NB？！,1296,原创
BV1B7411H73q,-瓜哥-,4529,242933,426750,“我见众生皆无意，唯遇你动了情”,354,转载
BV1BC4y1p7Ty,靖慨,2826,299284,399157,老天师的沙雕时刻,958,原创
BV1mx41127a2,灰暗的蜗牛,6299,258129,395882,谁说国漫没神曲？第一弹,7702,转载
BV1xV411r7KM,陈雅楠cyn,4000,258950,393349,国创区第一个 4K MAD，年度最佳中国风 ——「千里之外/风灵玉秀」,375,原创
BV12z4y1Q7vx,久远丶酱,983,403140,388452,被喷到下架整改，竟逆袭到了9.7分，值得一看的黑马佳作。,344,原创
BV19D4y1D7d1,纵孤游,3126,336678,382855,“我应该，也是有用的吧”,291,原创
BV1vA411v7FJ,呆强小宝宝,1207,299326,365434,花花敢调戏王七，崔倍劈死你！！【王七x崔倍】实力宠啊！！,369,原创
BV1cK4y147r4,Willette匪石,5904,98238,361874,【大理寺日志/崔七】【同人AMV】October & April‖这份命中注定的爱,383,原创
BV1Sk4y1q7AQ,凌诺雅,3867,247549,353477,【国漫公司】中国第一漫画平台，抄袭风波，融资10亿，1000万粉丝的90后女总裁，人各有志，我们现在谈梦想还是谈钱？,5257,原创
BV1QZ4y1H7z3,白色的橘猫,9070,103857,352220,什么叫同人逼死官方的混剪啊？战术后仰【凹凸世界第三季完结篇/极限踩点/无缝衔接/热血/白金】,744,原创
BV1VE411L7AC,柠檬心不酸na,1222,272557,349779,只要反派长的好，三观跟着五官跑,765,转载
BV1eA411v7z9,太华剑仙,1669,280848,349481,小时候觉得小果叮是大坏蛋，现在才发现，这不就是长大后的我们吗？,394,原创
BV1qp4y1D7vn,心若為誠,4361,185666,343920,【吹灭小山河】 这天下，风情千万般，不及你一眼,544,原创
BV1ZQ4y1N7P2,墨倾池-,502,333194,338192,没戴帽子的比比东应该就是这个亚子,209,原创
BV16J41157VY,锦书致南辞,4002,178093,337152,“喜见你眉秀似山，眼拥星霜”,267,原创
BV1JV411k7MP,过路de人,482,274302,335259,小时候以为他会回到我们的身边，长大后发现是我自己太单纯了,469,转载
BV1jK411H7PJ,Time时代化,12226,164173,332252,玄机奇侠传3《生生世世爱》（加长版）,601,原创
BV1aj411f7a6,可口的红糖,5159,191643,327458,看的我热血沸腾，看完你可能要重新认识喜羊羊,2351,原创
BV1gg4y1v7mF,拾二染,4676,148096,316281,建议改为：真北京人儿 王也 真呢道！！,1853,原创
BV1MK4y1b7b4,荆楚者云,4826,138759,314546,“人间不值得，不值你难过”,408,原创
BV1af4y1y7QL,少年不知年少,2212,226333,313407,我终于发现了少卿是什么品种的猫！,430,原创
BV1Xz411i74q,于赓哲老师,5096,224758,306786,武则天被猫打脸？丘神纪真实存在吗？历史教授告诉你【于赓哲】,3719,原创
BV1Ri4y1s71R,橘子炸成汁,2697,156921,285705,这才是风情万种！魅惑众生！只勾你的魂！,267,原创
BV15p4y1D7WC,丑角之花,3303,194402,283483,"""一生娶一人，一诺一卿颜""",284,原创
BV1EK411p7KA,咸鱼妍妍不翻身,6035,68472,281306,【安雷】堕入黑暗－剧情/踩点/台词/燃向,430,原创
BV1J7411f7k8,小鬼怪怪呦,2365,195308,277609,这首曾拯救无数人的《你的答案》 你听过吗？,1511,原创
BV1Xp4y1D726,哔哩哔哩国创,2076,147256,276794,刻进DNA里的画面——“这故事，就得从一只鸽子说起了…”【BILIBILI 11周年】,437,原创
BV1Mt411a7bd,妖主杀生丸,2266,192695,274768,高能！国漫中的十大经典台词,2281,原创
BV1Vp4y1X7hh,虞大青,2566,145154,274083,【王也：有钱使人变态】,213,原创
BV1Ds41177ct,果叮十六寒,2643,158045,265975,那些年，果宝特攻玩的梗，你知道多少？,1489,原创
BV1vZ4y1H71j,关云猖,1243,236313,264517,常年霸占漫画排行第一的作品完结了，连载九年承载无数人青春的《尸兄》落幕了！,511,原创
BV1Xg4y1B75H,枫孑轩,3638,154129,264164,和废物划清界限！,230,原创
BV1wK411s78B,七创社7doc,2044,129538,261325,凹凸世界5大人气角色被迫营业，无数弹幕在线互动！,710,原创
BV1LZ4y1H7dW,山鬼湘君啊,3940,119072,260075,臭男人果然都是见一个爱一个！,774,原创
BV12E411J72Y,To_gether_,560,213723,254560,琪琳花下死，做鬼也风流！！,121,原创
BV1fC4y1s7A4,永无叙,1433,156821,244505,现在迎面走来的是我的救命恩人方队——玄机女团！,533,原创
