视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1sk4y1q7CV,减肥动力贩卖机,2592,292009,323508,【仙女和我】这可能就是仙女吃饭跟我吃饭的区别吧!——(减肥累了就娱乐一下叭）,799,原创
BV1nA411e7Ba,哇哇哇妹,13504,227187,318725,披荆斩棘（油腻辣眼）的哥哥，我不可以！【哇妹】,6164,原创
BV1vA411i7Kr,蔡敏敏,3952,164137,292571,太辣了！呼吸机在哪里？｜刘雨昕 赵小棠、冯若航、曾可妮、符佳 长隆练习室性感舞蹈｜《Hope you do》《Coco Chanel》｜青春有你2,11153,转载
BV1Fa4y1e7ZN,是橘里崽崽,1025,141657,209176,在那个没有滤镜的年代？他们也曾是惊艳无数少女的鲜肉男神？！,888,原创
BV1PV41167fd,挽眠新,956,151943,187737,【迪丽热巴】不好意思，姐就是比你美,472,原创
BV1LV41167FB,KPOP日常_同更青创,62,165226,164612,姜贞羽回来了！参加创造营2020总决赛！做最后的道别！,123,转载
BV12K4y1475K,哔哩哔哩晚会,564,148750,161100,B站夏日毕业歌会丨沈以诚即将转型游戏区UP主？,419,原创
BV1aC4y187LY,哔计划,1110,159319,158675,【哔计划】秦岚：老来得粉，分外耿直！娱乐圈的事有啥不能说的,987,原创
BV1NV41167zE,综艺哔哔姬,542,162267,156040,《动物圈的问号脸》第4期： 恐怖箱！ 中国boy吓出表情包,1603,转载
BV16t4y197EF,冯毛毛,61,142110,148222,【秦昊】张东升空降直播间  一秒吓退所有观众,341,转载
BV1FZ4y1p7SX,原叶绿,45,135543,141433,普普本质：i张东升罢了,43,原创
BV1kv411B7iP,明星B街区,941,121427,138986,笑裂了！张雨剑反虐雨哥，造句鬼才开口就是大招！【UP！大明星】,1295,原创
BV19z411e7Hn,非正式会谈,1826,132925,137720,【非正式卧谈】第11期：有颜任性！年度最佳表情包贡献大赛,8625,转载
BV1Ut4y197L6,荒野乱斗BrawlStars,2690,73822,123315,【荒野乱斗】和LISA一起乱斗我型！,2138,转载
BV12C4y187L7,歪果仁研究协会,908,105464,119166,外国人猜乘风破浪的姐姐有多大？知道真相的他们。。。,563,原创
BV1JK4y1s7Sh,木同康康,3412,85348,117884,创3成团位预测！总决赛谁更有优势？综艺里的人设重要么？做cp对选秀会有影响么？家长创始人来到现场的背后意义？【创造营2020reaction康康复盘ep17】,7338,原创
BV1SK4y1477d,哔哩哔哩弹幕网,1854,79921,117610,BILIBILI 11周年演讲,2644,原创
BV1zK4y147qG,K酷老头儿,5,108642,112862,看到秦霄贤的狗，范丞丞一脸震惊-为啥我家狗没有这情绪！.f622,11,转载
BV1ya4y1h7KG,TF家族,2347,60572,107540,【时代少年团】TNT《夏季运动会主题PB》拍摄花絮,4097,原创
BV16a4y1Y7gG,废名何苦,1,102077,103714,程潇得知与张艺兴合作，表情亮了，主持人：冤家路窄？,0,转载
BV1rD4y1Q791,DenQ来了,268,86789,94211,被成员欺负了10年..？ AOA前成员珉娥爆料 令人惊讶的退团理由！ DenQ,897,原创
BV1zD4y1Q7wP,周二半夜,21,79624,84968,青春环游记2:真心推荐不高兴的看这段，我是真的快笑哭了！真的太好笑了！这期真的全程都是笑点！,73,转载
BV1vT4y17725,远鉴字幕组,808,12004,83271,《汉密尔顿》 Hamilton (2020) 英文字幕 音乐剧 官录现场,985,转载
BV1Z54y1i7GF,电影频道融媒体中心,175,66248,78223,【隐秘的角落】荣梓杉：朱朝阳不是一个可怕的人,263,原创
BV1vf4y117WH,芝士小饼干O_o,236,68057,77741,韩国从未有过的脸蛋？！韩网热议：中国神颜火爆出圈！因为生图美貌在韩国引发轰动的赵丽颖，随便一拍的生图美到极致，这颜值真心大发啊,145,原创
BV1n5411Y7q9,旧故の雪,2649,21563,75496,【蔡徐坤&刘雨昕】双C高燃舞台混剪（一定要看到后面！）,1156,原创
BV1jV41167Hu,彤碗,15,72578,74912,各大名山景区已换标语  禁止秦昊入内   哈哈哈    看过这个影视的都知道这个梗,39,原创
BV1kk4y1q74Y,李佳航MVP,954,61043,72488,【李佳航】大家好，B站我来了！,226,原创
BV1pf4y1173r,宝岛姑娘,13,69413,71437,台湾节目：剧情大逆转！大陆网友笑翻天，腾讯被假的老干妈骗了！,187,转载
BV1Az411v7bo,剁椒牛男,46,62592,70380,上海陆家嘴国金偶遇迪丽热巴抢拍。第一手视频,184,原创
BV1tA411i78z,WayV_official,5957,21738,69954,[威神V/WayV] [威神V-log] 待机的时候唠点啥？👂🏻👀👂🏻,1097,原创
BV1hv411B7fz,小黄人爱追星,29,62958,66922,郭麒麟的知识储备真不是盖的，在《奔跑吧》上演最强大脑,22,原创
BV14A411i78s,exo的小宝贝耶嘿,234,50363,66812,【迪丽热巴】“不好意思 姐今天又上热搜了 不小心又美到你了”,197,原创
BV1Sf4y117fY,预言家Alice,656,58510,65659,伊能静拉踩宁静？贬低王丽坤王智实锤，她还能洗白吗？,518,原创
BV1RK411n7ws,周深资讯站,791,47541,65226,【周深】《经典咏流传》第三季 第7期 预告：周深唱响《摸鱼儿·雁丘词》，传承文化之音,340,转载
BV14T4y1775H,爱豆安利所,8,59848,63827,蔡依林身材上热搜了！我不允许这个视频还有人没看过！看完的我只想吼：O！M！G！,47,转载
BV1oZ4y1M7MT,鲸鱼要好好学习呀,697,54495,63660,【RM忍笑大挑战】第六十期：我没事我很好，看我笑得多开心啊,353,原创
BV1Zz411e7wF,竹财辉之助,1754,41522,61177,大家好，我是竹财辉之助，我来b站了！,370,原创
BV1Sf4y117KK,街头社区,3,57126,58160,《说唱听我的》-欧文终于出现！廖效浓迷倒导师？7月5日看点,27,转载
BV14v411B763,爱豆鸭,107,42513,57358,THE9求生欲有多强,92,原创
BV1it411N7Ao,運上弘菜,10,53993,57002,山本瑠香--求求你别晃了 我晕,2,转载
BV1bC4y187QH,网易新闻,56,54488,56965,高晓松直播翻车：被网友围攻叫骂，把直播都骂停了...,159,原创
BV1Nf4y117pd,朝阳区石小猛,548,49963,55325,闲聊一下，黄龄在“得不到的爱情”中镜头很少，蓝盈莹C位很多。,1233,原创
BV1mK411n7ME,林凡Marco,3438,18311,54363,【林凡】凡凡子来B站报到咯！听听我为你们设计的rap如何？,2233,原创
BV1Wz4y1X7y2,SNH48官方账号,1472,27656,53916,【SNH48 GROUP】X《炙热的我们》训练日常VLOG·第五场《大艺术家》,4251,原创
BV1E5411Y7Qv,二酒真的十八,28,50621,51820,【浪姐】终于开撕了！丁当发微博@全员12个小时无人回应，曾经内涵全队，不删队友的恶评,94,原创
BV13Z4y1p7dY,顺口溜花手,1785,25516,51635,当刘雨昕被欺负时他们的反应,520,原创
