视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1SK4y1477d,哔哩哔哩弹幕网,168458,5916450,4708792,BILIBILI 11周年演讲,186782,原创
BV1Ri4y1s7Xq,贝尔-格里尔斯,101180,3572781,2130853,【贝爷】探索者们，我开通B站账号了！让我们一起永不放弃！,14005,原创
BV1BZ4y1H7fS,小馒超人,4403,535969,1632852,【防弹少年团】1080p中字完整 200614 线上演唱会 online concert complete ver. - BANG BANG CON,36414,转载
BV1yg4y1B7FZ,太白兔乃糖,25105,1506454,1584598,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,5292,原创
BV17V411k7W4,青春环游记,34516,790853,1339274,【青春环游记】郎朗周深的《幽灵公主》绝了！天籁之音+绝美琴声我能循环一万遍,14572,原创
BV1ct4y197sJ,减肥动力贩卖机,30790,1058399,1307383,【每日减肥动力】进来看韩国女演员的身材管理第三弹!,3593,原创
BV1QZ4y1H7xN,颜值爆表啦,13375,1930452,1299453,【婊气群像】老娘当年火的时候你还不知道在哪里！,2533,原创
BV1Fi4y1t7F7,我喺非凡哥-麦长青,56019,1787984,1244897,【麦长青】真当我“梁非凡”不上B站,5384,原创
BV1K5411Y7K4,犬来八荒w,52090,1334593,1166322,犬来八荒  | 滴米不漏,9128,原创
BV17f4y127Fp,KPOP日常_同更青创,9245,1297347,1151531,全场最佳！姜贞羽《时候》二公直拍！仙女下凡！眼神太杀！创造营2020,11088,转载
BV1NK4y147rm,TF家族,26693,853931,1108753,【TF家族】2020 TF家族夏季运动会,250424,转载
BV19z4y1Q78A,面包鸡蛋卷你要吗,12827,582114,1031374,“你要允许一些人，有安静的青春。”,979,转载
BV1bD4y1D7Jj,WNS_WeNeedBTS,9604,368191,1028917,【WNS中字】200608 BTS Dear Class Of 2020 毕业典礼演讲 & 表演 Boy With Luv+春日+小宇宙,18550,转载
BV1KK4y1b7yr,Bella贝拉酱,25908,2059844,1018319,失望！三观扭曲还浑然不知的【跑男】终于知道为什么越来越烂,42222,原创
BV1Zt4y1C7Br,Freedom喜欢,7281,450264,988329,教科书级“痞笑”  表情管理高手  韩国最妖孽男爱豆！！,1282,原创
BV1ZE411h7Zh,TBS猪局,3400,406731,960022,【麻将馆中字】有点心机又如何 第一弹 2019.09.27 田中みな実 弘中綾香,7781,转载
BV1MK4y1b7J5,每日沙雕事件,5261,1309417,952016,【明星大侦探】这综艺竟然公开搞hs！明侦开车名场面第二趴，车速太快系好安全带！,6191,原创
BV1ev411B7QA,娄艺潇,39324,1202865,951311,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,7205,原创
BV1Fg4y1q73R,陈坤Aloys,22301,2058960,913181,大家好，我是陈坤，我终于找回自己的B站账号了！,8166,原创
BV1PK411W77K,THE9-赵小棠,30053,799509,908773,Hi，我是THE9成员赵小棠，一个很爱B站的小UP主！,8351,原创
BV1aK4y147DW,当归阅读,3149,699735,890955,李玫瑾老师教男孩子谈恋爱：不能一次性对女生太好了，慢慢来。,1158,转载
BV1kk4y1q74Y,李佳航MVP,28961,1380889,885716,【李佳航】大家好，B站我来了！,9137,原创
