视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1yt4y1X75B,哔哩哔哩弹幕网,196470,7151680,4268576,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,36566,原创
BV1qz4y1X7ss,怪兽电台MonsterBlog,124000,2031272,3177726,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,5462,原创
BV1zp4y1U7Z5,狂阿弥_,148315,1853948,2672910,一个人，造出让40亿人震碎的夜晚！,17531,原创
BV1Ef4y117cS,司墨尧smile,73584,1515987,2062221,《这个暑假我没时间学习却考了第一》,2794,原创
BV19k4y1q7e7,小片片说大片,85990,2665064,1759112,【片片】隐藏结局全解读！国产悬疑封神作！最终真相令人窒息！过瘾解说《隐秘的角落》大结局,30579,原创
BV1pv41167CH,wrizedm,67476,967834,1429877,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,1999,原创
BV1Nk4y1z7G2,盼盼罚吃小面包,58490,720555,1401382,妈妈问我为什么要跪着看手机！,1347,原创
BV1YC4y1871D,电影最TOP,73699,782291,1383690,电影最TOP 152: 论BGM的重要性，盘点十位影视配乐大师,36217,原创
BV1VK4y1s7Wd,1900影剧室,19444,1657731,1116182,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,6834,原创
BV1xg4y1v7vP,锦书致南辞,20192,681328,1115530,“你太干净了，你不懂。”,1035,原创
BV1J5411Y7Rt,一只磨人的小茄子,29093,457370,1062496,魔 法 盛 宴 ！麻 瓜 慎 入！,1289,原创
BV1Dp4y1U7zC,咕噜咕噜奶泡泡,23916,448032,1037259,【隐秘的角落||朝阳东升】自己按门铃自己听,1130,原创
BV11f4y127AC,喵内゛,18813,890100,1011302,每天一遍，防止早恋,2388,转载
BV1Fa4y1e7tJ,中队长同志,40114,567887,973449,《隐秘的角落》最后的秘密:电影感的真面目?干货向No.1解读【中队长拉片笔记】,6757,原创
BV19p4y1U7QU,张大帅太帅,3650,1480766,860408,十八岁的赵薇到底有多惊艳，收情书都是按麻袋算的！,2712,原创
BV1QK411n7hG,朽木木木哒,14578,814933,800972,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,4313,原创
BV1K5411Y7Rz,可挽澜之,10829,554591,798412,这大概就是外国人不懂的中国美吧！千古风流，尽付漫漫红尘中。,1607,原创
BV1vT4y1776v,EX休,5764,672077,759501,这玩意儿有哪个男生不喜欢,635,原创
BV1KZ4y1u7WX,刘哔电影,19720,844239,744946,【刘哔】搞笑吐槽YY神剧《国王：永远的君主》！脚踩日本拳打中国，还想让我们送大熊猫！你咋不上天呢！,16899,原创
BV1BK4y147CL,新加坡小笔尖,8865,642249,736733,16个细思极恐的细节，编剧导演简直牛逼到戳天了,3612,原创
BV1mi4y1G7uv,老邪说电影,5623,1047151,723800,【老邪解说】《隐秘的角落》全集解析！看完头皮发麻的年度神剧！,2274,原创
BV1sz411i7Uh,南南forever,2815,716643,703206,【宁静】老娘生而高贵,466,原创
BV18t4y197iy,异界万花筒,5197,875126,694278,贪婪的尽头,3965,原创
BV1YV411k7E5,木鱼水心,6780,960802,673014,【木鱼】盘点这几年火爆全网的六大名场面,7881,原创
BV1rT4y1775K,虫哥说电影,26896,558140,633848,【虫哥】国产顶配家庭狗血神剧《家和万事兴》，你要的所有狗血剧情这里全都有~~,13037,原创
BV1zf4y117Xr,佑一吧,12409,527930,622461,用“今日说谎”的方式打开《隐秘的角落》（上）,1801,原创
BV1tv41167Xd,奥利奥加老干妈,508,932763,619003,不要随便欺负女孩子，未来她可能是你的老婆，你就死定了！,176,原创
BV1H54y1z77c,鉴赏帅哥小分队,1522,572912,606571,[朱朝阳严良版]新宝岛,630,转载
BV1xD4y1D7CY,花鱼仔子,2487,477259,599550,这就是我能想象的海王的样子 ——又纯又野的姐姐,218,原创
BV1ek4y1q7M8,就叫酥饼大人吧,15455,374018,593305,”这 将 是 一 场 中 国 武 术 盛 宴“,632,原创
BV1yv411B7Rk,贾尼玛大魔王,24407,310109,592512,【隐秘的角落】全网最强真相剖析，让你大呼卧槽！,5652,原创
BV1wt4y197fa,eva榴莲糖糖糖,1997,336684,585090,【隐秘的角落】花絮幕后合集,6892,转载
BV1ND4y1S75u,美浓轮泰史,13777,519384,574986,日本演员的中国梦（日本人俳優が追いかけるチャイナドリーム）,2207,原创
BV1Sz411v7MZ,报告学姐,1410,692590,568578,【破产姐妹】渣男，这对美胸与你无缘了！,481,原创
BV1uZ4y1x77J,海棠家的大肥鱼,8591,370920,565229,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,1940,原创
BV1UK411n7uK,老李呀の,4698,607999,561420,谁能想到戏子的功夫是真的，不是拍出来的。,375,原创
BV1zk4y1q7cU,听wo姐说,28531,324677,559771,消失的19兵团，代号596的绝密行动，希望炎黄后辈血仍未冷！,0,原创
BV1FJ411V7gy,一本正经的小方,11066,326519,537308,【处处吻】 愣着干嘛 进来白嫖啊,600,原创
BV1Ai4y1V7Cq,EcsonChan,907,550668,518605,八零九零后的你们是否还记得这则广告,3173,转载
BV1ET4y1773Y,阿斗归来了,14613,463017,517549,【阿斗】窗户反锁，门外有人，女人在房间被神奇的杀死！凶手如何做到，悬疑女王阿加莎·克里斯蒂小说改编！《古墓之谜》,3909,原创
BV1Dg4y1v7Fv,观察者网,4442,588842,516389,以理扶人：李子柒“变”越南人，越南偷中国文化上瘾了？,14603,原创
BV1vA411i79v,冯二宸,574,563429,515339,早知道夫人喜欢野的，我就不装了,383,原创
BV1xD4y1Q7c9,张倚和,2233,430729,508821,“我叫苏落盏”,793,原创
BV1Kz4y1X7tF,文西与阿漆,4031,564897,493508,这个抗日神剧，把劳资方言都气出来了，遭不住了！,2552,原创
BV1vK4y147tZ,迷影至下Filmlast,10735,374284,490545,朱永平怀疑过儿子吗？张颂文为你亲自解答！【第一排观影08】,2523,原创
BV15Z4y1H7Sy,改名都是重名,230,590666,485058,交梁2 老婆穿上蕾丝，逼老公交公粮，最后孩子救了老公一命,499,转载
BV1sf4y117nL,开心嘴炮,13913,356949,481709,真有那么暗黑吗？我选择相信童话！《隐秘的角落》的优秀，更在现实意义,4242,原创
