视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Ef4y117cS,司墨尧smile,25168,545827,954258,《这个暑假我没时间学习却考了第一》,997,原创
BV1ND4y1S75u,美浓轮泰史,13640,518614,573355,日本演员的中国梦（日本人俳優が追いかけるチャイナドリーム）,2165,原创
BV1qz4y1X7ss,怪兽电台MonsterBlog,7424,160267,352188,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,370,原创
BV17D4y1S7c1,苏瑞ZXX,1926,332405,344503,听说你们女生觉得男生留胡子很丑？？？,1140,原创
BV1rT4y1775K,虫哥说电影,10343,285060,339975,【虫哥】国产顶配家庭狗血神剧《家和万事兴》，你要的所有狗血剧情这里全都有~~,4591,原创
BV1vT4y1776v,EX休,2220,220546,316216,这玩意儿有哪个男生不喜欢,180,原创
BV1YC4y1871D,电影最TOP,12779,155783,306783,电影最TOP 152: 论BGM的重要性，盘点十位影视配乐大师,5065,原创
BV1yv411B7Rk,贾尼玛大魔王,8770,142025,262818,【隐秘的角落】全网最强真相剖析，让你大呼卧槽！,2023,原创
BV1cz411v7SQ,Big笑工坊,6699,210044,261814,【唐唐】最沙雕的大鲨鱼 爆笑吐槽最新神剧《陆行鲨》,1686,原创
BV1pv41167CH,wrizedm,8732,126984,247291,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,257,原创
BV1L5411Y7gr,小片片说大片,1409,213385,225709,【片片】三间密室，三桩谜案！一个小锁匠如何破解最后真相？爆肝解说《上锁的房间剧场版》,984,原创
BV1St4y19777,总有人唱反调i,243,180396,199337,老王放现在也是标准女团门面 台风无敌,114,原创
BV16K4y147Bg,废柴流心蛋,2676,160095,197003,“谁敢碰毒品，我就剁了谁！”,207,原创
BV1Nk4y1z7G2,盼盼罚吃小面包,6409,85071,192141,妈妈问我为什么要跪着看手机！,156,原创
BV11f4y127AC,喵内゛,2504,124301,191664,每天一遍，防止早恋,333,转载
BV1PZ4y1p7HN,边边虎虎,4581,87189,180254,【黄宗泽x平采娜||跨国版掌中之物】上次有点太重口了，这次吃斋,303,原创
BV1yt4y1X75B,哔哩哔哩弹幕网,2863,125682,176209,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,516,原创
BV1sz411i7Uh,南南forever,504,116801,154220,【宁静】老娘生而高贵,60,原创
BV1gz4y1X7HN,老徐咵电影,37,154716,153708,这才叫做天蓬元帅，单挑孙悟空秒杀二郎神，连如来佛祖都拦不住！,315,原创
BV1VK4y1s7Wd,1900影剧室,1203,117651,151648,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,460,原创
BV19p4y1U7QU,张大帅太帅,295,118035,141016,十八岁的赵薇到底有多惊艳，收情书都是按麻袋算的！,203,原创
BV1o7411f73k,少年暖冬,630,101246,128661,这TM要是不火，我。。。我就再想想办法,49,原创
BV1bp4y1U79L,刘老师说电影,380,122430,128072,【刘老师】烂片是怎样炼成的？爆笑解说硬核喜剧电影《灾难艺术家》，揭秘烂片背后的故事！,152,原创
BV1uZ4y1x77J,海棠家的大肥鱼,1678,71634,124674,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,342,原创
BV1H54y1z77c,鉴赏帅哥小分队,273,87115,120429,[朱朝阳严良版]新宝岛,99,转载
BV1ZC4y18726,诗人晓,2411,58340,120334,“而是死于背叛”,48,原创
BV1tZ4y1H7o7,他们叫我魏学长,963,94892,119635,慎重！大学里千万别交这种女朋友,418,原创
BV1JD4y1S7uE,北海渔女,18,117975,118407,朱潜龙：师弟，都是一个师父教的，破不了招啊,34,原创
BV1Fa4y1e7tJ,中队长同志,3850,64825,116519,《隐秘的角落》最后的秘密:电影感的真面目?干货向No.1解读【中队长拉片笔记】,507,原创
BV1zp4y1U7Z5,狂阿弥_,3686,56743,114173,一个人，造出让40亿人震碎的夜晚！,422,原创
BV1ii4y1G7hq,噩梦Crazy,2565,43637,113040,他们 在霍格沃兹 永眠,210,原创
BV1J5411Y7Rt,一只磨人的小茄子,2456,40026,108580,魔 法 盛 宴 ！麻 瓜 慎 入！,101,原创
BV1ek4y1q7M8,就叫酥饼大人吧,2831,55843,106790,”这 将 是 一 场 中 国 武 术 盛 宴“,61,原创
BV135411Y7C7,KaitheBoogeyman,2505,33152,105598,【踩点妖怪|超A转场】迪士尼一姐喊你们进来愣着,101,原创
BV1Dp4y1U7zC,咕噜咕噜奶泡泡,2510,34447,104423,【隐秘的角落||朝阳东升】自己按门铃自己听,77,原创
BV1tV411671o,我喺非凡哥-麦长青,3107,77659,101299,【麦长青X戏里戏外】25年前我出演的《南拳北腿》，竟然有我的古早CP……,706,原创
BV1Ui4y1G78C,丨丶柒羽灬,239,89019,99305,刘皇叔创业未半，中道蹦迪，子龙好言相劝却遭吐口水,83,转载
BV1SZ4y1H7L8,超好看视频剪辑,12,88798,94697,一条鱼也配和我争；淡泊如菊又冷静又迷人的反派长什么样？,149,原创
