视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Nk4y1z7G2,盼盼罚吃小面包,406965,4779199,7214921,妈妈问我为什么要跪着看手机！,10119,原创
BV1pv41167CH,wrizedm,373670,6673722,6697243,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,14823,原创
BV1zp4y1U7Z5,狂阿弥_,415060,4612301,6059893,一个人，造出让40亿人震碎的夜晚！,40425,原创
BV1aQ4y1P7S1,迪亚瓦尔Diaval,341890,2133674,5107677,“罪与罚的无限战争，经此一役，世间再无美利坚！”,8607,原创
BV1yt4y1X75B,哔哩哔哩弹幕网,227621,7817462,4839812,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,44287,原创
BV1qz4y1X7ss,怪兽电台MonsterBlog,124000,2031272,3177726,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,5462,原创
BV1sz4y197L8,DOGE-7,136660,2030304,3090246,我赌你的枪不会唱歌,4660,原创
BV1CC4y1a7ee,木鱼水心,106698,1228225,2871288,【木鱼微剧场】《红楼梦》（全集）,32174,原创
BV1kg4y1q7JN,女王泡面,137642,1215359,2519808,小性子又爱哭的林黛玉 凭什么是第一女主？林黛玉好在哪里？究竟如何死的？红楼梦的结局是什么样？,27089,原创
BV1Ef4y117cS,司墨尧smile,73584,1515987,2062221,《这个暑假我没时间学习却考了第一》,2794,原创
BV1y5411W7dr,Unclefool丶,73193,1036065,2054107,无  限  转  场,2231,原创
BV1Rp4y1D7Fk,小片片说大片,82215,3727118,2029972,【片片】开播炸裂！小孩子玩弄变态杀人犯，国产悬疑终于能打了！过瘾解说《隐秘的角落》1-6,35551,原创
BV1uZ4y1x77J,海棠家的大肥鱼,43243,1890776,1953500,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,8451,原创
BV11f4y127AC,喵内゛,46279,2253846,1934656,每天一遍，防止早恋,5820,转载
BV1Qi4y1479W,田de阿枝,22417,1212058,1907820,【高欲/野蛮/吻戏/混剪】今晚做梦的素材我为你准备好了,2319,原创
BV1dz4y197EA,FUSION-TV,66921,1391340,1881346,这就是美国! 这就是哥谭!! 这就是黑暗骑士崛起!!!,3262,原创
BV1qE411M7da,滋滋猫头鹰,14319,387002,1812968,【更新至154P】【获奖微电影合集】收藏以后慢慢看，全球精品微电影丨短片丨短剧丨剧情片未满，持续更新,8805,转载
BV1ci4y1x78b,目有仙子,40535,971112,1780913,"""他死于天门大开之际，来不及过二十岁生辰“ | 韩烁视角",5008,原创
BV1tv41167E2,小英熊雨来,81025,1643406,1775069,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,6641,原创
BV1o5411s76C,颜值爆表啦,20054,1475307,1716980,这才是虐文女主！！！卧槽！！太美了,5480,原创
BV1DT4y1E71F,电刀佐伊,37740,846503,1646284,建议改成：花 垣 新 说 唱,3674,原创
BV1n54y1Q7GX,归舟道姑,39202,593620,1623998,用 她 的 血  ， 祭 奠 盛 世,2612,原创
BV1SK4y1x7QN,刘大白故事,70668,1357223,1593351,有趣的灵魂400多斤，这部电影后劲太大了，看完可能会改变人生,3234,原创
BV1FJ411V7gy,一本正经的小方,43170,1254926,1583767,【处处吻】 愣着干嘛 进来白嫖啊,2311,原创
BV1NA41187w9,Sir电影,41265,1245629,1562599,自甘堕落的人，给他看看这部片,8269,原创
BV1aK411p74f,功夫海牛Aug,19620,509808,1559409,专治不想写作业，有奇效,4263,原创
BV1xg4y1v7vP,锦书致南辞,31872,1125967,1557980,“你太干净了，你不懂。”,1610,原创
BV1Np4y1D7vQ,-小黑鸟-,27263,1278656,1431616,作者仅用两行文字，把小黄文变成悬疑小说。解说另类神作《爱的成人式》,11591,原创
BV17a4y1v7LT,百万裸眼3D狮,57999,1192463,1403359,B站首个4K裸眼3D，抠了80小时，头发都秃了你说怎么办？,1110,原创
BV1At4y117WA,LSM不会剪辑,31439,597377,1393300,麻瓜慎入！这才是用魔法踩点！！！,3664,原创
BV1mJ411g733,噩梦Crazy,57235,635064,1386514,他们 死在了祖国胜利的前夜,9005,原创
BV1YC4y1871D,电影最TOP,73699,782291,1383690,电影最TOP 152: 论BGM的重要性，盘点十位影视配乐大师,36217,原创
BV1fK411p79H,努力的Lorre,55561,1358686,1355058,你给的仇恨，让美国梦无法呼吸,13514,原创
BV1m54y1B7NK,轩邈Elias,16717,3047666,1355050,仅用3分钟直接封神！霸占热搜！尺度爆炸！隐秘的角落到底好在哪儿？,6868,原创
BV1Zk4y197QB,Yaron树,20911,1383135,1348443,每天一遍，防止早恋,2493,原创
BV1BK4y147CL,新加坡小笔尖,24840,1381412,1316656,16个细思极恐的细节，编剧导演简直牛逼到戳天了,7984,原创
BV14z4y197Y7,是鸭鸭哦,29195,556953,1275628,【Copycat】假如韩烁先穿越进书中改写了剧本 | 连续破车预警 |记得戴耳机| 腹黑心机向踩点| 赠等人的八口木,1791,原创
BV1kp4y1D7Jq,肥宅吴小胖,45057,607715,1242384,这个世界上是真的有魔法的！！,2628,原创
BV1zZ4y1p7g3,笙阳君,16179,1882993,1218600,“此役过后，世上再无美利坚！”,4088,原创
BV1Y741127ps,三步一生,16718,533527,1206811,2020最励志短片：绝对治好你的拖延症！,1895,原创
BV1SE411n7V6,记得多微笑,21635,1230525,1189368,“每日一遍 防止早恋”,3413,原创
BV11741167eC,Anti-General,28264,433982,1177082,赛博朋克山海经,341,原创
BV16D4y1D771,凉风Kaze,28503,1976188,1170162,如果我早点看这部剧，可能人生会有所不同,11499,原创
BV1hz411i7a4,微小_时光,30181,1318225,1148718,得  加  钱~~~,1507,原创
BV1VK4y1s7Wd,1900影剧室,19444,1657731,1116182,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,6834,原创
BV1Zz411i7ho,刘老师说电影,20099,2536181,1113557,【刘老师】年度国产剧TOP1肯定是它了！细致解说9.1超高分悬疑剧《隐秘的角落》，谁能比秦昊更适合“衣冠禽兽”的角色？,14293,原创
BV1J5411Y7Rt,一只磨人的小茄子,30139,472012,1099665,魔 法 盛 宴 ！麻 瓜 慎 入！,1462,原创
BV1DZ4y1s7UQ,驾照十年才开车,27673,820210,1098464,传闻中的陈芊芊｜没有感情的段子机器｜我被男主人设笑死,8230,原创
BV1Dp4y1U7zC,咕噜咕噜奶泡泡,25369,479515,1094570,【隐秘的角落||朝阳东升】自己按门铃自己听,1227,原创
BV1AT4y1J7TD,B站七万星星,28197,329797,1089564,“到了最后 大英雄也没能抱得美人归” | 韩烁的十九岁 动了心殒了命 | 燃虐向台词向 | Eutopia双声道戴耳机 | 传闻中的陈芊芊,1884,原创
BV1vz4y1Q74p,番番番尼兔,21773,494791,1082388,“现实永远比童话残酷.” ｜ 自己按门铃自己听,1753,原创
BV19K41157L3,浪人村正,18950,751621,1079344,“从今天起你就叫剑心，我来教你，我的剑术！”,967,原创
BV1kp4y1D79R,大聪看电影,69908,400885,1065044,诺兰蝙蝠侠《黑暗骑士》超两万字解析犯罪心理大师小丑！魔鬼细节彩蛋全解说！蝙蝠侠最后真的赢了吗！,7174,原创
BV1QK411n7hG,朽木木木哒,25174,1163185,1059584,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,6269,原创
BV1mK411V7wY,丿丶龙猫,36391,561246,1051262,龍,7850,原创
BV13a4y1i7o9,布依绣娘,21548,484546,1048443,【高燃/混剪】今朝唯我，中国少年郎,5319,原创
BV1LA411i78p,Xclucis,25382,369329,1027337,DYSTOPIA_反乌托邦——2020毕业设计,972,原创
BV19A411q7sB,培根悖论唠唠嗑,46228,609670,1023640,【培根悖论】带你看懂本世纪最佳科幻片《星际穿越》#4K#,6563,原创
BV1LC4y1p7VK,没头脑鹅,31146,435083,1018996,【甄嬛的一生】她好像赢得满面风光，又好像输得一无所有。,1797,原创
BV1ha4y1v7ge,koalixi,24686,337879,1005708,“ 死 • 欲 • 生 ”------丝滑踩点/黑化,1036,原创
BV1rD4y1D7Kb,方浪浪,70435,390056,997533,六月的雨 用沙画的方式打开《仙剑奇侠传1》,3035,原创
BV1wt4y197SD,bilibili星访问,23115,1247215,992718,迪丽热巴不光被自己的混剪笑瘫，还讲起了鬼故事，毫无包袱！【bilibili星访问 第63期】,24874,原创
BV12K411H7CS,林嫣兰Mia,10326,470011,985638,每天亿遍，防止早恋,5024,原创
BV1Fa4y1e7tJ,中队长同志,40114,567887,973449,《隐秘的角落》最后的秘密:电影感的真面目?干货向No.1解读【中队长拉片笔记】,6757,原创
BV1ri4y147hQ,油菜花儿啊_,16579,651283,961168,【传闻中的陈芊芊】这才是说书人正确的打开方式,987,原创
BV1uK4y147hE,老邪说电影,56879,1090165,958131,【老邪吐槽】疯狂注水！逆天吐槽毫无逻辑的《幸福触手可及》,15365,原创
BV1Lz411i71Q,张大帅太帅,5470,1561894,948605,【舒畅】老娘15岁就开始演96岁老太婆了/还有谁？,1802,原创
BV1MQ4y1P7D5,高冷的巧克理,25791,429333,915719,【致敬轩龙鸽鸽】极度舒适的踩点和无缝衔接,1510,原创
BV1vz411i7Kr,可挽澜之,11026,773053,903000,“每每见你，次次心动。”,875,原创
BV1gT4y1V7VR,我有你本子说话注意点,3985,1423975,890806,最豪横的法海，一言不合就大威天龙,2513,转载
BV1dg4y1i7Fd,努力的卿墨,21357,653911,887800,万一火了呢！！！,1069,原创
BV1yi4y1s7aT,胖虎的静香哥哥,10642,503536,885805,我的小主人死于大婚前夕，她只是睡了一觉，却再也没醒过来,744,原创
BV1rf4y1274y,歌阁Magic,23529,745841,884331,【现代版 武林外传】今日“血洗”同福客栈！,1324,原创
BV1jz411i7xZ,萌不咕,13233,570620,881771,再无美利坚】你是要当一辈子的懦夫还是英雄，哪怕只有几秒钟。,849,原创
BV1uK4y187Ck,热血的班长,9509,687903,881324,把这些都收入后宫，谁还上朝，混剪,-2870,原创
BV1qi4y1s7eq,JOKER-_Z,6563,869210,878892,【敢信吗，毒液只是他演过最怂的角色】千面天王.汤姆哈迪（让我起来！）,387,原创
