视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1qg4y1v7zT,小白测评,141554,673273,1554129,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,7494,原创
BV1Fz411v7Vj,陈抱一,12959,666377,680147,"【首发】开箱169元""小米屏幕挂灯""！年轻人的第一个挂灯。",5545,原创
BV1UC4y1a79h,清云Pro,9539,104819,520339,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,227,原创
BV1mt4y197KU,翼王,18735,278616,487886,用自己设计的ITX机箱组装一台疯狂的高性能分体水冷主机【翼王】,3731,原创
BV1H5411W76V,你看我带口罩了,69,569466,448437,炸水吧，危,144,原创
BV137411K7V1,飞鱼不在天,5186,95063,342518,"这十个软件,让你的电脑舒适度提升1400%",187,原创
BV1ef4y117MC,远古时代装机猿,6396,269642,327227,【猿】电源你选哪款？9款650W金牌全模组电源横向测试,3755,原创
BV1kz411i7n7,韭菜实验室,3856,273528,316652,淘宝上比官网便宜1000多的iPhone11，能买吗？我们连买了5台……,1926,原创
BV18p4y1U7GU,FUN科技,2307,240279,310597,笔记本性能太差怎么办？只要500元！外接显卡畅玩3A大作！媲美雷电三!【硬件终结者01】,745,原创
BV1QC4y1a7tk,取景框看世界,3122,56315,304409,可能是你见过最硬核调色教程，7分钟成为曲线后期大师（收藏向！曲线工具为例讲解调色原理，你从未听说的曲线调色技巧）,301,原创
BV1Zv411B7TL,Jasmine茉莉与冰川,4674,122023,299039,【北欧摄影短片】雪山、木屋、森林,346,原创
BV1kz411e7j5,科技美学,1126,294425,285572,「科技美学」Surface Book 3开箱体验  | i7-1065G7、32G内存、1660Ti MAX-Q | 猜猜卖多少钱？,5833,原创
BV1cV41167zx,TESTV官方频道,2954,261481,278156,2020年彩色墨水屏手机值得买吗？【值不值得买第437期】,3678,原创
BV1Sp4y1U7TF,新加坡阿土,7719,83453,273024,4K【只需4步!】单人如何拍Vlog视频？分享我是如何4步制作一支视频的！,480,原创
BV1op4y1D7KM,C锥儿2020,3809,116633,271674,52赫兹的鲸,259,原创
BV14v41167Re,大笑生活1997,9181,226021,271168,iOS 14上手体验,1330,原创
BV1h5411Y7Ej,钟文泽,839,221671,225367,"【小泽】小米电视「大师」65""体验 等了太久！",4119,原创
BV16Z4y1H7NG,特效小哥studio,6227,140843,219044,相 机 大 战,348,原创
BV1954y1Q7D4,奇特的罗杰,989,117788,205323,【创意摄影】Jordi2020年的10个创意点子,46,转载
BV1mp4y1S7az,万事屋小玩,9378,109378,204250,【ITX电脑改装】藤原豆腐店,643,原创
BV1bg4y1v7Vk,蒸気火鸡,1921,174818,201962,史上最强AMD：CPU显卡席卷2020欧洲硬件奖，Intel颗粒无收,761,原创
BV16i4y1G7Ri,小米情报官,360,196064,199506,雷军：早上好，我才是米6最强“钉子户”,763,原创
BV1Yg4y1v73E,很大的柚子,2802,147373,194197,装     机     笑     话,176,原创
BV1YT4y177xQ,业内不知名大佬,97,169312,186663,这可能是你在B站听过最贵的键盘声（25000RMB）,297,转载
BV1G5411Y7P2,木羽说科技,8193,92009,180155,是你吗？我眼中手机爱好者的一生。,2407,原创
BV1df4y1y7m4,酷玩小报,2566,71773,179708,【酷玩】夏天到了，你的笔记本电脑该清灰了！,227,原创
BV1mf4y117s3,笔记本维修厮,1099,168535,174093,钱难赚，屎难吃，修了小米游戏本后我以为这个观念不对，可是,703,原创
BV1HA411e7Ma,阿狸才不是受,3708,136343,173455,4000块买个便携显示器！？败家之眼丧病显示器XG17上手体验,2462,原创
BV12D4y1D7Wm,喵喵折App,2835,79772,162764,【装机】2020年中电脑配置推荐,406,原创
BV1xp4y197xg,风光狗的日常,1543,42719,160489,落月 雪山 云海 瀑布 山川 星空 大海,144,转载
BV1LZ4y1H7Kc,L3-猛汉猎人,4387,48312,160085,卡吧14级8年老人推荐的1千5~4万共22套618配置单+3万字注释,97,原创
BV1Yf4y117KW,HotGuys,6174,108511,155510,【HotGuys】OPPO Enco W51降噪耳机评测：AirPods Pro杀手？！,3002,原创
BV1jE411e7hw,硬件茶谈,2901,50337,147565,【装机教程】这可能是你能在网上找到最详细的装机教程,81,原创
BV1N5411Y7CP,IT情报局,2650,35173,145764,〖4K画质-装机教程〗超详细！包括装机到装系统一步到位的教程，建议收藏！！！！,221,原创
BV1Xf4y1273s,法淦,875,42143,138610,睡前必看，带你坠入ISLANDIA的世界，摄影师Vadim Sherbakov的冰岛奇幻风光短片,92,转载
BV1P5411Y7Cu,GLAT巩振宁,2920,90711,134280,假如因为MIUI12，支付宝微信等禁止小米手机使用？MIUI12到底动了哪些巨头的蛋糕？,563,原创
BV1yz411e7Vq,dachudahu,440,94535,131842,我可太喜欢你家了你能搬出去吗?电脑桌面布置-第三十期,123,原创
BV1yV411r7Zg,动力评测,1772,56185,129862,【收藏不亏】2020年大学生笔记本选购推荐全攻略进阶版！15分钟从小白到大神！6.12更新,582,原创
BV1f4411M7QC,老师好我叫何同学,3721,93877,129115,【何同学】有多快？5G在日常使用中的真实体验,590,原创
BV1x5411Y7wf,艾奥科技,2837,79903,128766,【蒋·拆解】百元？四摄？Redmi 9拆解,553,原创
BV1rf4y117fZ,新评科技,3985,94210,127699,【新评科技】全网首发，华为P40Pro+耐划度测试，8000块钱的陶瓷有什么不一样？,1590,原创
BV1b5411Y724,中正评测,1445,111000,126696,中正评测：8299元，背刺？Y7000P i7-10875H 8核16线程，RTX2060游戏本开箱，什么时候有R5-4600H/RTX2060？,800,原创
BV1qp4y1X7yu,花样多的心宁,1171,85141,121339,【iPhone SE2】                                             薛  定  谔  的  续  航,161,原创
BV13K411H7jP,zpc数码产品评测,799,99926,120705,大 威 锐 龙,149,原创
BV1Rz4y1Q75c,鼻子真高,20,121125,119972,新iphonese的取卡针就是一根铁丝……,48,原创
BV1nt4y197pt,MeeGo大乱炖,2250,65423,119870,【朝鲜纪实】大三学生带你看从未见过的朝鲜·纪实摄影照片集分享,188,原创
BV1tv411B7gB,夏涵是涵不是寒,7,119189,119385,有线充电和无线充电同时进行会发生什么？,83,原创
BV1rp4y1U7RX,花生説,1707,97539,119243,「花生說」当iPhone XS遇到iOS 14【iPhone XS炒冷饭试用报告】,1115,原创
BV1QA411i7R6,LinusTechTips,1102,99313,117511,【官方双语】苹果的背弃，是给英特尔宣判的死刑？#linus谈科技,1065,原创
BV1pk4y1z76X,二娃攒机,327,103452,117036,电脑店套路  假如电脑商家说真话8,97,原创
BV1PC4y1h7sU,大米评测,2962,90631,116931,【大米评测】天玑820 vs 麒麟820：Redmi10X、荣耀X10 深度对比评测,2118,原创
BV1kC4y187AS,Sunbelife,328,98403,116377,『日常』用了 AI 的推销电话太厉害了，哑巴说话都能听懂,87,原创
BV1PT4y1J7Pn,电竞酒店导航员,45,104529,108320,太大,9,原创
BV1ei4y1x72k,HeyDrones,709,47691,106848,城市延时大片，学会思路用手机也能拍！,79,原创
BV165411Y7BK,51972,4790,56322,103956,显卡小课堂 你真的了解RX5600XT的性能吗？十二张RX 5600XT显卡横评,1196,原创
BV14k4y1q7oU,那岩KJMX,531,95017,103559,【那岩】微软SurfaceBook3 仅售2万多元能画画吗？什么人适合购买,774,原创
BV1zE41157X1,考拉上校,2792,50417,102295,打造我的游戏房Ep.3 （完结） 梦想屋竣工,435,原创
BV1sz4y1X7Kv,nG家的猫,4850,59057,102077,这种摄影师！简直无法无天！目中无人！,1500,原创
BV1At4y197X3,我是苏星河,2069,67666,101366,【苏星河】蚂蚁森林真的是公益软件吗？,699,原创
BV1Yt4y197mC,有梦想的阿Ken老师,3298,54815,101109,【4K】【授人以渔】带着4升的主机和便携屏出差一周是什么感觉「K39主机+ROG幻镜使用体验」,634,原创
BV1yi4y1G7DA,隔壁老黄的妖孽人生,1144,79217,100665,899元捡百元最强5G手机，骁龙855一流处理器，2k顶级屏幕，HiFi音质，百元机中最心动的选手已经上线，录完视频直接福利！,287,原创
BV1XK411p7kE,华强北基基,59,92560,99413,两万台苹果新款手机毁于一旦，商家损失过亿，然而真相却是...,130,原创
BV19f4y1271z,三星盖乐世手机,21,97750,99174,100倍的距离 谁还能远程教你停车入库?,19,原创
BV1Dp4y1U7Yw,科技小助手,336,89982,98465,华为全球最大旗舰店落户上海：真的太有钱了，比苹果店好！,781,原创
BV17K4y1s7kk,Beesir蜜蜂先生,841,55355,98316,[桌面美学]一套性价比与逼格并存的桌面搭配,153,原创
BV1nt4y197cH,世纪优品鸭梨,26,93428,97377,这么豪横的档口老板娘第一次见,13,原创
BV1oz4y1Q7Bm,007烙饼,1091,48686,97224,〖穷学生装机首选〗性能、颜值、体积、性价比，一个都不能少！！,41,原创
BV1M5411Y718,青海阿卷,2492,70615,95491,miui12的小米闻声是如何改变了一个哑巴的生活方式？,193,原创
BV1Ft4y1R7LP,唯颂科技XYZONE,4778,55100,93843,【享拆】千元机拆解对比：Redmi 9  VS 华为畅享10e,2122,原创
BV187411G7fq,先看评测,2704,56987,92318,十款真无线耳机横评，哪个值得买？,486,原创
BV1H7411J7PM,Chiharya,162,70961,87776,[Gawx]重制一个iPad，给老爸惊喜,137,转载
BV1iZ4y1H7pV,慢慢买App,422,48256,87386,显示器怎么选！500-2000不同价位显示器推荐！,84,原创
BV1f5411W7JC,趣评测,1627,66399,86718,「趣体验」Flyme 8.1 VS MIUI 12深度评测，谁是最强安卓系统？,1292,原创
BV1JK4y1s7UF,鲁大师官方,199,75108,83239,《大师吐槽》骁龙875疯狂提价60%，明年安卓旗舰或6000起！,566,原创
BV1zi4y1x7Pa,澤野弘之_nZk,1050,61754,81855,Just ear:泽野弘之联名款 : XJE-MH/nZk,191,原创
BV1V5411Y7hh,希喽,17,80595,81719,12年前的iphone 连接 airpods会有什么样的反应,47,原创
BV17z4y1d7sN,莱曼Lyman,811,41057,80766,高性价比 桌面分享,57,原创
BV1sk4y1k73b,龍柏山人,1733,26257,80569,【4k】耗时两年，4k超清星空延时-星动中国,220,原创
BV1dk4y1z7yS,大家车言论,91,77532,79721,百十块的东西，十几万的感觉？,317,原创
BV1di4y1G7qL,大家测,144,74160,79407,【大家测】高颜值会起飞 红魔5G氘锋透明版开箱,1297,原创
BV1eg4y1v7D6,林海音Haiyin,751,50999,79175,两个摄影师拍同一个模特 | 上海老洋房里的一天 | 复古风人像大比拼,226,原创
BV1kC4y1876P,二斤啦啦啦啦,860,68419,79118,家中装台直升机，6999元买的外星人Aurora R11准系统，只用祖传120水冷，能否镇压超频的10900K。,674,原创
BV1aC4y187bC,SKLM666,92,75149,77743,小米智能门锁E把我们困在家中后续,292,原创
BV1jT4y177dh,虽然但是张黑黑,4009,35994,77606,ARM Mac与Apple Silicon：全面解读苹果自研芯片，Intel Mac还能不能买，WWDC没告诉你的，都在这里了,715,原创
BV1Ag4y1q78C,Xiiiy是四月,796,17389,77542,【iPad】用 Procreate 自制片头动画 | 十分钟内轻松上手! | 满满干货 | 用动画为你的视频添色吧~,31,原创
BV1az4y1X7AT,爱集微,7,74851,75525,苹果又出“神”操作，iPhone12取消充电头和耳机，你还买吗？,70,原创
BV1Sv411z7gk,小武也要做视频,3225,51997,74317,【脑瘫也要搞开箱】既便宜又节省空间倍思屏幕挂灯开箱体验,127,原创
BV1K54y1z7LU,lany梦,58,65070,71817,注意了买iPad Air或iPad Pro送AirPods2 苹果返校活动归来 这次有点香等等党好吧你们赢了,20,原创
BV17Z4y1W7Hu,智强显卡工作室,142,66656,71812,粉丝14块钱豪赌1080ti拿来给我练练手，人品爆发啦！（智强显卡工作室）,131,原创
BV1X7411572f,彭弘Red,2038,19146,71714,【相机入门01】用珍珠奶茶理解光圈快门ISO，5分钟学会摄影曝光基础,39,原创
BV1KC4y1h7uM,厉害的朋友圈,764,59933,70361,小米 65 寸 OLED 大师电视上手,743,原创
BV1aC4y187j3,胡萝卜小圆弧,373,58725,69572,极度舒适的苹果声音！！！,166,原创
BV1CK411p7sF,阿伟爱搞机,2,67439,69488,这款喷子你们一定会喜欢！,5,原创
BV1H5411Y7dX,因为I所以,107,61234,69380,魅族系统了解一下,142,原创
BV1fz411i718,每天凌晨五点起,189,62223,68922,苹果8plus 拆箱视频，我本来想测评来着能力不允许老老实实个拆箱,156,原创
BV1XC4y1a7BM,復興符文科技,48,57007,67565,愿望成真😎全球首台消费级 *VR万向跑步机* KAT Walk C 正式宣传片,105,转载
BV1WZ4y1x7Uw,AS极客,1394,36211,67274,1100元装一台30万跑分2K画质高特效吃鸡的电脑，还能剪辑视频当UP。应是千元级最强配置之一,49,原创
BV1Ek4y1r7c9,隔壁老王WYF,13,65050,66414,用MIUI放个烟花,3,原创
BV1wZ4y1p7nb,UnboxTherapy,396,47935,65879,令人激动的时刻！拆箱价值￥75000的机器狗 Spot,955,原创
BV1Gi4y1x79N,大耳朵TV,636,26693,65620,10个苹果CEO强迫我安装的iPhone iPad软件！F.2020 最新推荐 APP,33,原创
