视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV16Z4y1H7NG,特效小哥studio,245512,2276875,3430190,相 机 大 战,11739,原创
BV1UC4y1a79h,清云Pro,58599,541552,2968102,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,1524,原创
BV12D4y1D7Wm,喵喵折App,65516,821926,1836754,【装机】2020年中电脑配置推荐,12949,原创
BV1qg4y1v7zT,小白测评,141554,673273,1554129,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,7494,原创
BV1LZ4y1H7Kc,L3-猛汉猎人,45778,336677,1337692,卡吧14级8年老人推荐的1千5~4万共22套618配置单+3万字注释,1180,原创
BV1op4y1D7KM,C锥儿2020,18258,564785,1251267,52赫兹的鲸,1173,原创
BV1Zp4y1S7i3,-LKs-,62253,721285,1204417,10分钟拍大片挑战！[LKs+影视飓风+十音+林海音],32246,原创
BV1yV411r7Zg,动力评测,16545,392304,986136,【收藏不亏】2020年大学生笔记本选购推荐全攻略进阶版！15分钟从小白到大神！6.12更新,3575,原创
BV137411K7V1,飞鱼不在天,15173,278303,963325,"这十个软件,让你的电脑舒适度提升1400%",637,原创
BV1jE411e7hw,硬件茶谈,16887,333742,833455,【装机教程】这可能是你能在网上找到最详细的装机教程,536,原创
BV14v41167Re,大笑生活1997,42040,861260,792278,iOS 14上手体验,5417,原创
BV16T4y1E7Pt,陈抱一,11764,518034,781342,"【桌面神器】618值得买的10个""桌面好物""！",3656,原创
BV1Ma4y1v7m9,爱否科技FView,16379,382361,696180,【爱否评测】千元级人体工学椅横评：如何保护你那年轻的「老腰」？,2824,原创
BV1Xf4y1273s,法淦,4077,197556,670861,睡前必看，带你坠入ISLANDIA的世界，摄影师Vadim Sherbakov的冰岛奇幻风光短片,431,转载
BV1xp4y197xg,风光狗的日常,6331,169683,664671,落月 雪山 云海 瀑布 山川 星空 大海,586,转载
BV1sv41167ZF,8KRAW_OFFICIAL,9430,389083,645742,【4K 120FPS】超高清！这是这个蓝色星球本来的模样,1543,原创
BV1QZ4y1H7dK,钟文泽,4071,900977,634377,【小泽】iOS 14体验：桌面插件来了！AirPods Pro超神了,15886,原创
BV1Q64y1T7ox,取景框看世界,10832,134400,610511,【收藏向】6分钟让你学会构图，拍照萌新变摄影大师！（手机摄影和相机摄影构图技巧）,457,原创
BV1Jg4y1q7D2,先看评测,25364,277974,610394,空调选购指南 | 先看评测,4378,原创
BV1CK411p7sF,阿伟爱搞机,153,1015769,575000,这款喷子你们一定会喜欢！,71,原创
BV1xK411p7RA,Harry张,5444,247415,572869,【科普】免费的性能提升！一串代码提升40%性能？谣言还是事实？,218,原创
BV1qz411e7Jh,阿狸才不是受,17816,302258,555420,叮！3千到3万618装机配置单，总有一套适合你！！【游戏向】,7433,原创
BV1Xt4y1m7r7,漫游挨踢,7043,163678,554513,11款神级软件，让你的电脑体验提升8800%,297,原创
BV1mp4y1S7az,万事屋小玩,23792,310527,541855,【ITX电脑改装】藤原豆腐店,2208,原创
