视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV16i4y1G7CQ,敖厂长,393326,1963581,3481975,花了两万多元感受82年黑科技游戏主机,18794,原创
BV1bD4y1Q7LF,徐大虾咯,106176,1848143,1897090,老王有媳妇儿了！【德华的世界#6】,29534,原创
BV1NV41167nt,神奇的老皮,96603,1640429,1558017,【真人GTA】老 年 崔 佛,4637,原创
BV1jK4y1s7xV,老番茄,54652,1730646,1429207,【老番茄】约会大师,10063,原创
BV1g54y1z7qs,愉悦的hehe11,62982,563940,1417647,我的世界坏掉了！！！！！,6481,原创
BV1VK4y1s7bq,33不是山山,78799,413987,1391854,一款比高数题还难的游戏，一个“疯子”的第九艺术朝圣之路,14558,原创
BV1kT4y177Wh,嘟督不噶油,84921,661934,1304890,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,6500,原创
BV1RC4y187K2,国电武术馆馆长,54819,1364509,1215906,追踪挂大战锁血挂，100人全部开挂的诸神之战吃鸡比赛全记录,4844,原创
BV13Z4y1p79M,炊饼大师,50499,606598,1154758,快住手，你们不要再打啦,2754,原创
BV1qf4y117v6,渗透之C君,48890,819804,1118611,和 风 美 女,16892,原创
BV19a4y1Y7ca,视角姬,37215,1034105,991958,不要“走音”挑战！（美少女特供版）,15480,原创
BV1sD4y1Q75E,STN工作室,47720,735996,978885,【STN快报第五季01】乔尔的命也是命,10004,原创
BV1Pa4y1e766,水无月菌,44522,880176,973108,真是好身手【水无月菌】,2696,原创
BV1fK411n75Z,Uzi,46268,1033523,944148,【Uzi】乌兹秀：左臂秘术锁敌位，右手执弩破苍穹,7507,原创
BV1wi4y1V73P,花少北丶,31173,1106074,935874,应该是最后一期了,13540,原创
BV1XC4y1a7NW,机智的党妹录屏组,18068,1294057,933366,不要“做“挑战（番外篇）,4850,原创
BV1G5411Y7VX,打泥泥,31949,565169,891234,【互动游戏】剧情高能！一起失踪事件，揭开游轮血腥面纱…【打泥泥】,16093,原创
BV12i4y1G7Mh,逍遥散人,34089,538053,864442,【散人】超难度病毒入侵 i wanna坑爹加量加倍！！（下）,19196,原创
BV12f4y1272j,三千转,28393,427296,860974,能看到第15秒吗？,3242,原创
BV1qa4y1h791,盒子酸奶,10859,1202275,836340,丧尸：这时代为啥一直变啊！,3913,原创
BV1Yf4y117rg,某幻君,20639,605401,827042,最 强 の 手,17168,原创
BV1nK4y1s72J,明日方舟,27791,624097,822398,《明日方舟》SideStory「沃伦姆德的薄暮」活动宣传PV,12528,原创
BV1KD4y1S7hk,超级神奇的木偶,15313,1238079,820981,史上最厚血量，被打了6分钟还活着！？,3212,原创
BV1cz4y1X7TT,黑镖客梦回,8418,1398488,797652,世界上BUG最多的搞笑游戏 每局1500个BUG,2740,原创
BV1zz411e7ar,炎辰大鸽子,4254,1269193,772380,人类：你这外星人是想笑死我吗？,825,原创
BV1pD4y1Q71s,星象StarEle,52848,257324,740723,【BESIEGE】混天豹——赛博坦之战，合体是男人的浪漫,5263,原创
BV16T4y177Cd,贤良淑德列克星敦太太,1924,1157370,694394,用地雷当诱饵，射杀美国排雷工兵，中国玩家的阴险战术有多坏？,834,原创
BV1pT4y177u8,怕上火暴王老菊,23665,521859,668601,王老菊教你杀牛仔03 & 04,8508,原创
BV1Ct4y197q9,哔哩哔哩英雄联盟赛事,3507,1453592,660914,【LPL夏季赛】7月1日 DMO vs IG,31697,转载
BV17v411B7Wy,天天卡牌,12754,961413,659129,【逗鱼时刻】第258期 是兄弟就一起升本！,8449,原创
BV135411Y7Y4,戴夫邻居史蒂夫DFsteve,8185,307150,632413,【迪奥把妹王】你是DIO，你能改邪归正吗,3434,原创
BV1jf4y117mN,Mayumi,8639,730053,628274,【Mayumi】大家好，我是Mayumi，我来B站啦~,1633,原创
BV1Ez411v7Ko,老炮儿联盟,40606,339420,626564,《老炮儿联盟》：厂长+Faker王炸组合，米勒这都能输？不会吧！不会吧！不会吧！,11317,原创
BV1Dt4y197nJ,靠脸吃饭的徐大王,21866,498034,612354,徐老师讲故事132：英雄联盟实体书之符文之地大事记全解析,6441,转载
BV1p5411Y7cy,浩然Yz,17486,589303,605265,【GTA5】目前全世界只有2个人完赛的毒图,908,原创
BV18p4y1U7rq,好活电竞,4587,716312,570860,“你没被The Shy扎过，你不懂”,1277,原创
BV1mg4y1v7mN,李灼淤,7237,515908,565648,我承认我又有赌的成分,845,原创
BV1Yv411B7x2,瓜瓜不会呱,9509,537885,558847,当你在召唤师峡谷中发明了扔标枪的坦克,1120,原创
BV1vA411i7rd,命运-冠位指定,10662,498098,552274,【Fate/Grand Order】创世灭亡轮回 由伽·刹多罗 黑色最后之神,5344,原创
BV1ot4y197sg,中国BOY超级大猩猩,14218,381194,543727,为了我们这家世界五百强的公司，我付出的实在是太多了,6925,原创
BV1zK411n7wb,鲁大能,22394,392167,543673,一学就会！C4炸弹快乐阴人流！自爆卡车套路！轰炸机套路！,2108,原创
BV1MZ4y1u7up,指法芬芳张大仙,7974,505154,507894,【大仙全家桶】新赛季战令皮肤曝光，五周年限定神秘男英雄皮肤揭秘,5361,原创
BV1kp4y1D7xj,EdmundDZhang,4595,541461,499347,【老E】这是什么3A级阴间剧情？,769,原创
BV1hv411B7XS,银河电竞,25600,354891,494012,【电竞星快报】看好了，这个复仇之矛我只教你一次 （第二季22期）,3564,原创
BV1VK4y1s7J6,蚀血之暗,10339,409479,493042,话不投机编故事大赛！,3276,转载
BV1Nz4y1X7k2,-纯黑-,23335,325588,491133,纯黑《最后生还者2》第二期 最高难度迅猛式攻略解说,4873,原创
BV1mf4y1y76g,熙狗Game,5190,519280,491068,看完这波，我把我家电饭煲吃了,201,原创
BV1hA411i7aN,其实我是AW,69,678010,485728,网吧遇见一个孤儿,83,原创
BV1Cv411B7SP,抽风的飞机工作室,9616,494401,485460,【瞎β操作】雷达哥雷达失灵,2515,原创
BV19Z4y1M7Xu,寇丹小哥哥,4191,532759,481278,寇丹：S20赛季马可波罗新战令皮肤撞脸游乐王子?大招特效帅炸,4830,原创
BV1La4y1e7DM,兄贵中二の怪物a僵尸,2906,442536,472804,现 在 的 赛 尔 号,1388,原创
BV1ip4y1D7KL,最强蜗牛,1549,528013,465827,【爷青回】万万没想到，白客、叫兽新剧来了！四集连播看过瘾,988,原创
