视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV16i4y1G7CQ,敖厂长,156209,928802,1728579,花了两万多元感受82年黑科技游戏主机,6348,原创
BV1jK4y1s7xV,老番茄,54652,1730646,1429207,【老番茄】约会大师,10063,原创
BV1Yf4y117rg,某幻君,20639,605401,827042,最 强 の 手,17168,原创
BV1nK4y1s72J,明日方舟,27791,624097,822398,《明日方舟》SideStory「沃伦姆德的薄暮」活动宣传PV,12528,原创
BV1pD4y1Q71s,星象StarEle,52848,257324,740723,【BESIEGE】混天豹——赛博坦之战，合体是男人的浪漫,5263,原创
BV1qa4y1h791,盒子酸奶,5588,880700,705253,丧尸：这时代为啥一直变啊！,2084,原创
BV1jf4y117mN,Mayumi,8639,730053,628274,【Mayumi】大家好，我是Mayumi，我来B站啦~,1633,原创
BV1RC4y187K2,国电武术馆馆长,16092,515436,620553,追踪挂大战锁血挂，100人全部开挂的诸神之战吃鸡比赛全记录,1406,原创
BV1ot4y197sg,中国BOY超级大猩猩,14218,381194,543727,为了我们这家世界五百强的公司，我付出的实在是太多了,6925,原创
BV1Xt4y197yg,超级神奇的木偶,8907,496610,533246,惊动官方！史上最长的血条，打了5分钟都没死！,2686,原创
BV1VK4y1s7bq,33不是山山,23823,137659,463757,一款比高数题还难的游戏，一个“疯子”的第九艺术朝圣之路,4072,原创
BV13Z4y1p79M,炊饼大师,19462,227569,460461,快住手，你们不要再打啦,876,原创
BV1wz411v7ps,景雨墨在此,8608,444309,450673,补刀成功率100％？LOL手游的8大机制改动！,1552,原创
BV1Av411z7KZ,四川猛男老圆,2419,451551,436433,宇航员：物理老师看了想打人！,432,原创
BV16g4y1v7Ud,哔哩哔哩英雄联盟赛事,1389,490700,417559,【LPL夏季赛】7月3日 TES vs LNG,12042,原创
BV1W54y1z78S,怕上火暴王老菊,16193,262932,416663,王老菊教你杀牛仔05,4910,原创
BV1B5411Y7Z2,STN工作室,7596,367817,410129,猛 男 夹 夹 夹,1855,原创
BV17v411B7Wy,天天卡牌,3811,379826,359119,【逗鱼时刻】第258期 是兄弟就一起升本！,1933,原创
BV1Y5411Y7D9,靠脸吃饭的徐大王,4750,312866,336997,徐老师来巡山272：峡谷先锋秀操作，进墙闪现绕后,4284,转载
BV1bV41167JL,大叔杰也可以是个酱,1995,346456,329656,【英雄联盟】新英雄 马可波罗,203,原创
BV1fK411n75Z,Uzi,8259,271220,322165,【Uzi】乌兹秀：左臂秘术锁敌位，右手执弩破苍穹,1654,原创
BV1NZ4y1p7Ct,指法芬芳张大仙,4655,246048,281886,【大仙全家桶】 朋友，您们看我还有机会吗？,5525,原创
BV185411Y7ru,重装战姬,298,296501,275396,使徒、袭来！——「重装战姬」×「新世纪福音战士」联动PV公开,140,原创
BV1tt4y197Uf,削人棍专用BGM,20854,52275,269247,【FGO2.4杂谈】带你康康印度神话、家里蹲的逆袭、以及唯一神的诞生,2006,原创
BV1Ez4y1X7iw,育碧中国Ubisoft,928,212392,244949,育碧全新免费巷战游戏《超猎都市》实机演示预告,291,原创
BV1n5411Y7Z1,迷茫小树叶,9384,142064,242331,国服第一孙策全新出装思路！下水道英雄再度回归高分战场？（十五）,2764,原创
BV1TD4y1S75P,丸子,6412,166778,240154,【公主连结】那个女人「伊莉亚」详细角色评测~技能分析.抽取建议.阵容搭配~,1409,原创
BV1mf4y117Uz,崩坏3第一偶像爱酱,4239,165827,235631,《崩坏3》4.1版本「雷鸣彻空」宣传PV 雷之律者降临,2148,原创
BV1FZ4y1u7VL,长歌与小见见,2001,202934,226845,【见盘】127：喝了茅台继续干，酒后电竞卫冕冠军,1477,原创
BV1eC4y187Yu,FPX电子竞技俱乐部,15536,111571,226519,Fun言趣语2020第10期：“隐秘的”硬币哥,2851,原创
BV1VK4y1s7J6,蚀血之暗,3122,180470,220210,话不投机编故事大赛！,971,转载
BV1vT4y1777Q,超级小桀的日常,6314,175504,219698,【超级小桀】求求了 别再做这种图了！,2294,原创
BV1yp4y1U7H3,小C6,3610,131139,214602,这款游戏告诉你，人性有多经不起考验！,4195,原创
BV1RZ4y1M7T3,逗川kshadow,9855,115964,212947,恐 怖 游 轮,1815,原创
BV1Xv411B7pg,川同学不穿童鞋,7727,107256,212607,【DNF传记】蓝拳——好家伙，没打过人？,1896,原创
BV1uz4y1X7RG,抽风的飞机工作室,6093,147733,199135,【瞎β操作】子承父业,1669,原创
BV1dZ4y1M7kt,tree_勇士,5623,101106,185678,顶级女杀手之最终击杀盛宴！【耻辱2】【超神操作】大皇宫嗜血夺魂夜,281,原创
BV1dK411n7hu,聚印象视频,1935,168227,183849,主播炸了超神篇343：乌兹2v4极致拉扯收割，彩旗卡特千层博弈小鱼人,1797,原创
BV1Qg4y1v76A,王者荣耀解说老勤,4769,77362,179767,对不准？总卡枪？那你的马超多半是废了！联手三国服马超全国巅峰赛第二小予神全网最全马超攻略来了,461,原创
BV1M54y1z7GU,Gamker攻壳,10054,69547,172589,《最后生还者2》的问题不是剧情，是业余和傲慢！【就知道玩游戏106】,3516,原创
BV1xv411B7wJ,纤歌帝,54,168807,165335,马可新皮肤试玩，这加特林手感贼好！,206,原创
BV1DK4y147Fk,森纳映画,6010,92934,163149,【不止游戏】游戏中的导弹，究竟是如何追着你一直打的？,1096,原创
BV1wv411z7F6,靠谱电竞,462,151131,154321,【峡谷第一线】10：Doinb硬核计时先发制人，iBoy极限反杀生死一瞬,457,原创
BV145411Y7Mj,原神,2820,99496,153678,《原神》音乐动态视频-「蒙德一日」,538,原创
BV18K411n7oC,安风诺良奈,3475,120468,153084,抵御僵尸的超级防御工事！【迷雾生存】第四期,1095,原创
BV1qi4y1G7eG,籽岷,6201,87894,152626,我的世界 你OUT了 1.16 多模组极限生存 EP3,2311,原创
BV19z411e7vS,称韩D姜玉龙,9509,82570,145592,CF王者杀戮 黄金版英雄级武器 打的僵尸瑟瑟发抖 玉龙解说穿越火线,2238,原创
BV1cZ4y1p7Jn,老实憨厚的笑笑,879,139877,142648,笑笑西卡德云色 2020.7.2请问这里是S10总决赛吗？,4739,原创
BV1mg4y1v7mN,李灼淤,1822,103864,142201,我承认我又有赌的成分,159,原创
BV1dp4y1U7iB,阿银哦哦,4435,94482,141928,挑战全新猫里奥！死亡就送大会员！【余额-99999】,6517,原创
BV1Ri4y1G71L,包子入侵SSR,78,137698,139696,干将莫邪全皮肤新增剑气特效：冰霜特效美爆！久胜战神还没做好！,349,原创
BV1p5411Y7cy,浩然Yz,2924,109279,139603,【GTA5】目前全世界只有2个人完赛的毒图,92,原创
BV18D4y1Q7cB,天不生我雨柚,715,127739,138784,干将正式加入草丛三biao！！改名草丛四表！！,173,原创
BV12f4y1272j,三千转,4251,63109,138701,能看到第15秒吗？,443,原创
BV1hA411i7aN,其实我是AW,11,131990,129785,网吧遇见一个孤儿,14,原创
BV19Z4y1M7Xu,寇丹小哥哥,794,115527,125904,寇丹：S20赛季马可波罗新战令皮肤撞脸游乐王子?大招特效帅炸,698,原创
BV1nV41167sq,薄海纸鱼yu,733,97093,124729,我变成了都市传说中的警笛头，让人类感受恐惧吧！警笛头模拟器 5种结局,891,原创
BV1bD4y1Q7LF,徐大虾咯,3112,80636,123414,老王有媳妇儿了！【德华的世界#6】,912,原创
BV19z411e78w,上单老祖,3389,69271,122800,提升基石符文理解 帮你选择对线策略战胜对手@上单老祖,483,原创
BV1at4y197VH,斗鱼BLUE,2545,96314,122545,教你如何把对面的野王玄策拐来！,6885,原创
BV1BA411i7iB,马克Sparrow,2466,88595,121815,这游戏目前任何人都不能通关，作者也无能为力！,720,原创
BV1PC4y1h7pV,英雄联盟,227,115383,121618,【选手靠谱时刻】369：这把要杀阿水十次,187,原创
BV19a4y1Y7ca,视角姬,1790,99658,121148,不要“走音”挑战！（美少女特供版）,807,原创
BV1Dg4y1v7ch,香菇滑鸡_,2327,101436,120267,真  ·  大  威  天  龙,558,原创
BV1Q54y1i7vz,天才小灰机a,2842,77085,115410,我的世界：开局只有一颗心，如何在孤岛生存下去,722,原创
BV1iv411B73j,电竞指南针,86,106107,112403,奇亚娜完美大招 封死对面走位,24,原创
BV1gV41167GN,无敌皮皮鸟,388,96922,111275,王者欢乐秀：你笑蒙恬充电宝，蒙恬笑你一枪倒！,227,原创
BV1Hf4y117KU,CapcomAsia,1142,91624,108103,【简中】《Monster Hunter World: Iceborne》开发者日记 Vol.6,2652,原创
BV1af4y117s2,老戴在此,1966,63994,104335,【爷青回】老戴《方舟 生存进化》萌新首次单人生存,1576,原创
