视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV15Z4y1H7jh,Uzi,932744,8357803,9296161,Uzi | 大家好，我是你们的枣子哥简自豪，今天正式入驻B站啦！,44874,原创
BV1XC4y1h78J,老番茄,708980,5894683,8615528,【老番茄】史上最骚杀手(第十集),68969,原创
BV1Tf4y117Go,靠谱电竞,630102,3028430,5196799,靠谱盘点86:先就到这里吧！我们下期再见！,29343,原创
BV12f4y1272j,三千转,187146,3452299,4336952,能看到第15秒吗？,19688,原创
BV16i4y1G7CQ,敖厂长,393326,1963581,3481975,花了两万多元感受82年黑科技游戏主机,18794,原创
BV1Tg4y1q7iK,某幻君,178841,4606570,3419443,情同手足,57720,原创
BV1AQ4y1N71n,是布做的心,56290,2948784,2725198,前方高能！！这是真的！# @ % ￥ 燃,1889,原创
BV1nv411B7B6,黑米校长,128858,934256,2683370,【Minecraft】前方高能！！这期视频将会非常爆肝！上热门必须吃ICE！,5361,原创
BV15C4y1a7fp,--圈圈--,195021,2219705,2636032,啊？这！这就是长城吗！,15560,原创
BV1rg4y1i7MB,花少北丶,178497,2154768,2610183,我的双脚不受自己控制！,70621,原创
BV1St4y1X7A5,鹤吱菌,122970,2893190,2539892,【师生对线】拖 堂 现 状,23353,原创
BV1zf4y1y7aZ,-纯黑-,149260,1917261,2240163,纯黑《最后生还者2》第一期 最高难度迅猛式攻略解说 严重剧透警告,52415,原创
BV1Sg4y1i78B,上海滩许Van强,186315,2237944,2215528,你们要抓的是新版狗熊 和我核弹有什么关系[有点骚东西],12271,原创
BV1FK411p7Da,珀尔Po_er,73967,974811,2210560,【Minecraft】当MC地形遇上顶级4K画质！五年地形成果的视觉盛宴！——珀尔B站5w粉丝纪念视频,3661,原创
BV11f4y1y7Lv,LexBurner,90592,3287569,2160908,极 限 一 换 一,20299,原创
BV1tZ4y1H7zR,超果果mc,202277,1393556,2039709,这块木板是座桥？？？         2/4,22003,原创
BV1Fv411B7Ld,水无月菌,155034,1968736,2027453,你的印卡货真价实【水无月菌】,9237,原创
BV1bD4y1Q7LF,徐大虾咯,106176,1848143,1897090,老王有媳妇儿了！【德华的世界#6】,29534,原创
BV1cz4y1X7TT,黑镖客梦回,39971,3641870,1888445,世界上BUG最多的搞笑游戏 每局1500个BUG,10898,原创
BV1eZ4y1H7L4,MAJIHORSE,112132,826727,1849385,【危机合约#1】全网首发黄铁峡谷27，狙特队的荣光！,11037,原创
BV1cT4y1J7kD,啊吗粽,58234,3340149,1827370,这四个up主 好有文化！ (第三期),30909,原创
BV1iK4y1x7T3,四菜一汤Game,75853,1605939,1819764,【英雄联盟画心】没想到吧，LOL也能画心，还这么好看～,1100,原创
BV16z4y197rF,Minecraft-ICE,69376,744553,1742767,当你误入苦力怕窝,1368,原创
BV1c5411W7hW,骚男丶注意马叉虫,102948,3285589,1738568,【骚男】我，迈克尔杰克骚，今天正式入驻B站,6633,原创
BV1bK411p7QE,在下哲别,49675,3691478,1681405,得罪人挑战,46156,原创
BV1XC4y1a79V,林小北Lindo,99949,2096528,1679662,LOL手游：国人试玩2K画质！第一MOBA手游？18杀男枪完美还原端游！英雄联盟手游！,11188,原创
BV16A411v7A3,与山0v0,95448,1150322,1656458,M C “ 老 玩 家 ”,72539,原创
BV1ND4y1Q7ZC,吉儿一范伦婷,112577,766356,1605519,全 程 高 能 【第七期】,11068,原创
BV14Z4y1H7Q8,老戴在此,62548,2262597,1583346,【4K】【完结】老戴《最后生还者 2》剧情流程解说 （美国末日2）,170573,原创
BV18D4y1D7Rm,田木曾,8631,1319590,1568929,【Helltaker】 游戏原声 和天使Azazel一起摇摆吧！,667,转载
BV1NV41167nt,神奇的老皮,96603,1640429,1558017,【真人GTA】老 年 崔 佛,4637,原创
BV1ez4y1Q7zF,我是游夫子,144489,1259722,1550238,耗时1个月，画出3米长《魂斗罗》第一关！,2121,原创
BV1Uk4y1B7uT,视角姬,68798,2308097,1524442,得 罪 人 挑 战 （嘉宾：小潮院长）,15935,原创
BV1uf4y117WK,吃素的狮子,83212,1958048,1523739,恋 爱 对 对 碰,18416,原创
BV1ZV411r7Sj,国电武术馆馆长,60068,1910832,1421303,我采访了一个被判刑的外挂作者：原来真有主播定制挂！,7928,原创
BV1g54y1z7qs,愉悦的hehe11,62982,563940,1417647,我的世界坏掉了！！！！！,6481,原创
BV12V411r7yJ,中国BOY超级大猩猩,71646,1459367,1410774,打 工 日 记,21261,原创
BV1vf4y1y73W,渗透之C君,44341,1505928,1391999,【C菌】《最后生还者2》剧情向实况【完结】(慎入),80325,原创
BV1VK4y1s7bq,33不是山山,78799,413987,1391854,一款比高数题还难的游戏，一个“疯子”的第九艺术朝圣之路,14558,原创
BV1KD4y1S7hk,超级神奇的木偶,40647,2881459,1374350,史上最厚血量，被打了6分钟还活着！？,9366,原创
BV1dC4y1h7at,小央视频,63496,1100715,1362487,电竞运动员Uzi退役独家专访：如果时间还够，很多东西我可以做到,9246,原创
BV1WV411r7wX,逍遥散人,33695,913052,1329516,【散人】地狱把妹王 将所有恶魔收入后宫！！！,23898,原创
BV167411A72o,潇生有礼了,26607,709901,1316731,众所周知 腿越细踢人越疼 手臂越细 打人越疼 你们老婆打架真厉害,864,原创
BV1kT4y177Wh,嘟督不噶油,84921,661934,1304890,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,6500,原创
BV1MZ4y1H7WS,UncleBeta,50643,739196,1269778,那些adc英雄们用台词告别Uzi，Uzi退役|再见了我的青春。,2308,原创
BV1gz4y1R7rQ,布锅锅,30046,676634,1232979,多功能自定义房间工具：5v5训练模式，血月杀，魄罗大乱斗，启动！,608,原创
BV11D4y1D7EB,绫织酱,32520,2676999,1231344,薇恩重做！纪念Uzi退役！Vayne改名为Uzi【永恒射手简自豪】加入峡谷,5265,原创
BV1Jk4y1r7NM,突击手蜜獾,73211,717292,1207509,这 次 ，拜 托 大 家 了 ！,8124,原创
BV1hV411r7k2,不更新A,95909,600834,1203700,零物资!挑战在只有海的世界生存下去 P4【我的世界】,3727,原创
BV1Hg4y1q7Ww,荒野乱斗BrawlStars,26442,1608712,1177952,荒野乱斗x名场面,7708,原创
BV1Ya4y1Y7YQ,闪耀暖暖,22593,896221,1165065,【闪耀暖暖】概念级套装先导CG#星海之梦#公开！,5062,原创
BV1xp4y1D7pf,NorthStar北星,7875,552184,1158368,【Helltaker】全人物立绘+动态图,2200,原创
BV13Z4y1p79M,炊饼大师,50499,606598,1154758,快住手，你们不要再打啦,2754,原创
BV1e5411W7eh,EdmundDZhang,55197,816409,1150757,【老E】看封面识游戏,6960,原创
BV16f4y1y7sr,小潮院长,26319,2524891,1147978,“职 场 高 手”,15135,原创
BV1wf4y117KQ,在下易某很细,36555,1471951,1133874,史上最高血量，六万血项羽爆炸输出，乱杀吕布,2464,原创
BV1ez4y197p6,巅峰计划,57340,665566,1132083,【危机合约#1黄铁行动】黄铁峡谷26级全网首杀  以鞭行枪，可断兵刃。,4903,原创
BV15i4y1x71Z,魔法Zc目录,43342,835128,1130309,【危机合约·18】来带黑角拿镀层！黄铁峡谷18平民攻略：单专三、3六星欢乐玩法！ 《明日方舟》|魔法Zc目录 黄铁行动 旧约,2823,原创
BV1pJ411J76A,Crazy-face,15036,995992,1119861,慎入！前方极度妩媚 那些你惹不起的战斗天使 穿上高跟鞋攻击力翻倍！,1446,原创
BV14p4y1D7r7,芒果冰OL,49153,781517,1105679,【中国网游史65】国产最强动作游戏——流星蝴蝶剑.net的艰难诞生,4574,原创
BV1554y1B7F7,盒子酸奶,23720,1806771,1105352,鬼：别爱我，没结果！,6087,原创
BV19K411p7Cm,跨越未来的声音,38491,982047,1077702,Theshy 煮 酒 论 A D,1905,原创
BV17C4y1a7VN,建筑姬Ling,12039,354958,1058096,【建筑姬】制作超美的下沉式窑洞，原来挖个洞也这么美！,1718,原创
BV1Pg4y1v7We,黑桐谷歌,32042,1227978,1049353,黑桐谷歌【最后生还者2】合集（伪结局完结）,38177,原创
BV1QA411q7iP,不是的的是のの,29374,1309409,1049088,女孩子玩瑶的时候都在想什么,2992,原创
BV1Si4y1s7Ac,小狼XF,24294,2078338,1032090,【每日更新】危机合约低配攻略合集《明日方舟》黄铁行动:黄铁峡谷【更新:中转站危机8、黄铁峡谷危机18 专一安洁莉娜】,7138,原创
BV1T54y1Q7f8,下班打游戏菌,12934,1251299,1024694,【中字】索尼PlayStation 5线上发布会,28540,转载
BV1bQ4y1P7Zy,NVIDIA英伟达官方账号,16546,571083,1021527,米哈游 Addiction Fuka 实时光线追踪 Demo 演示 - 4K,1199,原创
BV1mi4y1b76M,国家建筑师Cthuwork,45347,374551,1000464,【Minecraft】清明上河图 [灯火阑珊处 人在画中游]【国家建筑师】[北宋翰林张择端原本],2811,原创
BV1hT4y1g7mY,南云鸟羽,17238,1480260,999856,肥宅：我拿枪当老婆有什么错？？【解说全覆盖16期】,1834,原创
BV1TA411B7t2,明日方舟,24236,1232709,999684,《明日方舟》全新故事「乌萨斯的孩子们」活动宣传PV,17699,原创
BV1GZ4y1H7hB,战神奥利奥,8184,1297184,986961,Uzi退役后各路明星的祝福,33803,转载
BV1Mf4y1m7eC,英雄联盟,31354,733275,986342,【英雄联盟】Uzi热血赛场瞬间回顾,5563,原创
BV1mf4y1y76g,熙狗Game,23510,2123279,985323,看完这波，我把我家电饭煲吃了,1374,原创
BV1sD4y1Q75E,STN工作室,47720,735996,978885,【STN快报第五季01】乔尔的命也是命,10004,原创
BV1Eg4y1q7pu,怕上火暴王老菊,36075,1037755,972846,王老菊教你杀牛仔01&02,14849,原创
BV1nV411k7u3,大叔杰也可以是个酱,19903,2297517,970317,【英雄联盟】新英雄 阿古朵,1574,原创
BV1f5411W7gT,Super丶过,23481,307430,964079,【完整版】Untitled world【MV/中日字幕60fps/全网首发】,573,原创
BV1sg4y1v7Jg,哔哩哔哩英雄联盟赛事,12886,2799413,963132,【LPL夏季赛】6月25日 FPX vs IG,57739,原创
BV1wA411i7A1,杆菌无敌,38924,977479,958453,杆菌先骂为敬：最后生还者2，喂屎之旅！,4465,原创
BV1Ei4y1x7Vm,爱玩游戏的小黄鸭,9068,1019716,958182,【GTA4】当你把所有汽车的速度改为999999会怎么样？,6295,原创
BV13a4y1v7Fp,深海色带鱼,26988,1267582,951700,"野外不要""做""挑战？",8225,原创
BV1XC4y1a7NW,机智的党妹录屏组,18068,1294057,933366,不要“做“挑战（番外篇）,4850,原创
BV1Cz4y197wm,小六很六LOL,24171,587376,932844,欢 迎 来 到【英 雄 联 盟】英 雄 介 绍（148个英雄）,2681,原创
BV15J411E71m,想做唱见区的北韬韬,71193,678854,932069,无加成usp单刷巨人城.......,3527,原创
BV1TA411q7xj,跟风龍舞,42519,775717,923810,省钱省到妈都不认识的桥梁工程师#完结篇下,7053,原创
BV11Q4y1P7bz,清风拂晓蓝枫菌,3653,488027,916934,【Helltaker丝滑版】和Modeus一起摇摆吧！,268,转载
BV1Xx411p74G,风纪委员啊祖,6043,1040637,915164,17张牌你能秒我？？你能秒杀我？？17张牌你今天能把我卢本伟秒了，我当场就把这个电脑屏幕吃掉！！！,3638,转载
BV1bT4y177v4,CD_PROJEKT_RED,17042,1041403,903194,《赛博朋克2077》官方预告片 —— 差事,2215,原创
