视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1mi4y1G78L,腾讯,12321,1035502,814388,我就是那个吃了假辣椒酱的憨憨企鹅,10891,原创
BV1M5411Y76T,浮生蓑衣客,12720,488321,708767,一句话把骗子噎死,594,原创
BV1Ta4y1e7jX,凉风Kaze,28779,434413,686032,秃             ——阅片无数年度总结,5403,原创
BV1E5411Y7wC,摸鱼能手邓大头,15957,567719,633859,我爸是个逆反男孩了,2101,原创
BV1554y1z73A,华农兄弟,12625,740464,616402,华农兄弟：白天太热，晚上出来活动一下，抓点鱼,15649,原创
BV1vt4y197P4,大霓奈,2171,485168,615929,假如男生也有绿茶,1905,转载
BV1Bt4y197hZ,是桃子酱嘛,712,735189,595166,名场面预订了、笑死我了,545,转载
BV1AC4y1Y7NM,广州曙光口腔,543,707794,565054,神奇！医生将牙齿植入双目失明的老人眼中，老人重获光明！,554,原创
BV1c54y1z7LA,浩宇在路上,24900,443379,544517,妈妈知道我怕鬼，所以她走后从来没来过我梦里,573,原创
BV1bK4y1s7tt,关注看热点,162,694446,516626,热闹！老干妈上架1000瓶辣椒酱回应腾讯,822,转载
BV16D4y1Q7n6,蟑螂恶霸-G,1641,276140,506207,教大家一些没啥卵用但是看起来很帅的技能,140,转载
BV1Aa4y1e7cJ,记录生活的蛋黄派,14636,438174,497979,“读评论”我发现了海视频的方法,11965,原创
BV1Zk4y1z7AM,徐大sao,6214,570888,492537,酒店外卖点一圈，烤鸭面条杂酱粉，大sao差点失蒜，老婆开心坏了,5344,原创
BV1bf4y1173d,JaLEn半仙,666,595232,486511,今天刚刚学了一句撩人的话  怎么不怎么好,223,转载
BV1PK411H7gT,敬汉卿,25923,262839,459394,北漂三十天！（算个预告）,1794,原创
BV1o54y1i7Qe,美食作家王刚R,3834,405255,418255,厨师长教你：“泡椒腰花”的家常做法，味道巴适很下饭，先收藏了,2107,原创
BV1A54y1z7kN,旧真瞎哔哔,15445,333467,398311,我也想做一个伟大的人，可是老婆喊我回家洗尿布,1472,原创
BV1pD4y1Q7yi,洗剪吹六块钱,83,417264,369472,主人的任务,55,转载
BV1vp4y1U7z5,吾系哲学家,44,424521,366472,我网恋了一个女道士？,44,转载
BV1m54y1Q7eQ,冈部伦太郎·,11864,115431,362676,【醒醒】中华儿女该起床了,1399,原创
BV16A411i7Pn,钳子拯救没胃口,1529,351577,354922,当了几年海鲜奸商，我再也不敢给家里人吃龙虾尾了，猫腻太多,1008,原创
BV1ek4y1q7WM,中国BOY超级大猩猩,6918,228609,346698,不要笑挑战❌新故事王✔,1268,原创
BV1dk4y1z7c6,王尼玛,1579,328305,334601,腾讯对线老干妈，1000瓶辣椒酱你能秒我？！,374,原创
BV1PC4y1h75H,光速qaw,2667,228615,328434,节 奏 大 师,306,转载
BV19p4y1U7Hi,凉生kiki,408,329877,327351,如果是儿子，这将是另外一个故事。,308,转载
BV1mT4y1J7iG,幸运猎手,1978,244897,326437,武松打得过这玩意儿？,475,原创
BV1WK4y1s7zs,NWG新视野,44,365557,322569,"中国卖给捷克的动车交货,国外网友:谁能告诉政府我们也需要这个",227,原创
BV1ov411B7ZY,达达达布溜-,5958,268506,314675,不心动升级版！真·无人生还！有种就来试试看！,3679,原创
