视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1dz4y197zd,绝对不再熬夜,307423,7008334,7992337,《樱  桃  老  丸  子》,10191,原创
BV1m54y1Q7eQ,冈部伦太郎·,326103,2783710,7401664,【醒醒】中华儿女该起床了,34844,原创
BV1Wg4y1q7fk,拜托了小翔哥,527606,6116731,5052126,小翔哥回来了，我们重新开始,70530,原创
BV1o7411E71J,草莓味鸡胸肉,4858,1957095,4542658,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,14338,转载
BV1LV41167aW,小潮院长,370995,3451151,4509690,眼“色”游戏 （2）,79847,原创
BV1Hk4y1z7GA,尽七七,104917,2747340,4138708,当 滑稽 和其他表情合体,21263,原创
BV1pD4y1D7r7,老番茄,199449,5267324,4124645,默契挑战！！,117305,原创
BV1ep4y1D7s1,大蟀蝈,174835,3145108,4010584,高考作弊记,14263,原创
BV1bZ4y1W7ui,LexBurner,183016,4569588,3830711,手 往 哪 摸 呢 ？,47460,原创
BV18T4y1J7Jn,浩宇在路上,669709,3264488,3785148,妈妈去世后，就再也没有吃过了…,8290,原创
BV165411x7v9,初晓少年,33991,983539,3472570,当有陌生人敲门！打开这个视频！快！,1499,转载
BV1mz4y1Q7FF,中国BOY超级大猩猩,165827,3477937,3347882,我 摸到了！,37061,原创
BV1uZ4y1H7Fh,Reiji-白龙,218482,4099372,3339161,快给我住手！你喷错人了！！,6611,原创
BV1QA411q7NC,不良良良,40729,3545346,3092010,看看他最后是怎么离开死循环的,5413,转载
BV1mi4y1G78L,腾讯,131246,5508632,3021958,我就是那个吃了假辣椒酱的憨憨企鹅,56667,原创
BV1Az4y1R7WY,花少北丶,158825,3444107,3020645,新 概 念 吃 播,135990,原创
BV1Ta4y1e7jX,凉风Kaze,225306,2665750,2978758,秃             ——阅片无数年度总结,38953,原创
BV16v411B73n,手工耿,293119,4029155,2916832,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,29083,原创
BV1pD4y1Q7gd,盖里老哥,393426,1978233,2839996,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,65524,原创
BV1Pv41167FE,绵羊料理,222877,4539689,2672209,4斤重的烤羊腿！没见过世面的姐姐直接抱着啃...,9492,原创
BV1eA411q7C6,玄月之皓,140199,2414065,2621307,【互动视频】100%算中你的年龄！,33462,原创
BV1PK411H7gT,敬汉卿,256010,1904623,2588069,北漂三十天！（算个预告）,18671,原创
BV1ut4y1y75J,黎澈,70393,1302085,2532147,追男生硬核攻略教学  轻轻松松 从入门到精通,26083,原创
BV14a4y1v7Mx,饶舌者SKy-,33712,3715938,2489858,中 国 新 说 唱 总 决 赛 第二季,3622,转载
BV1Ea4y1Y7Bi,粗犷毛线君,41227,3597977,2425116,油管播放量破亿却惨被删除封号的特朗普恶搞视频,7114,原创
BV1mv411z7Rp,巫托邦,228707,1811671,2350674,我偷偷盖了个树屋！,10621,原创
BV1Ea4y147ye,新狸酱,22196,597541,2322947,【作文】那些写进作文里的神仙开头,667,原创
BV1Xp4y1D7ay,胡仔一人食,24791,1472198,2272468,适合【一人食】的八个创意小食谱,3963,原创
BV1Ra4y1e7fd,林喵喵吖,16886,3522290,2243456,选来选去还是这首歌最合适放学的她,2641,转载
BV1Na4y1Y7kQ,-孤独的造梦者-,18548,998320,2242746,#钟美美#钟美美所有作品合集(时长53分钟),28182,转载
BV1yD4y1D74h,成都见识新媒体官方号,96754,4131866,2232586,为啥费玉清《一剪梅》突然欧美爆火？不懂雪花飘飘梗会被嘲笑！,33296,原创
BV1ja4y1v7FJ,以安1AN,57945,2325121,2228270,当代网络现状,5722,原创
BV1Fi4y1x7n7,印度胖亚瑟,185090,2865948,2180976,印度愤青的新花样——卸载中国软件  印度封国的第七十四天,8908,原创
BV18K4y147i4,库玛i,57059,2083265,2155419,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,12865,原创
BV1yf4y1y7nY,我在旺角杀左人,36900,3738330,2140671,特朗普首次回应B站恶搞视频,14169,原创
BV1Jv411B7kZ,视角姬,131653,2949254,2136749,【以衣换衣·第二期】衣 服 换 换 换,20557,原创
BV1PE411w7hB,城北人未还,24346,417896,2108740,那些写进进作文里会让老师震惊的句子【狗头】保命,922,原创
BV1cQ4y1K7qL,新人剪辑师,62182,2618077,2048284,“你是我此生最大的浪漫”,12186,原创
