视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Cp4y1U7fp,智能路障,146060,1165221,2773063,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,26253,原创
BV11T4y1J7Lk,AliveGameStudio,141215,1153462,2528187,为了做游戏，我花了10年自学程序、美术、音乐、策划,15219,原创
BV1st4y197pq,硬核的半佛仙人,79981,1293814,2203390,【半佛】应届生求职利益最大化指南,10703,原创
BV1wp4y1S7qt,罗翔说刑法,107206,2735236,2003839,【罗翔】《隐秘的角落》犯罪分析，张三还有机会么？,38483,原创
BV1zi4y1G7qM,观察者网,100506,2170589,1590758,骁话一下：为什么美国没有华裔？,25877,原创
BV1ga4y1e7Z1,朱一旦的枯燥生活,90139,1685029,1516007,【朱一旦X罗翔】应聘保洁被骗光所有积蓄，朱一旦向罗翔求助！,31191,原创
BV1Ap4y1S7ko,张召忠,70091,800144,1242995,张召忠说187：美国200个生物实验室遍布全球，搞什么猫腻？,18573,原创
BV1WK4y1s71m,龙女之声,94288,549563,1188968,边做边跑 瞎眼战神 牙口太差只吃肉【龙女动物学】蛛形纲,5642,原创
BV1hV411k7h4,天降呦呦,43247,700337,1168949,【奇怪的传播学】下行生育率背后的传播学逻辑,8945,原创
BV1Za4y1Y76A,一席精选,14424,861314,1065745,名词解释：磕炮、福利姬、异体骨、情降、杀猪盘、白马王子综合症 | 女孩别怕的女性安全小课堂,9486,原创
BV1eD4y1Q7Bt,吟游诗人基德,47709,777786,1043556,【基德】为什么中国洪水越治理，经济损失越大？这是一种光看数据很容易导致的误区,8551,原创
BV16A411i7E3,二二酸酸,15932,614967,978366,学婊的千层套路,2708,原创
BV1KK411H7pQ,真我心理BeMyself,22890,458471,955162,谁在故意毁掉你的自律？揭秘上瘾的心理学原理，拆穿沉迷x片、游戏、视频的套路丨关于 《1984》 和 《美丽新世界》的预言,2370,原创
BV1Df4y117fq,沙琪玛er,39744,681545,933539,和中国一样大的太阳系模型！太阳系竟是如此空洞广阔！,4918,原创
BV1ek4y1q7oR,一条视频,20845,745086,924208,她把300个节育环制成饰品展出，美丽背后是荒唐与屈辱,2636,原创
BV1Ap4y1S77N,正经法律,13592,1220782,908835,律师评价《隐秘的角落》: 深度解析朱朝阳犯了多少罪？【正经法律】,7630,原创
BV1xf4y1175M,InfoQ技术实验室,13231,508938,869354,建议改成：关闭微信监听模式,424,原创
BV1iC4y187XS,★⑥檤轮囬★,27407,727630,826919,直男第一次做手工会发生什么？！,11857,原创
BV1Fk4y167Eg,温柔JUNZ,7801,954215,773339,【温柔】冒充老干妈，诈骗腾讯上千万，就为了游戏礼包？？？,9554,原创
BV1gi4y1V7t5,思维实验室,27186,508250,746231,日俄战争！一段鲜为人知的国耻，而且是三个国家的国耻！【思维实验室】,8003,原创
BV1iv411B7pg,歪果仁研究协会,21877,804569,739753,印度疯狂抵制中国制造？背后的逻辑是这样的。。。,5369,原创
BV1Yf4y1174c,英吉档案,7074,977019,714153,舞台飙泪牵手成功，婚后残忍杀死丈夫,23341,原创
BV1xv411B7qM,观视频工作室,12848,835235,709229,【睡前消息134】有人为“合村并居”批评山东，我想为山东说两句,21703,原创
BV13f4y117EE,空格魂,11350,885399,695769,印度网友疑惑：为什么中国人不抵制印度商品？中国网友在线真诚解答，听完他心态崩了..,2578,原创
BV1BC4y1a72c,汤茶铺,7111,262040,676962,万人血书急求：全国一卷答案规律！【北清学长被迫营业】,1557,原创
BV1uK411p7kQ,浅墨青芦,5234,315286,674331,那些半句封神的句子|你知道另一半吗？,752,转载
BV1xt4y1y7jH,牧羊场里沐阳,9482,152758,669217,【新海诚风格】教你将普通照片P成新海诚二次元风格！！！（干货分享）,356,转载
BV14g4y1v7Ks,才疏学浅的才浅,46102,302146,649771,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,2829,原创
BV1ga4y1e77T,大谷的游戏创作小屋,9308,463007,640998,我用人工智能修复了百年前的北京影像!!第2期[民俗乐队，街边地摊与剃头匠]【60FPS彩色4K】,3179,原创
BV1QC4y187Dp,不正经老丝,8197,665965,640892,爷吐辣 口红都是虫子做的？？？,7218,原创
BV1La4y1e74p,我是江无情,4026,765623,595708,大树穿车？这是谁的杰作？,2520,原创
BV1ek4y1q7jk,牧羊犬边小牧,6393,744404,591669,沉迷“吸毒”的动物，千万不要吸毒,2049,原创
BV1rv411B7qu,回形针PaperClip,8632,497158,572880,【回形针PaperClip】为什么女生的内衣总是不合身？,3503,原创
BV1zK411n72P,是桃大,23310,382874,572413,4个月吸毒花了几十万，害人的笑气竟然不算毒品，就在身边【禁毒日专题】【国家纪003】,3334,原创
BV1yv411B7Ga,zettaranc,18293,268533,550147,你真的对这个世界做好准备了吗？丨ztalk,4388,原创
BV1AC4y1Y7AE,魔界造物,4823,588911,540754,【自制】马格努斯效应飞行器 ，一般人都看不懂的飞机,2177,原创
BV1cD4y1S7BM,油兔不二字幕组,92,815473,538454,实拍抽真空神器去黑头的全过程，吸出来的瞬间强迫症看爽了！@油兔不二字幕组,327,转载
BV19C4y187NT,天不公平,2321,621090,524095,真的有那么丝滑吗——【南航本科毕业设计——穿戴式下肢外骨骼机器人研究】,340,原创
BV1BJ41187wM,名师公考,3976,451238,520993,数量关系&资料分析《超厉害：资料无计算、数量无方程》（UP主其他课：公安联考、公安专业科目、言语理解、判断推理）名师公考,1248,转载
BV1n54y1B7bE,懒癌学渣,2330,84411,496407,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,630,转载
BV1Dk4y1q781,YouTube英语精选,4222,82544,490317,【TED-ED英语科普】700集全！B站最全！练英语听力口语最好的资料！,395,转载
BV1R54y1i761,微光小九,5522,158097,488673,win10系统美化，保姆级教程，高配的电脑千篇一律，有趣的桌面万里挑一,768,原创
BV1Ga4y1e7u3,戴建业老师,25434,333594,487967,【戴建业】小学生都会背的《春晓》和《如梦令》，你真的读懂了吗？,6057,原创
BV115411W7Md,三维地图看世界,5754,369254,481733,我国五大战区如何划分？哪个战区实力最强？西部战区距离印度最近,1121,原创
BV1UZ4y1M7SR,王爷的杂货铺,1995,568007,481020,老干妈VS腾讯：东部最强男和西部最猛女谁会胜出？脑洞解析,1436,原创
BV1Xv411B7UU,商悟社,154,638140,479724,老干妈惊人回应：双方无任何合作，腾讯被人诈骗了！太魔幻了,1030,原创
BV1CK4y147um,射程之内皆为真理,5198,216130,475904,南街村“向着‘共产主义集体村’目标前进！”,1738,转载
BV1TK4y147Ap,歼击机看vivo,617,441003,475732,1991年苏联解体，看当时的新闻联播如何报道这一历史性时刻,1177,原创
BV1rz411e71c,魔鬼投资人,1058,534379,473945,【深度解析老干妈发展历程】老干妈被腾讯起诉？腾讯被骗？,2502,原创
BV1MV41167ut,跟着浩然玩转高考物理,19709,166309,466624,【高三必看】学长分享高考前一定不能做的事｜祝大家前程似锦！,1729,原创
BV1mf4y117Yx,大蜡烛,11033,178244,465529,一不小心倾家荡产？创业开店选址避坑指南【蜡烛】,1292,原创
BV1yk4y1q7Pp,张鹏宇律师,1042,539489,465522,情侣开房你管得了吗？,858,转载
BV1Bk4y1q73e,江湖举人,10182,305980,458115,人到底为什么而活？活着太累了。深度解析余华经典《活着》,1809,原创
BV1wV41167o5,历史调研室,17654,264087,456100,二战前夜，大国博弈：张伯伦与绥靖政策【历史调研室09】,2614,原创
BV17g4y1v7Qn,毕导THU,11728,333960,452508,【毕导】当年高考理综大翻车的我，是怎么靠一条鱼惊险地上了清华....,18444,原创
BV1cZ4y1u7nm,国器CountChine,315,552953,448902,中国天眼遇暴雨成了汤锅？成功泄水主要靠两点，选址就用了整13年【中国天眼】,496,原创
BV1o54y1i723,画渣花小烙,6052,391577,446437,"[科普]为什么下雨天睡觉,会让人觉得特别舒服?",940,原创
BV1DZ4y1M7fY,洗洗涮涮修修补补,479,469862,444970,【强迫症】清洗超脏地毯 | 洗出个泥石流,2652,转载
BV1jD4y1S7v1,XweetokDD,53,536082,444205,【短片】快 速 装 填,55,转载
BV1XK4y1x7WJ,北木栽于南,162,476902,443048,人类为何不能吃人肉,1234,转载
BV1p5411Y7Gt,在下讲武生,3380,396458,439714,印度为什么总是要搞我们？,4728,原创
BV185411W7g2,创创呀丶,1878,438072,437055,这是毛爷爷最后一次参加中共十大，散会时说的一句话！,0,转载
BV13D4y1S7JZ,在下邦德老师,28636,259681,433331,全民反智？看不懂漫威，就看不懂美国(四) : 高科技魔法（B站独家）,7792,原创
BV1mv411B7F5,无穷小亮的科普日常,10807,378918,432006,【亮记生物鉴定】近期网络热传生物鉴定9,4578,原创
BV1QC4y187dU,互动大王,13547,405642,429226,他直播强奸 我打赏犯罪吗？,1528,转载
BV1QE411s7PM,郝仁渡鸦,700,439324,428346,我强奸我自己犯法吗？？,1043,转载
BV1EA411i7Ca,芝士见长,5298,146555,427690,【阅网无数】你下载的“小电影”都被这个网站记录了！,35,原创
BV1ra4y1Y7qh,我喺非凡哥-麦长青,19619,305739,424153,【麦长青x戏里戏外】聊一聊23年前我出演的《天龙八部》，当时的我……,4653,原创
BV13K411H7Us,语译分西,3044,473826,420114,【油管热议】李子柒端午粽子视频被韩国人举报而导致下架？,825,原创
BV1KT4y1J7Nx,祖安日语,2298,442765,416306,日本网友评论，当中国人叫我们“小日本”时！反应亮了！评论笑死了！,5807,原创
BV1XV411r7RT,chenfenghua,7667,267996,414642,【实验艺术】让从来没有接受过新式学校教育的老人完成一幅画作,520,原创
BV1dZ4y1H7nH,老蒋巨靠谱,15719,127473,403829,2020最残酷求职季，职场新人如何准备应对？,3588,原创
BV1vt4y197xV,Momentor动态设计C4D,15862,107769,403745,【Mo精选】最深度的EVA致敬CG - 导演完全版《EVA超·现实》【幕后/正片已下架】 by SOMEI | C4D制作,147,原创
BV1Kv411B7Tw,乌鸦校尉CaptainWuya,9924,244425,396296,【乌鸦校尉】美国黑人曾距共产主义只有一步之遥？,2136,原创
BV1Zk4y1B7bE,纸条App,3105,100460,395329,过目不忘！开考前5分钟就能背完的短句（附解析+例句哦）【纸条摘抄】,1267,原创
BV1ag4y1v73u,白石菊姐姐,1890,311839,392027,肛裂自我护理,1877,原创
BV1Kp4y1S7n3,凹凸赛克,30994,184974,389724,【自制】历时30天，用乐高还原DNF云上长安副本场景,1287,原创
BV1854y1Q7Ff,Memory星城,75,428182,389163,死亡之雨——白磷弹,241,转载
BV1z4411Y7tX,尽整没用的,3888,181855,383217,世上有几人能活到这短片结束？,5688,转载
BV1pT4y1g7CF,乔伊nikkie,1322,235149,377171,赏心悦目的马兰戈尼效应,279,转载
BV1uE411375k,当橘者迷,6934,163471,377162,【法治之光】罗翔教授打动人心的金句,376,原创
BV1Jf4y117eg,-LKs-,9413,252032,375689,把真人变成2次元角色？小众变装文化探秘<包罗万象7>,10846,原创
BV1VK411H7hc,国防时报热点,80,412133,365559,联合国五常少见达成一致，这两项提议曾被五常一致否决,1533,原创
BV1Nf4y117ph,HAI-JUN,1034,366107,365537,1978邓小平访问日本，一句“请松下老先生和在座诸位帮忙”，让人深深的佩服！真正的是王者！也让人感动，能屈能伸！,0,转载
BV187411Z7bx,摄影教程,1905,66630,361666,【PS教程】终于有一套全面的PS教程啦！从零开始学PS！！,1334,转载
BV1KC4y1h7y5,李二旦新讯,472,360536,358667,新加坡副总理因为说中国比印度好，被主持人粗暴打断,1431,转载
BV1Xg4y187KB,刘杰Eric,1635,70468,354654,【英文听力练习600句】彻底提高您的英文听力水平,1021,转载
BV1pg4y1v7rE,所长林超,12892,214322,354148,【深度分析】流量时代的极乐净土【所长林超】,3571,原创
BV1dj411f7vb,法律人的自修室,2297,143245,352089,【2020法考】罗翔讲刑法（合集）已完结 共96讲 厚大法考,4214,转载
BV1Jg4y1q7xs,这是Morty,7482,124506,351418,【Morty深度干货】为什么你总是那么穷？社会财富分配背后的残忍真相,928,原创
BV1ep4y1U76T,博叔生物,3936,239746,351375,专业生物老师教你如何千杯不醉,1243,原创
BV1QA411i792,娃娃脸的肖叔叔,1919,343307,343605,开战？印度已是经济俘虏！透视印度的四大“穷根”,2921,原创
BV1YD4y1D7AT,差评君,6454,290311,341176,【差评君】我在阿三哥的卸载中国app中，发现了印度版财富密码...,1169,原创
BV1Vf4y1m7Kg,魔方根,1460,344416,337857,特朗普魔方,319,转载
BV16T4y177tL,浪浪历险计,6187,124448,337142,【浪浪】父母保险避坑指南,275,原创
BV1Jg4y1v7Je,住在同福客栈里的人,205,371001,334120,【武林外传】燕小六的结局究竟有多讽刺,305,原创
BV1mz411e7FM,阿扶frits,2582,316902,332427,腾讯想靠老干妈制霸B站，钉钉笑了,1254,原创
BV1R7411w7JA,迫害张三,382,332304,331203,张三史上最惨的一集,787,转载
BV1vT4y1J7yn,全球档案馆,6491,213192,322199,21世纪中国离战争最近的一次，回顾南海点兵始末,1489,原创
BV1jQ4y1P7Pv,半自动枪毙机器人,106,351482,321545,【罗翔】女：我有艾滋，张三：我就好这一口！,328,转载
