视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1ga4y1e7Z1,朱一旦的枯燥生活,90139,1685029,1516007,【朱一旦X罗翔】应聘保洁被骗光所有积蓄，朱一旦向罗翔求助！,31191,原创
BV11z411e7Tk,罗翔说刑法,34961,1286748,1022467,【罗翔】高考语文第一题是拼音，我直接秒选,22918,原创
BV1KK411H7pQ,真我心理BeMyself,22484,455028,945661,谁在故意毁掉你的自律？揭秘上瘾的心理学原理，拆穿沉迷x片、游戏、视频的套路丨关于 《1984》 和 《美丽新世界》的预言,2307,原创
BV1Tz411v7Gw,硬核的半佛仙人,10275,580724,603372,【半佛】企鹅大战干妈背后的3个关键性问题。,7898,原创
BV17g4y1v7Qn,毕导THU,11728,333960,452508,【毕导】当年高考理综大翻车的我，是怎么靠一条鱼惊险地上了清华....,18444,原创
BV1zi4y1G7qM,观察者网,10256,335635,389927,骁话一下：为什么美国没有华裔？,2826,原创
BV1xf4y1175M,InfoQ技术实验室,5230,208010,376522,建议改成：关闭微信监听模式,159,原创
BV1Dk4y1q781,YouTube英语精选,3138,64113,373301,【TED-ED英语科普】700集全！B站最全！练英语听力口语最好的资料！,362,转载
BV1mz411e7FM,阿扶frits,2582,316902,332427,腾讯想靠老干妈制霸B站，钉钉笑了,1254,原创
BV1WK4y1s71m,龙女之声,17063,174198,310574,边做边跑 瞎眼战神 牙口太差只吃肉【龙女动物学】蛛形纲,907,原创
BV1x54y1z7NM,娃娃脸的肖叔叔,6545,214333,291187,开挂？只是精神胜利法！透视印度低主权纯度陷阱，诱发国家精神分裂,2,原创
BV1NC4y1h7LZ,观视频工作室,1248,247403,255545,【金融南局】美国：我不卖你芯片了！中国：那你还怎么赚钱...？,920,原创
BV1hK4y1s73y,空格魂,1452,203658,219182,印度下架59款中国APP，印度网友欢呼与痛哭齐飞！怒评：印度APP都是垃圾,800,原创
BV1QC4y187dU,互动大王,6042,185109,216362,他直播强奸 我打赏犯罪吗？,665,转载
BV1mv411B7F5,无穷小亮的科普日常,3341,163929,195436,【亮记生物鉴定】近期网络热传生物鉴定9,1284,原创
BV1Fk4y167Eg,温柔JUNZ,1182,165314,195016,【温柔】冒充老干妈，诈骗腾讯上千万，就为了游戏礼包？？？,1531,原创
BV1Za4y1Y76A,一席精选,2175,110966,190704,名词解释：磕炮、福利姬、异体骨、情降、杀猪盘、白马王子综合症 | 女孩别怕的女性安全小课堂,1030,原创
BV1Ka4y1e7TB,小松塔PPT,1319,51695,186440,我复刻了一个国外大神的PPT，看看国外的PPT长啥样？,13,原创
BV16K4y147oQ,戴建业老师,5467,133074,185124,【戴建业】恢复高考第1年，我超了北大录取线19分,1871,原创
BV1qa4y1h7iD,我是江无情,6473,109103,168249,波兰捕获野生UFO？,1347,原创
BV1bp4y1U7fo,共青团中央,2714,96985,158237,2020高考倒计时：“你只管努力，我们等你！”,1455,原创
BV1dC4y187FM,钉钉DingTalk,1904,113670,153145,【 防 骗 指 南 】伪造印章签合同，张三犯了什么罪？,910,原创
BV1yk4y1q7qW,自说自话的总裁,2520,96724,150560,抽烟、喝酒、泡妞，这头二战里的熊战士还有军衔,887,原创
BV1QC4y187Dp,不正经老丝,875,131764,148918,爷吐辣 口红都是虫子做的？？？,917,原创
BV18K411n7WQ,晨视频,9,148584,146650,巧合？贵州毕节地震，当地另一山谷近日传不明异响，当地政府：隔很远，无关,269,原创
BV1DZ4y1M7fY,洗洗涮涮修修补补,113,119725,133692,【强迫症】清洗超脏地毯 | 洗出个泥石流,345,转载
BV1sz4y1X7Ug,幽灵校长,1679,103748,131127,6G时代赛博印度，你如何带逃婚女孩逆袭成土豪【千本科幻57】,1054,原创
BV1854y1Q7Ff,Memory星城,35,120715,128218,死亡之雨——白磷弹,57,转载
BV1Yf4y1174c,英吉档案,765,109720,126470,舞台飙泪牵手成功，婚后残忍杀死丈夫,2869,原创
BV1nz411e74L,探秘历史啊,31,122958,123396,钱学森回国时，收到电报“沿途切勿下船”，50年后才知道发件人是谁,23,原创
BV1GA411e77U,小猿搜题李尚泽老师,123,106888,120247,《隐秘的角落》里全班只有朱朝阳做出来的题，你要了解一下吗？,362,原创
BV1RK411n7hR,知来日可追,7,118707,119911,开封女子吸毒与多名男子同居怀孕，预谋注射艾滋病人血液逃避打击,66,转载
BV1p5411Y7QB,有机社会,3388,71246,119151,10年了还没打完？带你一次看懂叙利亚内战的来龙去脉【有机社会Vol.15】,1279,原创
BV1di4y1G7xt,大又元,156,111505,118344,老干妈三年纳税20亿，坚持不上市行销全球，国外网友眼中的奢侈品,262,原创
BV1G54y1z7nn,国防时报热点,52,114677,116988,俄罗斯也开始退群！俄退出一人道主义援助组织，美国不淡定了,88,转载
BV1gi4y1V7t5,思维实验室,3042,73782,112896,日俄战争！一段鲜为人知的国耻，而且是三个国家的国耻！【思维实验室】,713,原创
BV1kz411e7g9,奇闻观察室,2028,78880,112465,隐形相机犯罪有多恐怖？,3324,原创
BV1n54y1B7bE,懒癌学渣,539,18166,111233,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,100,转载
BV15Z4y1p7tK,江晚视界,8,96833,102052,乌克兰美女高官被解雇后，身穿比基尼宣布“复出”，身材火辣成焦点,97,原创
BV1Yg4y1v7Xv,好奇心会社,387,74238,100620,这不是黄色,258,原创
BV1MV41167ut,跟着浩然玩转高考物理,4413,33680,100434,【高三必看】学长分享高考前一定不能做的事｜祝大家前程似锦！,486,原创
BV1kK411n7Ws,飞碟说,434,67622,97797,一击致命的人体部位有哪些？,330,原创
BV1dk4y1z7oK,画渣花小烙,2066,72842,97589,【科普】为什么洗澡的时候会感觉自己唱歌格外好听？,316,原创
BV1JD4y1S78a,东吴学长,335,80197,97455,【隐秘的角落】做一做张东升老师的奥数基础测试 |看一看时间管理大师朱朝阳到底有多强,521,原创
BV1uK411p7kQ,浅墨青芦,724,41010,96769,那些半句封神的句子|你知道另一半吗？,116,转载
BV1tt4y197uR,一水遮夏,3428,48685,96261,【硬核科普】真·国产之光，什么是国家“02专项”,367,原创
BV1ag4y1v73u,白石菊姐姐,374,70363,95821,肛裂自我护理,407,原创
BV1CK411n75i,IRT-View,184,52816,95318,3D动画演示：做各种运动时人体的骨架是如何活动的？人体太奇妙了,199,转载
BV16p4y1U76S,赛雷三分钟官方,1420,69176,92372,俄罗斯送航母给印度，说好的不用钱最后却坑了印度一百多亿,526,原创
BV1ip4y1U7ax,VicSkr,103,70479,91088,这到底是什么原理啊？？？,82,转载
BV16A411i7E3,二二酸酸,1224,43226,89166,学婊的千层套路,215,原创
BV1Xv411B76H,虎符视频,49,80524,87247,我军新型空中烟幕发射车 这才是真正的遮天蔽日,141,原创
BV12a4y1h7e8,燃烧吧大佬,910,59313,85626,如何败光1亿rmb？,892,原创
BV1xt4y197mM,PP达人,2173,36709,84130,毕业10年在工作中被甲方坑20多万！接私单到底有多少坑？,345,原创
BV1AZ4y1p7wt,环球图说,27,80268,84082,两个国家共用一个首都！还相互看不起，不会乱吗？,101,原创
BV1Nf4y117ph,HAI-JUN,214,71620,80702,1978邓小平访问日本，一句“请松下老先生和在座诸位帮忙”，让人深深的佩服！真正的是王者！也让人感动，能屈能伸！,0,转载
BV1ep4y1U76T,博叔生物,951,52480,80447,专业生物老师教你如何千杯不醉,282,原创
BV1bE411g7D8,超级旅行者369,657,18595,80142,激活100％的大脑潜力-天才大脑频率-Beta波（Brainwaves）,31,原创
BV1tT4y177WX,油兔不二字幕组,2,78107,79396,疫情肆虐下外国一监狱的真实画面，太窒息了@油兔不二字幕组,28,转载
BV1PC4y1h7eL,风羽酱-sdk,278,69991,77792,影视飓风工作室被淹了？希望下次暴雨来没事 ——硬核分析，实用天气软件推荐,211,原创
BV1Ra4y1Y7kC,节点见闻,9,73015,77059,李嘉诚言中了！抛售潮、断供潮真来了？高房价正“跌落神坛”【节点经济】,136,原创
BV19C4y187NT,天不公平,215,68362,75626,真的有那么丝滑吗——【南航本科毕业设计——穿戴式下肢外骨骼机器人研究】,35,原创
