视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1R5411W7Re,观察者网,659513,4086787,5803520,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,58495,原创
BV14g4y1v7Ks,才疏学浅的才浅,397282,1861957,3845536,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,26931,原创
BV1Z5411p7Ct,历史调研室,135686,1236705,3652370,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,16446,原创
BV1n54y1B7bE,懒癌学渣,14540,519480,3129831,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,2588,转载
BV1Cp4y1U7fp,智能路障,146060,1165221,2773063,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,26253,原创
BV1Da4y1e7Q8,英语兔,45127,394806,2765022,"泰戈尔《飞鸟集》英文版326首全集(英音+美音), 适合朗读和练听力",831,原创
BV1uK411p7kQ,浅墨青芦,23691,1565518,2720451,那些半句封神的句子|你知道另一半吗？,3700,转载
BV11T4y1J7Lk,AliveGameStudio,148271,1187277,2614508,为了做游戏，我花了10年自学程序、美术、音乐、策划,16029,原创
BV1Cf4y1y7KT,稚晖君,134306,1556882,2560220,【自制】如何把门禁卡做成你用不起的样子？硬核UP自制带屏幕的NFC名片,7513,原创
BV1CT4y1E7rf,泛式,90415,1065626,2548172,别让浑浑噩噩毁了你的生活！百万粉up主的时间管理心得分享！,7182,原创
BV1xT4y177Kq,罗翔说刑法,140840,3227482,2447376,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,33926,原创
BV1KT4y1J7Gj,戴建业老师,244386,1400481,2368892,【戴建业】同学们我来B站了！今后一起聊聊诗词吧！,40084,原创
BV1ea4y1v7ce,硬核的半佛仙人,100404,2867358,2309589,【半佛】年轻人是否应该尽早买房,22342,原创
BV1YV411r7xs,好奇星人知识酱,99484,2444303,2300606,【罗翔vs半佛】专家没有灵魂？知识要广还是要精？,28683,原创
BV1g5411W7PN,绝命老铁,100711,1853407,2034637,用事实告诉你，漂亮国到底有没有平等和自由【绝命老铁】,61576,原创
BV1hz411i7cD,龙女之声,214582,1213709,2028198,这个王者明明超强却喜欢捡垃圾吃【龙女动物学15】软甲纲,5273,原创
BV1z4411Y7tX,尽整没用的,21584,930191,1756460,世上有几人能活到这短片结束？,33184,转载
BV14g4y1i7Ey,小天童靴,22359,467128,1734768,表白利器  马赛克拼贴照片制作  有字幕,235,原创
BV16z4y197yc,在银行下象棋,14086,461261,1695500,【高考数学】看懂这张纸至少131分！清华学长带你押题（2020国I）,1877,原创
BV1HC4y1p7nn,哔哩哔哩视频卫星,45573,2918667,1658794,B站的儿童节礼物：哔哩哔哩视频卫星，把世界拍给你看！,9225,原创
BV1rC4y1a7kA,所长林超,66950,918401,1649060,全球衰退年代，年轻人的机遇与艰辛,11764,原创
BV1Xg4y187KB,刘杰Eric,7918,296333,1625628,【英文听力练习600句】彻底提高您的英文听力水平,3516,转载
BV1b54y1B799,温柔JUNZ,43950,372803,1568051,满分UP主倾囊教你写高分作文！最强攻略！【满分作文攻略01】,5462,原创
BV16A411i7E3,二二酸酸,28372,1160716,1559695,学婊的千层套路,5063,原创
BV1Zk4y1B7bE,纸条App,12044,355854,1535975,过目不忘！开考前5分钟就能背完的短句（附解析+例句哦）【纸条摘抄】,4285,原创
BV1xK4y187qB,视光医生马老师,18757,805968,1528418,选眼镜框有个公式你知道吗？,1323,原创
BV1ga4y1e7Z1,朱一旦的枯燥生活,90139,1685029,1516007,【朱一旦X罗翔】应聘保洁被骗光所有积蓄，朱一旦向罗翔求助！,31191,原创
BV1Lt4y197rU,超人聊模型,17095,1546710,1506392,从第7秒开始一直“卧槽”到结束,4894,转载
BV1EA411i7Ca,芝士见长,18836,525204,1484698,【阅网无数】你下载的“小电影”都被这个网站记录了！,159,原创
BV1xT4y1g7KZ,渗透之C君,55890,630404,1440075,干货! 成绩全A的UP主讲述留学生常走的五条弯路!,4275,原创
BV1TK4y147Ap,歼击机看vivo,3769,2491529,1395616,1991年苏联解体，看当时的新闻联播如何报道这一历史性时刻,6408,原创
BV1WZ4y1H7Jv,汤茶铺,12244,399290,1346713,10年内，高考答案的强规律性【北清学长亲传】,2334,原创
BV1yv411B7Ga,zettaranc,57626,574075,1285632,你真的对这个世界做好准备了吗？丨ztalk,13160,原创
BV1mT4y1E7xf,大树君,32691,2459309,1266680,女孩第一次来月经浑然不知，路人看到后，有人脱下了自己的外套（社会实验）,6990,原创
BV1eg4y1q7md,亮生活-Brighside,6259,848917,1263485,23个可能会在哪天救你一命的小技巧,3013,转载
BV1Cf4y127Yz,绝世天才王大牙,29424,866890,1259345,如何反驳精神资本家？,5521,原创
BV1Ap4y1S7ko,张召忠,70091,800144,1242995,张召忠说187：美国200个生物实验室遍布全球，搞什么猫腻？,18573,原创
BV13f4y117EE,空格魂,34946,2958778,1233844,印度网友疑惑：为什么中国人不抵制印度商品？中国网友在线真诚解答，听完他心态崩了..,9559,原创
BV115411W7Md,三维地图看世界,20196,1417770,1227873,我国五大战区如何划分？哪个战区实力最强？西部战区距离印度最近,5040,原创
BV1oC4y1h7io,全球档案馆,48787,724437,1200695,阵亡率500%的铁军，真实还原惨烈的“上甘岭”战役,7439,原创
BV11z4y197sm,wendy_vibes,12840,258989,1192897,一张A4就搞定! 3种折叠法让复习更高效 | 简单实用的复习笔记 | 妙用三维学习方法 | 干货,511,原创
BV1dp4y1S7Vx,思维实验室,57090,982478,1192382,"【思维实验室】如果甲午战争大清赢了,日本会怎样？",13020,原创
BV1si4y1x7HJ,皮科医生魏小博,12871,728866,1169599,痒到怀疑人生？被汗疱疹和荨麻疹支配过的同胞们看过来，皮肤科医生手把手教你解决,4452,原创
