视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1VD4y1S7ho,王霏霏Fei,76708,2234291,1987129,乘风破浪的姐姐-大碗宽面练习室版舞蹈,17885,原创
BV1pz4y1X7pC,卡卡Orange,71331,693649,1594389,【卡卡】♦囍♦一尺一恨,3088,原创
BV1MZ4y1p7Er,舞小喵,14971,476357,946318,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,604,原创
BV1rv411B7j1,桃核叫我桃道长,9966,710986,840280,姐姐无处不在，姐姐无人不爱,776,原创
BV1Q54y1i7hq,Ellen和Brian,31658,394678,780769,BLACKPINK新歌How You Like That 9套换装 全曲翻跳【Ellen和Brian】,1462,原创
BV1fk4y1z7K9,猛男舞团IconX,20343,682076,755428,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,1909,原创
BV1j4411W7F7,果厨果厨果,7360,586169,717476,【猛男版】新 宝 岛,2758,转载
BV1v5411Y7kA,语荞Hathaway,28935,406550,698242,4K外滩蹦迪！草莓音乐节没过瘾的小姐姐已经不在乎自己穿什么了！新裤子乐队 - 你要跳舞吗？,1253,原创
BV1ek4y1q7ec,醋醋cucu,14432,463591,668921,车库女王 高跟蹦迪 乘风破浪的姐姐主题曲【醋醋】,977,原创
BV1rD4y1Q7jc,-欣小萌-,8119,528570,657925,不要心动❤️我要开始表白了【欣小萌】,1953,原创
BV1af4y117Rj,果哝双子,4501,627015,602592,精神小姐姐地铁站热舞,897,原创
BV1fz4y1973E,劳伦-摩勒,5529,291282,578369,炫目特效,528,转载
BV1bf4y117kM,几兔灰,2474,281776,532095,【几兔灰】Hot lssue - 徐穗珍【竖屏】,166,原创
BV1rt4y197PW,中信银行信用卡客服,3643,498973,476023,【中信银行信用卡中心】超还原书记舞，不看错亿！,692,原创
BV1rp4y1U7Xb,一只小仙若,4483,321896,450597,【小仙若】在教室里跳恋爱循环！拉满活力Buff❤,1576,原创
BV1wK411H7LA,小巫酱w,6451,181278,447960,【小巫】国风旗袍❀咏春·七朵❀春知晓梦不觉恰似你我那年……,497,原创
BV1EK4y1s7YL,LULU白璐,2470,294775,424676,BLACKPINK - HOW YOU LIKE THAT 舞蹈 by: LULU白璐,231,原创
BV1z5411Y7js,兔总裁s,1427,371243,406646,偷穿妈妈衣服在广场跳姐姐舞！【兔总裁】,218,原创
BV1yk4y1q7Eb,灯格酒绿,8000,236911,403162,张语格&周梓倩｜Blackpink-How You Like That翻跳｜cover｜snh48,5969,原创
