视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1v5411Y7kA,语荞Hathaway,26278,355123,624329,4K外滩蹦迪！草莓音乐节没过瘾的小姐姐已经不在乎自己穿什么了！新裤子乐队 - 你要跳舞吗？,1100,原创
BV1z5411Y7js,兔总裁s,1427,371243,406646,偷穿妈妈衣服在广场跳姐姐舞！【兔总裁】,218,原创
BV1J5411Y72Q,adadance,5656,176891,304932,BLACKPINK 新歌 《How You Like That》全曲三套换装翻跳,286,原创
BV1pz4y1X7pC,卡卡Orange,9319,88488,239285,【卡卡】♦囍♦一尺一恨,333,原创
BV1ek4y1q7ec,醋醋cucu,2159,167973,221258,车库女王 高跟蹦迪 乘风破浪的姐姐主题曲【醋醋】,183,原创
BV1EK4y1s7YL,LULU白璐,867,117674,175675,BLACKPINK - HOW YOU LIKE THAT 舞蹈 by: LULU白璐,73,原创
BV1rp4y1U7Xb,一只小仙若,1141,119703,163879,【小仙若】在教室里跳恋爱循环！拉满活力Buff❤,693,原创
BV1j4411W7F7,果厨果厨果,1449,106164,161936,【猛男版】新 宝 岛,520,转载
BV1z5411Y7Js,青稞芋泥陶可爱,525,56252,131714,公 园 羞 耻 尬 舞 猛 女 蹦 迪♡乘风破浪的姐姐高跟鞋翻跳♡【陶陶】【无价之姐】李宇春主题曲今天秘书不上班(≧ω≦)/,335,原创
BV1P5411Y78m,Awesomehaeun_CN,1050,80674,128733,【Kidsplanet罗夏恩】最新翻跳综合位完整版来啦【 BlacKPink -HOW YOU LIKE THAT】,191,原创
BV1Q54y1i7hq,Ellen和Brian,3952,60906,128286,BLACKPINK新歌How You Like That 9套换装 全曲翻跳【Ellen和Brian】,138,原创
BV1ok4y1z7B2,苏司喵susiemeoww,1403,33580,122660,【苏司喵】BLACKPINK-How You Like That全曲保姆级教程 镜面分解,97,原创
BV1VD4y1S7ho,王霏霏Fei,2206,72956,119690,乘风破浪的姐姐-大碗宽面练习室版舞蹈,563,原创
BV1Nk4y1674A,KPOP日常_同更青创,280,84225,100866,孔雪儿cover宣美新歌《紫光夜》！夏天菠萝冰棒！,229,转载
BV1eK4y147hb,李大龍・,212,67885,88719,【俄罗斯LUMINANCE舞团】BLACKPINK - 'How you like that',136,转载
BV18k4y1q7dT,楽小漫,1339,42554,79197,关灯这么美！让你欲罢不能的中国风剪影桃花旗袍-by楽小漫,45,原创
BV1sf4y117Mm,巫小萤,259,30070,78162,【巫小萤】摆尾（Freaky）- 金泫雅❤,28,原创
BV1K5411Y7YP,早上好七七,449,19632,69276,【羊七七】LIKE A CAT❤猫步轻俏【白猫还是黑猫？】【星辰】,47,原创
BV1zv411B7ja,娱乐舞蹈视频,136,42356,64181,(Na Haeun)罗夏恩翻跳BLACKPINK最新回归曲_(How You Like That),72,转载
BV1dC4y187y5,浅野菌子,471,29329,62613,【菌子】4K✿Violeta-izone 仙气满满❀你是我的！,31,原创
BV1vv41167sR,lana酱好纠结,529,22162,62211,极度舒适的日式Hiphop律动 Tenju & Tatsuki编舞Made my day,16,转载
BV11C4y187Mw,蘑菇mo_,762,13142,61671,"【蘑菇】有点高的高跟鞋,会喜欢吗？短发-AOA【4K吸猫双倍快乐】",82,原创
BV1fz4y1973E,劳伦-摩勒,512,28053,59341,炫目特效,63,转载
BV1WT4y177ZA,伢伢gagako,414,43947,55989,“电 竞 舞（猛） 王（女） ”,101,原创
BV16z411e7pA,Mr彦Alex,367,20947,55925,可爱减肥舞健身操尊巴Zumba舞《樱桃小丸子》主题曲《大家一起来跳舞》有氧操有氧舞蹈减肥操燃脂操健身操产后瘦身塑形,26,原创
BV1LK411H73M,桂圆茶gycrence,535,32591,49995,桂圆茶 | BLACKPINK新歌'How you like that'全曲走位超还原翻跳 装凶第一名,66,原创
BV1XT4y1J73K,Tco皮皮,151,41650,49542,【How you like that】跳舞机这么快就更新了？BLACKPINK最新回归曲完整版上机来啦！,32,原创
BV1BC4y187Xf,舞小喵,441,32267,49243,【舞小喵】短裙-Miniskirt 竖屏极致体验，等你查收~！,20,原创
BV14t4y197BL,晓丹小仙女儿,1011,24346,48401,【晓丹】师妹变强了！请你吃大碗宽面！,45,原创
BV18T4y177eM,流萤Zz,1288,27387,48250,【4K】辉夜大小姐想让我尬舞？精神小伙们的 爱 杀 宝 贝 ！,70,原创
BV1gV41167sH,泡芙酱DAZE,869,11828,45790,nonono！进来看细腰【泡芙】,32,原创
