视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1fz4y1973E,劳伦-摩勒,31509,1587018,2648454,炫目特效,3305,转载
BV1VD4y1S7ho,王霏霏Fei,89795,2403302,2195631,乘风破浪的姐姐-大碗宽面练习室版舞蹈,20017,原创
BV11v411z7vd,lana酱好纠结,22489,649401,1773736,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,2476,转载
BV1UA411q7B4,桃花小妹ryf,37566,1335634,1681244,女孩子要帅一定要跳蒙族,3017,原创
BV1pz4y1X7pC,卡卡Orange,71331,693649,1594389,【卡卡】♦囍♦一尺一恨,3088,原创
BV1j4411W7F7,果厨果厨果,25241,2136811,1590931,【猛男版】新 宝 岛,10873,转载
BV16a4y1e7r8,机智的党妹,66069,1851080,1497052,换了16套裙子为爱应援！Lo娘也有爱豆梦！,6023,原创
BV1N54y1Q7ws,桃核叫我桃道长,32910,1918681,1441896,别爱我，没结果，除非花手摇过我,8621,原创
BV1kt4y1X7ta,阔少_申旭阔,40696,1343585,1393360,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,5481,原创
BV1qK411p7hW,舞蹈区锦鲤姬,50912,699819,1356581,【官方】张艺兴《莲》舞蹈版视频,18907,原创
BV1hg4y1q7w4,舞小喵,21287,826009,1325840,【舞小喵】Nice Body~点击进来领取 绝世好身材,858,原创
BV1H5411W7mQ,-欣小萌-,19106,979231,1024012,清新夏日限定❤️你最最最重要！【欣小萌】,2725,原创
BV1FK4y147N9,一马平川的妥妥,28894,1196301,1005183,广 场 舞 大 妈 大 闹 B 站,6948,原创
BV1Wv411B7Eh,SUNMI_宣美,21940,1146505,910687,【SUNMI_宣美】又跳了《nobody》《24小时都不够》，你们喜欢吗,3736,原创
BV1R5411p7MJ,椰汁兔,4315,586425,902355,【椰汁兔】就此沉溺在你甜美的谎言之中..《Alone》,299,原创
BV1Ba4y1Y7nQ,伢伢gagako,11823,647695,894553,粉红色的性感～【Babe】【泫雅】【伢伢】【韩舞翻跳】,509,原创
BV14z4y1d7n3,刘安猪_Andrew,20825,716082,877606,【酒醉的蝴蝶】想要和妈妈做朋友，妈妈看了和我绝交,5945,原创
BV1NC4y1a7rj,兔总裁s,9848,1184935,863789,尝试在大街上跳酒醉的蝴蝶，看路人反应......,3473,原创
BV1xx411m7od,扑进你怀里丫,2384,709095,845924,BLACKPINK  练习室舞蹈 合集 已更！,7199,转载
BV1754y1Q7Pf,机智的党妹录屏组,12112,1238857,830124,【党妹】你最最最重要！花絮大放送,3450,原创
BV1QV411R7ri,陈小诺mari,17380,793630,811279,【小诺】真 爱 杀 宝 贝 ！,859,原创
BV1Q54y1i7hq,Ellen和Brian,31658,394678,780769,BLACKPINK新歌How You Like That 9套换装 全曲翻跳【Ellen和Brian】,1462,原创
BV1vK411p77E,小米粥好好喝呀qwq,5435,607236,756737,这大概就是从此君王不早朝的原因吧~,1131,原创
BV1fk4y1z7K9,猛男舞团IconX,20343,682076,755428,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,1909,原创
BV1kg4y1i78T,十元酱少女,8925,939484,726369,【十元酱】和广场舞阿姨battle《酒醉的蝴蝶》，阿姨都甘拜下风？,3106,原创
BV1Ep4y1D7h4,KPOP日常_同更青创,3681,458329,704563,赵小棠初舞台《五毒》练习室！Solo版中国风来了！你觉得如何？,2734,转载
BV1Qf4y127FH,小巫酱w,6380,353352,699978,【小巫】魅惑短发有撩到你吗？AOA-Short Hair【4k60帧极致体验】,816,原创
BV1v5411Y7kA,语荞Hathaway,28935,406550,698242,4K外滩蹦迪！草莓音乐节没过瘾的小姐姐已经不在乎自己穿什么了！新裤子乐队 - 你要跳舞吗？,1253,原创
BV1Xf4y127Ya,CourtneyTANG,320,1308559,696652,让桥本环奈大火的舞蹈视频,358,转载
BV1Tk4y1z7bn,源味少女南,2590,392822,680619,看 不 看 啊,323,原创
BV1PA411i7qn,夏酥酥_,3257,375813,677804,【夏酥酥】 ice-cream  ❤,232,原创
BV1ek4y1q7ec,醋醋cucu,14432,463591,668921,车库女王 高跟蹦迪 乘风破浪的姐姐主题曲【醋醋】,977,原创
BV11E411k76T,一只小仙若,4459,745632,663814,【小仙若】shake it ！冬日也要活力满满！,1160,原创
BV18k4y1z74d,_糖小V_,4734,271336,635884,【糖小V】优雅小黑裙❤️Dumhdurum-Apink,246,原创
BV1pT4y1J7Wb,几兔灰,2670,305121,610411,【几兔灰】Hot Issue - 徐穗珍 · 4K体验【万粉感谢】,146,原创
BV1af4y117Rj,果哝双子,4501,627015,602592,精神小姐姐地铁站热舞,897,原创
BV1YC4y1a7Z9,美蛇精,1050,421642,588311,蛇舞S妖娆曼妙肚皮舞小姐姐-欧洲联赛,570,转载
BV1g5411x7Ep,正義segi,21513,222282,585928,【正义xPk.男女双跳】囍~B站最强quan编舞!我有情，我有泪，也曾无悔~错过后已是莫然~或相拥不相视~,511,原创
BV1UK4y1C7jc,頎三73,20110,239496,578531,【頎三73】囍 ❁于黑夜出嫁 做你的新娘❁,745,原创
BV1Ut4y1X7vY,重庆大学,5775,685863,577240,【4K】重庆大学毕业生版《YES! OK! 》青春有你之毕业纪念视频 外国语学院的研究生小姐姐带来的舞蹈！,2530,原创
BV1YK4y147kR,紫嘉儿,4252,538927,563983,4K*10cm高跟蹦迪《无价之姐》李宇春【乘风破浪的姐姐】主题曲【紫嘉儿】,541,原创
BV1CZ4y1H7eH,fAb-lAb,8918,368474,562207,"""Say So""四人编舞，复古蒸汽波校园初体验:)，Doja Cat ft. Niki Minaj",415,原创
BV1kC4y1H7uY,Mr彦Alex,3074,136223,554548,1小时超长合集王心凌蔡依林徐怀钰周杰伦萧亚轩蔡健雅林俊杰周深...超人气中文歌尊巴版尊巴Zumba舞蹈教学高效燃脂操减肥操减脂健身操有氧舞蹈健身塑形产后瘦身减肥,785,原创
BV1hQ4y1P7Dg,啵啵本bo,1676,396717,544752,【啵啵本bo】蹦跶 thumbs up 赶得到末班车吗,169,原创
