视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Vt4y19749,崩坏3第一偶像爱酱,28010,341813,740810,「崩坏世界的歌姬（Movie Ver.）」——《崩坏3》印象曲（演唱者：小林未郁）,1821,原创
BV1ez4y1X7gf,音乐制作人Kurt,35541,156491,447760,Kurt中文首发 | 一剪梅❉雪花飘飘（古筝尝试）,2150,原创
BV1op4y1U7Gs,广西吴恩师,26527,281663,417854,需要人陪,1212,原创
BV1Xk4y1q78j,Da圣音乐,376,387334,364617,最怕班里有这种女同学！随便一跳勾走全校男生的魂，成为女生公敌,865,原创
BV1SC4y1a7jo,taerubykim,532,213442,284826,BLACKPINK 回归'How You Like That' 现场持更中(更至200628人气歌谣),-620,转载
BV1zk4y1q7hf,司墨尧smile,3863,207546,275253,【天津话rap吐槽】 逗    鹅   冤,238,原创
BV1HT4y1J766,精神擦六,712,208421,273048,BLACKPINK 新曲《How you like that》MV公开,1170,转载
BV12C4y187BN,掌门太忙手游,5487,105911,244070,【掌门太忙】周深献唱主题曲《与卿》 | 此生不负，予你情深,2033,原创
BV1qz4y1X7GV,pcyxjy,1116,174963,237478,MAMAMOO华莎最新Solo曲Maria首打歌舞台,833,转载
BV1Xa4y1Y7uQ,JKAI杰凯,6216,136442,228245,【川普应援曲】曹操【预祝川建国同志连任】,537,原创
BV1Sf4y117Sk,BML制作指挥部,927,163329,211037,BILIBILI MACRO LINK 2020 云live 嘉宾全阵容宣传PV,6701,原创
BV1CT4y177ok,yakisa彭雅琦,3315,133377,177853,再不打给我我就不打算追回你！哼！《大笨钟》cover.周杰伦,216,原创
BV1eg4y1v7Ne,莱克斯lyx,301,150524,174391,【海皇翻唱】《她说》海皇到底藏了多少技能啊啊啊啊啊啊,276,转载
BV1Dt4y197dr,SuperA_,4426,60913,168270,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,111,原创
BV1Wa4y1v7qB,离阿毛,1481,130372,165358,被上帝吻过的嗓子,429,转载
BV1kC4y187fu,音乐Wu哥,35,147024,145456,我听过最好听的《大碗宽面》，戏腔一出我差点跪了，又燃又炸！,165,原创
BV15V41167Yx,CSC-街唱天团,1022,129749,142818,《成全》你的一句晚安，成全了我的失眠！,252,原创
BV1PK4y1b7dt,大家的音乐姬,2005,82741,125963,【官方MV】Mojito - 周杰伦,374,原创
BV1zt4y197dv,TF家族,3297,56228,125297,【TF家族】歌曲COVER《Because of you》张极&张泽禹,2117,转载
BV1B54y1X7Ls,炽夏夜之心,1442,63372,121861,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,154,转载
BV1ta4y1Y7f2,喜欢的一些走心的东西,28,117186,121307,央视伴舞把Gai整笑了……,150,转载
BV1A54y1z78N,大头大头哥哥,3278,63908,118732,戴上耳机！《红莲华·again》丝滑串烧，鬼灭炼金术师？！【钢琴】,266,原创
BV1Av411z7Hr,是小光芒呀翻唱组织,509,89785,113218,【BLACKPINK】这现场实力不火都难！老娘穿韩服照样可以Slay全场！How You Like That高能附体翻唱来袭！,144,原创
BV1SA411v7zD,李玉刚,4178,44415,106150,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,191,原创
BV16b411b71j,一嗷垚,483,66432,104638,the real suger baby已知最高画质,40,转载
BV1Xp4y1U73j,下饭音乐,570,83456,103793,当年这首《yellow》感动了多少人，20年后再听，还是能想到“她”！,245,原创
BV1T5411Y7n3,章智捷,2997,60939,103507,震惊!!不会真的有人能翻唱《Loser》吧?!,153,转载
BV1BA411i7ob,浑元Rysn,1420,61719,97261,勾 指 起 逝,334,原创
BV15k4y1r7K3,临也Official,694,50156,87241,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,93,原创
BV1NZ4y1p7Qk,藤咲枳酒,271,42141,86774,【ROSE】我不允许有人没看过罗婕女士这一场！金发女郎就是坠吊的,148,转载
BV1p7411Y7BC,某幻君,2282,49044,84964,最强自夸王！！！！！,604,原创
BV1sV41167Xi,歼鸡队队长,461,48844,84606,王嘉尔《100 Ways》搞笑版MV,322,转载
BV1LJ411W7Bo,Ueroey,482,48631,80481,满级大佬屠杀新手村,100,转载
BV1pt411p7JK,荒草何茫茫,614,54019,76432,他永远都不知道他这首歌在QQ飞车里有多火,222,原创
BV1fx411N7bU,Ta酱-Tatsu,424,50499,73660,【经典】周杰伦全MV 【191P】,740,转载
BV17D4y1S7HT,Yansee怔妍熙,1264,30932,72592,全网最强中文版How You Like That  暗黑病娇风 还有比这更燃的Rap吗,62,原创
BV12p4y1U7Xe,黄龄,1221,58890,71283,【黄龄】今天也是越来越《喜欢你》们的一天吖！,202,原创
BV11z411e7mn,Crazy_Bucket,1788,36660,70905,不是吧阿sir，这剧情都能接上？让粉丝只押韵接歌词做首歌,781,原创
BV1kz4y1Q7Dy,祖娅纳惜,1288,30735,70532,【祖娅纳惜】海底（灵魂没入寂静  无人将你吵醒）,43,原创
BV1Hg4y1v7cs,我是盈盈U,682,56795,70290,月亮警察拯救你 我们内娱女团也有一键换装舞台啦,151,原创
BV1Kf4y1m7GR,吾吾支支,391,20114,68881,【BLACKPINK】【4k超清版】【无水印收藏级】官方MV合集,171,转载
BV17i4y147NF,源星生态圈LTEcosphere,620,41316,67283,'我  佛  了',234,转载
BV1mk4y1z7WK,嘻笑堂,766,43182,66537,贵州方仔发次狂暴发声！“把爱奇艺唱破产”,107,转载
BV1ri4y1G75Z,活力菌Z,925,47125,66130,【逗鹅冤】腾讯我不干了啦~！【洛天依翻唱】【沙雕吐槽向/活力菌Z】,90,原创
BV1QZ4y1M7ca,SUNMI_宣美,1845,36505,65580,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,176,原创
BV1si4y1G7vD,爱豆安利所,126,47989,65286,华莎《Maria》MV+舞台合集 (更新至200703～),239,转载
BV19z411e7vH,萧忆情Alex,1550,26813,65089,【萧忆情】海底【灵魂没入寂静 无人将你吵醒】,105,原创
BV1oZ4y1H7ZF,墨韵Moyun,2779,29053,63483,【古筝】江南百景图,319,原创
BV1mK4y1x7Mb,怪物彼岸花,2287,39255,63196,《Numb》——4K超清  翻唱,127,原创
BV1Hv411z73N,街头艺人小高,2486,35545,62033,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,58,原创
BV1EK4y1s7nF,小岛太优秀,2088,30115,61959,【不定期更新的电台15】来 点 蒸 汽 吗 ？,226,原创
BV1k7411k79Q,灿烂的笑,705,22207,60868,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,323,转载
BV1Rv411B7Rd,娄艺潇,3493,31160,60737,【娄艺潇】一起来听我的《往日时光》~,597,原创
BV1Et411D7LU,音乐最TOP,284,43033,59366,这是一首唯一在任何音乐软件都要收费的歌！,67,原创
BV1PV411k7eT,云宫幻音,971,32094,59039,【喀秋莎】同志们！伏特加！乌拉！！!,165,原创
BV1KC4y1h72z,花丸晴琉Official,3110,12290,58781,《深海少女》翻唱【花丸晴琉/花寄女生宿舍】,187,原创
BV1iK411n7ZQ,凡仔_IAA,519,43933,57845,姐很酷炫，但你不配的YG风翻唱How You Like That,54,原创
BV1fC4y1s7vv,12仔,1135,29155,56145,如果把【黑人抬棺】做成中国风音乐,283,原创
BV1Xz411e7PZ,40mP_公式,2217,10586,55861,【40mP】ドレミファロンド DO RE MI FA Rondo【初音ミク】,134,原创
BV1Az411v7Ks,③。,1279,21053,55166,夸铃声乐器kawaii bass.mp3,111,原创
BV1Dz4y1Q7Ct,街头社区Realstreets,215,41302,55075,魔动闪霸《对手》（超清版）,162,转载
BV1PK411L7h5,共青团中央,1331,21808,54998,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,73,原创
BV13t411C7Ao,最电台,90,49950,54972,语文老师被天使吻过的嗓子，一开口，整个教室都安静了！,86,原创
BV1kz411e7sg,KPOP日常_同更青创,85,48263,54961,花式证开麦！华莎《María》打歌初舞台！红发好飒！,129,转载
BV1Mz411v7Kf,欧阳娜娜STUDIO,966,34917,53984,【欧阳娜娜音乐】欧阳娜娜《Tell Me You Do Too》MV,304,原创
BV1Pz411v7QD,金蒸蒸,167,49630,53679,【How You Like That】稳！YG嗓现场翻唱BLACKPINK 一人成团,22,原创
BV1DC4y187BL,神奇管子哥,843,45007,53169,一瓶老干妈的美食和音乐之旅，网友：高手在民间,220,原创
BV1d54y1i7jB,上海彩虹室内合唱团,2964,20002,52424,【彩虹合唱 x 炙热的我们】催泪版《卡路里》：我还能怎样？我只能燃烧……燃烧青春，燃烧愿景！,210,转载
BV1fZ4y1M7rA,陈以桐Jason,212,45876,51733,【陈以桐】挑战韩语&女团舞 | BLACKPINK热曲 how you like that,25,原创
BV1AK4y147fq,谢尔比茨基,167,38234,51182,特朗普连任应援歌《让美国保持伟大》正式MV,242,转载
BV1Kt411b7wi,RubyjaneJ,199,30997,51174,婊气冲天 话题焦点Queen JENNIE绝美《SOLO》舞台1080p现场版＋多角度直拍 Gaon Chart颁奖礼,143,转载
BV12t4y197zi,pandat8,86,44112,50694,高-燃-混-剪,52,原创
BV1Si4y1G7vo,O_WEN欧文,253,46544,50627,【O.WEN】—《官方回答》 歌火人不火 原唱不能怂,28,原创
BV1Pa4y1e7nu,碰碰彭碰彭,2122,32782,49958,【筝横为乐，立地成兵】狼烟起 江山北望 龙旗卷 马长嘶 剑气如霜！,265,原创
BV17f4y117mb,皮卡丘本皮,1310,24236,49125,花了五天，还原BLACKPINK《How You Like That》伴奏！,239,原创
BV1yk4y1q7ZF,音乐君,206,38456,48383,最近突然火起来的《海底》，很多人都喜欢，旋律太伤感了！,97,原创
BV1TK4y1476o,翠花不太脆,1637,18427,48125,《瘾》原创说唱×国家禁毒日宣传曲,22,原创
BV1vf4y1177S,绯绯Feifei,868,38156,47093,伊之助深情演奏鬼灭OP《红莲华》抒情版,146,原创
BV1vi4y1G7Vz,小陈L同学,222,28519,47057,神仙Remix！Henry刘宪华一人一乐队《Dance Monkey》+《Attention》Loopstation！疯狂循环！,98,转载
BV1rz411e78P,陈超Cynthia,1826,34614,46954,【陈超Cynthia】大碗宽面翻唱|戏精超超+戏腔超超|一个人的女团，尴尬小剧场,373,原创
BV11D4y1D7Kx,赤井心Official,793,24348,45809,【阿宅专用】是阿宅就来听听这个！,37,原创
BV1R5411W7BK,中国长安网,1339,26768,45457,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,56,原创
BV1Bv411B7DY,韩国东东,127,42663,45440,当韩国人听了万人合唱的中国名曲？鸡皮疙瘩撒一地操作！,131,原创
BV1xz4y1X7gN,张杨二人转,1076,29616,45216,《时候》翻唱，谁能比老娘更做作！！！,100,原创
BV1mJ411G73H,耳朵听了能怀孕,495,28642,44537,当年“血洗”QQ空间的神曲，太羞耻了，满满的都是回忆啊！,544,转载
BV1J54y1z7E6,音乐猛抬头,11,42890,44404,在韩国“屠榜”的神曲，为何在国内被骂“难听”，一度登上热搜？,316,原创
BV1sV41167tY,油管搬运工Ray,1542,25545,44135,【自制翻译】国外美女第一次听周杰伦复古创新的专辑《叶惠美》！！,1677,转载
BV1ok4y1r7Cq,王者荣耀,926,22362,44107,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,1021,原创
BV19E411E7N4,派森君,608,19716,43582,23 年后重听伍佰，他一开口，就安慰了整个 90 后——伍佰现场超清合集（持续更新）,118,转载
BV1vK4y14729,夜店嗨歌,0,42911,43571,不要和明星去KTV唱歌，不然被隔壁包厢听到，还以为你开原唱！,45,原创
BV1hz4y1R7pz,野生小叔,873,26877,42787,我直接在厕所唱LOSER！！！！！！,149,原创
BV1Sp4y1U756,英梨梨゙,389,15407,42120,【美波】「等待雨落(アメヲマツ、)」MV【尽梨了字幕组】,10,转载
BV15z411z73U,祖安1锤4,245,21427,41842,iu顶级现场,33,转载
BV1Ui4y1G7pv,CashCowStudio,41,40771,41834,韩国说唱团体看《魔动北极星》后嗨起来的反应？！,72,原创
BV18J411i7A9,はち_hachi,299,22490,41260,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,74,转载
BV1Sk4y1q7aH,幸运值max喵,23,36463,40517,【Live纯享版】乘风破浪首公演出 姐姐们的一公演出现场合集,8,转载
BV18t411D7bT,急速炫火,258,24889,40459,逮虾户 Deja vu ！中英双字幕MV,177,转载
BV1tV41167TZ,心如丶止水丶,31,29229,39562,【柠檬警告】深深现场清唱星月神话 主办方给周深的小惊喜 金莎原来也是周深的小迷妹,82,转载
BV1fv411q7N3,哈鲁卡酱油,230,14143,39087,【神级舞台】杰尼斯性感标杆，色气偶像天花板——龟梨和也 1582,106,转载
BV1gK411L7Je,皮阿鸡Piag,375,18810,38792,好听到头皮发麻！儿童震撼合唱《See You Again》,83,转载
