视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1PK4y1b7dt,大家的音乐姬,578532,12924826,12298662,【官方MV】Mojito - 周杰伦,134014,原创
BV1mK4y1x7Mb,怪物彼岸花,412166,5594974,5066721,《Numb》——4K超清  翻唱,22635,原创
BV1Wa4y1v7qB,离阿毛,122129,8269358,4624189,被上帝吻过的嗓子,32276,转载
BV1SA411v7zD,李玉刚,221656,1818628,3687450,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,15869,原创
BV1LJ411W7Bo,Ueroey,46171,4222467,3584016,满级大佬屠杀新手村,9581,转载
BV1Ma4y1v7RF,音乐制作人Kurt,204496,2730283,2968769,油管千万粉大神Kurt入驻b站！,12185,原创
BV1Vi4y1x7bk,广西吴恩师,223760,3307838,2805681,清唱，他不爱我,9322,原创
BV18a4y1v7Da,老坛胡说,155744,2574847,2780631,热水澡,19023,原创
BV1B54y1X7Ls,炽夏夜之心,38701,1788803,2363525,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,5399,转载
BV15k4y1r7K3,临也Official,31712,1784564,2148316,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,2962,原创
BV1HT4y1J766,精神擦六,12756,3571480,2065145,BLACKPINK 新曲《How you like that》MV公开,52452,转载
BV17i4y147NF,源星生态圈LTEcosphere,31016,1796659,2029555,'我  佛  了',12798,转载
BV1fx411N7bU,Ta酱-Tatsu,19869,1752409,1778752,【经典】周杰伦全MV 【191P】,25012,转载
BV1TK4y1476o,翠花不太脆,74307,605626,1716235,《瘾》原创说唱×国家禁毒日宣传曲,1405,原创
BV1kz4y1Q7Dy,祖娅纳惜,45166,717965,1653218,【祖娅纳惜】海底（灵魂没入寂静  无人将你吵醒）,2307,原创
BV1k7411k79Q,灿烂的笑,20846,583627,1649147,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,7702,转载
BV1Hv411z73N,街头艺人小高,97352,1345788,1648941,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,2248,原创
BV11D4y1D7Kx,赤井心Official,40583,855453,1640623,【阿宅专用】是阿宅就来听听这个！,3454,原创
BV1SC4y1a7jo,taerubykim,6043,2432157,1624412,BLACKPINK 回归'How You Like That' 现场持更中(更至200628人气歌谣),30796,转载
BV1gK411L7Je,皮阿鸡Piag,23068,763645,1624118,好听到头皮发麻！儿童震撼合唱《See You Again》,3250,转载
BV1Dt4y197dr,SuperA_,55375,830306,1591336,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,1642,原创
BV1uZ4y1H7wy,万伟康from无人周六,86580,554152,1541963,【摇滚合奏】一代人童年的英雄：迪迦奥特曼5首音乐无缝串烧（片尾曲演唱）,6575,原创
BV14a4y1v7LA,Marshmellomusic,50159,1753164,1519537,电音大神棉花糖Marshmello来啦！和我一起回顾热血中国行吧~,12380,原创
BV1zf4y1y77u,黄龄,100401,2274341,1501217,【黄龄】#乘风破浪的姐姐#浴室版《芒种》来啦！,18608,原创
BV1PK411L7h5,共青团中央,41173,650742,1478158,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,2299,原创
BV1p7411Y7BC,某幻君,52831,1319554,1467061,最强自夸王！！！！！,22735,原创
BV1FZ4y1H79z,筷子兄弟王太利,81183,1492115,1412119,I LOVE YOU - 筷子兄弟,15398,原创
BV1hD4y1D7AB,up初相识,39919,818076,1396362,【钢琴】戴上耳机！《处处吻》钢琴超还原完美演奏版 前方高能！简介附谱！,2178,原创
BV1fC4y1s7vv,12仔,37055,842401,1320437,如果把【黑人抬棺】做成中国风音乐,7402,原创
BV1tD4y1D7mS,忘川风华录,45396,450649,1291900,【海伊原创】好字唯之【忘川风华录】,3054,原创
BV1kk4y1z7gH,鹿乃ちゃん,48367,549005,1276419,日语版《想见你想见你想见你》翻唱【鹿乃】,2745,原创
BV16i4y1s7Jw,Animenzzz,45861,609729,1235081,【Animenz】名侦探柯南 主题曲 钢琴版,2654,原创
BV1pt411p7JK,荒草何茫茫,16652,1475607,1224215,他永远都不知道他这首歌在QQ飞车里有多火,6349,原创
BV1hg4y1q73Q,40mP_公式,41475,389600,1217604,【40mP】恋愛裁判 Love Trial【初音ミク】,2141,原创
BV1La4y1Y7H7,明日方舟,27809,994200,1214211,《明日方舟》EP - 从那高地上远眺,8812,原创
BV1e54y1Q7ZS,hanser,41789,615119,1194146,芒种 翻唱,3288,原创
BV1Sx411T7QQ,墨韵Moyun,38710,909105,1193812, 【古筝】千本樱——你可见过如此凶残的练习曲,6055,转载
BV1ok4y1r7Cq,王者荣耀,28636,710639,1184293,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,41093,原创
BV1R5411W7BK,中国长安网,46640,897301,1178968,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,1957,原创
BV1Mf4y117Nz,Minto薄荷糖,37402,398271,1162782,还原度99%的守护甜心op《心灵之蛋》翻唱，一开口就有内味了,5579,原创
BV13A411i7Xi,杨可爱Ukulele,24465,388521,1139630,我把高考必背历史做成了一首歌！,2589,原创
BV1Ei4y1t7wf,zyl2012,13989,420010,1137706,【1080P修复合集】周杰伦2000~2011发行MV 1080P修复版合集,8300,转载
BV1R7411M769,SealWu吴一凡,38193,455569,1133954,《野草》：我把16篇鲁迅写成了一首歌,703,原创
BV1tJ41167Ai,音乐私藏馆,12854,671224,1122958,周杰伦封神的十大神级金曲（地表最强画质）,10320,转载
BV1Ha4y1e71f,梦幻西游电脑版,26289,785533,1106728,神曲天后龚琳娜的《下山》来了！一人hold六声部，国家队神仙演绎,2629,原创
BV1Ez411i753,WNS_WeNeedBTS,18942,442478,1105764,【WNS中字】200605 Still With You by Jung Kook 田柾国,6490,转载
BV1ht4y127pc,郭正正_,45415,455824,1105390,2019最火热单宇宙大串烧,577,原创
BV1cf4y117sw,泠鸢yousa,36549,520643,1094307,【泠鸢翻唱】夏天的风1988（回见！我去八十年代了！）改编：羊真闲,2043,原创
BV1mp4y1D7zv,TØm,14898,707009,1082752,Everyday I'm...,4844,转载
BV1vV411r7HD,三无Marblue,33824,382271,1070900,【三无】蒸汽金鱼【原创曲】,1808,原创
BV1F54y1X7mg,瘫君Tansy,22553,416200,1057045,好帅两女的合唱yellow♪性冷淡高中生X性感酷御姐【瘫君X汄天人】,546,原创
BV1az4y1975V,KG-Area21,11485,285742,1056407,【4K】皇后乐队1986年布达佩斯演唱会 完整版,1561,转载
BV1hf4y127un,米津桑的vivi,15335,368978,1053767,【unravel】原唱大佬在家唱unravel！TK from 凛として時雨「Home Live」,1569,转载
BV1kz4y197fv,小陈L同学,8685,677543,1038639,燃炸！Henry刘宪华路演一人一乐队版5SOS《Young Blood》Loopstation！Live！,13641,转载
BV1Ek4y1r7nu,孙燕姿Zifans歌迷会,14706,462593,1023789,孙燕姿出道20周年直播 LIVE 官方1080p,7832,转载
BV1AK4y147fq,谢尔比茨基,5412,1407403,1001406,特朗普连任应援歌《让美国保持伟大》正式MV,9145,转载
BV1T5411Y7n3,章智捷,35441,812390,1000284,震惊!!不会真的有人能翻唱《Loser》吧?!,1949,转载
BV1Zi4y1s7ni,千羽千硕,36467,330036,996575,峡谷百战成诗诵 可忆裳曾赠何人？《百战成诗》填词版 X 143款皮肤群像 及 登场时间,4166,原创
BV1sC4y1a7gx,绯绯Feifei,29130,910606,985125,【钢琴】《地下城与勇士》dnf十首经典BGM联弹 女鬼剑的演奏时间,5327,原创
BV1Et411D7LU,音乐最TOP,7379,1019867,950773,这是一首唯一在任何音乐软件都要收费的歌！,1727,原创
BV1Gp4y1D7Ax,不累station,16651,448702,942492,你听过克苏鲁Rap吗？【SAN值不足者谨慎观看】,3455,原创
BV1At4y197Wb,Da圣音乐,12253,993050,940716,听说日本假唱犯法，所以才逼出这6个神级现场？每首都能血洗乐坛！,4683,原创
BV1AV411k7s8,巨星不易工作室,22298,557964,936780,江苏卫视618超级晚 毛不易《易燃易爆炸》+《凤凰于飞》,10841,转载
BV1y5411s7hS,亘梦ForeverDream,29014,444522,933091,【真童年】一秒落泪？ 洛克王国BGM 串烧 编曲键盘演奏,6664,原创
BV1tC4y1H7yz,哔哩哔哩弹幕网,24076,675137,932446,《入海》bilibili X 毛不易 | 跃入人海，各有风雨灿烂,5501,原创
BV1JK411p7pd,杨雨萌琵琶,32771,528690,927580,你知道琵琶也可以弹funk吗？看琵琶小姐姐翻弹指弹吉他曲，颠覆你想象！,1260,原创
BV16b411b71j,一嗷垚,5164,826062,923186,the real suger baby已知最高画质,476,转载
BV1Zz4y1X7pC,彼得本斯PeterBence,25921,466697,921772,【4K】全网最秀最好听的 DANCE MONKEY - Peter Bence （Piano Cover）,789,原创
BV1PV411k7eT,云宫幻音,17946,659830,920871,【喀秋莎】同志们！伏特加！乌拉！！!,2267,原创
BV1kk4y1r7dW,小疼聊音乐,20923,882409,920756,听说日本假唱犯法，所以才逼出这7个神级现场！每首都能血洗全网,3955,原创
BV1mk4y1z7WK,嘻笑堂,10535,833166,920747,贵州方仔发次狂暴发声！“把爱奇艺唱破产”,2766,转载
BV1Mk4y1r7NC,歆苒超甜_,2427,803508,915853,【BLACKPINK】天哪！！！我终于找到这场了，我太爱这张的打歌服 - Don't know what to Do,3711,转载
BV1u741117Ps,英文经典歌,12496,452374,909541,永恒不朽的经典《We are the world》，每次听都是震撼心灵的盛宴,1198,转载
BV1hz4y1R7pz,野生小叔,22406,684608,908657,我直接在厕所唱LOSER！！！！！！,3982,原创
BV18J411i7A9,はち_hachi,7830,552480,906898,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,2195,转载
BV1dC4y1a7ZG,登乐V计划,25166,331246,905994,【登乐V计划】主题曲 Real me 打破定义 你就是你想要的样子！,5874,原创
BV1QZ4y1M7ca,SUNMI_宣美,40528,569989,905260,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,5453,原创
BV15z411z73U,祖安1锤4,4789,546924,894807,iu顶级现场,1083,转载
BV1mK4y1t7pD,pcyxjy,2056,1296397,879428,IZONE最新回归曲Secret Story of the Swan幻想童话MV+打歌舞台合集(更至200701),19788,转载
BV1Dz4y1Q7Ct,街头社区Realstreets,4497,1047196,867693,魔动闪霸《对手》（超清版）,2938,转载
BV1P5411W7wX,小可儿,33376,608128,867094,1分48开始嘶吼高能！国人无修音翻唱林肯公园《Faint》,1653,原创
BV15V411k721,Music音乐世界,5613,689527,857531,这首毛主席时代的歌，现在没人再这样唱了！,2128,转载
BV1TZ4y147i8,洛德_金,16031,562664,848520,【气突苏】菊次郎在苏联,1874,原创
BV1Cg4y1i73r,浑元Rysn,12343,662284,830155,唢呐 生日快。。。嗯？？？,3256,原创
BV1HV411C7jC,狂妄的鲁蛇,19227,361079,812897,【东京喰種/周深】神仙合唱！B站首个周深&TK合唱《unravel》版本！左右声道《Unravel》自制AMV,1477,原创
BV1Lt411R7Ya,大自然的搬运工Timor,5638,738574,806861,就是他！让网易云评论区全是卧槽的人！,11078,转载
BV117411d7fo,PB阿星儿,24358,441698,805605,制服小哥哥用笔演奏《Love Story》-Taylor Swift  (Penbeat cover),3057,原创
BV1Kt411b7wi,RubyjaneJ,3802,601567,804895,婊气冲天 话题焦点Queen JENNIE绝美《SOLO》舞台1080p现场版＋多角度直拍 Gaon Chart颁奖礼,3958,转载
BV1a5411W7Zp,歌手SamTsui,23877,641771,798670,SamTsui's Music | 《一剪梅》爆红欧美？一起“北风萧萧，雪花飘飘”,3277,原创
BV1B7411T7w2,PattyCake官方频道,14288,372031,790279,「Tough Love 严厉的爱」（后妈茶话会）The Villains Lair 恶棍巢穴(Ep.2)【PattyCake】,1332,原创
BV1s441197jd,安吾の万年筆,7728,452103,789809,人 型 音 响,4378,转载
BV1cp4y1Q7gK,龚琳娜,17954,655745,785274,下凡？？龚琳娜《下山》现场首唱！,2794,原创
BV13f4y1m7b1,雪霏岚岚,19574,583165,780341,公 主 连 结 广 东 服 OP,1046,原创
BV1Y5411W7uD,咸鱼_栗,13859,707787,773895,【架子鼓】燃爆！鬼灭之刃op《紅蓮華》-LiSA|和服甩起来真是太困难了- -.,1099,原创
BV1Kf4y1m7TX,yakisa彭雅琦,13931,794305,764574,一个夏天清凉的梦。《那女孩对我说》cover.,2025,原创
BV1jE41187uB,亮亮亮亮亮阿气,1183,1414791,764350,你是第一个带我进女厕所的,717,转载
BV1cZ4y1H7GB,肉铺掌柜ing,5549,400653,760325,建  议 改  成：王 的 掰 头,11405,转载
BV1Wp4y1D7K4,大雄教你弹钢琴,7962,256469,753693,【干货】钢琴上的黑键不知道怎么弹，教你用它弹出中国风,692,原创
BV1dV411r7AF,钉钉DingTalk,17556,395699,743049,【 新 曲 首 发 】卖 火 柴 的 小 钉 孩,4526,原创
BV1Vt4y19749,崩坏3第一偶像爱酱,28010,341813,740810,「崩坏世界的歌姬（Movie Ver.）」——《崩坏3》印象曲（演唱者：小林未郁）,1821,原创
