视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1pi4y147tQ,推背兔の,309191,9212451,8545904,最 强 法 海,37697,原创
BV1cp4y1Q7yn,碧天蓝钻,103469,2646362,3738933,每天一遍，北大相见,5990,原创
BV1Mz4y1X7Nj,伊丽莎白鼠,184453,2502848,2971493,【费玉污】《一剪梅》被删减版本！,15853,原创
BV1Mk4y1z7ey,超音速君,120101,1905019,2742275,【川普】浮夸，是一个卧底最好的掩饰,15596,原创
BV1Fz411i75r,不2不叫周淑怡,123950,5939335,2525009,大家好我是周淑怡，今天正式入驻B站啦！一首《拍桌少女》送给大家！,51424,原创
BV18T4y1J7dT,纽毕斯,63665,3166066,2345819,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,15426,原创
BV1pe411W7eY,八嘎金,40538,3049912,2104475,每天一遍，遁入空门,3558,原创
BV17Z4y1H7NK,风云熊,76283,1371337,2054639,执着的骚猪,2208,原创
BV16z411e7F4,豪言の经理,109387,1195746,1965294,【特效向】全明星の向死而生篇,11415,原创
BV1Ff4y1178U,自动鬼畜中的WZ,107286,816254,1863429,【罗翔】亡 匪（王妃）,4810,原创
BV1hV411r7TA,小P孩儿呐,82693,938098,1800465,【曹操】曹操行,4356,原创
BV1Uz4y1977R,我想吃盖饭,39898,2001662,1754469,建议改成：致 命 节 奏,2936,原创
BV1qt411j7fV,洛温阿特金森,65932,1312459,1740393,【派大星的独白】一个关于正常人的故事,11647,原创
BV1dK4y1t7jf,红色激情,122727,929258,1685364,【华农兄弟】青花瓷(请华吃),6708,原创
BV1zQ4y1A7qz,枪弹轨迹,37110,1534331,1647188,【特朗普】没有人比我更懂模仿！,3226,原创
BV1Ji4y1G7TV,一只胖头鱼o,45812,1671420,1636939,神仙打架,10575,原创
BV1oT4y1E7hP,小蜜枣啊,37872,844582,1563712,【特朗普】loser 一个卧底的独白,4600,原创
BV1pi4y1x7s7,墨菲potato,36114,1573460,1478869,王 雷 炸 鱼,2223,原创
BV1SQ4y1N7zr,昔日友人,31514,1388402,1468306,ZBC大战奥利给之无情哈拉少,2559,原创
BV1Sz4y197PX,板糖,34774,615335,1365586,【明日方舟】黄铁行动的高光干员们,1222,原创
BV1Yt4y1y7T6,倒悬的橘子,35749,1635086,1339923,地 摊 阵 线 联 盟,1998,原创
BV1ba4y1v7LF,红豆稀饭中,27962,928054,1334767,【全明星】布拉格广场,2935,原创
BV1Mt4y197EA,墨雨清秋,55340,1119680,1321066,【仝卓·高考】盗将行,3190,原创
