视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV14A411i7v2,韩小四April,17615,665202,3366462,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,4450,原创
BV1sz4y1X7ys,霜叶题诗,38499,1896389,3171751,是的姐妹！你凭本事刷到了这个视频～,14849,原创
BV13a4y1e7Z3,马戏糍,11210,602962,2142023,1天瘦腿安排，我躺着瘦了3CM,484,原创
BV1G5411Y7TJ,周六野Zoey,6922,297822,1277284,15分钟直角肩运动！改善斜方肌、圆肩溜肩、肩颈疼痛，高效天鹅颈瑜伽【周六野Zoey】,923,原创
BV1e5411W76n,lunaVita,6349,562160,1117853,【减脂必看！】21天高效减脂丨如何规划饮食运动丨调整心态  拒绝复胖,968,原创
BV1q64y1T7JE,草莓味鸡胸肉,761,460336,1068861,【中字】帕梅拉15分钟复古有氧舞蹈操！新手友好！欢乐瘦身！（Pamela Reif）,1106,转载
BV1fp4y1U7qG,小波健身,11379,218949,980953,每天5分钟 *告别骨盆前倾，小肚子突出，大屁股*,508,原创
BV1Yk4y1d7Wn,欧阳春晓Aurora,4007,453904,960602,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,3173,原创
BV14p4y1X7iP,叫我tina小姐姐,4336,201926,792101,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,5457,原创
BV1g54y1z7mh,ENP_OFFICIAL,5633,204269,790431,【一遍就会】温莎结的系法、搭配心得 3分钟领带教学,290,原创
BV1554y1z7yF,行走的路遥,5874,390153,787828,【高燃向】鞋跟再细 老娘也能定点成蝶 翩翩起舞!,906,原创
BV1hf4y117U9,-谢欣桐-,3461,859763,757794,一米八180女生撒娇起来太甜了/教科书撒娇大法/猛女撒娇/撒娇女人最好命,6215,原创
BV1P5411Y7DW,叔贵,13736,198793,744588,把「圆肩」当「驼背」，越纠正，斜方越大,859,原创
BV1TC4y1h779,兔叭咯的星期五,4522,481068,735310,【兔叭咯】住手！别再挤黑头了！祛黑头正确方法原来是这？！,53,原创
BV1bT4y177Bb,付曦冉,17785,255123,721866,逆天好用！50元以内堪比大牌的超平价彩妆分享，低至6元！,9573,原创
BV19D4y1D7VN,YEAH野兔,1609,325045,601736,一个枕头在家练出马甲线‼️端午假期甩掉大肚腩/瘦腰瘦肚子,353,原创
BV1uz4y1X7A2,vivi可爱多,21240,435608,568633,长得像男的，怎么打扮最好看？,10074,原创
BV1j54y1z7sC,海洋饼干Sophie,2873,104624,566437,你们问我咋瘦的？促进腿部淋巴循环才能真正瘦腿！,454,原创
BV1aK411n7RS,一坨___,1872,361716,551673,表演系女生教你：为什么电视剧女主的头发永远那么蓬松？,745,原创
BV1bA411i7To,dorothealll,3956,530701,535746,关于我的24个问题 | 理想型？留学经历？爱用品分享！Q&A,3155,原创
BV1r5411p7GX,文不叮,3633,145485,509724,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,185,原创
BV1Ha4y147Sd,蓝蓝桉桉,408,213678,504806,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,685,转载
BV1Fz411v7Yj,达达达布溜-,12971,440034,481949,这就是仙女裙吗？普通身材探店网红小裙子！时尚噩梦！,30229,原创
BV18K411n7HG,米鸭鸭冲鸭,1452,315805,451630,为什么你不上镜？,772,原创
BV1j54y1z7ia,Stevenoo,5606,404723,439291,【OO】普通缅甸人 VS 保守缅甸人,6587,原创
BV1HW411j7mz,带枪小女孩weibo,377,241290,436081,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,2541,转载
BV1Xz411e7JH,侍知,2969,375632,434511,成功减肥40斤后的我，居然又复胖了30斤？！,2008,原创
BV1vv411B72b,皮卡小可爱,3627,271902,428464,【JK+LO】又来了！3周目的卡点变身！超多裙子总有你爱的？内含JK、Lolita、地球人|皮卡小可爱,741,原创
BV1XZ4y1M7gn,Vivekatt,10122,197952,420132,头帘尴尬期？头发半长不短？3招夏日爱豆发型带你出圈！,2292,原创
BV1z7411U7NG,王小吉要努力,347,147269,409982,Pamela帕梅拉一周运动计划｜新手友好（每日分P）,567,转载
BV1p7411u7XB,我是上雅,1977,85525,408543,每天5分钟【30天瘦手臂】一周见效get天鹅臂，带练+讲解帮你告别拜拜肉|消副乳|瘦胳膊|蝴蝶袖,279,原创
BV1zz4y197nr,sky盖盖_,1685,266080,403482,内衣显大第一位？要是选错都白费！全种类夏日内衣推荐,1627,原创
BV1gZ4y1p7HD,子书家有位阿娴,1756,244351,402702,小时候超喜欢耳朵两边挽两个环的发型，感觉特别温婉百搭呢！,574,原创
BV1t54y1z7xZ,sonv宋宋女士,1419,326323,400255,来 场 夏 日 骑 行 吗,361,原创
BV1AV41167HM,Comeon_Eileen,1022,102579,394020,【艾琳】三十分钟全身有氧超燃脂HIIT | 全程站立无器械新手友好,182,原创
BV1oa4y1Y7B7,聂小倩她老板,381,453868,390390,自制粉底液 太可怕了,568,原创
BV1gV41167by,茜茜就是jinji,1832,278649,390204,高清4k入股不亏！How you like that？｜blackpink 新歌jisoo智秀灵感妆容,485,原创
BV18T4y1J7Kf,瘦子的救星经纬,1286,138450,386546,国际教练告诉你为什么哪都能瘦就是不瘦腿【瘦腿系列一】,233,原创
BV1ci4y147Vc,熊猫妹子在东京哟,2338,139795,386306,日本美容师教你正确祛黑头 10分钟告别草莓鼻,478,原创
BV1s54y1z7Z9,AHALOLO,13308,235322,385816,老佛爷用美人计搞垮圣罗兰？时尚圈第一帅哥圣罗兰那些不为人知的八卦《圣罗兰 Yves Saint Laurent | 第二章》SLP 老佛爷,2941,原创
BV13z4y1X7Jb,啊哟大阿桔,8684,134033,381480,10个不花钱就能变时髦的小技巧|女团露腰|自制垫肩背心,1393,原创
BV1rv411B7ZZ,莫踪影,1182,245750,378677,你是冷皮还是暖皮？每个人都应该要知道 ｜ 5种方法判断,1653,原创
BV1yb411G7Me,普鲁士ll,314,220423,377715,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,2518,转载
BV1ef4y117Jr,宝剑嫂,6854,328257,376379,无语！这就是网红爆款彩妆？赔钱！！,2430,原创
BV1Pa4y1Y7fu,靓仔董米粒,8613,314829,374869,这些网红单品千万别买！梨形身材省钱攻略|雷品吐槽,1578,原创
BV1CZ4y1H7Ph,冬天的桃桃熊,854,301003,371462,最爱的六双百搭鞋子分享~超级日常！,747,原创
BV1cg4y1q7Gm,帕梅拉PamelaReif,1164,137131,371420,帕梅拉 莱孚 - 15分钟高强度腹部训练  - 无器材 (Pamela Reif Official),471,转载
BV1gt4y197jF,麻团er真可爱,408,76271,366948,帕姐帕梅拉 有氧舞蹈系列燃脂 45min 自用,68,转载
BV12i4y1G772,多肉喵喵酱,4046,251440,363003,b站周年庆竟然还分配老婆？进来领！轻婚纱女友风丨小个子甜美礼服穿搭,880,原创
BV1vt4y197Gg,卡罗尔的歌,4153,177371,360233,减肥老司机教你如何瘦身不减胸！你真的了解自己胸的类型吗？,665,原创
BV1LK411p715,扭蛋的视频Ooo,4316,101886,347612,纯干货！拯救大脑门 颅顶低 发量稀少 ｜秃头少女自救指南,149,原创
BV1wp4y1S7tG,郑烟染,12433,178725,336479,【烟染】45天复刻一套延禧攻略富察皇后的龙纹袍,760,原创
BV1454y1z7x8,是我萧十七,2920,278790,329262,【七哥吐槽系列】审美差异化!肌肉大的人 死的早？!健身UP主哭了,4222,原创
BV1Gs411R7ge,废柴家里蹲,318,234932,328101,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,1999,转载
BV1MA411h7A1,体态大师App,794,109393,328069,体态大师：气场女王2020改善驼背、头前伸、斜方肌大、瘦背、瘦手臂、脖子拉长,419,原创
BV1s5411W7uL,名叫李了了,2189,76320,324071,【瘦腿】拒绝大粗腿，全程变化＋方法实录，每天30分钟躺瘦,193,原创
BV1Ca4y1h7AD,吉原悠一_yui,2510,301681,323669,如果没衣服穿的话，那就穿...？,5904,原创
BV1qz411i7jY,衣洋vlog,1479,156020,321986,肾气不足这样躺，坚持10天，提升肾气，身体1天比1天好,366,原创
BV1SK4y1x7HF,惟惟vivi,927,203450,320887,艺术系女生都怎么穿？|背地里都是小心机的设计感穿搭购物分享,330,原创
BV1QA411q79Z,闫帅奇,4034,80472,320570,睡前「鸡尾酒式瘦脸法」瘦咬肌、去面部水肿、正体态，堪比整容！,262,原创
BV1Tx411h7wx,站在强迫之巅的少女,736,127076,314484,最有效的学生党减脂，每天只要15分钟|48小时持续燃脂,389,转载
BV1Hv41167BX,蛋壳健康,851,80776,311736,【知乎高赞】如何纠正含胸、驼背、头前伸？,100,转载
