视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1cz4y1d7VS,草莓味鸡胸肉,4092,1457347,3983522,【中字】高效燃脂！帕梅拉最新15分钟快乐有氧舞蹈操！（Pamela Reif）,4546,转载
BV14p4y1X7iP,叫我tina小姐姐,21475,1014260,3919791,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,20089,原创
BV1Yk4y1d7Wn,欧阳春晓Aurora,18947,2133684,3411399,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,14884,原创
BV14A411i7v2,韩小四April,17615,665202,3366462,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,4450,原创
BV1sz4y1X7ys,霜叶题诗,38499,1896389,3171751,是的姐妹！你凭本事刷到了这个视频～,14849,原创
BV1Mt4y1y7Pt,周六野Zoey,12562,946978,2874706,10分钟下腹部小肚子运动｜高效燃脂、无工具【周六野Zoey】,4958,原创
BV1QA411q79Z,闫帅奇,38617,650383,2733319,睡前「鸡尾酒式瘦脸法」瘦咬肌、去面部水肿、正体态，堪比整容！,2137,原创
BV1r5411p7GX,文不叮,21602,668700,2461082,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,1292,原创
BV1Sz411B7td,海洋饼干Sophie,13408,696153,2340348,大腿前侧粗壮凸出小腿肚向后突出腿形不直必练一周见效的教程！,2247,原创
BV13a4y1e7Z3,马戏糍,12169,634440,2245235,1天瘦腿安排，我躺着瘦了3CM,659,原创
BV1GZ4y1H7rj,塑料叉FOKU,22389,969713,1991433,鼻部变美干货｜为什么别人的鼻子越来越好看，而你的却越来越丑？我关于鼻子的一些思考,11073,原创
BV1ht4y1y7Tn,都市丽人菜,37846,1276498,1910923,毕业生找工作到底有多坑？我被坑了好几次！亲身经历教你如何避坑！,5814,原创
BV1Ha4y147Sd,蓝蓝桉桉,1877,873757,1867196,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,3191,转载
BV1ci4y147Vc,熊猫妹子在东京哟,16134,673230,1860463,日本美容师教你正确祛黑头 10分钟告别草莓鼻,1979,原创
