视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1LV41167aW,小潮院长,221815,2602940,3022358,眼“色”游戏 （2）,49557,原创
BV1mi4y1G78L,腾讯,131246,5508632,3021958,我就是那个吃了假辣椒酱的憨憨企鹅,56667,原创
BV1Ta4y1e7jX,凉风Kaze,225306,2665750,2978758,秃             ——阅片无数年度总结,38953,原创
BV1ek4y1q7WM,中国BOY超级大猩猩,128574,2651120,2774186,不要笑挑战❌新故事王✔,25077,原创
BV1PK411H7gT,敬汉卿,256010,1904623,2588069,北漂三十天！（算个预告）,18671,原创
BV1m54y1Q7eQ,冈部伦太郎·,88251,854219,2359193,【醒醒】中华儿女该起床了,10468,原创
BV1454y1z7NE,拜托了小翔哥,270210,1412740,2316667,爱一个人，就陪她走一遍儿时的路,45732,原创
BV16v411B73n,手工耿,164319,2686423,1929899,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,15553,原创
BV1pD4y1Q7gd,盖里老哥,213988,1487437,1817832,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,31730,原创
BV1mT4y1J7iG,幸运猎手,20464,3163506,1728844,武松打得过这玩意儿？,7296,原创
BV1Df4y1174h,老番茄,62039,1664319,1508496,口技大师！,29021,原创
BV1YC4y187Hb,奶糕成精档案社,89970,951040,1384971,又是一个无 眠 夜。,3271,原创
BV16f4y117U4,NathanRich火锅大王,159424,885270,1342870,火锅大王消失的这段时间发生了什么？,4211,原创
BV1vi4y1G7Lu,我是郭杰瑞,55489,2666148,1316533,美国枪支销量暴增80%，深入枪店采访美国人为何囤枪？,21640,原创
BV16D4y1Q7n6,蟑螂恶霸-G,4845,883962,1310359,教大家一些没啥卵用但是看起来很帅的技能,455,转载
BV1n5411Y76p,可妈可吗,76214,1005540,1257588,18岁在清华相遇，7年后我们结婚生子，校园爱情毕业不分手。,6591,原创
BV1op4y1D7dJ,孰可司,52724,1412383,1202238,模仿六大平台吃炸鸡，味儿太冲了,10753,原创
