视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Dt4y197dr,SuperA_,55375,830306,1591336,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,1642,原创
BV1SC4y1a7jo,taerubykim,5888,2262865,1586565,BLACKPINK 回归'How You Like That' 现场持更中(更至200704 音乐中心),29497,转载
BV1HT4y1J766,精神擦六,7586,1903124,1379829,BLACKPINK 新曲《How you like that》MV公开,24550,转载
BV12p4y1U7Xe,黄龄,54005,1372621,1040847,【黄龄】今天也是越来越《喜欢你》们的一天吖！,9471,原创
BV1T5411Y7n3,章智捷,35441,812390,1000284,震惊!!不会真的有人能翻唱《Loser》吧?!,1949,转载
BV1sA411i7tz,Animenzzz,49374,384137,973567,【Animenz】紅蓮華 - 鬼灭之刃 OP 钢琴版,2433,原创
BV1PK4y1b7dt,大家的音乐姬,20762,748016,917438,【官方MV】Mojito - 周杰伦,4370,原创
BV1QZ4y1M7ca,SUNMI_宣美,40528,569989,905260,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,5453,原创
BV1PV411k7eT,云宫幻音,16710,592807,856248,【喀秋莎】同志们！伏特加！乌拉！！!,1992,原创
BV1SA411v7zD,李玉刚,35771,368398,838470,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,2165,原创
BV1BC4y187Au,pcyxjy,2218,748378,785086,BLACKPINK最新回归曲How You Like That打歌舞台合集(更至200704),7392,转载
BV1Vt4y19749,崩坏3第一偶像爱酱,28010,341813,740810,「崩坏世界的歌姬（Movie Ver.）」——《崩坏3》印象曲（演唱者：小林未郁）,1821,原创
BV13A411i7Xi,杨可爱Ukulele,14762,256661,740192,我把高考必背历史做成了一首歌！,1490,原创
BV1sk4y1q7Y1,音乐制作人Kurt,38311,381720,723589,Kurt深情演绎 | 周杰伦《告白气球》（补投）,1625,原创
BV1Wa4y1v7qB,离阿毛,8768,758691,720415,被上帝吻过的嗓子,2191,转载
BV1vf4y1177S,绯绯Feifei,26997,621579,696820,伊之助深情演奏鬼灭OP《红莲华》抒情版,4206,原创
BV1Av411z7Hr,是小光芒呀翻唱组织,5157,739776,689044,【BLACKPINK】这现场实力不火都难！老娘穿韩服照样可以Slay全场！How You Like That高能附体翻唱来袭！,1716,原创
BV1B54y1X7Ls,炽夏夜之心,8232,376464,659092,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,1111,转载
BV1Vi4y1x7bk,广西吴恩师,26141,465920,625530,清唱，他不爱我,861,原创
BV1Xk4y1q78j,Da圣音乐,843,901648,624043,最怕班里有这种女同学！随便一跳勾走全校男生的魂，成为女生公敌,1520,原创
BV15k4y1r7K3,临也Official,5816,378205,600295,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,584,原创
BV1Cz411e7nL,忘拿碗幼稚园园长,1729,392086,598060,女团舞《Psycho》李大辉×崔普闵×黄铉辰×尹产贺 cover,3115,转载
BV1AK4y147fq,谢尔比茨基,2587,512952,581894,特朗普连任应援歌《让美国保持伟大》正式MV,3538,转载
BV1zk4y1q7hf,司墨尧smile,9987,442778,556603,【天津话rap吐槽】 逗    鹅   冤,560,原创
BV1Ef4y117AD,墨韵Moyun,25252,256087,549508,【古筝】Only My Railgun —— B站十一周年快乐！,1324,原创
BV1Bv411B7DY,韩国东东,3396,630882,513949,当韩国人听了万人合唱的中国名曲？鸡皮疙瘩撒一地操作！,3811,原创
BV1Kf4y1m7GR,吾吾支支,2901,154733,506106,【BLACKPINK】【4k超清版】【无水印收藏级】官方MV合集,1025,转载
BV1LJ411W7Bo,Ueroey,3238,347581,500183,满级大佬屠杀新手村,863,转载
BV1R5411W7BK,中国长安网,16873,312339,495395,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,596,原创
