视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1pi4y147tQ,推背兔の,63961,1724619,2029465,最 强 法 海,8057,原创
BV16z411e7F4,豪言の经理,109387,1195746,1965294,【特效向】全明星の向死而生篇,11415,原创
BV1Mz4y1X7Nj,伊丽莎白鼠,81222,1441810,1662789,【费玉污】《一剪梅》被删减版本！,7402,原创
BV1Ji4y1G7TV,一只胖头鱼o,28144,1026517,1203017,神仙打架,6256,原创
BV1cp4y1Q7yn,碧天蓝钻,20184,560589,1014856,每天一遍，北大相见,1396,原创
BV18T4y1J7dT,纽毕斯,14518,1232232,982205,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,8386,原创
BV1eA411i72f,鸡鸡·夫斯基,12548,1125117,867376,企 鹅 抬 酱,1667,原创
BV1g54y1z7YH,天下万物皆可鬼畜,14515,510285,784531,希望鬼畜区没事,853,原创
BV17Z4y1H7NK,风云熊,21750,418275,761039,执着的骚猪,575,原创
BV1VV41167Vc,小果叮233,5407,563263,668903,当茄子拿起AK47,147,原创
BV1ZV411r79W,咕得莫宁,4038,816167,626356,大家好，我是奥巴马，从今天开始，我也正式入驻B站了！,899,原创
BV1pi4y1x7s7,墨菲potato,8596,419807,576289,王 雷 炸 鱼,529,原创
BV1Vz411i7Bb,自动鬼畜中的WZ,23415,253349,534487,【罗翔】素 颜,743,原创
BV1BA411i75N,qfegy,10931,365149,508437,【杨超越】斗地主第一名,1810,原创
BV1pe411W7eY,八嘎金,4160,430312,506186,每天一遍，遁入空门,551,原创
BV1Da4y1Y7uM,柴可夫司徒,14774,191875,479731,【全明星】Walk Thru Fire,3668,原创
BV1qt411j7fV,洛温阿特金森,13188,267029,470621,【派大星的独白】一个关于正常人的故事,2207,原创
BV1Lt4y197n8,御猫恰柿饼,5497,330621,467365,【秃 宝】细思极恐的哈人语音,2046,原创
BV12C4y187L2,蛇皮王Maste,4799,295175,460000,卢本伟玩极限运动被爆蛋合集！,3850,原创
BV1Bf4y127bg,冰绎,5083,307989,449272,【王雷】祖 安 卖 鱼,244,原创
BV1UZ4y1H7HR,英勇小轴科,5305,335047,445346,【王雷卖鱼】暴躁王雷，在线说唱,316,原创
