视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1eA411i72f,鸡鸡·夫斯基,6106,591192,604164,企 鹅 抬 酱,868,原创
BV1qi4y1G7hN,傲视在俗世上,21951,217937,386702,【笑傲江湖】新江湖路上的摇滚,16,原创
BV1pi4y147tQ,推背兔の,7329,184929,348655,最 强 法 海,894,原创
BV1cp4y1Q7yn,碧天蓝钻,6764,158397,331431,每天一遍，北大相见,358,原创
BV1Lt4y197n8,御猫恰柿饼,2919,223714,311701,【秃 宝】细思极恐的哈人语音,1135,原创
BV1Lz4y1X7NN,灵魂剪辑已上线,2489,192345,299955,好 兄 弟,199,原创
BV1Ua4y1Y7cQ,鋃月,2060,150115,200846,【大司马】一个敢送，一个敢念！,93,原创
BV16z411e7F4,豪言の经理,5706,95447,181802,【特效向】全明星の向死而生篇,805,原创
BV1Ji4y1G7TV,一只胖头鱼o,2079,79684,134724,神仙打架,458,原创
BV18T4y1J7dT,纽毕斯,708,109201,133519,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,448,原创
BV1Mz4y1X7Nj,伊丽莎白鼠,3020,68606,114969,【费玉污】《一剪梅》被删减版本！,301,原创
BV1kT4y177P3,爱学习的人,2080,56760,113619,打 上 撤 硕,608,原创
BV1ZV411r79W,咕得莫宁,485,99672,113195,大家好，我是奥巴马，从今天开始，我也正式入驻B站了！,89,原创
BV1UK411n75a,KPOP日常_同更青创,960,63299,106125,美国第一个会韩语的总统？川普翻唱BLACKPINK、Lady Gaga《Sour Candy》,349,转载
BV17Z4y1H7NK,风云熊,2597,52639,104295,执着的骚猪,76,原创
BV1bk4y1q74a,Dvaaini,550,84588,103215,【马化腾×老干妈】穷开心,112,原创
BV1op4y1U7YV,怠惰的一休,2007,54114,94883,【罗翔】巨人该判什么罪？,170,原创
BV1Bg4y1q7Nt,西天盧来,2011,49251,85658,【大威天龙】腚 力 练 习 僧,80,原创
BV1pi4y1x7s7,墨菲potato,1073,57738,85614,王 雷 炸 鱼,67,原创
BV1FK411H7Mu,小阳啊-,1262,51484,81152,【全明星】甩葱歌,140,原创
BV1Vz411i7Bb,自动鬼畜中的WZ,3504,35704,81025,【罗翔】素 颜,84,原创
BV1354y1z7nN,王思妇丶,2093,47886,80647,【哲学】 我爱洗♂澡,296,原创
BV1qt411j7fV,洛温阿特金森,1827,39422,74670,【派大星的独白】一个关于正常人的故事,343,原创
BV1bW411n7fY,UP-Sings,1245,48502,73405,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,457,转载
BV1ck4y167M4,晏策去月光林地了,2153,34338,73331,【全明星】How To Love,638,原创
BV1zz411i7TW,超音速君,992,43888,72518,【特朗普】一想祖国我就 Wu~ 欲语泪先流,417,原创
BV1cK411H7Xv,何闻吟鸭,1187,42020,72284,17发炮弹就想秒我？,121,转载
BV1UZ4y1H7HR,英勇小轴科,820,47623,72104,【王雷卖鱼】暴躁王雷，在线说唱,27,原创
BV1pe411W7eY,八嘎金,490,51058,70804,每天一遍，遁入空门,88,原创
BV1Vi4y1V7MF,龙大人不喷火,1445,46309,68092,【马什么梅】一剪梅,186,原创
BV1G741127uC,_青红造了个白_,1254,40255,64247,三   国   不   裂,140,原创
BV1Uz4y1977R,我想吃盖饭,735,41676,63712,建议改成：致 命 节 奏,42,原创
BV1wp4y1S7cz,智商低下的奇,1000,33230,61041,变成米津玄师了啊啊啊啊啊啊啊（flamingo）,60,原创
BV14K411n7Yi,危月楼,1260,27357,59145,"雷宝——内置""林北""王雷语音的人工智能",174,原创
BV1g54y1z7YH,天下万物皆可鬼畜,905,31178,59085,希望鬼畜区没事,50,原创
BV1Bf4y127bg,冰绎,577,38197,58933,【王雷】祖 安 卖 鱼,35,原创
BV167411C7yL,有dio骚,1039,30892,57234,建议改成：中 美 日 合 拍,188,原创
BV1VV41167Vc,小果叮233,427,38975,56374,当茄子拿起AK47,9,原创
BV1oT4y1E7hP,小蜜枣啊,960,27233,55477,【特朗普】loser 一个卧底的独白,160,原创
BV1jj411f7ed,南音风子,446,38968,53078,吸tiu蛙,46,原创
BV1hV411r7TA,小P孩儿呐,1570,27172,52834,【曹操】曹操行,73,原创
BV12C4y187L2,蛇皮王Maste,518,30544,51547,卢本伟玩极限运动被爆蛋合集！,247,原创
BV18K4y1s7oH,柴可夫司徒,1111,25814,50672,【全明星】夜曲,158,原创
BV1pK4y1s7UZ,duoliming13,485,26327,50671,【川普超赞翻唱】Lady Gaga+BLACKPINK《Sour Candy》,145,转载
BV1GW411g7mc,还有一天就放假了,1016,31487,50635,【面筋哥×波澜哥】我的烤面筋，融化你的心！,162,原创
BV1YC4y187KM,AB鲜,111,43176,48798,第一个走出考场的朱朝阳,65,原创
BV1FW411q7Js,茶几君梦二,512,33117,46933,【五五开】穷开挂,268,原创
BV1iZ4y1H7M9,橘晒猫,774,27568,45255,起飞诶飞,31,原创
BV1qW41157Y8,Ryuuuuuuu,264,32318,44582,【王境泽】乱世巨星,62,原创
BV1Lx411B7X6,TØm,218,30495,42470,海口蹦迪王,87,转载
BV1zV411o7tG,Himoda黑猫大,513,29862,41007,淡黄色长裙该判什么罪？,29,原创
BV1Ck4y197i1,肥宅界持刀人,510,27328,40135,孙笑川都干了哪些坏事？,61,原创
BV1E7411f7WH,小话筒microphone,551,21021,39822,【罗宝】一款真正的刑法机器人,96,原创
BV1pi4y1x7Ke,卑鄙的南瓜骨头,259,25619,38770,简 简 单 单 の 高 考,84,原创
BV1Y54y1B7Gt,初音ミつ,46,29107,37414,【鬼畜】来听听外国版钉钉的提示音！,135,原创
BV11K411n7Mh,騫尊魔王,362,21605,37187,Windows X（ue）P（iao）冰雪节限定,31,原创
BV1Cg4y1v7GQ,蛋蛋_TV,453,25334,37120,【张东升】当语文老师会怎么样？,48,原创
BV1c4411R716,倒悬的橘子,118,32506,36877,老干妈做广告了！,35,原创
BV1Qk4y1q7gT,一个很萌的小姐姐,741,27812,36647,段正淳：我一眼就认出语嫣是我女儿,55,原创
BV1H7411C71r,文散ws,1166,21225,36526,【罗翔rap】法外狂徒张三的独白(全程押韵),30,原创
BV1Fz411i75r,不2不叫周淑怡,350,31603,36312,大家好我是周淑怡，今天正式入驻B站啦！一首《拍桌少女》送给大家！,162,原创
BV1PC4y1p7wH,鬼会计,384,22893,35979,【川普】正道的光（建国的光）,154,原创
BV1Zp4y1U7er,SOL风洛尘,256,23621,35852,【全明星】B 站 至 宝 争 夺 战,52,原创
BV1rW411Y7cw,冰攻厂BeSo,325,24116,35700,【LexBurner】一口气全念对,51,原创
BV1Dg4y1q7yu,竹醉十六丶,372,25250,35646,【王者荣耀】诸神之战,92,原创
BV1z5411p78K,啊文JW,1221,14390,35369,【鬼畜电影】侏罗纪世界（完整版）,219,原创
BV1s4411i7L1,一只甜柠檬呀,153,26222,35254,油管上一个亿的特朗普的鬼畜，xswl。,209,转载
BV1mt4y197gZ,空旷的蓝田,771,22515,34795,【大司马】马 动 闪 霸,25,原创
BV1vv411B7Yp,夜雨星繁y,1150,19054,34441,【全明星】美人鱼,93,原创
BV19K411p7pZ,树深时见鹿dear,210,21194,33961,冒死从FBI偷出来的机密文件,64,原创
BV1H7411S7EJ,龙之王修罗,875,16116,33608,【卢本伟】something just like this,523,原创
BV1k7411j7PV,小锅er,337,23358,33301,【周淑怡rap】巴 黎 剩 母,48,原创
BV1f7411Z7vQ,风生君,846,17641,33054,【川普】青花瓷（高能泪目）,186,原创
BV1w7411v7xs,CSGO大茄子,446,21054,32318,【CSGO大茄子】白 给 话（中国话）,118,原创
BV1ii4y147LP,深度研究所,57,23855,30534,油管上超火的特朗普的鬼畜,157,转载
BV1nC4y1x7Je,秋名山上的小傻昔,341,22691,30456,【川普】卧底多年终究还是暴露了（高能泪目）,184,原创
