排名,标题,播放量,讨论数,得分
1,最 强 汤 姆,106.6万,2896,1253418
2,大  威  天  妈,42.5万,960,587809
3,业界真的要完！2020七月新番推荐,34.1万,2121,547761
4,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,35.0万,4199,433269
5,沙之呼吸？沙画动画震撼还原鬼灭之刃封神一战，技惊四座！,11.2万,1160,384821
6,宇智波小少爷想让我告白,15.3万,615,364621
7,天津吉良吉影入驻B站,23.3万,623,324759
8,最深度致敬·EVA·CG作品 |  导演完全版《EVA超·现实》【授权发布】,12.0万,265,322051
9,【warma】怎么办！我现在好怕被2233娘封号,19.4万,783,300651
10,有一种猖狂叫明天早上没课,21.3万,3261,295865
11,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,10.8万,625,286937
12,秦先生和韦天本尊本色配音版【摸王TV】明日方舟篇05.5,17.3万,479,282234
13,对不起，我败了！2020年4月新番打脸大总结！,22.0万,1719,275626
14,能长这么大是个奇迹,17.8万,272,235008
15,【迪奥把妹王】你是DIO，你能改邪归正吗,9.6万,1604,232852
16,【3D初放送】万众瞩目的3D可可会长！竟然成功做出了？！,9.5万,4313,231916
17,《崩坏3》布希MV - 想和你一直一直在一起 -「Aimer/Ref:rain」,6.1万,259,224759
18,期 末 线 上 考 试 现 状,17.4万,816,211652
19,约定的梦幻岛【宝可梦41】,5.7万,1479,208887
20,老年卡卡西直播带货,15.8万,102,202755
21,藏得太深了！我破解了B站做的宣传视频的秘密！,16.2万,433,197905
22,大古最后一次变身。已经好久了。,14.7万,502,190309
23,鬼知道我看了几遍！,10.7万,250,185623
24,事实证明。。。憋笑是多么痛苦的一件事！！！,10.0万,80,169880
25,当  代  网  络  现  状,10.3万,187,169443
26,【火影人物史】自来也为何不朽？岸本笔下的封神忍者！,8.0万,704,163945
27,小时候听里面的台词和现在的感觉不一样了,11.1万,171,159889
28,【b站11周年纪念】前方高萌！♥AWSL♥,4.3万,1227,149379
29,小破站11周年庆 用户纷纷整活送上祝福,10.2万,1298,145762
30,【赤井料理】两分钟做「意大利面」的结果是...,8.4万,727,132659
31,"【评头论足】我花了3000多块买了6根""棍""？万代 解体匠机 牛高达 浮游炮 配件包",10.0万,633,132362
32,这几个事件改变了新一！再谈柯南的塑造与成长！,8.1万,1965,129940
33,【方舟日常】博士的渣男之路,6.0万,475,126464
