排名,标题,播放量,讨论数,得分
1,最 强 汤 姆,100.7万,5161,1612205
2,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,133.7万,2.5万,1397886
3,【warma】怎么办！我现在好怕被2233娘封号,62.7万,5268,1042538
4,大  威  天  妈,61.8万,1301,817362
5,业界真的要完！2020七月新番推荐,39.6万,4100,773792
6,对不起，我败了！2020年4月新番打脸大总结！,47.2万,4885,598649
7,小破站11周年庆 用户纷纷整活送上祝福,42.3万,5642,562091
8,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,19.7万,1450,554877
9,【火影人物史】自来也为何不朽？岸本笔下的封神忍者！,24.1万,2951,543770
10,藏得太深了！我破解了B站做的宣传视频的秘密！,45.5万,1487,501440
11,【b站11周年纪念】前方高萌！♥AWSL♥,12.0万,3621,394720
12,【水龍敬】テスト 水龙敬老师的首次虚拟形象直播,22.2万,579,370581
13,【实力至上主义的教室/二年生篇】第7期：质疑,16.4万,2465,368947
14,能长这么大是个奇迹,25.8万,530,348984
15,期 末 线 上 考 试 现 状,29.8万,1367,336603
16,【漫评】约定的梦幻岛完结吐槽！从智斗神作到平庸收场，如何评价这部作品？,17.1万,1720,292357
17,红太狼，我要你助我修行！,23.9万,343,283656
18,鬼知道我看了几遍！,15.4万,394,270695
19,有一种猖狂叫明天早上没课,18.4万,3091,258784
20,【方舟日常】博士的渣男之路,10.5万,1401,257866
21,事实证明。。。憋笑是多么痛苦的一件事！！！,14.8万,131,244821
22,苏醒！传说中的三马桶！【宝可梦40】,7.1万,833,231572
23,真·史上最烂动画片，不接受反驳！《莫日根人熊大战》,15.0万,2056,227753
24,当  代  网  络  现  状,12.2万,220,208957
25,建议改成：祖 安 大 舞 台,10.7万,2292,197719
26,【用你的手指和熊猫玩】一条弹幕玩一次,9.9万,9962,195571
27,大古最后一次变身。已经好久了。,15.2万,536,190721
28,穿上1比1钢铁侠MK7战甲是什么体验？-刘哥模玩,14.5万,1374,186245
29,沙之呼吸？沙画动画震撼还原鬼灭之刃封神一战，技惊四座！,4.3万,664,178176
30,【鹿鸣x鹿鸣】这个端午，双倍丝滑！双倍快乐,12.7万,48,176446
31,【麦子】《犬夜叉·完结篇》（上）神乐之风，桔梗之光,5.1万,1146,170009
32,【AMV/舞曲】少女蜕变,4.2万,177,156433
33,史上最全毛利小五郎分析！他已知柯南真实身份？毛利独自解决案件合集！,9.8万,1600,153928
34,11年来B站100部番剧混剪，300位动漫角色混剪！让全世界都来感受ACG的魅力吧！,3.2万,1144,136167
35,邦古：那个男人比我强亿点点！就亿点点！,12.1万,156,134593
36,【名侦探柯南】当你打开工藤新一的朋友圈,10.2万,251,134590
37,MeAqua连麦片段【25万人纪念凸待剪辑】,6.0万,962,131125
38,我不要再绿啦！,10.3万,646,127847
39,【B站11周年】哔哩哔哩与我们【Overidea】,7.2万,340,127049
40,进击的冰糖、中之人变更！？,8.1万,1408,122391
41,“别 惹 网 抑 云”,9.7万,176,120628
42,山寨版《小猪佩奇》惊现第七集？？？,8.6万,569,120241
43,【崩坏3】最  强  雷  律,6.6万,87,114939
44,泳装方舟第二回，123人的泳装大会,3.5万,675,113185
45,宝可梦新作宛如王者荣耀？赛博朋克动画化！【ACG大事件】,7.5万,664,111025
46,“每日一遍，智商再见”,6.2万,674,110481
47,【童年经典/反派手书】你管这叫童年阴影？！,3.8万,249,109902
48,拜托，打傻子犯法的！！,6.5万,77,108556
49,老师就是这样给我们划重点的！？,9.1万,121,107563
50,【鬼灭之刃】第二季 无惨决战篇03.恋柱遭中！小芭内揭下面纱全力出战，鬼舞辻无惨危已！【高能】,6.0万,1184,107154
51,曾火遍全网的《溯》，你是否还知道？,4.9万,154,100283
52,华生：都别动！他手里有枪！,7.8万,83,98126
53,这 才 是 神 仙 打 架！,6.0万,77,97894
54,大威天龙JOJO版,6.8万,94,97088
55,【搞笑动画】班里来了一个新同学,8.5万,499,96087
56,【川建国传】请叫我红星队长 3D自制短片 不是封面党,5.2万,166,93517
57,【BILIBILI十一周年】永恒的二次元，我们共同走过的时光！,2.9万,678,93399
58,《崩坏3》动画短片「罪人挽歌」先行预告,7.6万,864,92911
59,我不挣扎了，大家都来白嫖我吧！！！,6.3万,180,91413
60,她模仿声音一直可以的！,4.1万,180,91255
61,【手书动画/中字/海绵宝宝音乐剧】NO CONTROL,2.0万,49,89729
62,【B限】粽节粽！端午节特别b限！30万关注纪念,3.3万,481,88873
63,【Helltaker小剧场】面 具 惊 魂,5.6万,98,88782
64,【孙美琪疑案手书/女性角色群像】你猜她怎么哭着笑来着,2.2万,592,87937
65,强到离谱「万物归一者」灭霸诞生，开场秒杀AAO,7.0万,2425,85531
66,"【评头论足】我花了3000多块买了6根""棍""？万代 解体匠机 牛高达 浮游炮 配件包",5.8万,719,84695
67,花200元买的铠甲勇士炎龙侠黄金限量版召唤器？！,7.0万,989,84074
68,被遗失的一集：进击的派大星,5.4万,35,83352
69,【明日方舟小动画】小巫恋生气啦！！！,4.2万,83,83047
70,挑 战 B 站 壁 纸 上 限！,2.5万,39,83012
71,关于泽塔奥特曼和假面骑士道具联动的一些问题,7.6万,104,82735
72,【明日方舟动画】武器大师阿米娅,3.9万,133,81996
73,【明日方舟 x Helltaker】地狱惊蛰，博士您还想逃到哪里去？,3.8万,63,80322
74,我来还原角都和初代火影之间的那些事（1）,5.8万,126,79942
75,不好意思，这才是火影忍者的精彩打斗！,3.0万,104,79186
76,【2020毕业季 | 动画毕设作品】绝美毕设！广州美术学院视觉艺术设计学院动画《落凡尘》【授权投稿】,2.6万,129,78945
77,贫困潦倒蜘蛛侠,5.7万,161,78652
78,老年卡卡西直播带货,5.6万,56,78102
79,亿万家产说没就没了？？？,5.7万,246,78053
80,《盖亚》中有无第三位奥特曼？阿古茹的黑色来自迪迦？解密海洋之光·阿古茹奥特曼形象诞生的幕后【丸山浩物语⑤】,3.0万,732,74912
81,【Space Channel VR】试着跳了下Dance in the Galaxy ～！【戌神沁音】,3.7万,149,74690
82,【互动视频/明日方舟】乌萨斯把妹王（原创立绘+含隐藏角色）,2.6万,172,73917
83,【JOJO福音41】『JOJO的奇妙xp』你的鼻子简直比长戟大兜虫都要性感！『JoJoLion解说』【JOJO8】,4.7万,760,73861
84,【Fate/Grand Order】此为诀别神明,2.4万,32,73761
85,您所赋予的光芒，已如此庞大…,2.9万,165,72333
86,胜 负 已 定,4.4万,27,72299
87,【兰仔与柯南】主线分析之朗姆篇推演㈣·眼见并非为实,3.6万,850,71702
88,快给我变！,4.0万,112,71535
89,【铁华团把妹王】团员的职责就是让团长爽一爽！,2.5万,707,71418
90,你 爷 爷 还 是 你 爷 爷,4.0万,649,70266
91,进 来 踩 我 一 下,2.9万,58,70221
92,【瑞克与莫蒂】官方漫画“地狱篇”（序章·来到地狱）,5.3万,168,66956
93,前方核能！这才是这个世界巅峰战力！！！,3.5万,48,66940
94,丈夫因怀疑妻子劈腿，竟和她同归于尽？这部日本人性动画实在是太直击灵魂了！,4.5万,200,66736
95,今年的22娘杀伤力更强,2.7万,174,66536
96,【6/10B限熟肉】回应中国粉丝的4个变态问题！第一问差点把梦酱嫁出去.....,4.6万,272,65284
97,【3D】变得能跳舞了,3.3万,79,65178
98,二乔终于想起了自己会波纹,4.8万,70,63424
99,地 表 最 强 唐 僧,4.6万,51,63373
100,考 试 前 一 晚,4.4万,183,61963
