排名,标题,播放量,讨论数,得分
1,冥 币 嫖 娼 定什么罪？,136.0万,7370,1091987
2,美国枪支销量暴增80%，深入枪店采访美国人为何囤枪？,174.2万,1.6万,1046290
3,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,50.9万,1193,1041813
4,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,38.0万,4971,985746
5,最 强 汤 姆,69.1万,2127,924770
6,"""杜海皇""之死",77.7万,1.3万,853417
7,又是一个无 眠 夜。,42.8万,2105,811926
8,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,30.3万,5051,780859
9,【半佛】B站的价值究竟在哪里？,58.6万,1.8万,777584
10,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,19.4万,859,698186
11,武松打得过这玩意儿？,66.4万,1477,676677
12,串串配烧烤，大sao第一次尝试本地宵夜大排档，一个人的量真过瘾,79.6万,5894,614620
13,【逸语道破09】希拉里，社交媒体政变的发起人，被特朗普用社交媒体干掉了,35.5万,7557,595491
14,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,52.2万,1697,594906
15,我在B站逛黑老大的家,62.0万,2308,563210
16,自制欧气检测器,65.4万,2268,553771
17,试吃999元一桶的冰激凌，三种新奇吃法哪种最好吃？,62.0万,9219,552155
18,【朱一旦】203 螳螂扑蝉 黄雀在后,68.1万,2020,518709
19,炉石传说：【天天素材库】 第202期,62.3万,2960,514600
20,我的世界坏掉了！！！,20.1万,1676,506379
21,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,9.3万,961,484783
22,就喜欢这种长得好看还没脑子的,47.6万,782,482635
23,【基德】为什么中国洪水越治理，经济损失越大？,25.1万,4494,480044
24,十八岁的赵薇到底有多惊艳，收情书都是按麻袋算的！,46.6万,1032,470102
25,【片片】隐藏结局全解读！国产悬疑封神作！最终真相令人窒息！过瘾解说《隐秘的角落》大结局,42.3万,4276,460876
26,【黄龄】今天也是越来越《喜欢你》们的一天吖！,40.0万,2338,456701
27,这么完美的男人确实很难遇到,43.1万,533,454795
28,最 强 法 海,27.0万,1192,451767
29,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),35.0万,5414,450426
30,【LPL夏季赛】6月28日 饭堂周末夜,45.9万,1.5万,447288
31,一个人，造出让40亿人震碎的夜晚！,18.7万,1863,423396
32,【睡前消息134】有人为“合村并居”批评山东，我想为山东说两句,40.7万,8492,419259
33,能把一条鱼的鲜美淋漓尽致的体现出来，哪怕做法败家，那也是值得,30.4万,2470,418912
34,乘风破浪的姐姐-大碗宽面练习室版舞蹈,32.1万,2451,418716
35,“五秒就够了！”,32.6万,3332,417252
36,王刚拜访新朋友的科技工作室，各种各式的设备看得让人眼花缭乱,46.6万,2365,414076
37,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,18.1万,340,414071
38,火锅大王消失的这段时间发生了什么？,23.7万,767,407979
39,5斤鸡腿做韩式炸鸡腿，帅小伙做了满满两大盘吃着太过瘾了！,38.3万,2998,402119
40,网友：这校长…像极了磕到cp的我,42.1万,362,395823
41,看完整个人都扭曲了……,33.4万,1438,394718
42,“这是我爸”“爸！”,39.8万,975,394348
43,无广！花3天测评20多种懒人速食食品！开水一冲就是一顿饭！到底哪款好吃又合适！,22.1万,3556,393527
44,建议保送清华,33.8万,554,387153
45,骗女朋友拍2万块的婚纱照！女朋友说终于美了一回！,18.2万,3243,384251
46,爱一个人，就陪她走一遍儿时的路,20.2万,4479,383991
47,和中国一样大的太阳系模型！太阳系竟是如此空洞广阔！,23.9万,1631,381918
48,【真人GTA】老 年 崔 佛,26.2万,507,376989
49,徐老师讲故事132：英雄联盟实体书之符文之地大事记全解析,25.8万,4231,369742
50,万人血书急求：全国一卷答案规律！【北清学长被迫营业】,15.5万,602,369485
51,当你亲女朋友的时候……（画面过于真实）,40.6万,60,369014
52,2030买一条全市场最大的珍珠龙胆石斑鱼，30几斤重，一个人按不住,25.0万,2109,367375
53,大  威  天  妈,25.3万,482,366985
54,【木鱼】盘点这几年火爆全网的六大名场面,37.7万,2489,365818
55,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,31.9万,1492,364604
56,【老邪解说】《隐秘的角落》全集解析！看完头皮发麻的年度神剧！,31.1万,609,363968
57,为了做游戏，我花了10年自学程序、美术、音乐、策划,13.7万,1361,361886
58,保温杯演奏Someone You Loved，敲敲（补投❉内有彩蛋）,15.0万,1246,360084
59,【费玉污】《一剪梅》被删减版本！,21.9万,1096,358846
60,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,17.1万,2689,358616
61,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,27.7万,1794,357357
62,把11个up主的五官拿出来打乱 还能再复原么？,29.8万,4435,357302
63,狮子“苏丹”一顿饭要吃多少肉？,22.0万,1568,345182
64,知名女拳师竟要求取消男性上学资格 禁止男性识字？太离谱了！沙雕网友迷惑操作行为大赏！,32.6万,3746,341495
65,【醒醒】中华儿女该起床了,11.1万,1327,337091
66,夜深了，把想吃的都吃个了遍，好爽！@野食小哥,32.8万,1717,335641
67,用自己设计的ITX机箱组装一台疯狂的高性能分体水冷主机【翼王】,17.3万,2812,334471
68,男人的快乐可以有多简单1,26.2万,78,330781
69,情 侣 旅 游 现 状 (2),21.3万,1.2万,328258
70,【高天鹤道歉】仝卓队友高天鹤主持人考试作弊被举报 经调查取消其成绩,36.9万,431,327770
71,作为外国人，我为在中国平台犯下的错误而道歉,28.2万,1321,325316
72,人类早期驯服野生无人机的珍贵影像,29.6万,577,324352
73,车祸现场，一不小心就从配角变主角了！,36.4万,41,321652
74,【爷青回】万万没想到，白客、叫兽新剧来了！四集连播看过瘾,32.4万,565,317846
75,【老杨与猫】猫爸第一次见满月小奶猫,21.1万,305,317050
76,星巴克任意杯被大家玩坏了,34.4万,103,314029
77,和 风 美 女,20.0万,3153,313375
78,全民反智？看不懂漫威，就看不懂美国(四) : 高科技魔法（B站独家）,17.5万,6160,310950
79,瞬间让男生崩溃的16秒钟,31.0万,724,305365
80,《隐秘的角落》最后的秘密:电影感的真面目?干货向No.1解读【中队长拉片笔记】,15.1万,2072,304910
81,【回形针PaperClip】为什么女生的内衣总是不合身？,22.5万,2221,304159
82,每次出去男朋友都怕我走光，真贴心！,34.2万,20,302182
83,希望鬼畜区没事,17.7万,271,301478
84,【11周年】非正男团跨国庆生 他们最爱的UP主竟然是！？,33.9万,3467,296958
85,宇智波小少爷想让我告白,13.2万,390,293031
86,老王有媳妇儿了！【德华的世界#6】,20.0万,1789,292007
87,【TSKS】Running Man.E509.200628.中字,27.6万,1.2万,291624
88,俄罗斯一司机徒手拦下了迎面飞来的轮胎 保住了挡风玻璃,28.3万,264,284441
89,不好意思，这次我必在热门！,10.9万,261,284015
90,震惊!!不会真的有人能翻唱《Loser》吧?!,18.8万,354,283719
91,印度疯狂抵制中国制造？背后的逻辑是这样的。。。,24.0万,1272,282883
92,口技大师！,19.8万,3074,280371
93,【大仙全家桶】惊世一枪重出江湖？这场表演是否能守护住你的笑容？,25.4万,3347,280286
94,一个人带动了整个寨子的经济,25.5万,32,280176
95,【剧本杀】百万UP主们勾心斗角（中）,21.4万,6941,279956
96,【奇怪的传播学】下行生育率背后的传播学逻辑,15.9万,1738,278750
97,盲人母亲用触觉做乡村薯片,19.3万,266,278462
98,暗访莆田鞋卖场 |  店家：阿迪耐克专营店也在这拿货 2块钱可变正品包装,24.6万,446,278191
99,神仙打架,17.4万,1075,277840
100,群  主  の  女  人,25.9万,167,277813
