排名,标题,播放量,讨论数,得分
1,最 强 汤 姆,69.1万,2127,924770
2,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,19.4万,859,698186
3,大  威  天  妈,25.3万,482,366985
4,宇智波小少爷想让我告白,13.2万,390,293031
5,最    强    爷    爷,20.9万,428,267304
6,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,19.4万,2139,246167
7,天津吉良吉影入驻B站,15.1万,244,233110
8,【过于真实】天 下 老 师 皆 是 一 家,10.2万,1201,220988
9,业界真的要完！2020七月新番推荐,14.2万,811,220870
10,最深度致敬·EVA·CG作品 |  导演完全版《EVA超·现实》【授权发布】,7.9万,130,214086
11,【怪诞小镇手书】MONSTER,4.3万,402,210328
12,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,7.8万,436,208989
13,《崩坏3》布希MV - 想和你一直一直在一起 -「Aimer/Ref:rain」,6.5万,152,200900
14,如何拒绝别人,11.0万,249,194037
15,鬼知道我看了几遍！,10.8万,251,189339
16,沙之呼吸？沙画动画震撼还原鬼灭之刃封神一战，技惊四座！,5.4万,444,182094
17,做给自己和粉丝们消遣的小玩意~,10.2万,154,173656
18,期 末 线 上 考 试 现 状,14.0万,682,172212
19,斑：我 不 做 人 了 ！,11.2万,462,168206
20,【warma】怎么办！我现在好怕被2233娘封号,10.7万,387,162445
21,看完后，你就懂这部日本人性动画有多神了！,9.6万,492,155370
22,藏得太深了！我破解了B站做的宣传视频的秘密！,12.6万,276,151540
23,【hololive小剧场】【动画】是谁补的刀！？甩锅大会！,9.6万,326,149126
24,【漫画屋】悬疑烧脑！父亲为救女儿与黑道智斗博弈！警方势力登场？MY HOME HERO#7,4.5万,890,144300
25,因为b站而相遇，三年后，我们终于领证了！,6.3万,975,142058
26,当  代  网  络  现  状,8.2万,148,136772
27,小红是个没有自信的人,11.6万,355,134939
28,对不起，我败了！2020年4月新番打脸大总结！,9.8万,792,129301
29,抢 樱 桃,7.5万,187,128344
30,【迪奥把妹王】你是DIO，你能改邪归正吗,5.6万,561,124303
31,【三国杀/helltaker】三国把妹王，在乱世收集妹子吧,5.8万,228,124064
