排名,标题,播放量,讨论数,得分
1,“玲珑骰子安红豆，入骨相思知不知”,50.8万,530,899362
2,“对不起，我有孩子了”,106.7万,1167,862638
3,小时候听里面的台词和现在的感觉不一样了,76.1万,804,839720
4,《大理寺日志》超 帅 踩 点 ！,34.3万,703,818608
5,喜羊羊原来可以这么燃,32.6万,1380,407790
6,什么叫同人逼死官方的混剪啊？战术后仰【凹凸世界第三季完结篇/极限踩点/无缝衔接/热血/白金】,9.3万,695,317041
7,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,11.2万,1128,246529
8,刻进DNA里的画面——“这故事，就得从一只鸽子说起了…”【BILIBILI 11周年】,11.7万,289,230639
9,超高评分9.8，本季度最强国产动画，没人比我更懂吸猫,19.0万,696,215778
10,灰太狼：我颠覆了整个世界，只为换你一次回眸,11.0万,1995,204541
11,唐朝究竟有多开放？小猫咪都能在朝廷当官？,16.3万,597,203132
12,老天师：我高兴就是一人之下；我不高兴，就是一人一下！,18.8万,138,190116
13,信息量爆炸！【灵笼】下半季定档预告逐帧解析,14.9万,418,178367
14,小时候看笑话，长大了看真实,10.0万,285,176947
15,小时候以为是喜剧，长大后才发现全是刀子！！！,12.0万,276,173426
16,“有孩子又怎样，孩子他爸都没了，要不我们…”,13.6万,255,171406
17,这部国漫让观众爆笑？最沙雕的动画之一！看完都笑疯了！,14.5万,222,171217
18,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,11.4万,244,168140
19,我突然变成肥宅，惨遭女儿嫌弃！竟还要拯救世界？知道真相我哭了..【凸变英雄】,13.1万,152,162800
20,没戴帽子的比比东应该就是这个亚子,13.6万,79,149979
21,“我应该，也是有用的吧”,11.6万,66,148754
22,这大概就是东方之美了,7.4万,173,146951
23,恭 迎 昊 天 冕 下 ！,9.6万,566,140190
24,评分9.8！和非正常人汉子住一起是什么感觉？【汉化日记】,12.0万,238,139552
25,臭男人果然都是见一个爱一个！,6.3万,203,134977
26,奇怪的团长又增加了。,8.6万,309,126961
27,【凹凸全员】决 战 ！！！,3.7万,183,123481
28,“猫爷，这周咱们不更新了，准备去哪玩啊”,5.7万,106,119845
