排名,标题,播放量,讨论数,得分
1,【中国神话宇宙 07】山海经系列猜想，大禹治水！未曾设想的道路！,21.3万,623,261827
2,“对不起，我有孩子了”,16.2万,131,196336
3,“有孩子又怎样，孩子他爸都没了，要不我们…”,5.7万,87,72225
4,B站那些评分超高的2D国漫！千万不能错过！【橘说国创#4】,5.1万,389,65111
5,雷 狮 不 要 心 动 挑 战！限时1分48秒！你能坚持多久？【凹凸世界/勉强踩点燃向/雷狮个人】,1.1万,192,48965
6,玄机奇侠传3《生生世世爱》,2.4万,160,48680
7,临时工实力排名（七）：体术差还怂的老孟凭什么是第一？！,3.5万,150,43956
8,喜羊羊原来可以这么燃,2.3万,186,36604
9,【斗罗奇侠传】用仙剑三的方式打开斗罗大陆！,2.1万,65,35592
10,小时候听里面的台词和现在的感觉不一样了,2.1万,22,29062
11,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,1.9万,28,27416
12,《大理寺日志》超 帅 踩 点 ！,9173,20,24834
13,没戴帽子的比比东应该就是这个亚子,2.1万,4,23788
14,灰太狼：我颠覆了整个世界，只为换你一次回眸,1.0万,143,19438
15,"""一生娶一人，一诺一卿颜""",1.3万,11,18454
16,大尺度黑暗向国漫为何停更？原因让人泪目，如今已经被人遗忘！,1.4万,26,18178
17,一人之下第四季主角【一人之下硬核人物志】王路.正道的光.马仙洪.飞,1.4万,335,16720
18,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,6882,85,16093
19,小时候看笑话，长大了看真实,9466,33,15628
20,恭 迎 昊 天 冕 下 ！,1.1万,31,15533
21,当玄机家的娃们去摆地摊,1.3万,48,15381
22,小时候不懂，长大后才知道叱咤风云的孙悟空也有自己的心上人！！！,1.2万,27,15326
23,“人间不值得，不值你难过”,7023,10,15052
24,【斗罗大陆】118集，胡列娜直接脱衣为闯地狱路,1.3万,1,13561
25,只要反派长的好，三观跟着五官跑,9522,14,12961
26,史上最早官方认可动画 ？？？,1.1万,115,12581
27,这大概就是东方之美了,6626,18,12238
28,【一人之下手游】震惊！原来王也最喜欢的粽子居然是？,1.1万,1,11581
29,东城：不记得也好，忘却也是一种幸福,1.0万,5,11493
30,一吻封神！直接吻出了上亿播放量，我也就看了亿遍,1.0万,15,11361
31,唐朝究竟有多开放？小猫咪都能在朝廷当官？,9520,20,10981
32,超高评分9.8，导演签订两年卖身契？只为了做好这部动画,7350,85,10766
33,谁说国漫没神曲？第一弹,6663,127,10032
34,“我见众生皆无意，唯遇你动了情”,5916,4,9590
35,《一人之下》，朗朗上口的名言,7370,25,9558
36,“就算没有蛊母，我也从未想过离开你”,8901,--,9505
37,兔子的千层套路,5687,13,9473
38,什么叫同人逼死官方的混剪啊？战术后仰【凹凸世界第三季完结篇/极限踩点/无缝衔接/热血/白金】,2733,17,9056
39,【秦时人物志·盖聂】走过岁月，走过河山，白衣如旧,5657,49,9051
40,看的我热血沸腾，看完你可能要重新认识喜羊羊,5195,48,9042
41,【凹凸世界】开播四周年直播活动录屏，考生们考试加油！！冲鸭~,3822,222,8559
42,【吹灭小山河】 这天下，风情千万般，不及你一眼,4764,5,8395
43,我终于发现了少卿是什么品种的猫！,5560,11,8109
44,琪琳花下死，做鬼也风流！！,5928,3,7861
45,“鲜衣怒马少年郎，豆蔻年华女儿情”,4561,8,7759
46,【凹凸全员】决 战 ！！！,2282,7,7754
47,少卿这么可爱，不如我们……,5293,6,7725
48,【4k测试·AI修复】秦时明月残月谷之战 画质提升版,5241,39,7606
49,老天师：我高兴就是一人之下；我不高兴，就是一人一下！,7090,2,7514
