排名,标题,播放量,讨论数,得分
1,BILIBILI 11周年演讲,358.9万,10.0万,3404858
2,犬来八荒  | 滴米不漏,119.7万,8666,1117872
3,“你要允许一些人，有安静的青春。”,50.7万,875,907587
4,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,102.9万,6578,897024
5,Hi，我是THE9成员赵小棠，一个很爱B站的小UP主！,74.6万,8216,879045
6,集体抱团排挤？艾瑞巴迪小组事件全整理,74.0万,7479,792039
7,【婊气群像】老娘当年火的时候你还不知道在哪里！,76.3万,837,777585
8,仙女chuu chloe啊！,175.0万,62,767773
9,明星为什么会吸毒,113.1万,3327,712188
10,《动物圈的问号脸》第3期：某幻君赌上尊严 谁说猫主子不如狗？,177.5万,3.8万,672246
11,最烦人的姐姐出现了？乘风破浪的姐姐｜观影指南Ep.2,62.8万,1.5万,638200
12,【秦昊】张东升空降直播间  一秒吓退所有观众,110.3万,2778,628741
13,2008年北京奥运会开幕式（高清全记录）,27.1万,2.4万,618286
14,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,39.6万,1444,595454
15,乘风破浪的姐姐们，兴风作浪的狗子们！【UP！大明星】,78.4万,5569,581903
16,【TF家族】2020 TF家族夏季运动会,48.6万,8.3万,550240
17,B站11周年庆，我为大家献上一首喜爱的音乐，哔哩哔哩，干杯！,32.3万,1567,517963
18,【BLACKPINK】'HOW YOU LIKE THAT'打歌+MV+预告合集（持更至200628人气歌谣）,42.0万,2763,477925
19,【不心动算我输】历代女团神级圈粉名场面,21.0万,5443,474755
20,乘风破浪的姐姐，主题曲 9人对比版 张雨绮 蓝盈莹 张含韵 万茜 海陆 王智 钟丽缇 伊能静 沈梦辰 路拍 花絮,55.2万,1334,459080
21,秦昊喊话李云迪：李云迪，你教我女儿弹钢琴，我陪你爬山。,56.6万,720,446171
22,[更新629舞蹈版][4K/60帧/合集] SEVENTEEN Left&Right 打歌舞台 直拍 零站,28.8万,1.3万,444881
23,【青春环游记】郎朗周深的《幽灵公主》绝了！天籁之音+绝美琴声我能循环一万遍,27.1万,3323,439574
24,【11周年】非正男团跨国庆生 他们最爱的UP主竟然是！？,52.6万,2.3万,437276
25,【刘哔】搞笑吐槽台版土味101《DD52》第二期！僵尸舞大战神婆上身，女团舞蹈下限让人叹为观止！,44.1万,1.5万,430488
26,【乘风破浪的姐姐】王霏霏孟佳再跳missA出道曲，回忆杀！,43.7万,329,414045
27,揭秘“浪姐”内部鄙视链！黄圣依张雨绮宁静谁地位更高？,40.8万,3100,413458
28,【周杰伦纪录片】第七集：夏日狂想,15.9万,9764,403993
29,【少年之名】张艺兴指导学员跳Love Shot和Monster!太开心了！,41.9万,1300,400391
