排名,标题,播放量,讨论数,得分
1,BILIBILI 11周年演讲,39.1万,8923,514437
2,【11周年】非正男团跨国庆生 他们最爱的UP主竟然是！？,33.9万,3467,296958
3,【TSKS】Running Man.E509.200628.中字,27.6万,1.2万,291624
4,【秦昊】张东升空降直播间  一秒吓退所有观众,26.8万,670,262399
5,【SBS综艺】Running Man E509.200628 主题：超能力学校竞赛 嘉宾：李相烨、姜汉娜 【TSKS】,18.4万,5821,183462
6,各大名山景区已换标语  禁止秦昊入内   哈哈哈    看过这个影视的都知道这个梗,17.9万,96,174574
7,揭秘“浪姐”内部鄙视链！黄圣依张雨绮宁静谁地位更高？,15.6万,904,170251
8,《动物圈的问号脸》未播花絮 啊吗粽吐槽中国boy的智商储备不够,16.1万,216,155287
9,【时代少年团】TNT随机街访之《舞会之前》,8.0万,1.2万,152513
10,【刘哔】盘点热门综艺搞笑名场面，第一个就笑到头掉！,14.0万,1929,149245
11,张艺兴《莲》MV Re-reaction,4.5万,4064,148727
12,她终于会跳舞了？因为wave上了热搜的女爱豆 她真的超级努力的,13.4万,94,142817
13,【许君聪】无情哈拉少！,10.8万,228,128195
14,朱正廷从张雨剑口中得知自己被快本邀请，公司却从未告知,12.4万,8,126301
15,我家的熊孩子.E196.200628.中字,10.9万,2405,114438
16,感觉马思纯能正常社交 但是内里已经崩塌了,10.8万,24,112525
17,【快本】下期预告，张东升“我还有机会吗？”,11.1万,39,111239
18,茜茜子竟是现实界贝微微？万茜竟然是魔兽世界国服五大会长之一？,10.9万,12,110212
19,党妹综艺首秀《我在颐和园等你》，玉兔妹妹来啦~,9.8万,170,109348
20,SEVENTEEN居然翻跳了【乘风破浪的姐姐】无价之姐舞蹈！？次元壁又破了！,8.7万,222,107980
21,降头的秘密,9.3万,1157,107621
22,【乘风破浪的姐姐】得不到的爱情睡衣典藏版舞蹈！,9.1万,383,106961
23,【创造营2020】赵粤：你们都是舞蹈、vocal、Rap担当，那我只能门面担当喏～哈哈哈哈,9.6万,231,102553
24,这就是Linda G 李孝利效应        韩国目前无一人能及,8.8万,137,97285
25,【中字】崔娃说德语像希特勒，在德国吓疯路人哈哈哈哈哈,8.1万,43,96327
26,仙女chuu chloe啊！,8.7万,2,94378
27,犬来八荒  | 滴米不漏,7.1万,208,89419
28,陈卓璇：没有朋友会给我写信。打开礼物瞬间泪崩！其实很在意朋友的想法…,7.9万,271,86690
29,【周深】卿听·东方之音『花西子』专场直播（陈洁kiki直播间）,3.6万,2817,86136
30,【傅菁】很开心，生日这天，能在B站与你相遇。,4.8万,2062,86036
31,【BLACKPINK】今日回归舞台采访，jennie看成员眼里流出蜜了啊啊啊啊，太甜了,7.0万,44,84016
32,这个好笑程度实在是太超过了 头都给我笑大无语哈哈哈哈哈蔡徐坤存在即偶像剧是罪吗,6.2万,200,82929
33,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,6.1万,282,77526
34,集体抱团排挤？艾瑞巴迪小组事件全整理,6.1万,452,76798
35,她来啦，她来啦，她要去向往的生活捣乱啦[,7.5万,2,75262
36,【预录】韩国预录最真实的女团?!进入视频时几乎听不出来是真唱还是假唱?!BLACKPINK回归初舞台How You Like That,6.4万,402,71986
37,【不心动算我输】历代女团神级圈粉名场面,3.0万,536,71708
38,【创造营2020】《火羽》绝了！前七里集齐了5个！我已经开始期待了！,6.8万,200,69954
39,【金智秀】金大爷告诉你什么叫六亲不认的步伐,5.1万,39,68260
40,【隐秘的角落花絮】普普本质：i张东升罢了,6.4万,36,67305
41,“你要允许一些人，有安静的青春。”,3.2万,61,67230
42,秦昊喊话李云迪：李云迪，你教我女儿弹钢琴，我陪你爬山。,6.5万,86,66868
43,【首日数据】断层200w了！首日诞生两支百万直拍！BLACKPINK《HOW YOU LIKE THAT》新歌首场个人直拍播放量排名,6.1万,710,65029
44,韩网热议!SM女团当时只看预告就知道会成功的三首歌曲,5.7万,101,64482
45,【中字】200628 BLACKPINK人气歌谣 'How You Like That '后台采访完整版,5.3万,120,63272
46,【荣梓杉】弟弟，整点阳间的音乐好吗,5.5万,56,59990
47,【黄铉辰】吸血鬼般美貌的《Psycho》直拍，一见误终身，我晕了,3.1万,492,59479
48,【宋亚轩】【苏新皓】这突如其来又令人惊喜的摸头杀，帅帅笑得好可爱啊,3.0万,180,58963
49,秦昊：不想演坏人，却无法抵挡好剧本,5.4万,136,58576
50,【BFP中字】200626 BLACKPINK   How You Like That COUNTDOWN LIVE,2.4万,1023,57749
51,来看金容仙一次就过的拖车证考试，果然懒惰的地狱没有金容仙!!!,4.9万,71,56479
52,同家公司公开凑热度？！热议:祖传rapper艳后气质，真人间消化剂，气质上到底谁赢了(狗头)，真的被笑飞！,4.9万,125,55676
53,【炙热的我们】即使被邀请到现场也不会嘴下留情！烫烫子我们又来咯！EP03+EP04舞台reaction大放送！,5.0万,2030,54714
54,【每日减肥动力】韩国女爱豆减肥前后身材对比!,3.3万,243,53651
55,【超人回来了】Jam：老公！小好：老...老公？！,5.3万,4,53513
56,（新更MV）华莎第一张正规专辑《María》MV+打歌现场合集 MAMAMOO,4.2万,86,53463
57,听到哥哥带了女人回家？？在房间内卿卿我我？妹妹会如何应对？？【韩国整蛊隐藏摄像机】,5.1万,30,53027
58,【少年之名】张艺兴指导学员跳Love Shot和Monster!太开心了！,4.8万,128,52858
59,用魔动北极星打开快乐星球,3.9万,129,52754
60,无法反驳？谁才是真正的刀群舞..电脑分析男团刀群舞排行！/华莎超厉害的回归专辑！DenQ,4.7万,1714,51986
61,【字】土曜团建日 AI 佐藤健 仲里依纱 2020.06.27 【Aloha】,3.2万,960,51941
62,【吕良伟】从影41年，关于我的冻龄养生秘诀都在这里！,4.0万,286,51908
63,《乘风破浪的姐姐》一次公演七宗最：蓝盈莹、黄龄组表演，比金晨、沈梦辰《大碗宽面》要好,5.0万,169,50829
64,普普｜现实里的普普，是个小公主呀,4.5万,96,50209
65,秦霄贤唱《红色高跟鞋》—低音炮太好听了,3.6万,97,50073
66,【婊气群像】老娘当年火的时候你还不知道在哪里！,3.9万,59,49962
67,崇洋媚外！,4.5万,270,49371
68,【青春环游记】贾玲：怎么乐华七子还有个英文名儿？,4.8万,10,49259
69,周深杨迪唱京剧，杨迪：你又会！！（直播）,4.1万,85,49066
70,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,3.0万,119,48996
71,"【马思唯】我改编了队友KnowKnow的”R&B All Night”,  等你来投稿",4.0万,99,47841
72,"""魔动闪霸""用传统说唱battle！Azi田昌宇《AZI》",4.6万,69,47671
73,【大碗宽面】油管网友神评论，姐姐们可以就地出道（乘风破浪的姐姐）,4.7万,41,47549
74,【徐艺洋】清唱《怪女孩》,3.9万,95,47185
