排名,标题,播放量,讨论数,得分
1,BILIBILI 11周年演讲,358.9万,10.0万,3404858
2,【麦长青】真当我“梁非凡”不上B站,454.5万,2.3万,3182795
3,【贝爷】探索者们，我开通B站账号了！让我们一起永不放弃！,349.3万,1.4万,2107843
4,【防弹少年团】1080p中字完整 200614 线上演唱会 online concert complete ver. - BANG BANG CON,51.4万,3.5万,1592793
5,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,141.9万,4977,1525364
6,全场最佳！姜贞羽《时候》二公直拍！仙女下凡！眼神太杀！创造营2020,159.8万,1.4万,1313571
7,【青春环游记】郎朗周深的《幽灵公主》绝了！天籁之音+绝美琴声我能循环一万遍,72.8万,1.4万,1283978
8,【婊气群像】老娘当年火的时候你还不知道在哪里！,177.6万,2193,1233452
9,【每日减肥动力】进来看韩国女演员的身材管理第三弹!,89.3万,3012,1171641
10,犬来八荒  | 滴米不漏,119.7万,8666,1117872
11,【TF家族】2020 TF家族夏季运动会,74.7万,23.7万,1057057
12,【WNS中字】200608 BTS Dear Class Of 2020 毕业典礼演讲 & 表演 Boy With Luv+春日+小宇宙,36.0万,1.8万,1014187
13,失望！三观扭曲还浑然不知的【跑男】终于知道为什么越来越烂,203.3万,4.2万,1013334
14,【明星大侦探】这综艺竟然公开搞hs！明侦开车名场面第二趴，车速太快系好安全带！,120.8万,5718,910627
15,“你要允许一些人，有安静的青春。”,50.7万,875,907587
16,大家好，我是陈坤，我终于找回自己的B站账号了！,199.7万,8006,903162
17,教科书级“痞笑”  表情管理高手  韩国最妖孽男爱豆！！,39.4万,1200,899312
18,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,102.9万,6578,897024
19,Hi，我是THE9成员赵小棠，一个很爱B站的小UP主！,74.6万,8216,879045
20,【朴彩英】绝美高能！！！千万别点进来，我怕你会爱上这个女人！,53.1万,1903,878791
21,【麻将馆中字】有点心机又如何 第一弹 2019.09.27 田中みな実 弘中綾香,36.1万,7077,873568
22,【张艺兴】《莲》8D音效炫酷来袭！身临其境感受视觉冲击，听觉盛宴！,46.6万,1583,868567
23,硬核音乐人：网暴都是惯的，有流量是你的福分【UP！大明星】,73.2万,7509,860149
24,【BLACKPINK】 中字·最新团综 '24/365 with BLACKPINK' 公开（持更中~）,46.5万,9166,858269
25,【金龟子】大朋友小朋友们，我来啦！大家儿童节快乐呀~！,75.2万,8616,845968
26,C位直接淘汰！选手写歌diss赛制！【以团之名】第二期,106.4万,8503,817282
27,真当何老师不上B站？,192.4万,6152,816501
28,【闲着干嘛呢】高清全集(持更至E48.200627中字)摄像接力综艺《都玩些什么呢》多版本中字 超清大合集 刘在石&Rain 李尚顺&李孝利 黄光熙&刘宪华,122.3万,5.5万,813903
29,【斋藤飞鸟】AWSL！一遍心动，两遍入坑，三遍血槽空！,56.9万,866,812827
30,【2020 TF家族夏季运动会】饭拍全程（没有射箭 | 非常缓慢更新中）,28.2万,1.0万,805068
31,BLACKPINK HOUSE 团综 合集 (全12集) 中字,59.7万,2.6万,794916
32,【郑乃馨】百万特效！爆肝应援！nene创造营2020主题曲舞蹈特效,41.1万,2035,771547
33,仙女chuu chloe啊！,175.5万,62,768979
34,青春有你2决赛夜公布刘雨昕C位时，某大学宿舍楼炸了...,73.2万,6680,768322
35,[威神V/WayV] 《Turn Back Time (超时空 回)》 MV,33.9万,1.4万,762645
36,【王俊凯】想见你王俊凯直拍,30.5万,1.6万,761660
37,宁静耿直怼人令人极度舒适,95.9万,2215,756846
38,【歌手】周深《达拉崩吧》分饰多角！化身勇士打败恶龙救公主,64.3万,8207,755829
39,李玫瑾老师教男孩子谈恋爱：不能一次性对女生太好了，慢慢来。,56.7万,826,753002
40,【SBS综艺】Running Man 2020合集开始（更新E509.200628 主题：超能力学校竞赛 ）【1080P】【RM】【TSKS】,176.5万,5.8万,721649
41,【乘风破浪的姐姐】姐姐们的业务能力合集,102.7万,6894,718279
42,横行B站的“无天佛祖”来了，大家好，我是演员黑子！,92.2万,5382,716975
43,“早知道姐姐喜欢野的，我就不装了”,47.5万,743,713078
44,明星为什么会吸毒,113.1万,3327,712188
45,《动物圈的问号脸》第1期：神脑洞？中国BOY&啊吗粽解锁羊驼迷惑行为,182.0万,5.0万,703565
46,【综艺】大逃脱全三季合集,74.6万,5.6万,686477
47,【颜狗盛宴】每天一遍，防止早恋,51.9万,1545,686426
48,"超厉害编舞！Lady Gaga, BLACKPINK - SOUR CANDY | BLACKCHUCK舞团 [DANCE IN PUBLIC - 1TAKE]",40.6万,490,682892
49,爱奇艺腾讯前员工技术流分析：青你比创造营强在哪？,51.6万,1.7万,673329
50,道枝骏佑  我可以喝你的可乐嘛姐姐～,36.9万,801,670982
51,陈冠希当年道歉视频 对比之前哭哭啼啼柯震东和小猪罗志祥 高下立判 话说道歉的一身搭配现在看来也还是很帅 visvim衬衫+fenom黑钻+dior西装 完美,88.5万,1578,663556
52,山本瑠香--求求你别晃了 我晕,147.5万,73,661723
53,别忘了，他是一个演员,64.3万,1227,661234
54,“他长得像张艺兴”“我就是张艺兴”笑死我了！！,91.2万,1432,660617
55,"这就是传说中的绝世甜妹吗？爱了爱了｜【THE9 刘雨昕】总决赛《Yes,Ok》直拍",39.5万,3.0万,660532
56,是什么契机让你认识的赵露思？,75.8万,1769,659976
57,"小宅Vlog | 青春有你2之""未来女明星们""的日常，全是你不知道的内幕",45.6万,6704,653621
58,乘风破浪的姐姐，主题曲 9人对比版 张雨绮 蓝盈莹 张含韵 万茜 海陆 王智 钟丽缇 伊能静 沈梦辰 路拍 花絮,126.6万,3242,642799
59,【秦昊】张东升空降直播间  一秒吓退所有观众,110.3万,2778,628741
60,【Heart Signal3】心脏信号3 高清中字合集(更至200624 E13中字）,84.7万,7.7万,626245
61,【创造营2020】这个舞台难道不值得出圈吗？《River》徐艺洋赵粤真的太绝了！,64.7万,4837,624568
62,2008年北京奥运会开幕式（高清全记录）,27.4万,2.4万,621075
63,【肖央】这是我的妹妹央央子，今天正式出道了！,86.5万,2791,619176
64,【徐锦江】B站我来了！“硬核”圣诞老人鳌拜入驻了！,68.7万,1870,617518
65,大家好，我是Ella陈嘉桦，今天入驻B站啦！,71.0万,4404,615759
66,【BLACKPINK】最新回归单曲《Drunk Butterfly》打歌现场混剪/你绝对没看过的粉墨打歌现场,61.2万,3092,615049
67,虞书欣就是李佳琦命中的劫数哈哈哈哈，我要笑死,66.7万,1623,607347
68,《SJ Returns 4》超清合集【更新至:E13.200622.中字1080P】Super Junior组合团综,40.9万,3699,605092
69,【徐熙媛】老娘这才是清冷小白花/绿茶都滚开！！,51.0万,705,602047
70,2020了我还在为Beautiful的鬼怪ost现场版哭泣！！,36.1万,817,598152
71,万茜的半个娱乐圈豪华应援团是怎么来的,93.1万,996,596277
72,这保安，一张嘴就是老色批了。,100.1万,1088,595539
73,罗志祥名场面1,116.9万,270,591271
74,梁博，一个把演唱会办成军训的歌手,59.4万,2110,587863
75,【杨蓉】看完你们的“渣女攻略”，B站我来了！,57.1万,4258,587576
76,【乘风破浪的姐姐】张雨绮&宁静怼人合集  姐姐们嘴炮能力MAX,94.5万,1112,587366
77,李孝利疯狂吐槽女团歌曲歌词，看有没有你家中招的，笑死我啦哈哈哈,76.4万,1017,585049
78,【非正式卧谈】第9期：姐妹清醒！恋爱中的陷阱知多少！,113.8万,2.5万,581815
79,大家好，我是巨石强森，今天我入驻b站了！,70.5万,656,578733
80,[TSKS]running man.E508.200621.中字,69.4万,2.5万,575086
81,【乘风破浪的姐姐第四组阵容】孟佳和王霏霏的《Hush》，姐姐我可以！,95.4万,574,572799
82,[更新629舞蹈版][4K/60帧/合集] SEVENTEEN Left&Right 打歌舞台 直拍 零站,33.5万,1.7万,571090
83,【安利】24岁丁禹兮最走心最圈粉的一次访谈（浮夸嗨聊采访）,27.1万,3181,568706
84,惊！外表明明是世上最冷都市女...韩国人看乘风破浪的姐姐,78.6万,1431,565010
85,【官方正式版】碧梨褪去外衣霸气回应身体羞辱：我的身体与生俱来，我的价值由我决定！,39.5万,433,562996
86,第一期嘲笑长相太low了！对比RM，为何《奔跑吧》越做越无聊！【哇妹】,65.5万,1.2万,560839
87,感受到校长的快乐了吗？,69.5万,81,560648
88,杨超越《皇后与梦想》唱跳舞台直拍已经证明她是合格的爱豆了，谁赞成？谁反对 太好看了把！进步肉眼可见 【炙热的我们】,47.9万,1.3万,559077
89,【吴敏霞】退役3年后就再也没跳水了，今天重回体育馆，登上跳台的那一刻竟然...,52.7万,1752,558549
90,这父子俩把红毯走出了傍晚饭后遛弯的感觉！,90.7万,99,557505
91,史上最强solo一键换装！神仙剪辑无人能敌！Jennie换装特效两开花颠覆你的感官！,38.6万,971,556712
92,【这就是街舞3】大型嘴瓢现场 | 语言界三巨头齐聚街舞3,44.3万,2279,555319
93,曾经我也想过一了百了--中岛美嘉,26.0万,2055,550239
94,【新西游记全集】2015-2020全七季珍藏版大合集（1+2+3+4+5+6+7）（持更-S7-E11.20200103 最终回 马首欲东情殷盼寿 友贤心浩勋）,59.4万,2.4万,549836
95,【BLACKPINK】'HOW YOU LIKE THAT'打歌+MV+预告合集（持更至200628人气歌谣）,50.8万,2973,547684
96,BTS 跑弹 RUN BTS 中字,55.9万,2.6万,544911
97,[韩网热议]因为身材太丰满，减肥瘦的只剩下胸了？！减肥前肉体粉丝多，减肥后颜值巅峰？！把胸放在桌子上，这是大胸女孩的快乐？！哈哈，权姐的这身材可是有名的,62.0万,649,544873
98,改变桥本环奈命运的眼镜,71.9万,409,543669
99,200602 LISA allure拍摄中字,22.0万,984,540060
100,【乘风破浪的姐姐】主题曲“无价之姐”舞蹈合集,62.5万,3451,538804
