排名,标题,播放量,讨论数,得分
1,一个人，造出让40亿人震碎的夜晚！,387.0万,3.4万,5200367
2,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,416.3万,3.5万,3541323
3,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,165.9万,3520,2098824
4,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,108.7万,2783,1904714
5,妈妈问我为什么要跪着看手机！,95.3万,1650,1781131
6,【片片】细节爆炸！还珠格格里藏着杀人秘密！不愧是9分神剧！过瘾解说《隐秘的角落》7-9,233.9万,1.9万,1745648
7,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,153.5万,6162,1692607
8,“你太干净了，你不懂。”,87.5万,1256,1282229
9,16个细思极恐的细节，编剧导演简直牛逼到戳天了,116.4万,6726,1207753
10,无  限  转  场,44.5万,797,1082817
11,每天一遍，防止早恋,96.3万,2540,1069934
12,前 方 高 甜 ！魔 法 狗 粮 ！,40.6万,1751,962875
13,“现实永远比童话残酷.”,42.1万,1389,936720
14,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,83.3万,4602,912806
15,仅用3分钟直接封神！霸占热搜！尺度爆炸！隐秘的角落到底好在哪儿？,152.7万,3341,904334
16,【木鱼微剧场】《红楼梦》（全集）,46.8万,1.6万,887868
17,DYSTOPIA_反乌托邦——2020毕业设计,30.6万,861,871633
18,【老邪解说】《隐秘的角落》全集解析！看完头皮发麻的年度神剧！,127.4万,4581,836158
19,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,94.3万,4338,830984
20,细读经典 97: 这部电影就是当下美国种族骚乱的注脚,68.2万,9530,764639
21,【刘老师】年度国产剧TOP1肯定是它了！细致解说9.1超高分悬疑剧《隐秘的角落》，谁能比秦昊更适合“衣冠禽兽”的角色？,116.3万,4816,726946
22,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,47.4万,2379,698195
23,【虫哥】高颜值男女爱的很随便神剧《我爱河东狮》，故事里发生的一切都很随便~,65.0万,9447,691471
24,魔 法 盛 宴 ！麻 瓜 慎 入！,27.5万,947,664960
25,我赌你的枪不会唱歌,28.5万,843,655581
26,手里的泡面瞬间不香了！,100.1万,831,625772
27,这就是我能想象的海王的样子 ——又纯又野的姐姐,51.4万,274,621211
28,背景设定2020年?带预言家《V字仇杀队》第一解读:真相=沉默螺旋+群体潜意识,33.5万,4346,573898
29,【处处吻】 愣着干嘛 进来白嫖啊,34.5万,672,570168
30,一支情绪很饱满的片子，一只平平无奇的小盒子,17.6万,303,563652
31,【传闻中的陈芊芊/现代番外】韩烁到底行不行||沅沅苏沐情归何处/梓锐白芨的现代爱情,38.4万,894,546054
32,【隐秘的角落】花絮幕后合集,32.7万,6675,543787
33,【阿斗】怕了！神庙满地都是蛇！影响几代美国人的经典电影！《夺宝奇兵》,59.3万,3656,538048
34,这大概就是外国人不懂的中国美吧！千古风流，尽付漫漫红尘中。,35.3万,909,516369
35,“我要抚摸着真相 读着手里的童话”,24.6万,377,515428
