排名,标题,播放量,讨论数,得分
1,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,50.9万,1193,1041813
2,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,52.2万,1697,594906
3,十八岁的赵薇到底有多惊艳，收情书都是按麻袋算的！,46.6万,1032,470102
4,【片片】隐藏结局全解读！国产悬疑封神作！最终真相令人窒息！过瘾解说《隐秘的角落》大结局,42.3万,4276,460876
5,一个人，造出让40亿人震碎的夜晚！,18.7万,1863,423396
6,【木鱼】盘点这几年火爆全网的六大名场面,37.7万,2489,365818
7,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,31.9万,1492,364604
8,【老邪解说】《隐秘的角落》全集解析！看完头皮发麻的年度神剧！,31.1万,609,363968
9,《隐秘的角落》最后的秘密:电影感的真面目?干货向No.1解读【中队长拉片笔记】,15.1万,2072,304910
10,不好意思，这次我必在热门！,10.9万,261,284015
11,用“今日说法”的方式打开《隐秘的角落》,20.4万,685,270263
12,这大概就是外国人不懂的中国美吧！千古风流，尽付漫漫红尘中。,16.8万,432,264427
13,【夜店】杠精是这个世界上永远不会消失的职业,25.7万,474,258578
14,贪婪的尽头,23.4万,1069,257864
15,不要随便欺负女孩子，未来她可能是你的老婆，你就死定了！,24.5万,41,246596
16,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,12.5万,262,237712
17,【宁静】老娘生而高贵,19.0万,167,224949
18,“你太干净了，你不懂。”,10.8万,274,212261
19,我还有机会吗？假装看懂《隐秘的角落》原著《坏小孩》下集,14.0万,456,210229
20,我敢打赌 99%男孩子们都幻想过这个场景,20.9万,55,204611
21,”这 将 是 一 场 中 国 武 术 盛 宴“,12.7万,269,198392
22,每天一遍，防止早恋,11.8万,345,175884
23,谁能想到戏子的功夫是真的，不是拍出来的。,15.2万,90,172738
24,【牛叔】神床炸裂！起尸鬼全军覆没，但更恐怖的诅咒降临，印度危矣！,15.0万,845,163279
25,【刘老师】爆笑盘点影视剧中的完美情人！快把你们的柠檬拿出来恰！,14.2万,2831,157335
26,16个细思极恐的细节，编剧导演简直牛逼到戳天了,11.0万,592,155167
27,主角得到父亲遗物后被诅咒，从此遇到谁都与自己同名《阴阳魔界：蓝蝎子》,10.5万,659,149793
28,魔 法 盛 宴 ！麻 瓜 慎 入！,6.0万,138,147731
29,【丁禹兮X赵露思】(成交夫妇) 朱雀街~前世今生~,3.6万,813,144403
30,【吐嚎】韩美合拍山寨版金刚，成本仅2万美元却动用美国陆军配合,10.9万,1099,137263
31,朱永平怀疑过儿子吗？张颂文为你亲自解答！【第一排观影08】,9.4万,576,137163
32,早知道夫人喜欢野的，我就不装了,11.7万,71,130031
33,安妮海瑟薇这件衣服是怎么保证不掉下来的,11.1万,40,115924
34,【破产姐妹】渣男，这对美胸与你无缘了！,10.3万,68,114363
35,【隐秘的角落||朝阳东升】自己按门铃自己听,4.1万,89,109855
36,交梁2 老婆穿上蕾丝，逼老公交公粮，最后孩子救了老公一命,9.9万,81,107105
37,#1159【谷阿莫】他直播假驅魔真斂財，卻沒想到弄假成真，導致世界毀滅2020《净化之时》,9.6万,371,106443
38,【配音】名场面：翻译翻译，什么叫勤劳致富？,6.8万,62,103142
39,真是讽刺，真真真的五大流氓,9.6万,49,99238
40,真实！真实还原 考试周前一周的你、考试周第一天的你、考试后得知成绩的你,7.1万,756,97903
41,我一眼就看出你不是人！！【万恶之源赵文卓法海大威天龙最 强 法 海青蛇原版片段素材】,8.6万,82,97617
42,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,7.2万,402,95795
43,如此简单的一个镜头，讽刺了多少演员？？？,9.0万,18,92596
44,【刘哔】解说《隐秘的角落》！详细解读朱朝阳黑化之路！,7.6万,531,90558
45,【隐秘的角落】花絮幕后合集,4.9万,1003,89464
46,这就是我能想象的海王的样子 ——又纯又野的姐姐,6.0万,26,87883
47,[朱朝阳严良版]新宝岛,6.6万,62,84610
48,【恶搞】有点疑问的叶问,5.8万,69,82992
49,【胆小慎入】一起下地狱吗，会上瘾的那种,5.8万,98,81202
50,更黑暗的原著，更绝望的结局。《隐秘的角落》原著剧情对比,5.9万,457,80761
51,又是泰国的猝不及防,6.9万,145,78721
52,【处处吻】 愣着干嘛 进来白嫖啊,4.4万,76,77726
53,她就不怕衣服掉了吗，其实她没让别人舒服，只是很爱她,7.5万,29,77683
54,得  加  钱~~~,5.5万,52,76119
55,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,4.5万,232,73134
56,每天一遍，防止抑郁率达99.99%,5.2万,50,72491
57,【隐秘的角落 x 夜的第七章】你的终场 我会亲手写上,3.3万,140,71348
58,【隐秘的角落】花絮 秦昊是如何秃的,7.0万,18,71306
59,听啊，这贯穿乱世的龙吟！,6.7万,132,71205
60,手里的泡面瞬间不香了！,6.5万,62,70553
61,【low君】《神话》：脏的不是绿色，是爱情！,6.2万,457,70031
62,“我叫苏落盏”,4.9万,104,69530
63,病娇｜用最纯的脸做最狠的事 恶毒黑莲花女主的魅力｜致命女人,4.9万,27,66110
64,最豪横的法海，一言不合就大威天龙,5.4万,84,65403
65,【沙雕解说燕双鹰1】一个从唐朝活到建国的挂比,4.5万,210,65003
66,曝光盲盒黑色产业链，无良商家如何暴力捻财！,4.2万,133,64369
67,小时候看不懂，现在秒懂的影视片段,6.1万,65,63006
68,太扎心!小孩一定要有用吗?热搜高分神剧《虽然是精神病但没关系4》,5.5万,318,62788
69,消失的19兵团，代号596的绝密行动，希望炎黄后辈血仍未冷！,3.7万,0,62374
70,DYSTOPIA_反乌托邦——2020毕业设计,2.0万,45,59148
71,【长工】顶级杀手为车臣黑帮做“专业技能”培训！《巴瑞》第二季第3集,5.0万,272,59113
72,无  限  转  场,2.4万,34,58892
73,这才是演员，1234567脸红吗？,4.6万,111,57352
74,世间皆苦，唯有自渡,4.9万,30,56144
75,【小北X普普 | 兄妹向】- 我想 抬头暖阳春草 -,2.0万,273,56005
76,【丁禹兮×赵露思】恶作剧之吻｜伪电影预告,1.9万,137,55128
77,如来：法海，你杀心太重了。法海：大胆！看我大威天龙,5.3万,38,54921
78,老娘当年可是靠一部穿越剧，一首歌红遍大街小巷的！,4.4万,325,54545
79,“每日一遍 防止早恋”,3.5万,127,51979
80,【看电影了没】美国真实版开心农场，请查收！《最大的小小农场》,2.9万,453,50914
81,【隐秘的角落】严良“美黑”记,4.9万,71,50398
82,【隐秘的角落】影帝教学班,4.5万,35,50104
83,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,3.0万,139,49642
84,【虫哥】小时候看不懂的姐妹情电影《新天龙八部之天山童姥》，一堆女神互相飙戏,4.4万,203,48124
85,快乐大本营下期预告,4.7万,0,47917
86,钟无艳这个叫“春”的女子，40岁奇丑，却让帝王离不开,3.2万,1981,47799
87,我赌你的枪不会唱歌,2.1万,40,47747
88,【天气之子】主题曲-爱能做到的还有什么,4.8万,95,47524
89,最有安全感的男人,4.2万,45,47308
90,【叶卡捷琳娜大帝】老娘就是最美的女王,2.1万,54,46794
91,这应该是唯一一个能把西装暴徒打得这么惨的人了吧,4.5万,26,45805
92,【鲁智深x林黛玉】为你倒拔垂杨柳,2.8万,142,45179
93,一次过瘾解说《暗黑》第1和2季，史上最烧脑人物关系的科幻神剧，无缝连接最终第三季！,2.6万,254,45041
94,【更新至154P】【获奖微电影合集】收藏以后慢慢看，全球精品微电影丨短片丨短剧丨剧情片未满，持续更新,9908,204,44338
95,B站首个4K裸眼3D，抠了80小时，头发都秃了你说怎么办？,2.8万,23,43849
96,X教授患上老年痴呆，变种人几乎绝迹，狼叔的谢幕太让人心碎！速看科幻电影《罗根》,3.9万,330,43243
97,以理扶人：李子柒“变”越南人，越南偷中国文化上瘾了？,4.0万,792,42726
98,不在重播的原因，据说因为这一段对话揭露了太多现实,4.2万,4,42451
99,把这些都收入后宫，谁还上朝，混剪！！！,2.5万,60,42159
100,国 家 级 演 技,3.3万,253,42013
