排名,标题,播放量,讨论数,得分
1,妈妈问我为什么要跪着看手机！,446.1万,9489,6785201
2,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,617.3万,1.4万,6174087
3,一个人，造出让40亿人震碎的夜晚！,387.0万,3.4万,5200367
4,“罪与罚的无限战争，经此一役，世间再无美利坚！”,209.2万,8441,5029546
5,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,416.3万,3.5万,3541323
6,我赌你的枪不会唱歌,197.1万,4502,3012060
7,【木鱼微剧场】《红楼梦》（全集）,114.1万,3.0万,2805067
8,“此役过后，世上再无美利坚！”,542.2万,1.2万,2578884
9,小性子又爱哭的林黛玉 凭什么是第一女主？林黛玉好在哪里？究竟如何死的？红楼梦的结局是什么样？,114.0万,2.6万,2416147
10,这才是虐文女主！！！卧槽！！太美了,207.8万,7065,2253593
11,"""他死于天门大开之际，来不及过二十岁生辰“ | 韩烁视角",121.5万,6576,2140844
12,自甘堕落的人，给他看看这部片,171.4万,1.2万,2054918
13,【高欲/野蛮/吻戏/混剪】今晚做梦的素材我为你准备好了,128.7万,2579,2029959
14,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,199.2万,8368,2029658
15,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,108.7万,2783,1904714
16,六月的雨 用沙画的方式打开《仙剑奇侠传1》,73.6万,7843,1900993
17,【片片】开播炸裂！小孩子玩弄变态杀人犯，国产悬疑终于能打了！过瘾解说《隐秘的角落》1-6,329.6万,3.0万,1889883
18,无  限  转  场,91.8万,2048,1875183
19,这就是美国! 这就是哥谭!! 这就是黑暗骑士崛起!!!,137.4万,3238,1868104
20,【更新至154P】【获奖微电影合集】收藏以后慢慢看，全球精品微电影丨短片丨短剧丨剧情片未满，持续更新,38.6万,9162,1810364
21,【甄嬛的一生】她好像赢得满面风光，又好像输得一无所有。,77.5万,3950,1779983
