排名,标题,播放量,讨论数,得分
1,相 机 大 战,219.7万,1.2万,3374117
2,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,49.2万,1407,2758443
3,花7万元买下60台手机，看看移动芯片谁强谁弱？！,71.1万,2.1万,1799175
4,【装机】2020年中电脑配置推荐,77.6万,1.3万,1779271
5,卡吧14级8年老人推荐的1千5~4万共22套618配置单+3万字注释,30.5万,1105,1243817
6,10分钟拍大片挑战！[LKs+影视飓风+十音+林海音],70.3万,3.2万,1187668
7,52赫兹的鲸,49.5万,1015,1119051
8,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,38.0万,4971,985746
9,【收藏不亏】2020年大学生笔记本选购推荐全攻略进阶版！15分钟从小白到大神！6.12更新,36.0万,3465,919633
10,落月 雪山 云海 瀑布 山川 星空 大海,20.5万,793,862945
11,【装机教程】这可能是你能在网上找到最详细的装机教程,34.6万,592,854073
12,"这十个软件,让你的电脑舒适度提升1400%",23.6万,559,804039
13,iOS 14上手体验,79.3万,5042,761558
14,OPPO联名EVA没内味！死忠粉掏出11年前考古机，告诉你什么叫联名！,52.6万,6596,752979
15,"【桌面神器】618值得买的10个""桌面好物""！",48.7万,3576,746604
16,【爱否评测】千元级人体工学椅横评：如何保护你那年轻的「老腰」？,37.1万,2792,679405
17,11款神级软件，让你的电脑体验提升8800%,18.5万,339,655560
18,【4K 120FPS】超高清！这是这个蓝色星球本来的模样,38.7万,1534,643488
19,【小泽】iOS 14体验：桌面插件来了！AirPods Pro超神了,87.8万,1.6万,628593
20,【收藏向】6分钟让你学会构图，拍照萌新变摄影大师！（手机摄影和相机摄影构图技巧）,13.1万,455,593079
21,空调选购指南 | 先看评测,26.3万,4265,587974
22,睡前必看，带你坠入ISLANDIA的世界，摄影师Vadim Sherbakov的冰岛奇幻风光短片,17.1万,375,586508
23,这款喷子你们一定会喜欢！,98.8万,69,571388
24,【小白开箱】耗时两个月！小伙苦苦寻找，终于买到了华为P40pro+的海外特供版！,47.1万,3717,560729
25,【4k】耗时两年，4k超清星空延时-星动中国,16.3万,1327,556987
26,【科普】免费的性能提升！一串代码提升40%性能？谣言还是事实？,23.8万,206,554604
27,听说我电脑坏了 华硕ROG给我寄了台4W的电脑,34.1万,2765,532860
28,爷青回！这该死的游戏青春啊～【BB Time第277期】,36.3万,8207,529916
29,叮！3千到3万618装机配置单，总有一套适合你！！【游戏向】,28.1万,7202,525773
30,拿到华为P40 Pro+的第一个星期，我们干了些啥？,32.0万,2998,523675
