排名,标题,播放量,讨论数,得分
1,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,9.3万,961,484783
2,把「圆肩」当「驼背」，越纠正，斜方越大,6.7万,218,247988
3,长得像男的，怎么打扮最好看？,12.8万,4655,202908
4,【中字】帕梅拉15分钟复古有氧舞蹈操！新手友好！欢乐瘦身！（Pamela Reif）,7.0万,152,171192
5,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,6.9万,463,169495
6,这确定是唇釉不是胶水,16.6万,100,167069
7,【一遍就会】温莎结的系法、搭配心得,4.0万,51,159240
8,【减脂必看！】21天高效减脂丨如何规划饮食运动丨调整心态  拒绝复胖,6.3万,59,133214
9,成功减肥40斤后的我，居然又复胖了30斤？！,10.2万,512,129890
10,每天5分钟 *告别骨盆前倾，小肚子突出，大屁股*,2.6万,54,124498
11,你是冷皮还是暖皮？每个人都应该要知道 ｜ 5种方法判断,7.3万,428,117712
12,这辈子一定要去一次敦煌【踩点/混剪】,8.7万,375,117324
13,减肥老司机教你如何瘦身不减胸！你真的了解自己胸的类型吗？,5.4万,175,115838
14,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,2.8万,760,112691
15,男士按摩：运动员做全身胸背放松按摩,6.5万,551,106289
16,1天瘦腿安排，我躺着瘦了3CM,2.5万,23,96839
17,中国00后鞋王，一个月10W买鞋，家里有矿啊，还不只一个,9.1万,155,95107
18,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,4.3万,278,89877
19,挑战网红性感大码连衣裙！胖mm也可以性感和可爱？,7.6万,1953,87454
20,内衣显大第一位？要是选错都白费！全种类夏日内衣推荐,5.5万,320,86562
21,自制粉底液 太可怕了,8.2万,69,84778
22,表演系女生教你：为什么电视剧女主的头发永远那么蓬松？,5.2万,81,83009
23,【无糖饮料靠谱吗？——健证历史03】糖的骗局，你中招了没,5.9万,671,81731
24,【ALEX】一夜狂掉3万粉！是被陷害还是另有隐情？我真是要吐了,6.9万,129,75942
25,关于我的24个问题 | 理想型？留学经历？爱用品分享！Q&A,6.4万,708,75706
26,大腿前侧粗壮凸出小腿肚向后突出腿形不直必练一周见效的教程！,2.1万,80,73399
27,尊巴舞《worth it》，好听的歌，好看的舞蹈，快点练习吧！,1.3万,9,71089
28,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,3.1万,92,70925
29,小时候超喜欢耳朵两边挽两个环的发型，感觉特别温婉百搭呢！,3.9万,89,69426
30,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,2.0万,27,69221
31,这些网红单品千万别买！梨形身材省钱攻略|雷品吐槽,5.3万,238,68253
32,为什么你不上镜？,4.6万,98,67227
33,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,3.5万,333,64170
34,Pamela帕梅拉一周运动计划｜新手友好（每日分P）,2.3万,87,63893
35,5双我最爱的平底鞋| 百分百舒适又好搭| 夏日出街吸睛神器,3.5万,44,63000
36,国际教练告诉你为什么哪都能瘦就是不瘦腿【瘦腿系列一】,2.2万,43,62846
37,艺术系女生都怎么穿？|背地里都是小心机的设计感穿搭购物分享,3.8万,78,62611
38,海鸥洗头膏# 国货当自强 ，还需自身硬。讲过年轻人不知道的,5.7万,162,62386
39,【兔叭咯】住手！别再挤黑头了！祛黑头正确方法原来是这？！,3.8万,56,61449
40,无比自然的奶茶妆 | 自带清透呼吸感,3.0万,1137,60963
41,狂买10件，终于淘到质量堪比优衣库的t恤了！ | PPHOME | 淘宝探店 | 均价30 | 学生党 | 小个子穿搭 |,4.1万,20,59883
42,每天5分钟【30天瘦手臂】一周见效get天鹅臂，带练+讲解帮你告别拜拜肉|消副乳|瘦胳膊|蝴蝶袖,1.2万,48,58565
43,总共48双！NB600元超份量闷包开箱！,4.5万,265,57599
44,【烟染】45天复刻一套延禧攻略富察皇后的龙纹袍,3.0万,137,57162
45,帕梅拉 莱孚 - 欢乐啦啦歌  训练 - 热身运动/无器械 (Pamela Reif Official),2.4万,27,57050
46,可爱到无语！日系轻混血小恶魔三倍大眼妆容,3.7万,67,56737
47,10个不花钱就能变时髦的小技巧|女团露腰|自制垫肩背心,2.0万,485,56598
48,【25岁前极力想避开的坑-下】同居要注意的事情｜如何表白后不会尴尬,4.2万,60,56568
49,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,3.2万,345,56019
50,【清华学长】别买！这些去黑头的产品都是虚假营销！,3.7万,50,55164
51,【艾琳】三十分钟全身有氧超燃脂HIIT | 全程站立无器械新手友好,1.3万,32,54458
52,主人，今后就由我来引导您~可可萝仿妆( 0 x 0 )？！,3.7万,119,53353
53,如果没拍摄，没有人会相信,4.4万,68,53114
54,你真的认识你自己的身体吗？肥胖纹也能很好看！！,4.0万,615,52597
55,【尊巴】Youtube播放破千万的有氧舞【快乐瘦身】,1.2万,22,52115
56,体态大师：气场女王2020改善驼背、头前伸、斜方肌大、瘦背、瘦手臂、脖子拉长,1.7万,62,51756
57,【sakura】188cm高个女生jk制服分享,4.2万,104,51610
58,【JK+LO】又来了！3周目的卡点变身！超多裙子总有你爱的？内含JK、Lolita、地球人|皮卡小可爱,3.1万,111,51188
59,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,3.5万,302,51143
60,帆布包大合集| 第二弹 |  有腔调的春夏帆布包 & 布兜儿 |  春夏包包合集 | 帆布包,1.9万,17,51120
61,元气少女日常妆妆｜夏日持久底妆小技巧,2.6万,129,51071
62,【蓝莓美瞳测评】蓝粉湖渐变的甜蜜诱惑！甜心马卡龙Kira fairy半糖晚霞,3.3万,49,50844
63,饭后乞丐蹲胜过百步走，胃肠不好可以养胃快速助消化，养生健体,2.8万,59,50404
64,［郭享耳儿］清凉一夏，做妆容持久的冰封美人吧哈哈哈！,4.3万,237,49941
65,帕姐帕梅拉 有氧舞蹈系列燃脂 45min 自用,9914,8,49730
66,【OO】普通缅甸人 VS 保守缅甸人,3.9万,791,49690
67,隆胸手术一年后反馈 隆胸后遗症有哪些 跨性别隆胸注意事项二三事,4.1万,99,49592
68,8款夏日手残发型合集| 夏日懒人实用发型 清爽元气每一天,9937,20,48988
69,睡前「鸡尾酒式瘦脸法」瘦咬肌、去面部水肿、正体态，堪比整容！,1.2万,27,48888
70,"大家好，我是捷克""谐星""大KK，我正式入驻B站啦！（结尾有彩蛋哦~）",4.1万,141,48757
71,最爱的六双百搭鞋子分享~超级日常！,3.6万,101,47870
72,【干货】营养师告诉你这些热门保健品到底有没有用！|哪些是智商税？|葡萄籽|胶原蛋白液|酵素|美白丸|月见草,3.0万,52,46103
73,【新手友好】我瘦了65斤！花了5W从私教学来的全身燃脂运动！坚持3周，必有效果！,1.0万,91,46057
74,整容级修容｜凸嘴不整牙也能拥有完美下庭！厚嘴唇、嘴角下垂、法令纹一次搞定！超干货唇妆技巧,1.8万,242,45428
75,00后隆鼻整容心酸史（一）带你近距离揉捏假鼻子！,3.7万,134,44963
76,【echo】迪士尼在逃公主妆容｜蜜桃系女孩｜超简单｜GRWM,3.1万,546,44882
77,【半佛】买不起奢侈品就是穷人吗？不，是聪明人,2.3万,129,44626
78,【夏日耳饰分享】各式平价仙女款式分享！带上秒变小仙女的buling款 精致又显脸小的日常款 晶莹剔透的多肉葡萄 还有迪士尼在逃公主复古款~,2.8万,89,44348
