排名,标题,播放量,讨论数,得分
1,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,99.9万,1.8万,3950261
2,【中字】高效燃脂！帕梅拉最新15分钟快乐有氧舞蹈操！（Pamela Reif）,148.7万,4617,3919088
3,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,225.5万,1.6万,3611749
4,8分钟简单高效瘦胳膊运动，还能练出锁骨、直角肩，消除斜方肌｜亲测一周见效，无器械，无需场地，站着做瘦手臂操！,224.9万,1.1万,3408211
5,10分钟下腹部小肚子运动｜高效燃脂、无工具【周六野Zoey】,87.4万,4560,2739683
6,睡前「鸡尾酒式瘦脸法」瘦咬肌、去面部水肿、正体态，堪比整容！,60.8万,1990,2593979
7,大腿前侧粗壮凸出小腿肚向后突出腿形不直必练一周见效的教程！,70.0万,2271,2379703
8,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,59.1万,1190,2237814
9,鼻部变美干货｜为什么别人的鼻子越来越好看，而你的却越来越丑？我关于鼻子的一些思考,95.5万,1.1万,1975927
10,不打针不手术练出完美下颌线！仅靠舌头就能科学改善下巴后缩，凸嘴，双下巴，口臭| mewing真的管用么！,111.5万,3492,1948213
11,日本美容师教你正确祛黑头 10分钟告别草莓鼻,67.5万,1927,1910211
12,毕业生找工作到底有多坑？我被坑了好几次！亲身经历教你如何避坑！,123.4万,5647,1879103
13,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,85.9万,3086,1842561
14,Pamela帕梅拉一周运动计划｜新手友好（每日分P）,68.6万,2603,1759246
15,屁股，是被你自己坐！扁！的！（P2 跟练解决）,50.5万,2372,1699719
16,【知乎高赞】如何纠正含胸、驼背、头前伸？,43.6万,571,1688721
17,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,118.5万,1.2万,1620965
18,【干货】腰粗胯宽屁股大？微胖女孩必看显瘦20斤的挑裙子大法！,84.0万,5027,1617680
