排名,标题,播放量,讨论数,得分
1,世界上BUG最多的搞笑游戏 每局1500个BUG,359.9万,1.1万,1872225
2,LOL最狠海贼拳法 你不打也得给我打的套路[有点骚东西],141.7万,7734,1708729
3,老王有媳妇儿了！【德华的世界#6】,147.8万,2.6万,1687821
4,应该是最后一期了,141.7万,5.1万,1649046
5,能看到第15秒吗？,89.4万,5050,1550875
6,【真人GTA】老 年 崔 佛,139.6万,4132,1386904
7,史上最厚血量，被打了6分钟还活着！？,244.5万,8303,1243492
8,暴 躁 老 哥,202.3万,8399,1227519
9,荒野乱斗x名场面,156.7万,7525,1157649
10,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,51.9万,5541,1106048
11,【散人】孙美琪疑案：嬴雪儿 高能转折 老胡同七杀投毒案,37.5万,1.6万,1069518
12,我的世界坏掉了！！！,41.0万,4921,1063230
13,【Minecraft】前方高能！！这期视频将会非常爆肝！上热门必须吃ICE！,30.6万,1503,1036509
14,《赛博朋克 2077》最新实机游玩，玩法揭秘【老戴在此】,117.9万,1.6万,949081
15,王老菊教你杀牛仔01&02,94.7万,1.4万,946763
16,【LPL春季赛TOP0合集】：一盘老菜！,84.8万,6201,940354
17,看完这波，我把我家电饭煲吃了,188.1万,1295,925363
18,【老E】这是什么3A级阴间剧情？,116.6万,4152,917145
19,【UZI】我的往事：爹的摩托车竟追不上我的拖把？,76.6万,5330,891045
20,不要“做“挑战（番外篇）,116.2万,4547,888716
21,真是好身手【水无月菌】,70.3万,2493,885593
22,《赛博朋克2077》官方预告片 —— 差事,98.7万,2139,882005
23,【敖厂长】打枪游戏竟被我玩成了猛男乱斗！？,126.9万,5225,879037
24,【剧本杀】百万UP主们勾心斗角（上）,89.8万,2.3万,868325
25,和 风 美 女,55.7万,1.3万,866943
26,【STN快报第五季01】乔尔的命也是命,59.7万,8812,859625
27,【中国网游史67】腾讯都救不活的《新流星》，到底遭遇了什么？,60.0万,2687,837371
28,纯黑《最后生还者2》第二期 最高难度迅猛式攻略解说,51.7万,9816,836826
29,【互动游戏】剧情高能！一起失踪事件，揭开游轮血腥面纱…【打泥泥】,47.1万,1.4万,790956
30,【老番茄】史上最骚杀手(第十集),57.3万,3261,778608
31,就造个房子，我硬是造出了音游的感觉,28.5万,1184,747466
32,“100%无限连”技巧，学会这个赛季末还能再上一波分,49.7万,2076,739727
33,今年夏天 MC必火,42.9万,5125,728891
34,【逗鱼时刻】第257期 海盗的时代降临了,122.3万,1.2万,710844
35,天才小伙竟然复刻了“爱情公寓”的桌游,65.1万,665,708441
36,【爷青回】万万没想到，白客、叫兽新剧来了！四集连播看过瘾,123.8万,2423,698627
37,零物资!挑战在只有海的世界生存下去 P7【我的世界】,32.4万,6510,692661
38,前方高能！！这是真的！# @ % ￥ 燃,42.6万,326,674551
39,继可杰后台事件，虎牙吕德华差点又开到了后台,100.8万,1719,665804
40,火 力 少 年 王,50.8万,9366,657660
41,徐老师来巡山271：爆炸果实虽好，可不能贪杯哦！,102.4万,3899,657546
42,耗时3天！攻略史上最难的“求生”游戏之路！#方舟生存,65.0万,9413,653863
43,你能无伤通关怪物猎人世界吗？,34.9万,5724,644244
44,5V5 Moba宝可梦游戏！腾讯天美工作室制作手游《Pokemon Unite》亮相宝可梦新作发表会！,82.3万,4254,620762
45,【大仙全家桶】你和王者之间到底相差什么？,57.9万,4604,613833
46,聚印象TOP秀34：Shy博朋克！源计划薇恩硬核打击,36.6万,925,589942
47,【主播真会玩主机篇】112：小桀林克马造倒霉蛋，彗星美国末日逆转结局,71.9万,4131,588752
48,史上最渣的材质包？当MC所有东西都变成1x1分辨率！还能获得胜利吗？,61.3万,2142,572676
49,寇丹：王者荣耀S20战令奖励来了！猪八戒喜提新皮肤,67.9万,4351,559577
50,无加成usp单刷巨人城.......,34.6万,1907,540639
51,当代年轻人现状,46.6万,2575,520779
52,进 化,59.0万,1760,512512
53,我能去打职业了吗？,60.2万,985,508720
54,科技使人膨胀，骄傲使人进步。,33.0万,3666,505906
55,“你没被The Shy扎过，你不懂”,58.3万,1145,503722
56,王者荣耀重复名,20.1万,370,501798
57,做完这道题，高考考场见！,22.7万,3070,492721
58,梦泪马超神威新皮肤首秀，特效炫酷手感火热，一人打出54%输出,51.3万,3400,486866
59,薇恩重做！纪念Uzi退役！Vayne改名为Uzi【永恒射手简自豪】加入峡谷,44.9万,896,480217
60,【全网第一】和剑圣对居 耗时200小时 苦心力作 全boss拔刀处决（剑心版只狼）全网第一个和剑圣一心对居的4k视频诞生！,29.3万,937,480130
61,【那些令人难忘的BOSS战】第二十九集·生化危机7篇,29.4万,4131,475900
62,当你误入苦力怕窝,19.0万,253,474154
63,啊？这！这就是长城吗！,30.7万,2489,473663
64,【Fate/Grand Order】创世灭亡轮回 由伽·刹多罗 黑色最后之神,38.7万,4704,467731
65,【不止游戏】你敢信？最常见到的“火箭筒”竟然不是火箭筒啊！,30.8万,3866,466880
66,你 身 上 有 她 的 香 炉 味,34.7万,430,465708
67,最后生还者2玩后感,49.7万,2956,465026
68,"LOL三件新装备介绍：坦克版魔切,守护者变装备,aoe回血辅助装！",55.1万,2722,460158
69,外国玩家用高尔夫球杆抡爆最后生还者2光盘，重现游戏中经典桥段,42.4万,451,455658
70,没有比这更惊险的偷床了！,29.3万,1268,453766
71,老是觉得玩王者太累？那就让按键集合用一只手玩！,42.2万,1658,450595
72,Fun言趣语2020第九期：保护全世界最可爱的LWX,32.4万,2758,442222
73,当菜鸟误入顶分局却在关键时刻力挽狂澜【CSGO】,27.9万,2529,436711
74,众所周知 腿越细踢人越疼 手臂越细 打人越疼 你们老婆打架真厉害,21.3万,272,433821
75,当你在召唤师峡谷中发明了扔标枪的坦克,38.7万,843,433318
76,【电竞星快报】看好了，这个复仇之矛我只教你一次 （第二季22期）,29.7万,2860,432116
77,【荣耀梯度排行】v28_新赛季在即，揭秘最佳上分英雄！,23.0万,3836,431996
78,【师生对线】拖 堂 现 状,30.9万,2236,427722
79,恋 爱 对 对 碰,39.7万,1626,424752
80,测一测：你和《明日方舟》哪位干员最搭？,23.9万,5702,422170
81,正 道 的 光 ！一 把 扣 99 分？,50.0万,94,419866
82,【Helltaker】 游戏原声 和天使Azazel一起摇摆吧！,29.0万,141,419444
83,日服《明日方舟》第六章「局部坏死」动画PV,31.8万,234,419111
84,CSGO这些难以形容的彩蛋,35.5万,1275,419018
85,让你回归，但没让你强势回归！（4K）,48.5万,885,417724
86,一学就会！C4炸弹快乐阴人流！自爆卡车套路！轰炸机套路！,27.8万,1747,414730
87,史上最拽儿子教他爹做爹,30.0万,915,409957
88,破产评测12：马超五虎将皮肤神威不空枪挑战，我要送100个！,20.8万,2699,407575
89,【试毒时间】盗版熊出没，还出续作又来坑钱，举报它下架！,38.3万,1969,407058
90,劲爆！国家终于要对外挂下手了！游戏环境将被净化,39.9万,1901,404238
91,theshy的龙抬头丶算学会了吗,49.2万,41,399740
92,这四个up主 好有文化！ (第三期),38.3万,1491,399125
93,【超级小桀】曾经有个老工匠  现在他不干了,37.1万,2241,398053
94,【Minecraft】当MC地形遇上顶级4K画质！五年地形成果的视觉盛宴！——珀尔B站5w粉丝纪念视频,16.3万,495,396582
95,Doinb复盘ig比赛怒锤桌子：杀谁都可以，但是为什么要去惹shy哥呢？,47.7万,309,394983
96,慎入！前方极度妩媚 那些你惹不起的战斗天使 穿上高跟鞋攻击力翻倍！,27.1万,426,394979
97,【电影级/极限画质/少女前线4周年】Awaken 觉醒,11.6万,517,389420
98,【小本】第一次相亲竟被摸屁股,23.4万,1769,388828
99,建 议 改 成 ：千 手 修 罗,40.3万,622,388723
100,屠 龙 勇 者,23.0万,3319,385712
