排名,标题,播放量,讨论数,得分
1,炉石传说：【天天素材库】 第202期,62.3万,2960,514600
2,我的世界坏掉了！！！,20.1万,1676,506379
3,【LPL夏季赛】6月28日 饭堂周末夜,45.9万,1.5万,447288
4,【真人GTA】老 年 崔 佛,26.2万,507,376989
5,徐老师讲故事132：英雄联盟实体书之符文之地大事记全解析,25.8万,4231,369742
6,【爷青回】万万没想到，白客、叫兽新剧来了！四集连播看过瘾,32.4万,565,317846
7,和 风 美 女,20.0万,3153,313375
8,老王有媳妇儿了！【德华的世界#6】,20.0万,1789,292007
9,【大仙全家桶】惊世一枪重出江湖？这场表演是否能守护住你的笑容？,25.4万,3347,280286
10,【剧本杀】百万UP主们勾心斗角（中）,21.4万,6941,279956
11,拳头官方最骚操作：反向投降bug，自己投降等于帮对面投降？！,26.1万,269,253310
12,【STN快报第五季01】乔尔的命也是命,16.3万,1642,249852
13,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,11.7万,848,244131
14,苦力怕世界生存 我的世界 #22,11.2万,2262,220245
15,【超级小桀】男女男集锦109期：幸福要靠自己争取！,18.9万,1697,217906
16,【iG.LOL】i我所爱-2020LPL夏季赛常规赛Vlog02,17.1万,2074,217702
17,现 在 的 赛 尔 号,17.6万,419,207841
18,小学生自称后羿包赢，一问段位钻石六，怒喷：要他跪着叫我爸！,20.0万,272,199938
19,【CSGO】我会来到你身边 #029,16.3万,2169,194924
20,不要“做“挑战（番外篇）,16.3万,476,190366
21,应该是最后一期了,15.1万,1182,184304
22,当你在召唤师峡谷中发明了扔标枪的坦克,14.5万,223,172565
23,【瞎β操作】雷达哥雷达失灵,12.8万,1267,158102
24,世界上BUG最多的搞笑游戏 每局1500个BUG,13.8万,364,158091
25,只用MC就能还原辉夜大小姐第二季 OP？！,6.7万,304,147548
26,抵御僵尸的庇护所！【迷雾生存】第一期,10.6万,1042,144276
27,史上最厚血量，被打了6分钟还活着！？,11.9万,315,142410
28,【达奇】他什么时候才能回来尻爆联合帝国？《半条命 爱莉克斯》的故事完结,8.1万,1455,139669
29,“你没被The Shy扎过，你不懂”,12.8万,228,138104
30,老夫子S20赛季皮肤【醍醐杖】局内：特效好棒！大招好可爱啊！,13.1万,272,134353
31,能看到第15秒吗？,6.1万,425,133323
32,【块乐】王者荣耀“全肉流”猴子！这才叫七进七出！,11.1万,413,132156
33,我采访了一个被判刑的外挂作者：原来真有主播定制挂！,9.6万,315,128209
34,一学就会！C4炸弹快乐阴人流！自爆卡车套路！轰炸机套路！,8.8万,335,126381
35,[KCC王者荣耀世界冠军杯] 选拔赛 6月28日 加赛,11.7万,4573,124408
36,"【吐槽】把腾讯都干懵的二次元手游先帝《百万亚瑟王》,竟因阴间手游驾崩?（下）",8.2万,370,120310
37,天线宝宝KDA,8.6万,265,118307
38,王者欢乐秀：隔着十万八千里被反甲反死！鲁班：是不是玩不起？,10.7万,135,117502
39,A D 极 限 刮 痧,11.2万,69,115944
40,【电竞星快报】看好了，这个复仇之矛我只教你一次 （第二季22期）,8.0万,371,112763
41,大乔大招原来一直可以移动传送,10.1万,69,111493
42,真是好身手【水无月菌】,8.3万,109,109277
43,【互动游戏】剧情高能！一起失踪事件，揭开游轮血腥面纱…【打泥泥】,6.7万,1201,108331
44,解说Joker：韩国阶级等级很严重，Doinb现在这个情况，去服兵役估计要被揍,10.4万,75,104617
45,【steam每日资讯】夏季大促！满减攻略-三十款游戏推荐|只狼|泰坦陨落2|巫师3|古墓丽影暗影|港诡实录|怪物猎人世界|绝地求生|DOOM|steam情报局,9.2万,186,103399
46,【南烛】江南小苑生存向建筑浏览~我的世界1.14.4建筑,2.3万,397,103205
47,麻将真的是这样吗。,10.0万,94,102734
48,200629【世冠抽签各大直播间】 御三家+御三家杀手+上届冠军+倒霉蛋 estar全队/QG全队/AG全队/tsWE全队/Vg全队/DYG/gemini/月光,6.4万,4246,102716
49,自制猪八戒1级战令新皮肤西部大镖客 这皮衣包不住大肚腩 王者荣耀,9.6万,221,101308
50,寇丹：王者荣耀20款即将上线的新皮肤汇总！这是要榨干我的钱包阿,8.2万,933,101009
51,The shy：阿水，是我不愿意提及的名字         tes：阿水，你还是忘不了IG,9.7万,8,99599
52,这就是王者荣耀的新法师嘛？,8.1万,92,97866
53,CF各类武器之排位超长解说 打的对面瑟瑟发抖 玉龙解说穿越火线1,5.5万,1239,96012
54,大聪明LWX的憨憨时刻,8.4万,252,93826
55,【Fate/Grand Order】创世灭亡轮回 由伽·刹多罗 黑色最后之神,8.0万,683,92872
56,【对话官方】这5个问题已经困扰大家很久了，光子你看能改不？,7.0万,590,92715
57,“心机流”李白：如何让对手乖乖来送？操作不够智商来凑！,8.1万,1527,91794
58,SP清姬箱子怎么开？400个盒子统计告诉你答案【阴阳师】,8.2万,1238,91236
59,faker直播看小钰采访rookie：哎…同样是冠军中单！不明白啊不明白！吨吨吨,8.8万,42,89947
60,狙击手麦克：光子针对我？直接废掉了小妙妙屋，这还怎么打？,8.1万,341,89561
61,大司马打钻石局我青回！声称装备差距用技术碾压，话音刚落被鱼人单杀，我听到了镜片碎裂的声音,8.5万,2110,89477
62,一个人也能做出来好游戏？内谁谁谁进来学做游戏了【是大腿TOP10#114】,5.7万,678,87120
63,重大BUG-这个盖伦是无敌的【TOO找茬】,7.8万,106,87032
64,《荒野乱斗》代言人公布，超人气偶像LISA来啦！,7.6万,149,86496
65,宝哥17阶组队门票带人！结果刚进图大硕直接掉线了！,8.5万,70,86102
66,就这直播，比视频还要香！再来3桶饭！,7.4万,225,83811
67,【亚某爆料时间】隐于闹市的老顽童——老夫子醍醐杖S20赛季皮肤爆料来啦,7.9万,249,83549
68,【老番茄】史上最骚杀手(第十集),5.7万,229,82252
69,[米田共] 《终于走运了！》,7.8万,73,81127
70,IG完整语音：泡芙想拿滑板鞋，教练：输了就休息两天；The shy:上路随便打！,7.8万,50,79868
71,【师生对线】拖 堂 现 状,4.9万,276,79356
72,Doinb复盘ig比赛怒锤桌子：杀谁都可以，但是为什么要去惹shy哥呢？,7.8万,43,79234
73,屠  龙  勇  士,4.8万,505,78378
74,【德云色】卡宝守夜，卡卡罗特炉石lol全都有,7.4万,1814,77740
75,小乐言离开IG长大了，知道成年人的世界不止打打杀杀，还有杀人诛心。,7.7万,32,77346
76,"塔姆即将重做：W和R互换,新W可击飞敌人Q命中敌人可回血,新大招可800米外吞人!",7.4万,56,76086
77,你还是那个阴阳师吗？,3.0万,494,75944
78,技高【亿】筹！电子竞技不需要视力！【正反教材100】,6.0万,581,74688
79,【桀哥多人图#666】路易吉利服,6.3万,676,74112
80,前方高能！！这是真的！# @ % ￥ 燃,4.6万,30,73660
81,【真实貂蝉】兄弟们进来吃饭！,5.6万,3829,73303
82,B站最细致还原Undertale传说之下[雪镇],2.7万,553,73268
83,史上最高血量，六万血项羽爆炸输出，乱杀吕布,5.7万,79,73261
84,宝哥被这几个水友笑死了，简直是龟兔赛跑！,7.2万,36,72529
85,守望先锋新英雄：懂王 英雄介绍,6.1万,156,72051
86,哪些四星干员后期也很强？不要被星级迷惑了双眼,5.1万,298,71683
87,死亡之组！KPL五队同抽在A组各直播间反应！AG/VG/eStar/QG/WE/TS各队反应，AG全队：干就完了。,6.4万,420,71615
88,【跑团】千世町的不凋花13 | 天人合一,3.4万,992,71536
89,旭旭宝宝深夜直播打开十二周年第四弹礼包，竟然中了9999……,7.0万,50,70655
90,零距离少女恋爱射击手游【双生视界】PV公开！“以手中之枪，逆转世界终结”,7.0万,1,70118
91,【kpl世冠】这个分组真的神仙！TS、AG表示裂开……,6.2万,363,70020
92,宇宙人的疑惑,6.6万,369,69630
93,跟我的好朋友老圈子一起联机玩空岛,4.4万,354,68582
94,《迫害方舟》连续被四位特种打断召弩偷走炮台的浮士德,5.1万,170,68398
95,暴 躁 老 哥,5.9万,99,68242
96,科技使人膨胀，骄傲使人进步。,5.7万,128,68041
97,【水龙敬】第二次的直播，玩了一晚上打飞机游戏,5.2万,8,67887
98,（我的妹妹不可能这么傻）公主连结人物志09——核弹箭仙，掌控雷电，衣之咲璃乃,3.7万,296,67762
99,【最后生还者2】为什么我不喜欢TLOU2的故事？,4.5万,910,67670
100,这样的希尔和板鸭我能玩一年!,4.0万,110,66480
