排名,标题,播放量,讨论数,得分
1,Uzi | 大家好，我是你们的枣子哥简自豪，今天正式入驻B站啦！,829.2万,4.5万,9271861
2,【老番茄】史上最骚杀手(第十集),568.5万,6.8万,8495646
3,靠谱盘点86:先就到这里吧！我们下期再见！,298.4万,2.9万,5164091
4,能看到第15秒吗？,324.9万,1.8万,4070830
5,电竞运动员Uzi退役独家专访：如果时间还够，很多东西我可以做到,335.6万,4.4万,3852615
6,情同手足,447.3万,5.7万,3358252
7,前方高能！！这是真的！# @ % ￥ 燃,297.1万,1835,2710440
8,我的双脚不受自己控制！,213.6万,7.0万,2598683
9,啊？这！这就是长城吗！,213.2万,1.5万,2567078
10,不要“做”挑战？（第八期）,482.1万,3.0万,2504397
11,【Minecraft】前方高能！！这期视频将会非常爆肝！上热门必须吃ICE！,83.0万,4909,2479482
12,【师生对线】拖 堂 现 状,273.2万,2.2万,2430849
13,纯黑《最后生还者2》第一期 最高难度迅猛式攻略解说 严重剧透警告,185.9万,5.1万,2216061
14,省钱省到妈都不认识的桥梁工程师#完结篇下,183.9万,2.7万,2212905
15,你们要抓的是新版狗熊 和我核弹有什么关系[有点骚东西],220.2万,1.2万,2201128
16,极 限 一 换 一,314.2万,2.0万,2111541
17,【Minecraft】当MC地形遇上顶级4K画质！五年地形成果的视觉盛宴！——珀尔B站5w粉丝纪念视频,87.7万,3286,2048937
18,你的印卡货真价实【水无月菌】,186.1万,9074,1991789
19,这块木板是座桥？？？         2/4,122.5万,2.1万,1926031
20,世界上BUG最多的搞笑游戏 每局1500个BUG,359.9万,1.1万,1872225
21,【危机合约#1】全网首发黄铁峡谷27，狙特队的荣光！,80.3万,1.1万,1828137
22,这四个up主 好有文化！ (第三期),327.0万,3.1万,1810168
23,【英雄联盟画心】没想到吧，LOL也能画心，还这么好看～,155.0万,1075,1782972
24,【骚男】我，迈克尔杰克骚，今天正式入驻B站,324.5万,6582,1725257
25,老王有媳妇儿了！【德华的世界#6】,147.8万,2.6万,1687821
26,得罪人挑战,357.8万,4.5万,1656117
27,M C “ 老 玩 家 ”,112.8万,7.2万,1648894
28,零物资!挑战在只有海的世界生存下去 P4【我的世界】,72.5万,7331,1643334
29,【英雄联盟】Uzi热血赛场瞬间回顾,135.4万,1.5万,1620329
30,当你误入苦力怕窝,67.4万,1192,1617408
31,LOL手游：国人试玩2K画质！第一MOBA手游？18杀男枪完美还原端游！英雄联盟手游！,192.3万,1.0万,1595257
32,全 程 高 能（第六期）,92.2万,2.4万,1575668
33,【4K】【完结】老戴《最后生还者 2》剧情流程解说 （美国末日2）,209.9万,16.0万,1536693
34,耗时1个月，画出3米长《魂斗罗》第一关！,122.0万,2080,1519496
35,【Helltaker】 游戏原声 和天使Azazel一起摇摆吧！,120.6万,605,1496625
36,恋 爱 对 对 碰,186.2万,1.8万,1496492
37,【明日方舟 黄铁行动】无需专三！可能是目前全网最低配的危机合约18打法，首日速通助你快速拿镀层！,80.3万,2186,1490273
38,得 罪 人 挑 战 （嘉宾：小潮院长）,217.0万,1.5万,1489668
39,打 工 日 记,141.9万,2.1万,1393218
40,【真人GTA】老 年 崔 佛,139.6万,4132,1386904
41,【C菌】《最后生还者2》剧情向实况【完结】(慎入),139.3万,7.3万,1356907
42,【每日更新】危机合约低配攻略合集《明日方舟》黄铁行动:黄铁峡谷【更新:中转站危机8、黄铁峡谷危机18 专一安洁莉娜】,270.0万,9514,1356725
