排名,标题,播放量,讨论数,得分
1,眼“色”游戏 （2）,305.1万,7.5万,4248220
2,当 滑稽 和其他表情合体,257.3万,2.0万,3922561
3,【醒醒】中华儿女该起床了,115.7万,1.5万,3406574
4,口技大师！,298.1万,7.7万,3297139
5,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,377.5万,2.8万,2784032
6,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,179.9万,6.3万,2705689
7,马化腾曾扮妹子陪聊！【阅片无数53】,306.9万,4.2万,2224579
8,油管播放量破亿却惨被删除封号的特朗普恶搞视频,302.8万,6074,2140700
9,【以衣换衣·第二期】衣 服 换 换 换,282.3万,2.0万,2091751
10,爱一个人，就陪她走一遍儿时的路,112.4万,4.0万,2034418
11,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,194.1万,1.2万,2017985
12,【艾叔】4K | 成都麓湖1.5亿豪宅，开游艇的神仙生活是什么体验,178.6万,2.0万,1717595
13,蜜瓜JK妆！毕业要和姐妹去迪士尼拍照呀！,154.2万,1.2万,1647322
14,体态纠正大师,151.5万,1.7万,1610182
15,《樱  桃  老  丸  子》,99.7万,1558,1470187
16,高考作弊记,86.6万,3397,1397925
17,吃了两星期豆腐，废了几十斤豆子，豆腐脑终于可以出摊了~【街头美食在家做】,105.0万,1.5万,1368492
18,当有陌生人敲门！打开这个视频！快！,36.3万,513,1357572
19,模仿六大平台吃炸鸡，味儿太冲了,168.6万,1.4万,1305973
20,工资回收计划,140.0万,2.8万,1298791
21,当杠精去面试会怎么样，面试官都被气笑了……,184.2万,1133,1266985
22,欢迎报考浙江大学！！！,175.0万,8232,1238750
23,特朗普首次回应B站恶搞视频,173.1万,6339,1224735
24,【如何正确逼自己学习！！】纯干货/克服拖延/找到状态/学霸养成,37.2万,1511,1204116
25,武松打得过这玩意儿？,213.8万,4708,1202691
26,50元和2000元的猫有啥区别？2000的逐渐同化！,111.9万,4881,1191448
27,我们的五年——B站五年员工纪念视频 2020版,85.6万,1.1万,1144307
28,【祝大家端午安康】我小时候吃过的传统笋壳粽子，你那有吗？,174.6万,3.2万,1137411
29,火锅大王消失的这段时间发生了什么？,66.8万,3626,1125560
30,妻子车祸当场丧生，丈夫不愿独活走入燃烧的车里殉情,171.6万,7140,1117146
31,把11个up主的五官拿出来打乱 还能再复原么？,130.2万,2.6万,1106948
32,美国枪支销量暴增80%，深入枪店采访美国人为何囤枪？,174.2万,1.6万,1046290
33,当代网络现状,79.0万,1953,1044859
34,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,39.6万,2649,1027295
35,18岁在清华相遇，7年后我们结婚生子，校园爱情毕业不分手。,71.8万,4724,1021278
36,陪 我 玩！,105.1万,1428,996967
37,4大勺糯米2大块肉，连吃几个都嫌不够,96.6万,5537,990633
38,第一视角！猫头装相机拍一天，看完我不做人辣！！！【花花与三猫】,90.1万,9080,985722
39,妈妈知道我怕鬼，所以她走后从来没来过我梦里,82.4万,1513,974919
40,印度人“抵制中国”上推特热搜，结果被中国商人收割智商税  印度网友：禁止套娃！！,203.2万,7074,956094
41,？？？？？,75.6万,399,950144
42,这粽子是什么神仙颜值？里面藏了一整只花也太美了吧！,87.7万,3893,944093
43,从抵制中国制造到中国手机在印度脱销——印度封国的第九十一天,140.4万,1.3万,940712
44,舞 蹈 蹦 蹦 蹦,79.9万,8659,935430
45,中 国 新 说 唱 总 决 赛 第二季,85.1万,1027,935259
46,“你没穷过，你不懂”,70.0万,2385,920009
47,都怪这锅鸡！十几个小姐姐从面前走过，我竟没抬头？,140.7万,9413,911178
48,忙碌了2个小时陈师傅决定原地去世,84.8万,322,902435
49,我让小仙若心动了！,142.7万,3.4万,899474
50,现实中复刻大司马反物理学进球！难度有多高？,115.4万,6700,895859
51,3116买一整条59斤的黄鳍金枪鱼，切开的那一刻，没想到又翻车了,99.1万,5179,890999
52,【塔罗占卜】你的期末考试成绩到底如何？评论留言：逢考必过√,26.2万,6.9万,888984
53,伪造一场文艺复兴，梦回90年代,77.2万,784,878667
54,男人的快乐可以有多简单1,113.5万,301,857997
55,建议保送清华,146.2万,1571,856546
56,【作文】那些写进作文里的神仙开头,21.1万,216,854827
57,一句话惹毛一种职业。,101.9万,3898,850844
58,5斤鸡腿做韩式炸鸡腿，帅小伙做了满满两大盘吃着太过瘾了！,119.7万,1.4万,834189
59,【熊猫】熊人族，永不为奴,87.4万,1281,833570
60,这个喷嚏声音有点奇怪,61.7万,552,825561
61,【花园粑粑】你瞅啥？来互相伤害啊！,44.6万,2.3万,823422
62,同学，请不要在天上飞来飞去,105.3万,475,820230
63,【改造房屋】从毛坯房开始，亲手创造一个低造价轻日式风格单身公寓,34.2万,3762,819129
64,"漂亮的皮囊千篇一律,有趣的灵魂万里挑一",121.8万,383,813196
65,又是一个无 眠 夜。,42.8万,2105,811926
66,【朱一旦】201 金钱到底能够带来什么？,195.9万,2468,809282
67,一个人带动了整个寨子的经济,145.5万,160,808295
68,【不要笑挑战】笑到吐！吃饭时慎入！根本憋不住！,72.9万,2.1万,806674
69,11周年彩排，周深怒摔手卡,107.9万,1.4万,802597
70,【挑战100层】耗时3天挑战100层椰汁马蹄千层糕，重达28斤！一刀切100层超解压！,77.0万,4562,801355
71,撸猫一时爽,130.6万,571,795633
72,富婆之歌完整版,55.4万,291,784043
73,手机丢了第一件事绝不是报警,38.2万,362,783011
74,弟弟近期动态,62.1万,1713,779109
75,女生必看！私处护理3大坑！有异味？颜色黑？妇科病？,43.1万,1955,772171
76,我一定要烧宁波大学,122.5万,380,766696
77,11岁男孩表演木偶舞，展示完美的肌肉控制力和超强身体柔韧性，反转手臂那一刻真的吓到我了,58.2万,1343,759877
78,你的刑侦智商有多高？,59.1万,8148,757537
79,刷个题试试 我能考上大学吗？,98.8万,2.1万,753316
80,试吃对比价格相差20倍的潮汕大响螺和普通大海螺有什么区别？,138.5万,1.3万,753315
81,大憨憨：我发誓这一定是我最后一次洗澡！,130.5万,2268,743050
82,这该死的仪式感（上流）,104.2万,658,742731
