排名,标题,播放量,讨论数,得分
1,美国枪支销量暴增80%，深入枪店采访美国人为何囤枪？,174.2万,1.6万,1046290
2,"""杜海皇""之死",77.7万,1.3万,853417
3,又是一个无 眠 夜。,42.8万,2105,811926
4,武松打得过这玩意儿？,66.4万,1477,676677
5,串串配烧烤，大sao第一次尝试本地宵夜大排档，一个人的量真过瘾,79.6万,5894,614620
6,自制欧气检测器,65.4万,2268,553771
7,试吃999元一桶的冰激凌，三种新奇吃法哪种最好吃？,62.0万,9219,552155
8,【朱一旦】203 螳螂扑蝉 黄雀在后,68.1万,2020,518709
9,就喜欢这种长得好看还没脑子的,47.6万,782,482635
10,这么完美的男人确实很难遇到,43.1万,533,454795
11,能把一条鱼的鲜美淋漓尽致的体现出来，哪怕做法败家，那也是值得,30.4万,2470,418912
12,“五秒就够了！”,32.6万,3332,417252
13,王刚拜访新朋友的科技工作室，各种各式的设备看得让人眼花缭乱,46.6万,2365,414076
14,火锅大王消失的这段时间发生了什么？,23.7万,767,407979
15,5斤鸡腿做韩式炸鸡腿，帅小伙做了满满两大盘吃着太过瘾了！,38.3万,2998,402119
16,网友：这校长…像极了磕到cp的我,42.1万,362,395823
17,看完整个人都扭曲了……,33.4万,1438,394718
18,“这是我爸”“爸！”,39.8万,975,394348
19,无广！花3天测评20多种懒人速食食品！开水一冲就是一顿饭！到底哪款好吃又合适！,22.1万,3556,393527
20,建议保送清华,33.8万,554,387153
21,骗女朋友拍2万块的婚纱照！女朋友说终于美了一回！,18.2万,3243,384251
22,爱一个人，就陪她走一遍儿时的路,20.2万,4479,383991
23,当你亲女朋友的时候……（画面过于真实）,40.6万,60,369014
24,2030买一条全市场最大的珍珠龙胆石斑鱼，30几斤重，一个人按不住,25.0万,2109,367375
25,把11个up主的五官拿出来打乱 还能再复原么？,29.8万,4435,357302
26,狮子“苏丹”一顿饭要吃多少肉？,22.0万,1568,345182
27,知名女拳师竟要求取消男性上学资格 禁止男性识字？太离谱了！沙雕网友迷惑操作行为大赏！,32.6万,3746,341495
28,【醒醒】中华儿女该起床了,11.1万,1327,337091
29,夜深了，把想吃的都吃个了遍，好爽！@野食小哥,32.8万,1717,335641
30,男人的快乐可以有多简单1,26.2万,78,330781
