排名,标题,播放量,讨论数,得分
1,《樱  桃  老  丸  子》,665.3万,9609,7656040
2,【醒醒】中华儿女该起床了,240.9万,3.0万,6580340
3,小翔哥回来了，我们重新开始,586.7万,6.9万,4960284
4,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,222.2万,1.5万,4807271
5,眼“色”游戏 （2）,305.1万,7.5万,4248220
6,默契挑战！！,513.8万,11.6万,4066218
7,当 滑稽 和其他表情合体,257.3万,2.0万,3922561
8,手 往 哪 摸 呢 ？,440.2万,4.7万,3760798
9,高考作弊记,286.4万,1.3万,3721889
10,【互动视频】100%算中你的年龄！,333.8万,4.4万,3455709
11,当有陌生人敲门！打开这个视频！快！,92.1万,1411,3295157
12,我 摸到了！,329.1万,3.6万,3265639
13,快给我住手！你喷错人了！！,394.7万,6368,3248788
14,妈妈去世后，就再也没有吃过了…,251.7万,6892,3176316
15,看看他最后是怎么离开死循环的,355.7万,5527,3107517
16,新 概 念 吃 播,331.9万,13.5万,2965579
17,六 一 儿 童 劫,492.1万,8571,2883134
18,选来选去还是这首歌最合适放学的她,523.5万,3609,2823551
19,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,377.5万,2.8万,2784032
20,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,179.9万,6.3万,2705689
21,4斤重的烤羊腿！没见过世面的姐姐直接抱着啃...,441.7万,9350,2635153
22,当法官要看你浏览器记录时【阅片无数50】,444.2万,3.7万,2613743
23,追男生硬核攻略教学  轻轻松松 从入门到精通,123.2万,2.5万,2438957
24,中 国 新 说 唱 总 决 赛 第二季,347.1万,3354,2366364
25,【作文】那些写进作文里的神仙开头,59.8万,667,2342293
26,我偷偷盖了个树屋！,172.1万,1.0万,2283171
27,“你是我此生最大的浪漫”,292.9万,1.3万,2260174
28,#钟美美#钟美美所有作品合集(时长53分钟),98.1万,2.8万,2222455
29,为啥费玉清《一剪梅》突然欧美爆火？不懂雪花飘飘梗会被嘲笑！,401.9万,3.2万,2186762
30,适合【一人食】的八个创意小食谱,138.2万,3728,2171956
31,油管播放量破亿却惨被删除封号的特朗普恶搞视频,302.8万,6074,2140700
32,印度愤青的新花样——卸载中国软件  印度封国的第七十四天,275.7万,8648,2124952
33,那些写进进作文里会让老师震惊的句子【狗头】保命,41.2万,926,2120514
34,实拍美国抗议现场，街访纽约示威者！,468.2万,4.5万,2106660
35,高 ping 战 士,434.9万,3277,2102481
36,女朋友的这些话是如何做到全国统一的？,283.4万,1.1万,2096666
37,【以衣换衣·第二期】衣 服 换 换 换,282.3万,2.0万,2091751
38,油管上超火的美国熊孩子模仿特朗普表演,318.6万,7095,2046735
39,缘分：就 挺突然的..,252.4万,3241,2034609
40,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,194.1万,1.2万,2017985
41,当代网络现状,201.9万,4983,2017418
42,【朱一旦】199 过去的不会只是成为过去,259.0万,1.0万,1979444
43,特朗普首次回应B站恶搞视频,328.8万,1.3万,1975054
44,史上最详细的油炸火腿肠教程！这才是童年的味道！！,139.4万,2710,1935125
45,曹操攻打荆州时，珍贵的直播历史影像,367.6万,2577,1910102
46,阅读全文并背诵,238.3万,1672,1887319
47,【warma】读评论丨沃玛你有喜欢的人吗？,120.2万,2.3万,1881262
48,堆成小山的鸡块成本不到20块？！我再也不去炸鸡店了……,80.8万,219,1848603
49,欢迎报考浙江大学！！！,347.2万,1.6万,1820488
50,川普发推大喝三声CHINA！随后推特被中国人占领,488.8万,2.4万,1819711
51,老师要求2000字作业……,84.8万,1906,1801290
52,【土豆的花样吃法】农耕之乐，劳作之美，饮食之道——土豆的一生,274.5万,3.1万,1794385
53,前NASA工程师和偷吃鸟食的4只小松鼠斗智斗勇！,120.4万,6749,1771684
54,情侣摆摊一小时收入5000块，当场花完，爽！,211.2万,1.2万,1769890
55,一周不重样鸡胸肉腌制法+2款巨嫩鸡胸肉做法！嫩出汁！,50.3万,479,1761251
56,猫咪发现床单很丝滑后…,290.7万,646,1758274
57,厨师长解答：“炉灶的流动水不关”，不仅仅是“浪费水”这么简单,268.8万,1.1万,1734139
58,弟弟近期动态,188.0万,5814,1733851
59,【现 代 圣 杯 战 争】,172.7万,2796,1729707
60,终究还是一个人扛下所有,189.8万,6064,1720095
61,【艾叔】4K | 成都麓湖1.5亿豪宅，开游艇的神仙生活是什么体验,178.6万,2.0万,1717595
62,挑战在B站总部当众自称公主,251.3万,3.0万,1714933
63,东北姐妹帮闺蜜出气，大骂闺蜜出轨老公，都不带重样的,188.9万,3054,1702905
64,最强翻页书,138.1万,2451,1697887
65,50元和2000元的猫有啥区别？2000的逐渐同化！,179.0万,1.0万,1696239
66,特朗普被黑人撞飞的视频曝光！全程高能！！！,497.8万,9677,1692352
67,这个喷嚏声音有点奇怪,146.9万,1109,1687987
68,建议每个黑人兄弟都买一个，戴在腿上,320.1万,1959,1672359
69,教你一句话把天聊死！,133.5万,5151,1668231
70,Eric Warner | 欧美男模 | 每日一遍 防止早恋,54.2万,1604,1647598
71,再见了，心爱的梦中女孩……,195.8万,1.9万,1637766
72,11岁男孩表演木偶舞，展示完美的肌肉控制力和超强身体柔韧性，反转手臂那一刻真的吓到我了,193.1万,4511,1619886
73,这个春天我们迎来了10多个小生命，克里米亚野生动物园欢迎你们,119.7万,3793,1610862
74,体态纠正大师,151.5万,1.7万,1610182
75,从前有一种猹叫“美国井猹”,110.7万,2599,1602744
76,这才叫 回 味 童 年,130.6万,4479,1584698
77,蛋黄派妙不出来了？！,118.1万,2.0万,1577434
78,26岁，我拥有了一辆兰博基尼！!,259.7万,1.2万,1576367
79,米其林大厨级摆盘32招！“ 变成你吃不起的样子 ”,77.9万,4247,1567127
80,不放一滴油的滑蛋猪排饭，也能馋倒隔壁八个大汉！夜深人静时灵魂的养料,153.7万,5339,1560763
81,忙碌了2个小时陈师傅决定原地去世,215.8万,765,1553343
82,36岁单身老狗的快乐生活，看完突然想结婚了,200.9万,1.0万,1542507
83,当了4年UP主，我结婚了！,133.4万,2.7万,1540872
84,你尽管点赞！物理老师那边我去解释！,193.5万,1.3万,1529339
85,如何拥有一个课室快乐机,110.4万,889,1523948
86,果然眼镜最骚,334.5万,353,1515503
87,手机丢了第一件事绝不是报警,83.5万,804,1507552
88,吹气就能旋转的立体六芒星，好看的折纸减压小玩具,46.1万,1157,1503752
89,一个老鼠进去教室后，老鼠都快被吓死了,394.9万,2145,1502346
90,【超燃励志】油管3000万播放——《没有借口》NO EXCUSES！每天一遍，防止颓废！,54.6万,1842,1497297
91,东北小伙怒怼地铁道德绑架大爷    警告：看完会引起极度舒适,175.0万,1555,1490569
92,好吃到舔盘的鸡蛋酱拌面！连吃3碗不过瘾.电饭锅蜜汁烧鸡,66.0万,993,1482403
93,【花园粑粑】就是你们秀恩爱是吧！,88.0万,3.3万,1477206
94,【怪异君】与女仆争风吃醋，泡芙喵对怪异君大打出手！,120.2万,1.8万,1470517
95,“考试洲”,102.7万,2832,1462330
96,当你遭遇跟踪！快打开！,36.9万,1074,1453117
97,再说一遍！ 吃饭 慎 入！,199.9万,6.7万,1430821
98,跳绳语音播报40分钟45秒跳绳15秒休息10分钟20分钟30分钟35分钟40分钟文字提示,29.0万,615,1419375
99,小伙花7个小时用拼图做出了个球？还可以用来打保龄球,168.5万,1.5万,1416903
100,句句真理,171.1万,976,1411625
