排名,标题,播放量,讨论数,得分
1,毛选朗读（1～5卷） 持续更新中…,143.5万,1.4万,5391964
2,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,178.4万,2.6万,3738682
3,骁话一下：为什么欧洲没有互联网？,308.8万,3.6万,2531386
4,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,97.9万,2.3万,2462288
5,为了做游戏，我花了10年自学程序、美术、音乐、策划,102.5万,1.4万,2310836
6,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,271.9万,3.1万,2202151
7,【半佛】应届生求职利益最大化指南,115.2万,9690,2041759
8,满分UP主倾囊教你写高分作文！最强攻略！【满分作文攻略01】,34.9万,5251,1486493
9,【戴建业】苏轼悼亡妻《江城子》，我每次读都很难受,138.8万,1.2万,1416316
10,学婊的千层套路,96.2万,4110,1353786
11,你真的对这个世界做好准备了吗？丨ztalk,51.6万,1.2万,1198713
12,我国五大战区如何划分？哪个战区实力最强？西部战区距离印度最近,131.7万,4741,1173962
13,印度网友疑惑：为什么中国人不抵制印度商品？中国网友在线真诚解答，听完他心态崩了..,262.3万,8542,1137760
14,三分钟教你偷走台军战机，开回大陆领50万奖金！,99.6万,3708,1103981
15,冥 币 嫖 娼 定什么罪？,136.9万,7469,1095545
16,【奇怪的传播学】下行生育率背后的传播学逻辑,63.5万,8282,1088503
17,文字频频乱码，这背后是显卡的扭曲还是规则的沦丧？,46.6万,2987,977649
18,【毕导】防淋雨的完美姿势！下雨天究竟跑步好还是走路好？,84.2万,1.2万,969762
19,【乌鸦校尉】美国黑人曾距共产主义只有一步之遥？,52.2万,7790,889376
20,邓小平遗物故事·未吸的香烟,190.6万,0,884793
21,万人血书急求：全国一卷答案规律！【北清学长被迫营业】,29.9万,2334,878749
22,提高面试成功率的n个小技巧，内含简历教程和建议,25.1万,493,855804
23,直男第一次做手工会发生什么？！,63.0万,1.1万,762413
24,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,12.5万,863,762208
25,4个月吸毒花了几十万，害人的笑气竟然不算毒品，就在身边【禁毒日专题】,51.5万,4895,755027
26,多条军犬被蚊虫叮咬牺牲 ！每立方米蚊虫多达5000多只的边防连,96.3万,7155,749591
27,【自制】如何把门禁卡做成你用不起的样子？硬核UP自制带屏幕的NFC名片,35.5万,1222,738684
28,和中国一样大的太阳系模型！太阳系竟是如此空洞广阔！,50.7万,3941,735146
29,【眉山论剑】中美脱钩之后，只有这件事真的让我忧虑！,50.2万,7308,673984
30,知道这些后 我戒掉了游戏,50.3万,7797,657325
