排名,标题,播放量,讨论数,得分
1,冥 币 嫖 娼 定什么罪？,136.0万,7370,1091987
2,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,30.3万,5051,780859
3,【半佛】B站的价值究竟在哪里？,58.6万,1.8万,777584
4,【逸语道破09】希拉里，社交媒体政变的发起人，被特朗普用社交媒体干掉了,35.5万,7557,595491
5,【基德】为什么中国洪水越治理，经济损失越大？,25.1万,4494,480044
6,【睡前消息134】有人为“合村并居”批评山东，我想为山东说两句,40.7万,8492,419259
7,和中国一样大的太阳系模型！太阳系竟是如此空洞广阔！,23.9万,1631,381918
8,万人血书急求：全国一卷答案规律！【北清学长被迫营业】,15.5万,602,369485
9,为了做游戏，我花了10年自学程序、美术、音乐、策划,13.7万,1361,361886
10,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,27.7万,1794,357357
11,全民反智？看不懂漫威，就看不懂美国(四) : 高科技魔法（B站独家）,17.5万,6160,310950
12,【回形针PaperClip】为什么女生的内衣总是不合身？,22.5万,2221,304159
13,印度疯狂抵制中国制造？背后的逻辑是这样的。。。,24.0万,1272,282883
14,【奇怪的传播学】下行生育率背后的传播学逻辑,15.9万,1738,278750
15,印度3000家酒店联合拒绝中国人入住！印度网友：你觉得人家想来吗？！,24.9万,786,263994
16,白嫖高手：冥币嫖娼,22.8万,655,260001
17,沉迷“吸毒”的动物，千万不要吸毒,23.7万,738,245870
18,名词解释：磕炮、福利姬、异体骨、情降、杀猪盘、白马王子综合症 | 女孩别怕的女性安全小课堂,16.3万,1740,232056
19,她把300个节育环制成饰品展出，美丽背后是荒唐与屈辱,15.4万,755,224121
20,律师评价《隐秘的角落》: 深度解析朱朝阳犯了多少罪？【正经法律】,14.1万,1080,180887
21,"[科普]为什么下雨天睡觉,会让人觉得特别舒服?",14.3万,291,178286
22,毛选朗读（1～5卷） 持续更新中…,4.8万,591,162589
23,新加坡副总理因为说中国比印度好，被主持人粗暴打断,13.7万,459,150495
24,联合国五常少见达成一致，这两项提议曾被五常一致否决,14.6万,450,148738
25,【新海诚风格】教你将普通照片P成新海诚二次元风格！！！（干货分享）,3.4万,69,147966
26,【戴建业】小学生都会背的《春晓》和《如梦令》，你真的读懂了吗？,9.1万,1328,140647
27,学婊的千层套路,7.0万,327,132633
28,直男第一次做手工会发生什么？！,9.9万,1820,128400
29,【建议收藏】将文件伪装成任意图片-文件伪装术,2.8万,29,112436
30,那些半句封神的句子|你知道另一半吗？,5.0万,118,108537
31,【油管热议】李子柒端午粽子视频被韩国人举报而导致下架？,10.2万,126,107658
32,你真的对这个世界做好准备了吗？丨ztalk,5.1万,688,107459
33,【深度分析】流量时代的极乐净土【所长林超】,5.2万,1467,100843
34,"二货自封""皇帝”，满朝文武14人，被三名民警一举歼灭。",7.6万,1281,97384
35,【美丽乡村】本片建议降维观看！怕贼惦记，叔给自家果园装上防盗,8.4万,776,94722
36,【高考英语】8年老师分享高考最后复习策略 这么做最后还能提分！,3.2万,301,87876
37,印度为什么总是要搞我们？,7.0万,592,86080
38,情侣开房你管得了吗？,7.9万,136,85565
39,人类为何不能吃人肉,7.5万,387,83605
40,【历史影像】人类为了飞翔付出的努力超乎你想象,4.6万,685,83129
41,Giao哥能住别墅开奔驰，在座各位都有责任,7.1万,396,81326
42,win10系统美化，保姆级教程，细节完善教程已经在路上了~,2.6万,196,81264
43,4个月吸毒花了几十万，害人的笑气竟然不算毒品，就在身边【禁毒日专题】,4.8万,428,81189
44,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,3.4万,290,81039
45,真到发疯？专业解读郑爽到底这么想的｜女明星与心理｜解说撕逼综艺天花板花儿与少年第二季,6.5万,960,80247
46,【迷瞪】23款插座横向评测，大牌翻车集锦,4.1万,158,77518
47,因为怕被下毒，所以我们要干杯？,6.3万,276,76692
48,张三史上最惨的一集,6.7万,168,73920
49,女子住酒店给差评，酒店回怼：你和别人开房你老公知道吗？,7.3万,56,73845
50,“声控四驱车”技能版：战栗的巨无霸,4.0万,307,72160
51,【Mo精选】最深度的EVA致敬CG - 导演完全版《EVA超·现实》【正片+幕后】 by SOMEI | C4D制作,2.2万,83,70564
52,【自制】马格努斯效应飞行器 ，一般人都看不懂的飞机,5.9万,174,69845
53,我强奸我自己犯法吗？？,6.0万,141,69654
54,【高三必看】学长分享高考前一定不能做的事｜祝大家前程似锦！,2.7万,166,69473
55,【罗翔】女：我有艾滋，张三：我就好这一口！,6.7万,67,69372
56,【乌鸦校尉】美国黑人曾距共产主义只有一步之遥？,4.1万,296,67908
57,印度网友酸了：为啥我们拍了这么多“抗中神剧”，中国居然懒得拍我们？,6.2万,672,67905
58,这是毛爷爷最后一次参加中共十大，散会时说的一句话！,5.8万,0,66919
59,中国天眼遇暴雨成了汤锅？成功泄水主要靠两点，选址就用了整13年【中国天眼】,6.4万,35,66554
