排名,标题,播放量,讨论数,得分
1,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,395.6万,5.8万,5716909
2,毛选朗读（1～5卷） 持续更新中…,143.7万,1.4万,5400904
3,这个王者明明超强却喜欢捡垃圾吃【龙女动物学15】软甲纲,318.1万,1.5万,4701249
4,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,178.4万,2.6万,3738682
5,B站的儿童节礼物：哔哩哔哩视频卫星，把世界拍给你看！,600.8万,3.1万,3711571
6,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,116.8万,1.6万,3520935
7,"泰戈尔《飞鸟集》英文版326首全集(英音+美音), 适合朗读和练听力",45.0万,1048,3269141
8,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,47.0万,2235,2857363
9,别让浑浑噩噩毁了你的生活！百万粉up主的时间管理心得分享！,105.2万,7108,2530696
10,【自制】如何把门禁卡做成你用不起的样子？硬核UP自制带屏幕的NFC名片,151.1万,7394,2507918
11,表白利器  马赛克拼贴照片制作  有字幕,67.2万,349,2472733
12,那些半句封神的句子|你知道另一半吗？,138.8万,3234,2470538
13,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,97.9万,2.3万,2462288
14,【戴建业】同学们我来B站了！今后一起聊聊诗词吧！,136.2万,4.0万,2344007
15,为了做游戏，我花了10年自学程序、美术、音乐、策划,102.5万,1.4万,2310836
16,【罗翔vs半佛】专家没有灵魂？知识要广还是要精？,241.5万,2.8万,2284626
17,【半佛】年轻人是否应该尽早买房,276.1万,2.2万,2253405
18,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,271.9万,3.1万,2202151
19,【毕导】建议收藏！如何在毕业答辩上一展雄风，成为答辩之神！,81.6万,4550,2084185
20,扒开漂亮国的底裤，用事实告诉你，他到底有没有平等和自由【玄铁说】,184.5万,6.2万,2035508
21,世上有几人能活到这短片结束？,95.6万,3.5万,1812067
22,选眼镜框有个公式你知道吗？,93.8万,1624,1751086
23,【英文听力练习600句】彻底提高您的英文听力水平,29.5万,3293,1638248
24,全球衰退年代，年轻人的机遇与艰辛,86.6万,1.1万,1588822
25,【高考数学】看懂这张纸至少131分！清华学长带你押题（2020国I）,41.1万,1639,1557287
26,满分UP主倾囊教你写高分作文！最强攻略！【满分作文攻略01】,34.9万,5251,1486493
27,从第7秒开始一直“卧槽”到结束,144.7万,4454,1443220
28,干货! 成绩全A的UP主讲述留学生常走的五条弯路!,62.1万,4240,1428974
29,学婊的千层套路,96.2万,4110,1353786
30,汇总一下那些小众却惊艳的成语｜知识文化积累,30.8万,1693,1337128
31,过目不忘！开考前5分钟就能背完的短句（附解析+例句哦）【纸条摘抄】,30.0万,3598,1333169
