排名,标题,播放量,讨论数,得分
1,乘风破浪的姐姐-大碗宽面练习室版舞蹈,196.2万,1.7万,1915885
2,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,99.2万,3698,1110633
3,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,36.7万,501,819448
4,姐姐无处不在，姐姐无人不爱,65.7万,722,796070
5,炫目特效,41.2万,779,777850
6,【猛男版】新 宝 岛,61.0万,3067,712571
7,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,60.7万,1731,696069
8,【兔总裁】想做你的公主❤幻想童话IZ*ONE,51.9万,529,669994
9,【夏酥酥】 ice-cream  ❤,33.6万,208,628664
10,不要心动❤️我要开始表白了【欣小萌】,45.7万,1836,602878
11,【糖小V】优雅小黑裙❤️Dumhdurum-Apink,24.0万,201,584486
12,4K*10cm高跟蹦迪《无价之姐》李宇春【乘风破浪的姐姐】主题曲【紫嘉儿】,51.3万,528,543652
13,【卡卡】♦囍♦一尺一恨,21.2万,876,541251
14,【几兔灰】Hot lssue - 徐穗珍【竖屏】,27.0万,170,533047
15,【椰汁兔】Up&Down 上和下 性感风撩你一下～,31.9万,105,513727
16,"""Say So""四人编舞，复古蒸汽波校园初体验:)，Doja Cat ft. Niki Minaj",33.1万,391,509208
17,【4K】重庆大学毕业生版《YES! OK! 》青春有你之毕业纪念视频 外国语学院的研究生小姐姐带来的舞蹈！,54.2万,2043,494461
18,徐艺洋《怪女孩》直拍！僵尸哥特风！太绝了！,41.2万,1.1万,480308
19,【雨乃】       ♥️  风  月  ♥️,24.8万,301,474059
20,【官方】张艺兴《莲》舞蹈版视频,25.3万,2690,449332
21,【十六】AOA-Short Hair【短发也可以性感和可爱】,20.9万,150,443866
22,换了16套裙子为爱应援！Lo娘也有爱豆梦！,32.5万,704,401179
23,【莉莉子】AOA 猫步轻俏 就算入睡也一定会梦到我,14.1万,124,376908
24,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,13.2万,379,375000
25,想知道天鹅的秘密吗❤西四❤Secret Story of the Swan~幻想童话【IZ*ONE全曲翻跳】,18.9万,584,354711
26,【小巫】国风旗袍❀咏春·七朵❀春知晓梦不觉恰似你我那年……,12.6万,416,351055
27,让桥本环奈大火的舞蹈视频,36.1万,81,350993
28,【中信银行信用卡中心】超还原书记舞，不看错亿！,33.9万,377,346479
29,BLACKPINK  练习室舞蹈 合集 已更！,22.7万,2092,337273
30,女孩子要帅一定要跳蒙族,16.9万,373,324339
31,喵~打包好的小猫咪要收养吗？白丝袜真的太勒肉肉了!【小埋体操】,20.7万,161,307618
32,【蔓蔓】这就是纯欲风吗-黑长直性感出击！《短发》short hair,10.9万,151,307093
33,【小仙若】shake it ！冬日也要活力满满！,27.0万,355,302797
34,【菌子】竖屏蹦迪！Thumbs Up！性感秘书♥在线蹦迪！,14.7万,128,300235
35,创造营2020 | 第三次公演舞台《怪女孩》原版编舞Demo，暗黑哥特风舞蹈，炸到令人头皮发麻！,17.8万,578,287670
36,【乘风破浪的姐姐】李宇春《无价之姐》完整版舞蹈！阔少编舞,27.2万,218,287103
37,蛇舞S妖娆曼妙肚皮舞小姐姐-欧洲联赛,19.6万,221,285126
38,【腸粉】挑战一口气跳完防弹所有主打歌曲副歌 自己挖的坑 哭着都要填完 拍摄防弹出道7周年翻跳后续實錄,10.5万,1136,278769
39,【张晋的视频】听说你们想看，被迫营业的舞一个,25.5万,709,277841
40,小米印度销量破亿广告舞,27.2万,486,268236
41,【阿呆】IZONE最新回归《幻想童话/Secret Story of the Swan》,14.8万,101,261028
42,BY2跳舞游戏机-挑战2ne1舞,23.6万,353,250103
43,商场无人偷偷蹦迪 进来围观Thumbs Up长腿御姐在线蹦迪教学【轩哥】,10.7万,78,239383
44,荷兰国家芭蕾舞团演绎“安全社交距离芭蕾舞”,13.9万,141,237789
45,BLACKPINK新歌《How You Like That》副歌教学 镜面分解【Ellen和Brian教学】,8.6万,202,230507
46,鞠婧祎-恋爱告急 【练习室】【竖屏】,13.1万,148,228234
47,甜 ღ 圆 ღ 纯                                 【紫颜】【勾指起誓】,8.4万,429,224478
48,猛男减肥舞《乘风破浪的姐姐》主题曲《无价之姐》尊巴舞Zumba舞蹈教学减肥操燃脂操瘦身操有氧舞蹈健身舞蹈减肥瘦身塑形,11.8万,127,224001
49,Blackpink新曲How you like that全网最快Dance Break速扒翻跳 拽出天际疯狂踩点,18.3万,131,223060
50,【小鹿】竖版竖版！可爱与性感并存-Hot Issue,6.5万,46,212223
51,【咝小喵】双倍魅惑❤️虎视眈眈❤️【星辰】,8.9万,90,201643
52,【美国多金大叔诱骗妙龄少女】——致敬卓别林大师经典桥段，庆祝B站粉丝破十万，乃超舞台表演保留节目独家大揭秘,13.3万,581,199735
53,【ONeeCrew】Blackpink_how you like that练习室速翻+背面镜面版,11.9万,45,195688
54,KIKI//翻跳 一口气跳完Blackpink心头爱副歌part,10.2万,312,195243
55,还记得就是这个练习室，直接把我从韩圈拉了过来，孔雪儿也是我的小墙头！！都给我看！！,16.0万,296,194768
56,【Yalisa】碧 琪 派 对 ！小马国女孩跺脚歌,7.2万,257,186170
57,对你岂止一句中意 我的心 Dumhdurum【小野妹子w】,8.4万,137,182223
58,【徐娇】Pizzicato Drops ～五周年～,11.4万,404,181635
59,【座山雕】lamb 丝 袜  拉 太 高 是 什 么 体 验,7.5万,25,177919
60,在宿舍楼里跳【你最最最重要】还挺好看的【龙傲娇】,12.8万,37,176061
61,❤老 师 大 人 是 女 仆❤,12.4万,37,175869
62,【安逸】肉肉水手随时待命❤so crazy！,7.5万,94,173245
63,IZONE最新回归曲Secret Story of the Swan练习室公开,9.3万,618,171041
64,【萧璇】偷偷告诉你嗷：❤你~ 最最最重要！,7.8万,167,169181
65,【萌叔】在线蹦迪 进来点赞❤Thumbs up❤末班车也赶不上的全网最慢点赞舞( ͡° ͜ʖ ͡°),6.1万,43,168214
66,【1M】Kasper 编舞《Candy》,8.6万,345,164855
67,《乘风破浪的姐姐》主题曲【无价之姐】舞蹈教学（超详细）,8.2万,22,158807
68,【酒醉的蝴蝶】想要和妈妈做朋友，妈妈看了和我绝交,10.9万,767,156435
