排名,标题,播放量,讨论数,得分
1,乘风破浪的姐姐-大碗宽面练习室版舞蹈,32.1万,2451,418716
2,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,10.1万,75,207546
3,【卡卡】♦囍♦一尺一恨,7.9万,201,202702
4,【中信银行信用卡中心】超还原书记舞，不看错亿！,13.8万,143,152238
5,BLACKPINK最新回归曲(How You Like That)欧尼实力舞蹈Cover,10.1万,299,146496
6,『初投稿』要和双马尾女仆一起  ❤️恋爱循环❤️吗 文艺复兴啦！,5.9万,58,126574
7,不要心动❤️我要开始表白了【欣小萌】,8.2万,142,105431
8,【美豚】Dumhdurum-Apink❤10cm细高跟翻跳,3.0万,62,104813
9,BLACKPINK新歌《How You Like That》副歌教学 镜面分解【Ellen和Brian教学】,3.9万,68,100567
10,【张晋的视频】听说你们想看，被迫营业的舞一个,8.6万,170,97765
11,【猛男版】新 宝 岛,6.7万,296,95337
12,【乘风破浪的姐姐】李宇春《无价之姐》完整版舞蹈！阔少编舞,8.6万,34,94378
13,炫目特效,4.1万,91,87837
14,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,5.6万,161,78309
15,【小巫】国风旗袍❀咏春·七朵❀春知晓梦不觉恰似你我那年……,3.7万,40,77798
16,姐姐无处不在，姐姐无人不爱,5.3万,248,72423
17,破风( 青春有你2版本）翻跳 |  今天的下午贡献给破风 |穿着全身是猫毛的黑衣服黑裤子黑帽子黑鞋跳舞四舍五入安娜也上场了｜,2.0万,4446,72085
18,更新竖屏.【清晨】是你的黑丝小猫吗~❤猫步轻俏(Like a Cat),2.4万,68,71370
19,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,4.3万,115,65870
20,女孩子要帅一定要跳蒙族,3.1万,64,59216
21,商场无人偷偷蹦迪 进来围观Thumbs Up长腿御姐在线蹦迪教学【轩哥】,3.1万,11,58726
22,【酒醉de蝴蝶】申请加为好友,3.0万,264,54264
23,你爱大海，我爱过你♥竖屏极致体验-so crazy,1.9万,16,52862
24,【岛岛】  EXCUSE ME  打扰一下， 请问缺秘书嘛？,1.4万,8,49124
25,震惊！某高三女学生竟然在毕业班会...跳了MAMAMOO的HIP,4.3万,61,48326
26,【炙热的我们】SNH48G《大艺术家》练习室版（20200629）,2.2万,2085,45113
27,让桥本环奈大火的舞蹈视频,4.2万,10,44529
28,【麻衣】浪人琵琶 竖屏旗袍更动人,1.7万,3,43780
29,KIKI//翻跳 一口气跳完Blackpink心头爱副歌part,2.1万,47,41971
30,张语格&周梓倩｜Blackpink-How You Like That翻跳｜cover｜snh48,1.5万,2323,41941
31,鞠婧祎-恋爱告急 【练习室】【竖屏】,3.0万,12,41709
32,甜 ღ 圆 ღ 纯                                 【紫颜】【勾指起誓】,2.0万,29,40469
33,【酒醉的蝴蝶】十六岁少女广场舞初投稿,3.4万,119,39665
34,❤箜月❤清凉一夏+++泫雅+Bubble pop++4K体验+,1.1万,19,39205
35,换了16套裙子为爱应援！Lo娘也有爱豆梦！,3.0万,55,38760
36,【BLACKPINK - How You Like That】舞蹈分解教程合集 镜面,1.1万,10,36666
37,火箭少女101跳《无价之姐》！孟美岐、杨超越也乘风破浪的姐姐？,3.4万,27,35397
38,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,1.2万,36,34089
39,[舞蹈翻跳] BLACKPINK - How You Like That (Dance Cover),2.6万,24,33840
40,【夏酥酥】 ice-cream  ❤,2.1万,9,33038
41,BLACKPINK  练习室舞蹈 合集 已更！,2.2万,161,32220
42,【小鹿】竖版竖版！可爱与性感并存-Hot Issue,1.2万,6,31766
