排名,标题,播放量,讨论数,得分
1,炫目特效,148.4万,3077,2523344
2,别爱我，没结果，除非花手摇过我,334.0万,1.7万,2348112
3,换了16套裙子为爱应援！Lo娘也有爱豆梦！,246.8万,1.1万,2011898
4,乘风破浪的姐姐-大碗宽面练习室版舞蹈,196.2万,1.7万,1915885
5,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,60.2万,2312,1666694
6,女孩子要帅一定要跳蒙族,125.2万,2829,1591586
7,【猛男版】新 宝 岛,199.9万,1.1万,1485814
8,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,122.2万,5203,1322831
9,【官方】张艺兴《莲》舞蹈版视频,64.9万,1.9万,1305710
10,【舞小喵】Nice Body~点击进来领取 绝世好身材,77.0万,834,1282923
11,【酒醉的蝴蝶】想要和妈妈做朋友，妈妈看了和我绝交,105.9万,8570,1224044
12,【小诺】真 爱 杀 宝 贝 ！,120.8万,1335,1028930
13,清新夏日限定❤️你最最最重要！【欣小萌】,92.4万,2652,999770
14,广 场 舞 大 妈 大 闹 B 站,115.5万,6840,992417
15,【SUNMI_宣美】又跳了《nobody》《24小时都不够》，你们喜欢吗,108.1万,3590,890245
16,【椰汁兔】就此沉溺在你甜美的谎言之中..《Alone》,56.6万,293,881760
17,粉红色的性感～【Babe】【泫雅】【伢伢】【韩舞翻跳】,61.8万,497,871933
18,尝试在大街上跳酒醉的蝴蝶，看路人反应......,114.5万,3378,851840
19,又美又野，攻气冲天，谁看了不叫一声姐姐？喻言《 a little bit 》全开麦直拍,66.7万,3.2万,838704
20,BLACKPINK  练习室舞蹈 合集 已更！,70.2万,7646,837833
21,【党妹】你最最最重要！花絮大放送,121.8万,3431,824469
22,这大概就是从此君王不早朝的原因吧~,58.5万,1115,739266
23,【十元酱】和广场舞阿姨battle《酒醉的蝴蝶》，阿姨都甘拜下风？,88.5万,2948,710630
24,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,60.7万,1731,696069
25,【小巫】魅惑短发有撩到你吗？AOA-Short Hair【4k60帧极致体验】,33.9万,804,679244
26,让桥本环奈大火的舞蹈视频,117.9万,339,674123
27,赵小棠初舞台《五毒》练习室！Solo版中国风来了！你觉得如何？,43.2万,2649,673564
28,【男子五人】用韩团的方式打开《酒醉的蝴蝶》【精 神 小 伙】,55.5万,2290,662168
29,看 不 看 啊,37.8万,324,661342
30,【夏酥酥】 ice-cream  ❤,33.6万,208,628664
31,【啵啵本bo】蹦跶 thumbs up 赶得到末班车吗,43.9万,201,627607
32,【正义xPk.男女双跳】囍~B站最强quan编舞!我有情，我有泪，也曾无悔~错过后已是莫然~或相拥不相视~,22.4万,540,617606
33,下雨天出不了门，在卧室蹦个迪！【小仙若】,58.5万,1161,612897
34,【几兔灰】Hot Issue - 徐穗珍 · 4K体验【万粉感谢】,29.8万,140,601314
35,1小时超长合集王心凌蔡依林徐怀钰周杰伦萧亚轩蔡健雅林俊杰周深...超人气中文歌尊巴版尊巴Zumba舞蹈教学高效燃脂操减肥操减脂健身操有氧舞蹈健身塑形产后瘦身减肥,14.2万,920,585031
36,【糖小V】优雅小黑裙❤️Dumhdurum-Apink,24.0万,201,584486
37,【咬人猫】沙滩上的水手服喵! ❤️ booo!【第100作】,54.2万,544,572032
38,【4K】重庆大学毕业生版《YES! OK! 》青春有你之毕业纪念视频 外国语学院的研究生小姐姐带来的舞蹈！,64.5万,2397,556581
39,蛇舞S妖娆曼妙肚皮舞小姐姐-欧洲联赛,38.5万,529,547310
40,4K*10cm高跟蹦迪《无价之姐》李宇春【乘风破浪的姐姐】主题曲【紫嘉儿】,51.3万,528,543652
41,【卡卡】♦囍♦一尺一恨,21.2万,876,541251
42,【跳跳舞蹈教学】青春有你2主题曲《YES！OK！》舞蹈教学，全网最快完整版教学【YES!OK! 一起绽放】,30.0万,554,528561
43,写作上海❤️读作魔都，旗袍短裙穿越千年的彩虹节拍,33.4万,303,512999
44,【晓丹】AOA性感风尝试-Like a Cat猫步轻俏~,21.7万,358,512390
45,"""Say So""四人编舞，复古蒸汽波校园初体验:)，Doja Cat ft. Niki Minaj",33.1万,391,509208
46,【頎三73】囍 ❁于黑夜出嫁 做你的新娘❁,20.4万,660,493305
47,让你清凉一夏！宇宙少女☀boogie up☀【椭奇】,28.0万,307,481973
48,【叶音黄子豪x鬼滅之刃-紅蓮華】超燃LOCKING编舞，精心拍摄制作了一下！,31.0万,942,479115
49,【雨乃】       ♥️  风  月  ♥️,24.8万,301,474059
50,乘风破浪的创造营姐姐们,63.1万,140,470684
51,【优优】【竖屏版】宣美-LALALAY,19.5万,131,470423
52,性感秘书~翘班蹦迪Thumbs Up→不要告诉老板,48.5万,242,467887
53,蒙  恬  开  大,52.0万,350,466416
54,全b站最沙雕 爱 杀 宝 贝 真羞耻妈见打系列又疯了一个 超还原倒立踢腿(๑´∀`๑)人甜舞憨 硬核防止抑郁(´▽｀),36.4万,689,464352
55,女生为了变好看竟然？！红衣老爷爷惊叹！创造营2020 《我要变好看》翻跳~谢安然 nene 郑乃馨爆胎草莓粥张馨文,30.0万,219,463935
56,【爱杀宝贝ED】人 蠢 舞 傻 ， 防 止 抑 郁,39.3万,410,463472
57,完  全  疯  了❤－So Crazy ＋醉酒的蝴蝶,24.0万,353,460963
58,建实 猛男 新宝岛！！！,35.8万,1223,458143
59,真人鸳鸯双剑你见过吗？【吾佟】高跟双剑超燃♥木兰行♥ 非花木兰纯舞蹈,22.7万,639,450678
60,【小薇君】短裙-AOA ♥ 竖屏版 封面内容不一样！千万不要过来啊！,23.4万,128,450155
61,【双猫】❤️彩虹节拍❤️湿jio挑战！美少女穿凉鞋踩水测试湖水是否干净,34.5万,211,445965
62,【十六】AOA-Short Hair【短发也可以性感和可爱】,20.9万,150,443866
63,b站舞区up主们30年后的样子【酒醉的蝴蝶】西四x爱丽丝,39.0万,1896,442541
64,初一的小妹妹们跳触摸天空！,34.9万,490,437881
65,减肥也要听BTS！ 坚持每天15分钟BTS有氧减肥健身操 让你瘦成一道闪电(So What/Boy With Luv/Dionysus/DOPE),21.8万,361,434569
66,TWICE最新回归曲MORE & MORE练习室公开,30.0万,1674,422542
67,【腸粉】挑战一口气跳完防弹所有主打歌曲副歌 自己挖的坑 哭着都要填完 拍摄防弹出道7周年翻跳后续實錄,16.1万,1940,421701
68,【翎霜×铃舟】彩虹节拍 旗袍高跟版挑战  一起来雨刷,17.4万,174,416445
69,[威神V/WayV]  威神V(WayV) 《超时空 回 (Turn Back Time)》Dance Practice,14.0万,4430,413872
70,可爱在性感面前不值一提？Come See Me！【阿叶君】,18.9万,324,404704
71,【小伊妍】夏日性感女团Sistar-Loving U高跟鞋翻跳 今天也要爱你哟,27.0万,116,396317
72,你的纯白旗袍小兔兔下凡啦！【岚西】广寒宫,21.0万,137,395421
73,看完这段表演你就会知道什么是神一般的存在！,26.1万,518,391317
74,【SNH48 GROUP】炙热的我们-第3场《梦不落雨林》舞台版,24.9万,7495,382416
75,Lisa《I'm Not Yours》无台标版直拍，真的太辣啦啊啊啊！,29.8万,282,380341
76,【舞蹈合集】真人版劲舞团再度来袭，你要来battle一下吗？,27.7万,1293,377730
77,【莉莉子】AOA 猫步轻俏 就算入睡也一定会梦到我,14.1万,124,376908
78,舞蹈区接受挑战！辉夜大小姐之索兰节【Yalisa】,25.7万,743,375086
79,【菌子】 nice body❤️你会爱上我的！绝好身材（并没有),27.4万,509,373190
80,我要变好看 ！让你超级无敌最喜欢！  【紫颜】,19.4万,454,368891
81,BOY STORY - ITZY《WANNABE》翻跳：某公司男团VS女团争C实锤！,20.3万,6905,364729
82,战歌起，豹纹穿！竖屏T-ARA皇冠 NO.9舞蹈翻跳【SPRING】,26.7万,94,364115
83,【凛牙】芒种♪偷穿妈妈的高跟鞋（危,22.5万,133,363660
84,【中信银行信用卡中心】爱杀宝贝ED 还原：客服双人组，老胳膊老腿不容易,34.9万,432,361001
85,【SING女团】「寄明月」舞蹈版MV,26.0万,983,357816
86,来看林凡/陆柯燃的老板跳舞！老板出道吗，我pick你！,31.3万,328,357054
87,雨天在成都街头表演杰克逊Dangerous，把衣服扔地上先打湿一下,34.1万,979,355322
88,BY2翻跳防弹少年团的舞 BTS《Fake Love》,32.0万,1848,352833
89,【兔牙】EXID - Up & Down✨白 肥 美 阳光暴击 天台蹦迪[上和下],15.9万,166,351582
90,减肥20斤对比！！挑战三年前的舞蹈还记得多少呢~！公开退步处刑！,27.5万,196,347726
91,【富婆七奈】醒醒上课啦！你的老师～成人礼-Nine Muses,22.3万,233,346970
92,在宿舍楼里跳【你最最最重要】还挺好看的【龙傲娇】,23.9万,211,346035
93,胖丁不想听NONONO【竖屏】,20.0万,113,341733
94,【莓可❤生日作】偷偷下凡来看你~♬来自彩虹桥下的节拍【BDF2020】,14.9万,572,337978
95,你 要 跳 舞 吗,29.7万,1118,333845
96,【中国联通】官方出道？老板见打系列-❥❥《你最最最重要》翻跳,28.6万,541,332186
97,创造营2020 | 第三次公演舞台《怪女孩》原版编舞Demo，暗黑哥特风舞蹈，炸到令人头皮发麻！,20.8万,800,331652
98,【慕】CLC-LIKE IT•2p竖屏离你更近,18.7万,43,331020
99,玫香广场舞《酒醉的蝴蝶》网红版，32步有教学,25.2万,593,322097
100,【用38个JOJO立跳黄金处刑曲】JOJO的奇妙舞蹈，40秒开始高能！,11.1万,184,319996
