排名,标题,播放量,讨论数,得分
1,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,149.0万,1.3万,3117471
2,BLACKPINK 新曲《How you like that》MV公开,233.3万,4.4万,1604596
3,【阿宅专用】是阿宅就来听听这个！,75.3万,3234,1525504
4,《瘾》原创说唱×国家禁毒日宣传曲,51.9万,1150,1518749
5,与火星的孩子对话（现场版） - 华晨宇,48.6万,9.5万,1471856
6,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),141.9万,2.6万,1191111
7,在宜家做一首BAD GUY，宜家GJ！（补投）,47.8万,6354,1079105
8,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,75.5万,1681,1050463
9,被上帝吻过的嗓子,133.9万,3742,1031347
10,我把高考必背历史做成了一首歌！,34.3万,2252,1001920
11,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,43.6万,972,924370
12,特朗普连任应援歌《让美国保持伟大》正式MV,115.5万,7271,883736
13,【黄龄】今天也是越来越《喜欢你》们的一天吖！,86.5万,7678,872756
14,【祖娅纳惜】 麓海为王【他们跟我说，要海妖吟唱！】（阴阳师-铃鹿御前同人曲）,28.7万,2203,813262
15,【Animenz】紅蓮華 - 鬼灭之刃 OP 钢琴版,29.3万,2183,809781
16,【古筝】Only My Railgun —— B站十一周年快乐！,35.4万,2506,781605
17,清唱，他不爱我,55.0万,1138,762799
18,【架子鼓】燃爆！鬼灭之刃op《紅蓮華》-LiSA|和服甩起来真是太困难了- -.,66.5万,1060,740652
19,满级大佬屠杀新手村,54.2万,1300,735557
20,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,46.1万,767,719321
21,BLACKPINK 最新回归《How You Like That》MV 先行曲完整版震撼空降,78.8万,5872,716038
22,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,40.0万,1100,713716
23,《Numb》——4K超清  翻唱,49.5万,1672,712623
24,【喀秋莎】同志们！伏特加！乌拉！！!,46.4万,1468,672022
25,BLACKPINK最新回归曲How You Like That打歌舞台合集(更至200628),49.7万,5784,603702
26,震惊!!不会真的有人能翻唱《Loser》吧?!,43.2万,918,577984
27,女团舞《Psycho》李大辉×崔普闵×黄铉辰×尹产贺 cover,35.9万,3132,549043
28,黄圣依唱的同名歌曲黄圣依，歌词高能哈哈哈这才是她真正的实力吧,64.1万,6028,527380
29,【经典】周杰伦全MV 【191P】,36.5万,5861,498364
30,7首你曾听过而不知其名的梗曲,36.0万,1294,492426
31,2020高考加油！《赴梦》夸克APP高考国风主题曲,19.3万,3224,482146
32,[8D环绕] 残酷天使的行动纲领 | 新世纪福音战士 EVA | 高桥洋子 | 戴耳机欣赏 [原声带],14.2万,299,473076
33,泪崩！火箭少女101全体穿婚纱唱《Light》！,35.8万,2676,469015
34,最强自夸王！！！！！,30.6万,6339,465052
35,【Vitas女装】b站11周年生日快乐！尝试了女装，你们喜欢吗？感谢大家的支持,32.9万,3622,462618
36,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,15.7万,1807,462018
