排名,标题,播放量,讨论数,得分
1,【黄龄】今天也是越来越《喜欢你》们的一天吖！,40.0万,2338,456701
2,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),35.0万,5414,450426
3,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,18.1万,340,414071
4,保温杯演奏Someone You Loved，敲敲（补投❉内有彩蛋）,15.0万,1246,360084
5,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,17.1万,2689,358616
6,震惊!!不会真的有人能翻唱《Loser》吧?!,18.8万,354,283719
7,【WNS中字】200627 BTS Love Yourself World Tour @ LONDON 伦敦场 全曲无剪辑完整版,5.5万,3345,225662
8,MAMAMOO华莎最新Solo曲Maria MV公开,12.9万,2254,218022
9,BLACKPINK 新曲《How you like that》MV公开,14.4万,1234,194968
10,【喀秋莎】同志们！伏特加！乌拉！！!,10.9万,484,188915
11,当韩国人听了万人合唱的中国名曲？鸡皮疙瘩撒一地操作！,17.3万,1896,186728
12,普通宅女和阳光宅女有什么区别？B站音乐区up教你夏天的正确打开方式（原唱：周杰伦）,9.2万,503,180356
13,【官方MV】Mojito - 周杰伦,11.1万,612,172441
14,BLACKPINK新单How You Like That 美区特供版MV,8.3万,332,150103
15,《时候》翻唱，谁能比老娘更做作！！！,8.8万,620,149599
16,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,5.3万,316,127633
17,【周深】《花西子》官方MV,4.5万,1102,118840
18,被上帝吻过的嗓子,9.0万,241,113534
19,【BLACKPINK】这现场实力不火都难！老娘穿韩服照样可以Slay全场！How You Like That高能附体翻唱来袭！,8.6万,188,108813
20,【Animenz】紅蓮華 - 鬼灭之刃 OP 钢琴版,4.6万,168,105373
21,若能化作彗星【本家演唱】/ 春卷饭 (中文字幕),2.5万,102,96390
22,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,5.1万,124,94176
23,清唱，他不爱我,6.2万,93,93522
24,【40mP】だんだん早くなる Getting Faster and Faster【初音ミク】,1.7万,135,92670
25,【傅菁】EP首支单曲《硝烟四起》MV,4.5万,2021,92008
26,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,5.2万,93,85933
27,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,4.9万,67,82716
28,【日语版】一剪梅！内味儿太重了！,5.0万,152,81951
29,《Numb》——4K超清  翻唱,4.9万,150,77541
30,【BLACKPINK】【4k超清版】【无水印收藏级】官方MV合集（已更至'how you like that'）,2.3万,146,74652
31,满级大佬屠杀新手村,4.9万,107,74354
32,【阿宅专用】是阿宅就来听听这个！,3.8万,113,71833
33,【凹凸凹】@-OliverJiang x @唐雨豪2Night x @O.WEN,5.7万,180,70679
34,[30covers] HOW YOU LIKE THAT / BLACKPINK / 男声翻唱！最强最快最高质量了解一下！粉墨听了都想立刻出新专辑！,3.2万,131,70158
35,【湊あくあ】愛をこめて花束を【翻唱】,2.7万,190,69857
36,魔动闪霸《对手》（超清版）,5.4万,171,69719
37,【经典】周杰伦全MV 【191P】,4.9万,703,69260
38,女团舞《Psycho》李大辉×崔普闵×黄铉辰×尹产贺 cover,4.2万,223,68931
39,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,3.7万,93,68549
40,神仙Remix！Henry刘宪华一人一乐队《Dance Monkey》+《Attention》Loopstation！疯狂循环！,4.0万,813,67731
41,【宣美】鲨了我 宣美最新单曲紫光夜都给我看！,5.9万,92,66512
42,贵州方仔发次狂暴发声！“把爱奇艺唱破产”,4.4万,100,66151
43,黄渤万万没想到，“正道的光”成了欧美网红最爱BGM，太魔性了,6.4万,144,66121
44,BLACKPINK新歌《How you like that》用钢琴弹是什么感觉？,5.1万,166,66026
45,回忆杀！李遐怡《ROSE》现场！2020年竟还能听到Live！,4.3万,72,65188
46,我把高考必背历史做成了一首歌！,2.0万,88,64642
47,DECO*27 - 二息歩行 (Reloaded) feat. 初音未来,1.1万,177,63998
48,《瘾》原创说唱×国家禁毒日宣传曲,2.5万,39,62532
49,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,2.1万,167,61399
50,【BLACKPINK】英文版How You Like That释出！有生之年朴彩英Rap并与珍妮合唱？这版英文填词绝美速翻不容错过,2.8万,33,60188
51,【古筝】Only My Railgun —— B站十一周年快乐！,2.8万,132,58772
52,【TXT记录库·中字】200628 'Eternally' 官方MV中字,3.1万,2760,57948
53,【祖娅纳惜】 麓海为王【他们跟我说，要海妖吟唱！】（阴阳师-铃鹿御前同人曲）,2.3万,95,55251
54,YG释出【BlackPink】How you like that天朝特供MV！高清首播,4.1万,185,54915
55,最新直拍来了，心疼妮妮，呀金Jennie小心点你jio好不好,5.1万,48,53468
56,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,2.1万,77,53142
57,the real suger baby已知最高画质,3.5万,28,52299
58,最强自夸王！！！！！,3.2万,672,52199
59,他永远都不知道他这首歌在QQ飞车里有多火,3.7万,204,51475
60,特朗普连任应援歌《让美国保持伟大》正式MV,3.9万,263,51366
61,【周杰伦disco】-史上杰伦最强Rap串烧,2.8万,109,50852
62,街头唱《鬼灭之刃》主题曲《红莲华》嗨爆了!!!粉丝喜笑颜开!!!,3.6万,312,49186
63,我直接在厕所唱LOSER！！！！！！,3.1万,181,49130
64,当年家喻户晓的经典老歌，首首有毒，满满都是回忆啊！,3.4万,886,49016
65,【小缘翻唱】最后の私,2.1万,96,48719
66,【鏡音リン/中文字幕】爱情劣等生【かいりきベア】,1.8万,92,48228
67,90年代的日本 也太open了吧,4.4万,17,47004
68,【周棋洛官方日语角色歌】周棋洛（CV：柿原彻也）「恋心シークレット（恋慕心秘密）」【初次试听公开】,2.2万,94,46005
69,各位看官再来听听这戏腔版《大碗宽面》合您胃口吗？,3.1万,58,44255
70,火箭少女解散居然出现神级现场，仿佛我是歌手舞台！全开麦实在太棒了,3.1万,181,43705
71,【BLACKPINK】最新蚝油代言！《蚝油来袋/How you like that》韩语KTV版空耳教学中文音译字幕 粉墨回归主打MV,2.6万,102,43402
72,シャンパーニュ・デイ _ 星街すいせい(cover),1.4万,61,43270
73,【蔡依林】节目组错放原音 可是老娘就是要真唱真跳,4.2万,23,43034
74,没有最丑只有更丑盘点女团那些超级迷惑的打歌服 （想把烤地瓜按在地上摩擦摩擦）,4.1万,390,42989
75,【民乐合奏】来自陈情女孩们的演绎--《无羁》，希望《陈情令》的那个夏天后会有期。,1.8万,141,42699
76,白毛萝莉【阅人无数01】,3.6万,28,42068
77,如果把【黑人抬棺】做成中国风音乐,2.2万,178,41927
78,【天星合唱】エンゼルフィッシュ,1.6万,41,40305
79,【预录音轨对比】BLACKPINK - How You Like That,3.6万,268,39880
80,姐很酷炫，但你不配的YG风翻唱BLACKPINK新歌How You Like That,2.7万,64,39637
81,【3D MV】シャルイース _Aki Rosenthal【ホロライブ-民族調オリジナル】,5201,144,38887
82,完整mv「NiziU」新曲MV《make you happy》解禁!! スッキリ 6月29日  幕后花絮,3.6万,142,38616
83,【BLACKPINK】韩国+美国初舞台/直拍! 新歌How You Like That 200628,2.6万,394,38445
84,韩国说唱团体看“JD”的《OTOT》后疯狂的反应？！,3.7万,75,38304
85,像风一样自由,3.3万,37,38294
86,人·气·歌·谣blackpink HOW LIKE YOU THAT舞台,3.2万,301,37785
87,Let it go 【九语男版】,2.2万,224,37609
88,【BLACKPINK】重新编排版《How You Like That》MV,2.3万,149,36834
89,古筝版blackpink《how you like that》,2.3万,88,36486
90,【洛天依原创】她失去的重要的东西【雨狸、依溪禾】【霾AXIS】【哥特金属】【PV付】,1.1万,28,36465
91,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,1.9万,1745,35979
92,2019最火热单宇宙大串烧,1.4万,28,35972
93,逮虾户 Deja vu ！中英双字幕MV,2.1万,184,35565
94,【MV】辉夜大小姐想让我告白第二季 OP 完整版 鈴木雅之 -『DADDY ! DADDY ! DO ! feat.鈴木愛理』,1.9万,10,35474
95,【三无】RUMOR【ポリスピカデリー】,1.5万,56,35378
96,长沙街唱【BLACKPINK】IMAX版，实力无声卡！,3.0万,70,35051
97,炸裂戏腔/唢呐竟然被我干翻了《囍》初投稿【念小酱】,1.3万,127,35042
98,建议改成《如果夏天的风吹过心墙》怎么这么丝滑？,2.0万,37,34610
99,前方高能！！对着风扇唱歌A爆了 快戴好耳机！,2.2万,136,34574
100,上海话《得不到的爱情》,2.8万,75,34482
